generation	pedigree_id	age
179800	7527	3.97981	48
179850	7471	3.98421	42
179900	7510	3.99747	41
179950	7637	4.01427	50
180000	6011	5.04974	39
180005	1932	10.0098	44
180010	577	15.0572	37
180015	189	19.6667	36
180020	99	15.404	38
180025	96	6.41667	36
180030	103	5.03883	41
180035	102	3.22549	14
180040	105	3.95238	19
180045	90	4.21111	24
180050	108	4.0463	25
180100	105	4.54286	23
180150	99	3.52525	17
180200	105	4.0381	30
180250	101	4.26733	21
180300	98	3.54082	16
180350	93	3.47312	20
180400	94	3.52128	21
180450	84	4.22619	26
180500	112	3.54464	20
180550	106	3.42453	25
180600	101	4.74257	29
180650	106	4.82075	21
180700	101	4.53465	19
180750	108	4.26852	23
180800	95	3.72632	17
180850	98	3.60204	23
180900	108	4.50926	40
180950	102	3.66667	24
181000	102	3.69608	25
181050	101	4.37624	25
181100	104	3.70192	25
181150	95	3.93684	21
181200	98	4.02041	19
181250	91	3.83516	18
181300	97	4.42268	19
181350	105	4.14286	25
181400	99	3.80808	17
181450	104	3.72115	28
181500	95	4.28421	21
181550	102	4.21569	22
181600	104	3.95192	22
181650	99	3.61616	19
181700	95	3.41053	28
181750	94	3.53191	18
181800	106	3.83962	24
181850	96	3.44792	30
181900	93	4.09677	19
181950	108	3.96296	21
182000	116	3.28448	18
182050	94	4.35106	25
182100	99	3.90909	27
182150	100	3.74	19
182200	104	4.31731	18
182250	108	3.57407	22
182300	99	3.61616	17
182350	94	3.26596	24
182400	95	4.28421	26
182450	102	3.61765	16
182500	101	3.48515	29
182550	98	4.37755	21
182600	105	3.79048	22
182650	104	3.93269	24
182700	96	4.28125	19
182750	110	3.89091	24
182800	92	5.02174	23
182850	101	3.28713	18
182900	97	4.61856	29
182950	102	4.12745	32
183000	99	3.41414	26
183050	95	3.06316	22
183100	105	3.77143	22
183150	94	4.54255	17
183200	112	3.23214	14
183250	96	3.98958	22
183300	97	4.41237	24
183350	104	4.56731	30
183400	100	3.49	15
183450	96	4.375	23
183500	103	3.71845	19
183550	98	4.31633	24
183600	99	4.9596	30
183650	103	3.87379	15
183700	110	4.99091	28
183750	98	3.91837	17
183800	103	3.24272	16
183850	94	4.31915	23
183900	92	4.11957	17
183950	97	4.79381	19
184000	99	3.62626	19
184050	106	4.10377	32
184100	95	3.03158	13
184150	106	3.65094	24
184200	100	4.26	25
184250	96	4.02083	36
184300	95	5.51579	26
184350	102	3.16667	17
184400	92	3.69565	28
184450	101	3.90099	22
184500	107	3.5514	23
184550	104	3.82692	23
184600	94	4.90426	33
184650	102	4.29412	29
184700	104	3.58654	18
184750	92	4	22
184800	96	4	20
184850	98	4.19388	25
184900	94	4.64894	27
184950	102	3.67647	25
185000	103	3.82524	29
185050	95	4.58947	36
185100	108	3.75926	26
185150	98	4.14286	21
185200	114	3.75439	29
185250	90	5.43333	26
185300	97	3.89691	22
185350	107	4.60748	26
185400	102	5.29412	25
185450	95	3.86316	19
185500	97	3.39175	15
185550	108	4.51852	19
185600	106	4.0283	19
185650	103	3.93204	18
185700	106	3.08491	15
185750	102	3.12745	18
185800	110	4.32727	20
185850	100	4.3	19
185900	95	4.63158	23
185950	103	4.28155	20
186000	101	4.49505	19
186050	96	3.32292	17
186100	118	4.12712	28
186150	119	2.97479	21
186200	102	4.21569	26
186250	108	4.27778	23
186300	97	4.10309	20
186350	101	3.63366	23
186400	96	4.40625	25
186450	99	3.50505	21
186500	105	3.70476	22
186550	91	3.65934	16
186600	96	3.83333	16
186650	94	4.34043	33
186700	95	4.23158	19
186750	104	4.78846	33
186800	94	3.75532	23
186850	102	3.86275	30
186900	91	4.12088	17
186950	105	4.21905	17
187000	103	4.36893	28
187050	91	3.52747	14
187100	89	3.68539	25
187150	94	4.07447	21
187200	104	3.85577	26
187250	104	3.73077	19
187300	91	3.20879	15
187350	99	4.57576	40
187400	106	4.50943	25
187450	98	4.2551	19
187500	102	3.81373	24
187550	100	4.51	18
187600	91	3.54945	16
187650	103	3.60194	20
187700	111	3.78378	19
187750	99	4.16162	23
187800	108	3.66667	19
187850	102	4	28
187900	102	4.02941	20
187950	99	4.24242	24
188000	99	3.49495	16
188050	104	3.81731	17
188100	108	3.68519	17
188150	108	4.87037	22
188200	91	5.08791	28
188250	101	4.34653	22
188300	94	3.48936	19
188350	107	4.58879	31
188400	98	3.63265	18
188450	99	3.58586	21
188500	95	4.43158	27
188550	96	4.14583	24
188600	107	3.7757	18
188650	108	4.12037	30
188700	109	4.17431	28
188750	92	3.82609	25
188800	103	4.15534	21
188850	108	4.88889	37
188900	103	4.05825	25
188950	99	4.12121	20
189000	103	4.25243	22
189050	92	4.80435	26
189100	96	3.34375	19
189150	101	4.84158	34
189200	92	3.47826	18
189250	102	3.70588	17
189300	97	3.85567	20
189350	112	4.00893	38
189400	115	4.75652	29
189450	102	4.0098	18
189500	93	4.10753	27
189550	104	3.86538	22
189600	107	3.66355	24
189650	108	3.62963	20
189700	101	3.79208	22
189750	101	4.23762	24
189800	88	4.60227	33
189850	99	4.13131	16
189900	96	4.60417	22
189950	103	4.05825	16
190000	104	3.82692	24
