generation	Nc	average_age	max_age
179800	7507	4.06487	42
179850	7442	3.95431	37
179900	7482	3.93197	40
179950	7471	3.95007	42
180000	93	4.90323	24
180005	93	4.24731	25
180010	93	4.52688	25
180015	96	4.28125	27
180020	90	4.26667	32
180025	105	4.25714	26
180030	107	4.72897	25
180035	108	4.41667	22
180040	96	3.875	21
180045	99	4.0101	26
180050	103	4.13592	31
180100	98	4.14286	21
180150	108	4.06481	22
180200	98	4.78571	29
180250	112	3.75893	23
180300	104	4.125	36
180350	87	3.93103	21
180400	92	3.23913	17
180450	96	3.28125	17
180500	93	3.90323	25
180550	107	4.14953	27
180600	104	4.08654	30
180650	93	4.03226	21
180700	95	3.73684	20
180750	96	4.25	21
180800	97	3.68041	17
180850	100	4.57	24
180900	102	4.19608	23
180950	104	3.85577	18
181000	109	3.72477	20
181050	101	4.08911	20
181100	101	4.0099	19
181150	106	3.83019	25
181200	99	4.28283	16
181250	107	3.68224	16
181300	110	3.44545	22
181350	107	4.29907	18
181400	102	3.65686	23
181450	97	3.80412	17
181500	102	3.48039	13
181550	99	3.62626	12
181600	88	3.42045	17
181650	96	3.71875	25
181700	95	3.82105	14
181750	102	4.10784	19
181800	103	3.94175	25
181850	99	4.34343	59
181900	98	3.79592	28
181950	96	3.75	15
182000	85	4.64706	31
182050	103	4.32039	21
182100	103	3.78641	18
182150	102	3.4902	24
182200	92	3.72826	16
182250	107	4.58879	33
182300	109	3.90826	23
182350	101	4.29703	23
182400	99	3.51515	14
182450	98	3.20408	12
182500	102	4.36275	38
182550	90	4.7	23
182600	107	4.5514	22
182650	102	3.53922	15
182700	95	4.02105	26
182750	95	4.29474	19
182800	107	4.35514	22
182850	91	3.62637	22
182900	102	3.98039	27
182950	99	3.74747	15
183000	89	5.19101	28
183050	103	3.66019	17
183100	99	3.83838	23
183150	92	3.88043	20
183200	113	3.54867	16
183250	109	3.68807	17
183300	111	4.16216	27
183350	114	3.36842	24
183400	100	4.46	22
183450	100	4.51	26
183500	96	4	22
183550	96	3.61458	19
183600	96	3.6875	23
183650	108	4.12963	19
183700	104	4.23077	20
183750	102	3.65686	15
183800	101	3.9604	23
183850	112	3.36607	20
183900	88	4.60227	17
183950	95	3.72632	25
184000	95	3.69474	18
184050	108	4.57407	28
184100	105	3.95238	17
184150	106	3.73585	23
184200	100	3.41	20
184250	100	3.69	21
184300	98	3.7449	20
184350	94	4.14894	30
184400	97	4.03093	23
184450	100	4.12	24
184500	107	3.51402	22
184550	101	4.15842	24
184600	102	2.4902	18
184650	99	4.09091	26
184700	100	3.72	17
184750	106	3.66038	17
184800	98	4.66327	24
184850	108	3.56481	21
184900	104	3.73077	15
184950	106	4.20755	26
185000	94	3.97872	24
185050	104	3.81731	17
185100	85	3.62353	17
185150	97	5.46392	26
185200	106	3.93396	15
185250	107	3.95327	18
185300	108	4.32407	21
185350	99	3.68687	17
185400	94	3.92553	22
185450	101	4.77228	23
185500	100	3.72	15
185550	98	4.59184	26
185600	104	4.17308	21
185650	102	4.63725	21
185700	107	4.1028	22
185750	96	4.11458	24
185800	106	3.96226	30
185850	105	3.98095	20
185900	110	4.02727	18
185950	96	3.54167	23
186000	99	3.62626	29
186050	102	4.23529	24
186100	101	4.28713	23
186150	105	4.77143	27
186200	101	3.82178	21
186250	95	4.33684	18
186300	101	3.19802	25
186350	100	4.45	18
186400	103	4.17476	21
186450	102	4.09804	26
186500	91	3.92308	18
186550	100	4.01	23
186600	97	3.96907	23
186650	98	4.83673	24
186700	92	3.75	16
186750	104	4.92308	29
186800	101	3.91089	18
186850	103	3.92233	18
186900	99	3.80808	23
186950	111	3.83784	19
187000	99	3.91919	15
187050	98	3.86735	21
187100	96	4.22917	27
187150	104	4.04808	18
187200	101	3.85149	22
187250	102	3.65686	27
187300	94	3.54255	23
187350	94	3.95745	24
187400	94	3.46809	17
187450	98	3.85714	32
187500	103	3.71845	20
187550	97	3.68041	20
187600	101	4.09901	17
187650	102	4.4902	19
187700	108	4.27778	28
187750	99	4.80808	36
187800	107	3.88785	20
187850	103	4.21359	19
187900	105	4.08571	33
187950	102	4.58824	25
188000	106	3.11321	19
188050	87	4.09195	16
188100	109	3.73394	28
188150	100	4.12	20
188200	118	4.15254	27
188250	91	4.12088	18
188300	105	3.04762	28
188350	99	4.15152	23
188400	96	4.08333	23
188450	103	3.86408	24
188500	97	3.90722	22
188550	99	4.26263	16
188600	106	4.07547	18
188650	102	3.91176	27
188700	100	4.15	25
188750	94	4.01064	20
188800	103	3.73786	28
188850	102	2.79412	19
188900	100	3.95	23
188950	90	3.48889	15
189000	106	4.11321	31
189050	103	3.92233	20
189100	104	4.80769	23
189150	88	4.25	20
189200	112	4.08036	22
189250	102	4.94118	26
189300	96	4	28
189350	112	4.04464	22
189400	90	4.15556	26
189450	98	4.0102	24
189500	97	4.30928	17
189550	102	3.66667	22
189600	99	3.39394	18
189650	101	4.52475	18
189700	98	3.87755	25
189750	107	3.19626	24
189800	97	4.03093	24
189850	95	4.05263	26
189900	96	3.6875	17
189950	96	4.23958	19
190000	92	3.8913	18
