generation	pedigree_id	age
179800	7507	4.01599	38
179850	7421	3.98868	36
179900	7476	3.92322	36
179950	7341	3.93884	41
180000	6000	5.13317	48
180005	1991	10.1356	44
180010	657	15.1811	49
180015	216	20.338	43
180020	91	19.2418	44
180025	106	7.92453	38
180030	108	4.62963	41
180035	86	5.0814	46
180040	107	4.16822	42
180045	94	4.59574	47
180050	106	4.63208	52
180100	110	3.83636	29
180150	99	4.60606	23
180200	114	3.74561	18
180250	100	3.73	19
180300	102	3.61765	22
180350	98	3.4898	18
180400	89	2.97753	20
180450	102	4.03922	24
180500	88	3.68182	29
180550	93	4.36559	24
180600	94	3.75532	17
180650	98	3.72449	21
180700	105	3.91429	20
180750	97	3.6701	24
180800	105	3.75238	19
180850	90	4.46667	26
180900	109	4.15596	17
180950	90	4.13333	21
181000	97	4.06186	24
181050	116	4.25862	28
181100	94	3.54255	29
181150	100	3.35	25
181200	97	3.05155	20
181250	103	4.37864	20
181300	97	3.7732	26
181350	92	3.68478	16
181400	92	3.75	22
181450	101	3.24752	22
181500	100	4.41	21
181550	96	3.53125	16
181600	102	3.57843	32
181650	102	4.62745	22
181700	100	5.24	31
181750	101	5.32673	51
181800	103	4.06796	18
181850	107	4.00935	21
181900	104	4.91346	32
181950	102	3.93137	27
182000	90	2.98889	14
182050	94	4.23404	36
182100	106	4.15094	20
182150	95	3.64211	17
182200	98	2.93878	22
182250	102	4.27451	22
182300	102	4.29412	27
182350	100	3.59	20
182400	104	4.78846	25
182450	98	3.64286	17
182500	97	4.58763	24
182550	103	4.06796	17
182600	109	4.25688	29
182650	99	3.90909	26
182700	105	3.7619	22
182750	98	3.68367	17
182800	105	3.82857	23
182850	93	4.21505	20
182900	92	4.29348	25
182950	96	5.01042	29
183000	105	4.06667	26
183050	96	3.86458	16
183100	99	4.70707	39
183150	105	3.0381	15
183200	97	3.7732	29
183250	91	3.30769	27
183300	86	3.67442	15
183350	99	3.40404	29
183400	114	3.62281	16
183450	101	3.85149	31
183500	93	3.76344	29
183550	87	3.6092	22
183600	115	4.01739	24
183650	101	4.36634	26
183700	99	3.51515	27
183750	98	3.85714	21
183800	99	4.11111	31
183850	99	3.69697	23
183900	95	4.30526	20
183950	97	3.83505	26
184000	100	4.09	15
184050	85	4.44706	19
184100	98	4.4898	28
184150	99	4.73737	34
184200	92	3.53261	25
184250	107	3.58879	19
184300	93	4.04301	21
184350	91	4.08791	21
184400	107	3.70093	23
184450	102	3.42157	23
184500	96	4.60417	36
184550	104	4.58654	18
184600	102	4.21569	18
184650	103	4.09709	21
184700	100	4.15	18
184750	98	3.20408	18
184800	100	4.16	22
184850	104	4.30769	26
184900	103	3.87379	29
184950	95	4.34737	23
185000	97	3.58763	26
185050	98	3.5102	20
185100	113	3.37168	23
185150	94	4.45745	28
185200	106	3.57547	16
185250	102	4.20588	25
185300	104	3.99038	42
185350	107	4.83178	37
185400	98	4.23469	20
185450	100	3.09	17
185500	107	3.73832	25
185550	97	4.2268	27
185600	107	4.00935	17
185650	100	3.03	17
185700	95	3.83158	21
185750	98	3.90816	14
185800	84	4.2619	27
185850	103	4.58252	34
185900	89	3.91011	27
185950	100	5.05	28
186000	104	3.58654	31
186050	99	4.25253	25
186100	106	4.13208	36
186150	108	3.49074	24
186200	110	4.40909	20
186250	103	3.90291	22
186300	101	3.80198	28
186350	105	3.60952	17
186400	92	4.28261	28
186450	107	3.11215	15
186500	102	3.69608	19
186550	102	4.09804	19
186600	97	4.37113	21
186650	90	4.43333	25
186700	107	4.43925	25
186750	102	4.17647	27
186800	90	4.67778	23
186850	99	4.74747	33
186900	103	3.68932	26
186950	91	4.38462	23
187000	94	4.90426	29
187050	110	3.96364	22
187100	92	4.1413	22
187150	96	3.75	23
187200	107	3.92523	30
187250	105	4.13333	20
187300	96	3.91667	17
187350	97	4.03093	17
187400	98	4.02041	24
187450	95	3.91579	29
187500	99	4.46465	19
187550	102	4.42157	17
187600	101	4.16832	30
187650	99	3.19192	13
187700	92	4.22826	27
187750	101	3.0396	16
187800	95	4.37895	21
187850	104	4.52885	21
187900	94	4.32979	19
187950	97	5.04124	18
188000	94	4.38298	19
188050	110	4.27273	23
188100	100	4.69	36
188150	105	4.3619	34
188200	101	3.79208	25
188250	92	4.29348	28
188300	109	4.12844	17
188350	95	3.89474	17
188400	100	3.66	19
188450	93	4.98925	22
188500	99	3.65657	25
188550	102	3.34314	14
188600	106	3.67925	32
188650	108	3.87037	17
188700	102	3.76471	23
188750	93	2.97849	17
188800	99	3.9697	20
188850	102	3.59804	17
188900	99	4.57576	18
188950	104	4.93269	30
189000	94	4.29787	20
189050	114	4.33333	30
189100	101	4.78218	28
189150	94	3.89362	17
189200	98	4.38776	27
189250	94	4.20213	22
189300	100	4.03	16
189350	95	4.12632	24
189400	87	4.05747	19
189450	90	3.48889	17
189500	99	3.77778	29
189550	100	3.7	17
189600	91	3.62637	17
189650	93	3.62366	18
189700	110	4.65455	30
189750	95	4.56842	27
189800	88	3.69318	16
189850	97	3.83505	26
189900	108	3.58333	17
189950	99	3.57576	21
190000	102	3.9902	25
