generation	Nc
179800	4204
179850	4205
179900	4302
179950	4230
180000	54
180005	66
180010	59
180015	53
180020	114
180025	95
180030	123
180035	120
180040	114
180045	127
180050	112
180100	127
180150	129
180200	105
180250	107
180300	106
180350	121
180400	97
180450	136
180500	131
180550	118
180600	121
180650	91
180700	99
180750	113
180800	115
180850	105
180900	114
180950	94
181000	125
181050	116
181100	117
181150	123
181200	105
181250	122
181300	121
181350	102
181400	101
181450	113
181500	112
181550	102
181600	120
181650	126
181700	120
181750	111
181800	118
181850	116
181900	119
181950	82
182000	118
182050	98
182100	111
182150	101
182200	134
182250	119
182300	99
182350	104
182400	117
182450	105
182500	107
182550	105
182600	110
182650	120
182700	104
182750	112
182800	96
182850	106
182900	137
182950	125
183000	97
183050	97
183100	119
183150	102
183200	127
183250	103
183300	116
183350	122
183400	107
183450	118
183500	116
183550	120
183600	118
183650	110
183700	102
183750	108
183800	113
183850	120
183900	110
183950	123
184000	104
184050	134
184100	102
184150	114
184200	104
184250	118
184300	108
184350	120
184400	103
184450	111
184500	93
184550	118
184600	127
184650	115
184700	93
184750	130
184800	118
184850	113
184900	107
184950	110
185000	117
185050	118
185100	111
185150	108
185200	111
185250	107
185300	111
185350	100
185400	99
185450	115
185500	96
185550	101
185600	107
185650	95
185700	110
185750	108
185800	109
185850	110
185900	126
185950	131
186000	116
186050	112
186100	115
186150	104
186200	101
186250	131
186300	131
186350	92
186400	108
186450	116
186500	105
186550	118
186600	112
186650	106
186700	126
186750	123
186800	108
186850	103
186900	105
186950	115
187000	127
187050	104
187100	107
187150	118
187200	123
187250	132
187300	105
187350	117
187400	126
187450	116
187500	124
187550	115
187600	119
187650	99
187700	117
187750	134
187800	101
187850	120
187900	114
187950	102
188000	97
188050	130
188100	137
188150	124
188200	102
188250	120
188300	113
188350	131
188400	79
188450	123
188500	116
188550	132
188600	107
188650	116
188700	129
188750	120
188800	94
188850	131
188900	121
188950	112
189000	116
189050	113
189100	102
189150	132
189200	107
189250	101
189300	100
189350	129
189400	115
189450	96
189500	118
189550	136
189600	135
189650	100
189700	125
189750	127
189800	118
189850	105
189900	114
189950	121
190000	110
