 pedigree_id het
0 slim_337516760 0.0005309
1 slim_337516784 0.0001116
2 slim_337516701 5.54e-05
3 slim_337516659 0.0004612
4 slim_337516791 7.11e-05
5 slim_337516661 0.0001252
6 slim_337516498 0.0001326
7 slim_337516620 6.01e-05
8 slim_337516790 4.17e-05
9 slim_337516634 0.0002549
10 slim_337516797 0.0004778
11 slim_337516681 0.0002994
12 slim_337516747 0.0002074
13 slim_337516781 0.0004664
14 slim_337516735 2.3e-06
15 slim_337516628 0.000483
16 slim_337516658 0.0002494
17 slim_337516749 0.0004761
18 slim_337516777 0.0001375
19 slim_337516750 9.52e-05
20 slim_337516748 0.0003384
21 slim_337516669 0.0004664
22 slim_337516753 0.0005637
23 slim_337516734 0.0006247
24 slim_337516718 0.0001781
25 slim_337516757 0.0005607
26 slim_337516752 0.0002876
27 slim_337516802 0.0006044
28 slim_337516724 0.0003127
29 slim_337516792 0.0005605
30 slim_337516743 0.0004052
31 slim_337516717 5.67e-05
32 slim_337516773 0.0005502
33 slim_337516806 5.49e-05
34 slim_337516721 0.000588
35 slim_337516578 0.0006151
36 slim_337516780 0.0004371
37 slim_337516690 1.2e-06
38 slim_337516725 0.0002379
39 slim_337516775 0.0002945
40 slim_337516778 0.0002733
41 slim_337516737 0.0003543
42 slim_337516745 0.000462
43 slim_337516758 7.19e-05
44 slim_337516688 0.0001256
45 slim_337516640 5e-07
46 slim_337516764 0.0001373
47 slim_337516374 0.0005262
48 slim_337516767 0.0002033
49 slim_337516711 0.0004987
50 slim_337516707 0.0006429
51 slim_337516626 0.0002153
52 slim_337516779 0.0006044
53 slim_337516769 0.0004959
54 slim_337516650 0.0005128
55 slim_337516727 0.0005607
56 slim_337516801 0.0006479
57 slim_337516799 0.0003944
58 slim_337516662 3.1e-06
59 slim_337516678 0.0004053
60 slim_337516657 0.00039
61 slim_337516577 0.0002973
62 slim_337516793 0.0005891
63 slim_337516408 0.0003967
64 slim_337516742 0.0004377
65 slim_337516706 0.0003334
66 slim_337516604 0.0001112
67 slim_337516774 0.0002032
68 slim_337516768 0.0005127
69 slim_337516700 0.0004706
70 slim_337516653 0.0003485
71 slim_337516691 0.0005636
72 slim_337516330 0.0005463
73 slim_337516766 0.0004597
74 slim_337516804 0.0002031
75 slim_337516712 0.0001253
76 slim_337516805 0.0001987
77 slim_337516798 9.7e-05
78 slim_337516765 0.0005607
79 slim_337516732 0.0002391
80 slim_337516518 0.0001381
81 slim_337516722 0.0004169
82 slim_337516754 4.11e-05
83 slim_337516788 0.000469
84 slim_337516692 0.0002631
85 slim_337516601 0.0002652
86 slim_337516679 0.0001372
87 slim_337516665 0.000469
88 slim_337516794 0.0002035
89 slim_337516550 0.0005128
