 pedigree_id het
0 slim_762970215 8.6e-06
1 slim_762970242 8.2e-06
2 slim_762970202 5.9e-06
3 slim_762970199 4.3e-06
4 slim_762970228 8e-06
5 slim_762970174 9.1e-06
6 slim_762970187 7e-06
7 slim_762970236 5e-06
8 slim_762970184 6.8e-06
9 slim_762970204 5.1e-06
10 slim_762970209 5.4e-06
11 slim_762970216 8.4e-06
12 slim_762970166 4.2e-06
13 slim_762970167 8.3e-06
14 slim_762970234 7.5e-06
15 slim_762970205 5.3e-06
16 slim_762970171 9.2e-06
17 slim_762970195 5.9e-06
18 slim_762970193 6.6e-06
19 slim_762970245 3.3e-06
20 slim_762970250 6.9e-06
21 slim_762970224 5.7e-06
22 slim_762970185 6.9e-06
23 slim_762970251 3.9e-06
24 slim_762970165 9.1e-06
25 slim_762970168 7.5e-06
26 slim_762970243 6.3e-06
27 slim_762970249 3.7e-06
28 slim_762970247 7.2e-06
29 slim_762970178 3.7e-06
30 slim_762970162 4.5e-06
31 slim_762970201 8.3e-06
32 slim_762970218 5.8e-06
33 slim_762970208 8.5e-06
34 slim_762970238 7e-06
35 slim_762970175 9.7e-06
36 slim_762970235 4.1e-06
37 slim_762970179 7.9e-06
38 slim_762970246 5.4e-06
39 slim_762970211 3.3e-06
40 slim_762970221 2e-06
41 slim_762970203 3.9e-06
42 slim_762970239 4.8e-06
43 slim_762970196 2.7e-06
44 slim_762970248 0.0
45 slim_762970219 6.7e-06
46 slim_762970237 7.3e-06
47 slim_762970197 4.2e-06
48 slim_762970241 6.6e-06
49 slim_762970232 7.8e-06
50 slim_762970190 5.3e-06
51 slim_762970177 6.9e-06
52 slim_762970214 6e-06
53 slim_762970183 6.8e-06
54 slim_762970210 7e-06
55 slim_762970181 5.5e-06
56 slim_762970207 6.2e-06
57 slim_762970182 4e-06
58 slim_762970225 2.9e-06
59 slim_762970240 4.5e-06
60 slim_762970194 9e-06
61 slim_762970220 3.5e-06
62 slim_762970223 1.2e-06
63 slim_762970163 0.0
64 slim_762970231 5.5e-06
65 slim_762970227 7.8e-06
66 slim_762970172 4.1e-06
67 slim_762970191 6.3e-06
68 slim_762970169 4.2e-06
69 slim_762970192 3.2e-06
70 slim_762970233 7.7e-06
71 slim_762970229 6.2e-06
72 slim_762970226 6.1e-06
73 slim_762970230 6.7e-06
74 slim_762970217 5.7e-06
75 slim_762970180 6.2e-06
76 slim_762970176 3.7e-06
77 slim_762970244 3.7e-06
78 slim_762970186 7.2e-06
79 slim_762970200 6.7e-06
80 slim_762970222 5.2e-06
81 slim_762970173 7.1e-06
82 slim_762970198 6.3e-06
83 slim_762970164 9.2e-06
84 slim_762970170 6.6e-06
85 slim_762970213 4e-07
86 slim_762970188 5.7e-06
87 slim_762970206 5.8e-06
88 slim_762970189 7.1e-06
89 slim_762970212 6.1e-06
