 slim_337469241 slim_337494040 slim_337496981 slim_337497338 slim_337459970 slim_337488770 slim_337497329 slim_337494286 slim_337485200 slim_337481545 slim_337497897 slim_337498928 slim_337498944 slim_337491841 slim_337489268 slim_337498952 slim_337493176 slim_337498935 slim_337498960 slim_337498942 slim_337493798 slim_337498945 slim_337498146 slim_337492979 slim_337498918 slim_337498938 slim_337498954 slim_337499074 slim_337499021 slim_337498983 slim_337499089 slim_337499016 slim_337498982 slim_337499081 slim_337499039 slim_337498973 slim_337498991 slim_337499012 slim_337499002 slim_337499095 slim_337499019 slim_337499045 slim_337499069 slim_337499090 slim_337499009 slim_337499075 slim_337499092 slim_337499100 slim_337499048 slim_337498977 slim_337499029 slim_337499046 slim_337499084 slim_337499033 slim_337499061 slim_337499073 slim_337499052 slim_337499057 slim_337499078 slim_337499031 slim_337499036 slim_337499059 slim_337499083 slim_337498980 slim_337498986 slim_337498994 slim_337499051 slim_337499076 slim_337499080 slim_337499042 slim_337499035 slim_337499068 slim_337499082 slim_337499097 slim_337499079 slim_337499018 slim_337499017 slim_337499050 slim_337499062 slim_337499071 slim_337499028 slim_337499044 slim_337499055 slim_337499086 slim_337499098 slim_337499096 slim_337499077 slim_337498999 slim_337499099 slim_337499085 slim_337499022 slim_337499067 slim_337499015 slim_337498997 slim_337499056 slim_337499010 slim_337498976 slim_337499001 slim_337498998 slim_337498972 slim_337499034
0 0.000869 0.00079395 0.00082605 0.0008503 0.0008387 0.00067795 0.0008163 0.00083225 0.00081695 0.00083405 0.0008706 0.0008468 0.00076175 0.00083565 0.0008335 0.00082195 0.00085075 0.00083445 0.00075435 0.0006812 0.0008396 0.0008725 0.0008658 0.0008443 0.000784 0.0007637 0.00084435 0.00083485 0.00081755 0.00079145 0.0007877 0.00085535 0.0007913 0.00079625 0.00081955 0.00080865 0.00084385 0.00079825 0.00081505 0.00082075 0.00077245 0.00085705 0.00085335 0.00085705 0.00079635 0.000804 0.0008447 0.0008409 0.00082865 0.0008421 0.0008635 0.00083685 0.000891 0.0008072 0.00079455 0.00063635 0.0008448 0.0008295 0.0007475 0.00082315 0.0008098 0.0008297 0.00084525 0.00085825 0.0008042 0.000842 0.00088915 0.0008215 0.00078885 0.0006134 0.00084675 0.0008062 0.00079795 0.00080455 0.00070955 0.0005036 0.00080595 0.0007212 0.00084215 0.00080135 0.0008549 0.0008301 0.0008021 0.0008042 0.000807 0.0008154 0.00086565 0.0007748 0.0007725 0.0008194 0.00078445 0.00087555 0.00083675 0.00079685 0.0008326 0.0008195 0.00083325 0.00082535 0.0008064 0.0007565 0.000814
1 0.00079395 0.0008472 0.00078805 0.0008302 0.0007915 0.000782 0.0008094 0.0008274 0.00079355 0.00083855 0.00085695 0.0008303 0.00078435 0.00085425 0.0008224 0.00082275 0.0007902 0.0008315 0.00081975 0.00060915 0.0008648 0.00086 0.00080925 0.00079135 0.0007833 0.00070465 0.00081195 0.0008599 0.0008386 0.00050815 0.00084525 0.0008343 0.00086905 0.00080295 0.0006573 0.00080445 0.0008014 0.0007865 0.0008282 0.0007964 0.00079175 0.0008503 0.00081385 0.00062705 0.00079585 0.00083005 0.0008102 0.0008472 0.000817 0.00080615 0.00081055 0.0006285 0.000853 0.0008545 0.00080005 0.0007896 0.0007828 0.0007824 0.00068545 0.000834 0.0007758 0.0006231 0.00058295 0.00084085 0.00083025 0.0008789 0.00086975 0.00080745 0.00086735 0.00077755 0.0006367 0.00080215 0.00079005 0.00084765 0.00076865 0.00071925 0.0007887 0.0008108 0.0008532 0.00083185 0.00085215 0.00078315 0.0007874 0.00080605 0.00073485 0.0007828 0.0008537 0.0008309 0.0007918 0.0008375 0.0007713 0.0008257 0.00081235 0.00077845 0.00079765 0.00083465 0.0007846 0.0007696 0.0007515 0.0007758 0.00087145
2 0.00082605 0.00078805 0.0008604 0.000816 0.00081585 0.00083135 0.0008503 0.0008337 0.00085785 0.00082765 0.0008384 0.00088435 0.00082405 0.0008766 0.0008954 0.00085785 0.00084365 0.0008258 0.00082265 0.00083195 0.00086525 0.0008919 0.0008737 0.00084065 0.0008246 0.0008551 0.00084315 0.0008573 0.00083245 0.00082425 0.00083635 0.00087095 0.000868 0.00084845 0.000833 0.0008256 0.00084785 0.00085135 0.0008799 0.0008507 0.0008381 0.0008075 0.0008665 0.0006302 0.000825 0.00083905 0.0008508 0.00082735 0.0008395 0.00089475 0.0008616 0.00083945 0.0008536 0.0008211 0.00085665 0.00085475 0.00084595 0.00087825 0.0008264 0.00089565 0.00078535 0.0008137 0.0008249 0.00087945 0.00083925 0.00089785 0.00087575 0.0008162 0.0008379 0.0008364 0.0008691 0.0008312 0.0008207 0.0008517 0.00086275 0.0008637 0.00084945 0.0008188 0.00084475 0.00084355 0.00082595 0.0008349 0.00082045 0.00088215 0.0007661 0.000884 0.0008269 0.0008352 0.00083815 0.0008512 0.000802 0.0008866 0.00085015 0.0008383 0.00066525 0.0008332 0.00085825 0.0007824 0.0008394 0.0008234 0.0008447
3 0.0008503 0.0008302 0.000816 0.0009011 0.00085325 0.0008666 0.00084815 0.000835 0.00085725 0.00086655 0.0008549 0.0008569 0.0008234 0.0008345 0.0008667 0.00085065 0.00080825 0.0008587 0.0008739 0.0008706 0.00089595 0.000815 0.0008109 0.00081595 0.0008745 0.0008206 0.00081875 0.00086865 0.0008567 0.00081875 0.0008962 0.0008446 0.00087125 0.00083815 0.00082785 0.00081125 0.00081285 0.00085465 0.0008433 0.00086015 0.00086545 0.00085125 0.0008678 0.0008546 0.000817 0.00087575 0.0008394 0.00085455 0.0008557 0.0008232 0.0008624 0.0008423 0.0008391 0.00089265 0.0008487 0.00087855 0.0008091 0.0008119 0.0008202 0.0007377 0.0008304 0.0008523 0.00085125 0.0008383 0.00087595 0.00085915 0.00087075 0.000801 0.0008694 0.0008557 0.0008572 0.0008455 0.00082165 0.0008792 0.0008612 0.0008949 0.00084205 0.0008585 0.0008486 0.0007761 0.0007656 0.00086055 0.0008522 0.0008394 0.0007752 0.00083695 0.0006307 0.0008038 0.0008655 0.0008736 0.00081505 0.00083585 0.0008704 0.00084515 0.00080535 0.00084615 0.0008203 0.00081575 0.00087345 0.0008632 0.00087965
4 0.0008387 0.0007915 0.00081585 0.00085325 0.0008469 0.0008487 0.0008351 0.0008445 0.0008268 0.00087675 0.0008344 0.00077335 0.000738 0.0008728 0.000842 0.00086455 0.0008518 0.0008532 0.0007732 0.0008401 0.0008818 0.00084255 0.00087515 0.00083985 0.00083915 0.00084725 0.000844 0.0008464 0.0008036 0.0007869 0.00087205 0.00080915 0.0008408 0.00080775 0.0008363 0.0008362 0.00082465 0.00084245 0.0008621 0.0008207 0.00077735 0.0008645 0.00080645 0.00078215 0.0008158 0.00082015 0.00082045 0.0008238 0.00082405 0.00083655 0.00083415 0.000742 0.0008659 0.0008001 0.00078575 0.0008313 0.0008408 0.00085065 0.00083445 0.0008749 0.0007912 0.00079475 0.0005781 0.0008806 0.00082035 0.00082845 0.00062145 0.0008032 0.00083925 0.00081895 0.00081615 0.0007711 0.0007654 0.00086325 0.0008583 0.00085325 0.00060625 0.00083545 0.00085145 0.00079895 0.0008563 0.0006074 0.00082815 0.0008169 0.00078385 0.0007422 0.0008253 0.00084675 0.0007774 0.0008096 0.0008033 0.0008771 0.000849 0.000781 0.00083685 0.00085025 0.0008099 0.00079985 0.0006471 0.00084105 0.00085345
5 0.00067795 0.000782 0.00083135 0.0008666 0.0008487 0.0008099 0.0008068 0.0008104 0.0008328 0.0008262 0.0008558 0.0008258 0.0008412 0.00087735 0.0008091 0.00083035 0.00084405 0.00080925 0.00077915 0.0006071 0.00080935 0.000867 0.000883 0.00081785 0.00082135 0.00074925 0.00089305 0.00083005 0.00083665 0.00076765 0.00080465 0.0008528 0.0007967 0.00083595 0.0008486 0.00079975 0.00084225 0.0007962 0.0008422 0.00085485 0.0008029 0.0008324 0.00085855 0.0008431 0.0008052 0.0008297 0.00087725 0.0008394 0.0008109 0.0008725 0.0008196 0.00083065 0.000867 0.000817 0.00079435 0.0006792 0.0008355 0.00083545 0.0007447 0.00084315 0.0008108 0.0008128 0.0008655 0.0008396 0.0008299 0.00084685 0.0008553 0.0008231 0.0007981 0.0006737 0.0008608 0.0008034 0.00079115 0.00078955 0.00061835 0.0004667 0.00083425 0.00079705 0.0008271 0.00080825 0.0008323 0.0008649 0.0008142 0.0007786 0.0008207 0.00084755 0.00086615 0.00082385 0.00080295 0.00082405 0.0008328 0.0008443 0.0008142 0.00078385 0.00086955 0.0006064 0.00077585 0.0008141 0.000826 0.00079895 0.0008092
6 0.0008163 0.0008094 0.0008503 0.00084815 0.0008351 0.0008068 0.0007761 0.00078835 0.00077045 0.0008231 0.0008732 0.00083845 0.0008342 0.0008457 0.0007129 0.0007727 0.00078795 0.00081415 0.00078415 0.00076645 0.00085445 0.0008292 0.0008005 0.00078045 0.0008389 0.0007823 0.000863 0.0008649 0.0007931 0.0007699 0.00085845 0.00089245 0.00083445 0.000819 0.0007778 0.000778 0.0008064 0.00083595 0.0007778 0.00085425 0.00074475 0.00083575 0.0008659 0.0008066 0.00084275 0.00079775 0.0008517 0.00082325 0.0008493 0.0008455 0.0006148 0.00079825 0.00084435 0.00074835 0.0007681 0.00084875 0.00076315 0.0005931 0.00078755 0.00076795 0.00083965 0.00076975 0.0008184 0.0007965 0.00079795 0.0008599 0.00086355 0.00075075 0.00080625 0.00081985 0.00077045 0.0008096 0.00076245 0.0008407 0.0008383 0.0008224 0.00084385 0.00081575 0.0008314 0.0007516 0.0008136 0.00086795 0.0007917 0.0008184 0.0007764 0.0008679 0.00084945 0.000804 0.0007448 0.0007822 0.0008278 0.0008093 0.00080165 0.00079605 0.0008021 0.00079565 0.00063995 0.000813 0.00062655 0.0008309 0.00085435
7 0.00083225 0.0008274 0.0008337 0.000835 0.0008445 0.0008104 0.00078835 0.0007773 0.00074775 0.00079235 0.00081955 0.000826 0.00080435 0.0008127 0.00079625 0.00055625 0.0007848 0.00082065 0.00080175 0.00084365 0.00081385 0.00081905 0.0007881 0.000722 0.00079015 0.00077725 0.0008333 0.00081265 0.00078825 0.0007989 0.0008012 0.0008211 0.00082145 0.0007777 0.00083555 0.00079025 0.00077365 0.0007958 0.00074585 0.0007704 0.00078575 0.0008328 0.00081415 0.00080665 0.0007862 0.0007827 0.0008153 0.00081215 0.00082465 0.00079305 0.0008013 0.00080855 0.00083945 0.00083185 0.0008037 0.000822 0.000746 0.00076745 0.00076955 0.00078665 0.00080295 0.00080715 0.0008093 0.00081765 0.0007829 0.00077935 0.00086515 0.00075235 0.0005918 0.00081155 0.0007696 0.00080595 0.0007688 0.00081215 0.00083295 0.00084025 0.00083375 0.00080075 0.0008051 0.00081995 0.00083685 0.0008054 0.0005726 0.00081465 0.00078725 0.00078645 0.00080535 0.0008073 0.0007858 0.00081915 0.00079235 0.0007299 0.00078075 0.00082745 0.00082395 0.000789 0.0007944 0.0007757 0.0008023 0.0008235 0.00079075
8 0.00081695 0.00079355 0.00085785 0.00085725 0.0008268 0.0008328 0.00077045 0.00074775 0.0007732 0.00082725 0.0008338 0.00078785 0.0007825 0.0008138 0.00081165 0.00072005 0.000831 0.00080545 0.00075275 0.00082755 0.00082185 0.00083725 0.0008258 0.000783 0.00082 0.0007924 0.0008653 0.0008759 0.00072245 0.00078715 0.0008296 0.00087225 0.00083215 0.0008392 0.00081265 0.0008384 0.00081455 0.00081895 0.0008062 0.0008194 0.0005454 0.00080485 0.00081885 0.00078635 0.0007452 0.00062685 0.00084595 0.0008333 0.0008906 0.0008051 0.0007973 0.0008059 0.0008776 0.0007489 0.0007831 0.00086205 0.000825 0.00078195 0.00079825 0.0008274 0.00083605 0.00079785 0.0007716 0.0008243 0.00062705 0.0008392 0.0008734 0.0007758 0.0008322 0.0008334 0.00078465 0.00078515 0.0007188 0.00085885 0.00083745 0.00085265 0.0008204 0.00083545 0.0008272 0.00079825 0.000826 0.0008272 0.00070915 0.0008258 0.00078575 0.0008245 0.0008384 0.000857 0.0005453 0.00077205 0.00080695 0.00082815 0.00079825 0.00080875 0.00086235 0.00082625 0.00082355 0.00078835 0.0007881 0.00082335 0.00083535
9 0.00083405 0.00083855 0.00082765 0.00086655 0.00087675 0.0008262 0.0008231 0.00079235 0.00082725 0.0008585 0.0008622 0.00086075 0.00081805 0.00085615 0.00082205 0.00081975 0.0008434 0.00084255 0.0008311 0.00085495 0.0008512 0.00087365 0.0008635 0.0008147 0.0008552 0.0008507 0.00087865 0.00056485 0.00083995 0.00084705 0.00086735 0.0008761 0.0008881 0.00076375 0.00085065 0.0008311 0.0008417 0.00085905 0.0008487 0.00087575 0.00080215 0.0008633 0.00083315 0.0008398 0.0008019 0.00074775 0.00085095 0.00083175 0.0007618 0.00085505 0.0008038 0.0008772 0.00086115 0.00082985 0.0008335 0.0007636 0.0008334 0.00082035 0.00083815 0.0008538 0.00074265 0.0008511 0.00086265 0.00085155 0.00074795 0.00085705 0.00090605 0.00086295 0.00082885 0.00083175 0.00086415 0.0007544 0.00082665 0.00084945 0.0008246 0.00083645 0.0008779 0.0008403 0.0008562 0.0008215 0.0008703 0.0008603 0.0008163 0.0008884 0.00081575 0.0008497 0.0008688 0.00085865 0.0008022 0.00084145 0.00080765 0.0008471 0.0008384 0.00081595 0.0008456 0.0008332 0.0008113 0.00081265 0.00084275 0.0008375 0.000788
