 slim_337495408 slim_337495344 slim_337495405 slim_337495365 slim_337495416 slim_337495421 slim_337495339 slim_337495347 slim_337495431 slim_337495471 slim_337495545 slim_337495457 slim_337495528 slim_337495517 slim_337495525 slim_337495549 slim_337495508 slim_337495543 slim_337495527 slim_337495503 slim_337495513 slim_337495563 slim_337495532 slim_337495544 slim_337495505 slim_337495526 slim_337495501 slim_337495571 slim_337495446 slim_337495524 slim_337495546 slim_337495441 slim_337495708 slim_337495654 slim_337495659 slim_337495698 slim_337495603 slim_337495594 slim_337495613 slim_337495634 slim_337495655 slim_337495702 slim_337495576 slim_337495692 slim_337495647 slim_337495645 slim_337495632 slim_337495686 slim_337495625 slim_337495626 slim_337495693 slim_337495695 slim_337495616 slim_337495667 slim_337495604 slim_337495644 slim_337495648 slim_337495691 slim_337495628 slim_337495669 slim_337495680 slim_337495685 slim_337495663 slim_337495583 slim_337495712 slim_337495709 slim_337495623 slim_337495699 slim_337495607 slim_337495713 slim_337495631 slim_337495637 slim_337495590 slim_337495711 slim_337495640 slim_337495674 slim_337495627 slim_337495704 slim_337495705 slim_337495600 slim_337495675 slim_337495707 slim_337495619 slim_337495666 slim_337495605 slim_337495696 slim_337495706 slim_337495688 slim_337495689 slim_337495690 slim_337495701 slim_337495684 slim_337495589 slim_337495682 slim_337495678 slim_337495715 slim_337495646 slim_337495633 slim_337495577 slim_337495662 slim_337495636 slim_337495683 slim_337495638 slim_337495672 slim_337495703 slim_337495614
0 0.0009552 0.00083585 0.00080105 0.00082655 0.0008053 0.00086815 0.00083835 0.00081295 0.0008645 0.00085965 0.00084675 0.0008453 0.00083825 0.0008624 0.00083945 0.0008454 0.00086515 0.0008292 0.000702 0.0008305 0.00084535 0.00082935 0.0008297 0.0008389 0.00087955 0.0008611 0.0008444 0.00086045 0.00087915 0.0008611 0.0008639 0.0008412 0.0008665 0.00082345 0.00083955 0.00082795 0.00082995 0.0008347 0.00084625 0.0008094 0.0008813 0.00085135 0.00080745 0.0008332 0.0008001 0.00081505 0.00089 0.0008587 0.00081485 0.00085005 0.0008893 0.00085875 0.0008894 0.00085705 0.0008575 0.00084665 0.00082085 0.0008531 0.00081855 0.0008472 0.0008148 0.0008058 0.0008106 0.00090705 0.0008558 0.000871 0.00084435 0.0008611 0.00085075 0.00080305 0.0008224 0.00085085 0.0008221 0.0008292 0.00081565 0.0008565 0.00081995 0.00083565 0.00088365 0.000857 0.0008625 0.00085005 0.0008403 0.00084905 0.00085465 0.00081535 0.00082 0.0008006 0.00082835 0.00082595 0.0008338 0.000886 0.00081275 0.0008277 0.0006477 0.00083275 0.00066935 0.000846 0.0006364 0.00083275 0.0008169 0.0008485 0.00081355 0.0008616 0.0008623 0.0008411
1 0.00083585 0.0009284 0.00084515 0.00084795 0.00082635 0.00088215 0.00083675 0.0008853 0.0008943 0.00088745 0.00085775 0.0008152 0.0008417 0.0008485 0.000881 0.0008153 0.0006427 0.0008464 0.0008693 0.00072685 0.00079085 0.0008314 0.00083115 0.0006567 0.0006863 0.000824 0.0008261 0.00082395 0.0008831 0.0008578 0.00089925 0.00074325 0.0008956 0.0008326 0.0008621 0.0008392 0.00085265 0.0008667 0.00085055 0.00085745 0.0008632 0.0008566 0.00085115 0.00072775 0.00065295 0.0008569 0.00087295 0.0008483 0.00084395 0.00083995 0.0008538 0.00083625 0.0008934 0.0008699 0.00086815 0.00085025 0.00086155 0.00084165 0.0008342 0.00068215 0.0008472 0.0008247 0.00085725 0.000892 0.00077965 0.0007134 0.0008716 0.000824 0.00086755 0.00067265 0.00078585 0.0006497 0.0008524 0.000846 0.00081455 0.00065865 0.00066405 0.00062965 0.00046435 0.00068745 0.00087915 0.00083995 0.00083125 0.00084545 0.00090975 0.0008742 0.0008191 0.00083605 0.000831 0.00086435 0.00084205 0.0006514 0.0008781 0.0008577 0.0008367 0.00085095 0.00081855 0.0008537 0.0008346 0.0007087 0.00084915 0.00083685 0.0008385 0.0007828 0.00086295 0.00073765
2 0.00080105 0.00084515 0.0006362 0.00058885 0.00082575 0.0008155 0.0007936 0.0008317 0.0008586 0.00084845 0.0008123 0.00082345 0.0008389 0.0008256 0.00087475 0.00082355 0.0008565 0.0008561 0.0008443 0.0008749 0.0007134 0.00084425 0.0008279 0.0008741 0.00086805 0.00083165 0.00082185 0.0008477 0.0008739 0.00086765 0.0007337 0.0007954 0.00088615 0.00085565 0.000836 0.0008474 0.00088085 0.00087055 0.00079965 0.00062975 0.0008654 0.0008164 0.0008233 0.0007874 0.00083295 0.00087365 0.00091265 0.00072505 0.00085665 0.00087685 0.00088515 0.0008499 0.00087565 0.00084245 0.0008528 0.0007335 0.00082795 0.0008328 0.00085775 0.00083685 0.0008105 0.00084275 0.00084305 0.0008945 0.00081275 0.0008798 0.0008771 0.00083165 0.00087655 0.00086945 0.00077645 0.00085445 0.0008717 0.0005648 0.0008213 0.0008341 0.0008709 0.00088005 0.00088065 0.00085805 0.00081065 0.00087685 0.0008203 0.000794 0.0008402 0.0008309 0.00086215 0.00081535 0.0006079 0.00081 0.0008083 0.00088925 0.0008803 0.00087035 0.0008629 0.0008645 0.00082465 0.0008618 0.0008355 0.00089585 0.0008631 0.00085145 0.00080425 0.00081775 0.00083625 0.00084635
3 0.00082655 0.00084795 0.00058885 0.0008477 0.0007961 0.0008437 0.00085835 0.0008269 0.00086275 0.00088635 0.00082415 0.00079885 0.00083625 0.0008261 0.00087845 0.00079895 0.00085315 0.00085255 0.0008594 0.00085205 0.0007534 0.0008639 0.0008576 0.00083835 0.0008675 0.0008461 0.0008541 0.0008521 0.00089 0.00087005 0.0007988 0.00081525 0.00087615 0.0008136 0.00083315 0.000859 0.00086605 0.00083835 0.000828 0.00061155 0.00089045 0.00081375 0.0008079 0.00077835 0.00085875 0.00087775 0.0009034 0.0007751 0.00081285 0.0008806 0.00086865 0.0008383 0.00088235 0.0008605 0.0008902 0.0007746 0.00086945 0.000873 0.00083745 0.0008497 0.00083175 0.0008616 0.000888 0.00089555 0.0008378 0.00087645 0.00067095 0.0008461 0.0008805 0.00085845 0.0007942 0.00084265 0.0008632 0.00077705 0.0008378 0.0008537 0.00085225 0.0008457 0.0008422 0.00089015 0.0008477 0.0008806 0.00083605 0.0008319 0.00084665 0.0008162 0.0008324 0.0008161 0.00066075 0.00082185 0.0008465 0.00087 0.00086805 0.00085605 0.0008439 0.0008574 0.0008177 0.00085935 0.00086915 0.00086165 0.00087295 0.0008766 0.0007828 0.00083395 0.00085185 0.00083775
4 0.0008053 0.00082635 0.00082575 0.0007961 0.0008531 0.00084395 0.0008619 0.0008621 0.0008966 0.00087335 0.0008267 0.00061525 0.0007768 0.00079595 0.0008547 0.00061535 0.0008652 0.0006817 0.00086005 0.0008103 0.0008705 0.00085195 0.000819 0.00063885 0.0008584 0.00080905 0.00081915 0.0008417 0.00084875 0.00080915 0.00082785 0.00084075 0.00088425 0.00067095 0.00073315 0.00078505 0.0008609 0.0006568 0.0007733 0.0008177 0.00082715 0.00078495 0.00079045 0.00069235 0.00081315 0.0008069 0.0008444 0.000807 0.0006345 0.00084535 0.0008269 0.000835 0.00087955 0.00082265 0.00090425 0.0008119 0.000855 0.00084795 0.00081805 0.00079545 0.00084835 0.0008227 0.0008749 0.00089555 0.00083065 0.00084665 0.00080695 0.00080905 0.00084285 0.0008162 0.00063185 0.00080995 0.00081085 0.0007997 0.00081505 0.00088075 0.00072045 0.00073005 0.0008511 0.00085655 0.00078795 0.00084535 0.0007692 0.0008007 0.00087135 0.00077455 0.00069565 0.00071465 0.00083725 0.00082905 0.0008448 0.00085875 0.0008379 0.00080075 0.00081265 0.00082215 0.0007838 0.00082935 0.00081705 0.0008372 0.0007993 0.0008676 0.00063055 0.0008868 0.00083995 0.0008398
5 0.00086815 0.00088215 0.0008155 0.0008437 0.00084395 0.000874 0.00082495 0.00079735 0.00063905 0.0008617 0.000437 0.00084015 0.0008484 0.00065425 0.00083615 0.00084025 0.00085205 0.0008463 0.0008525 0.0008565 0.00083755 0.0008143 0.00084035 0.0008921 0.0008922 0.0008613 0.00081435 0.00083495 0.00087645 0.00087075 0.00082835 0.0008472 0.0008631 0.0008113 0.00081765 0.00084495 0.0007998 0.0008587 0.0006335 0.0008054 0.0008679 0.0006327 0.00080075 0.0008311 0.00084445 0.0008505 0.00087715 0.0008252 0.00080505 0.00087175 0.00089095 0.0006542 0.0008482 0.00086985 0.0008302 0.0008257 0.00083015 0.0008145 0.00083145 0.00087575 0.0007803 0.0008635 0.00083185 0.0008922 0.00083125 0.0009073 0.00084745 0.0008613 0.0008614 0.00083 0.0008124 0.00086825 0.0008465 0.00082315 0.00084595 0.0008523 0.00088335 0.00087535 0.00090545 0.0008678 0.00062965 0.00087175 0.0008453 0.00064405 0.00081655 0.00078595 0.00083685 0.00078595 0.0008598 0.0006376 0.00082975 0.00090965 0.00080815 0.0008155 0.00081735 0.000826 0.00083215 0.00084525 0.00083145 0.0008612 0.00083245 0.0008239 0.00085465 0.00063875 0.0006489 0.0008479
6 0.00083835 0.00083675 0.0007936 0.00085835 0.0008619 0.00082495 0.0006622 0.00085575 0.00086635 0.0007747 0.00082305 0.00084825 0.0008306 0.00083 0.00085035 0.00084835 0.0007956 0.0007563 0.00076015 0.00085105 0.0008383 0.0007512 0.0005855 0.0009046 0.0008875 0.00059225 0.0007261 0.00075765 0.00077985 0.00074295 0.00081455 0.00059145 0.0008105 0.00084655 0.00076875 0.00079335 0.00075405 0.00089595 0.00079835 0.000852 0.0007988 0.0008013 0.00078575 0.00085825 0.0007924 0.00083995 0.0007404 0.0008052 0.0008447 0.0008136 0.0007926 0.00084625 0.0008088 0.00083395 0.0005383 0.0007872 0.000834 0.000695 0.0006899 0.0008478 0.00073735 0.00069295 0.00058575 0.00074065 0.0008341 0.00081365 0.00087935 0.00059225 0.00078075 0.00078965 0.00066755 0.00084145 0.000818 0.00076455 0.0006927 0.00063015 0.0008582 0.00086985 0.00092895 0.00081065 0.0008087 0.0008136 0.0008058 0.000569 0.0007535 0.00086075 0.0008033 0.0008279 0.0008038 0.0008349 0.0005764 0.00085815 0.0008246 0.0008179 0.0008301 0.00058285 0.00081785 0.00082715 0.00084855 0.00087575 0.000837 0.00074645 0.000838 0.0008505 0.0008325 0.0008426
7 0.00081295 0.0008853 0.0008317 0.0008269 0.0008621 0.00079735 0.00085575 0.0008612 0.0006442 0.00086465 0.00078885 0.00086435 0.00075705 0.00081275 0.00088505 0.00086445 0.00089665 0.0008687 0.00086405 0.00090205 0.0008554 0.00089225 0.00088005 0.0009029 0.0008819 0.0008585 0.00080945 0.0008704 0.00085705 0.00087215 0.00084085 0.0008421 0.0006589 0.00088105 0.0007742 0.0008985 0.00088095 0.00075845 0.0007517 0.00061755 0.0008576 0.00078035 0.0006502 0.0008544 0.00088095 0.00080195 0.00088625 0.00080985 0.00087495 0.00091005 0.00088835 0.0008552 0.00089775 0.00079995 0.00088145 0.0008547 0.0008824 0.0008396 0.0008512 0.000802 0.0006464 0.0008299 0.0008655 0.0008962 0.0008321 0.0008671 0.0008728 0.0008585 0.0009048 0.0008697 0.00086255 0.0008891 0.00083565 0.0008063 0.0008625 0.00090275 0.0008471 0.00088935 0.00093145 0.0008938 0.0007821 0.00091005 0.0007622 0.0007921 0.0006631 0.0005264 0.0008308 0.0007918 0.0008411 0.00078425 0.0008206 0.0009146 0.0008573 0.00082855 0.0008664 0.0008689 0.0008259 0.0008318 0.00086355 0.0008735 0.0008169 0.00084425 0.00085085 0.0008475 0.00080795 0.0008771
8 0.0008645 0.0008943 0.0008586 0.00086275 0.0008966 0.00063905 0.00086635 0.0006442 0.0008431 0.00087615 0.0006737 0.00086905 0.0007995 0.00086015 0.00088645 0.00086915 0.0008909 0.0008752 0.00085145 0.00087575 0.0008612 0.0008413 0.00085475 0.00092615 0.0008982 0.0008698 0.0008224 0.00085605 0.00086545 0.00086355 0.0008638 0.00086205 0.0006671 0.00087545 0.00088575 0.00083995 0.00086305 0.0007546 0.0008264 0.0008717 0.0008771 0.0008515 0.00084745 0.0008609 0.00084475 0.00082725 0.000891 0.00083655 0.0008761 0.0008698 0.00088835 0.0006775 0.0009007 0.00083775 0.00087655 0.0008455 0.000837 0.0008102 0.00086875 0.00087175 0.00085775 0.0008665 0.0008626 0.0008948 0.0008461 0.00092985 0.00085845 0.0008698 0.00087335 0.000864 0.00087875 0.00087395 0.0008572 0.00083415 0.00084955 0.0008955 0.00092145 0.0009147 0.0009335 0.00088285 0.00085265 0.0008698 0.00080445 0.00086595 0.0008759 0.0006167 0.0008713 0.00084645 0.0008721 0.0008089 0.00083485 0.00091955 0.0008423 0.00083715 0.00084545 0.0008741 0.00083305 0.0008414 0.00083185 0.0009124 0.0008169 0.0008311 0.00090445 0.00063265 0.0006172 0.00086525
9 0.00085965 0.00088745 0.00084845 0.00088635 0.00087335 0.0008617 0.0007747 0.00086465 0.00087615 0.0008514 0.00088385 0.0008677 0.00087295 0.00085065 0.0008471 0.0008678 0.0008616 0.0008629 0.0008383 0.0008758 0.000841 0.0008389 0.0008137 0.0009091 0.0009 0.00078715 0.0008222 0.00081205 0.0006733 0.0006429 0.0008362 0.00078185 0.0006513 0.00082275 0.00062985 0.0007846 0.0007593 0.0008934 0.0008607 0.0008757 0.00071425 0.0008498 0.00082825 0.00086805 0.0008648 0.0008517 0.00049355 0.0008622 0.000815 0.0007497 0.00067075 0.0008873 0.0007 0.00086935 0.0006629 0.0008243 0.00066655 0.00083165 0.00075 0.000893 0.0008116 0.00079685 0.00083925 0.0007088 0.00084135 0.0006689 0.00091115 0.00078715 0.0006667 0.00078885 0.00087285 0.00087575 0.00085065 0.0008549 0.000826 0.00089135 0.00082165 0.0008423 0.00095305 0.00083025 0.000842 0.0007497 0.0008829 0.00078365 0.0008396 0.00085105 0.000792 0.00087055 0.00073175 0.00087725 0.0008605 0.00077255 0.00073945 0.00081135 0.000803 0.00073785 0.0008591 0.00084265 0.0008935 0.0008301 0.0009062 0.0008012 0.00087145 0.0008612 0.000884 0.00089575
