 slim_337485572 slim_337487821 slim_337487894 slim_337487905 slim_337487829 slim_337487845 slim_337487850 slim_337487909 slim_337488041 slim_337487974 slim_337488021 slim_337487993 slim_337488007 slim_337488001 slim_337487997 slim_337487908 slim_337487954 slim_337488029 slim_337488026 slim_337487986 slim_337487981 slim_337488037 slim_337487995 slim_337488038 slim_337487872 slim_337487944 slim_337488025 slim_337488028 slim_337487961 slim_337488040 slim_337487966 slim_337487947 slim_337487970 slim_337488047 slim_337488116 slim_337488105 slim_337488132 slim_337488156 slim_337488174 slim_337488082 slim_337488152 slim_337488135 slim_337488168 slim_337488049 slim_337488142 slim_337488108 slim_337488151 slim_337488123 slim_337488075 slim_337488179 slim_337488128 slim_337488167 slim_337488107 slim_337488178 slim_337488099 slim_337488164 slim_337488163 slim_337488131 slim_337488165 slim_337488176 slim_337488138 slim_337488172 slim_337488166 slim_337488159 slim_337488050 slim_337488133 slim_337488160 slim_337488113 slim_337488150 slim_337488048 slim_337488100 slim_337488136 slim_337488088 slim_337488068 slim_337488158 slim_337488143 slim_337488060 slim_337488064 slim_337488101 slim_337488103 slim_337488070 slim_337488106 slim_337488119 slim_337488157 slim_337488055 slim_337488115 slim_337488139 slim_337488141 slim_337488146 slim_337488124 slim_337488162 slim_337488155 slim_337488083 slim_337488089 slim_337488173 slim_337488154 slim_337488094 slim_337488095 slim_337488130 slim_337488063 slim_337488145 slim_337488044
0 0.0008516 0.0008858 0.0009011 0.00086655 0.00088575 0.0008969 0.00086865 0.0009334 0.00089635 0.0008317 0.00084365 0.00079405 0.00065885 0.00087155 0.000878 0.0008716 0.00092535 0.00081935 0.0008998 0.00081425 0.00091315 0.00085985 0.0009094 0.00091535 0.00087985 0.0009025 0.0008526 0.00085345 0.00086865 0.0009046 0.00078845 0.0008637 0.0008838 0.0008433 0.0008471 0.000848 0.00088055 0.00088065 0.0008296 0.00089775 0.00085105 0.00086655 0.00087895 0.0008847 0.00091475 0.00088505 0.0008371 0.0008672 0.0008943 0.0008728 0.00087855 0.00067565 0.0007485 0.0009083 0.0008958 0.00083725 0.000869 0.00085065 0.0009155 0.00083985 0.00090685 0.00082225 0.0008303 0.0007664 0.0008727 0.00084845 0.0008483 0.00071875 0.00075885 0.00088025 0.00066505 0.0008779 0.0008978 0.00085995 0.0006607 0.00084215 0.00086725 0.0008649 0.0008847 0.0008648 0.00065665 0.00088305 0.0008259 0.0009021 0.00087215 0.000877 0.00087815 0.0009047 0.00089315 0.00075105 0.0008865 0.00087915 0.0008391 0.00085155 0.0008619 0.0008194 0.0008821 0.00088695 0.000892 0.00083675 0.00089105 0.00090895
1 0.0008858 0.0008391 0.00086135 0.00090515 0.00086405 0.00091665 0.0009323 0.00087055 0.0007742 0.0009169 0.0009289 0.00087475 0.0008515 0.00090965 0.0008203 0.0009017 0.00087625 0.00089175 0.0006454 0.000886 0.00082285 0.00090925 0.00091185 0.00092585 0.0008948 0.00079995 0.00086195 0.0009115 0.00091225 0.00089095 0.000837 0.0008625 0.0008758 0.00080355 0.00090025 0.00092235 0.00088335 0.0009197 0.0008903 0.0008682 0.0008702 0.0008912 0.0008536 0.00082345 0.00084235 0.0008698 0.00086315 0.0008619 0.0008739 0.00088565 0.0008895 0.0008656 0.0008587 0.00089605 0.00086775 0.0008932 0.000679 0.0008421 0.0008564 0.00092725 0.0008718 0.00092895 0.0008922 0.00086015 0.00090895 0.00066915 0.0009181 0.0009158 0.00089425 0.00094725 0.00089425 0.00090625 0.0008281 0.0008307 0.00090225 0.0009333 0.0008548 0.0008665 0.00085575 0.00092075 0.0009214 0.00090175 0.000878 0.0008533 0.0008758 0.00089145 0.0008359 0.00089105 0.00085105 0.000917 0.0008722 0.000908 0.0009118 0.00087465 0.00081405 0.00092025 0.00087805 0.00081005 0.0008499 0.00067785 0.00091395 0.00094705
2 0.0009011 0.00086135 0.0007908 0.00078375 0.0008457 0.0008655 0.0009643 0.000874 0.00084025 0.000863 0.00086985 0.00086745 0.00090945 0.00088425 0.00083035 0.00074995 0.00089265 0.0008831 0.0008361 0.00086035 0.000856 0.00081185 0.0007305 0.00086525 0.0007826 0.00086975 0.00089675 0.0009356 0.00088605 0.00072335 0.0008672 0.0008838 0.0009014 0.0005798 0.0008416 0.0009397 0.0008268 0.0008619 0.00086475 0.0007888 0.0006515 0.00086385 0.00088245 0.00088345 0.000861 0.0008317 0.00085195 0.0009281 0.0005607 0.00091945 0.0008582 0.00088295 0.0009135 0.0008298 0.000856 0.00085255 0.00087665 0.00075845 0.00085835 0.0009106 0.0005897 0.00091095 0.00086395 0.00088295 0.00079455 0.00085215 0.00083595 0.0009304 0.00088425 0.00095075 0.0008978 0.0009071 0.00088735 0.00074415 0.0008678 0.00092745 0.00084945 0.00083725 0.00087075 0.0008963 0.00082275 0.00088985 0.0006386 0.00084145 0.00082505 0.00084095 0.0008722 0.00072345 0.00078435 0.000931 0.0008707 0.00080415 0.0009045 0.00090085 0.0008267 0.0009057 0.0008587 0.00086075 0.00078315 0.0008761 0.0009062 0.00090305
3 0.00086655 0.00090515 0.00078375 0.000857 0.0008931 0.00085875 0.0008928 0.0009056 0.00087575 0.0009242 0.00091925 0.0009109 0.00089775 0.00091335 0.000871 0.0008123 0.0008943 0.00086935 0.0008717 0.00083685 0.0008791 0.0008619 0.000909 0.0009282 0.00088 0.00087905 0.0008725 0.00090295 0.00075485 0.00089545 0.00088905 0.0008884 0.00089165 0.00081405 0.0007009 0.00084935 0.00073435 0.0004774 0.0008669 0.0008509 0.0007948 0.00071225 0.0006716 0.00088035 0.0008856 0.0008949 0.00089215 0.00090085 0.0008287 0.00090735 0.00068305 0.00088875 0.00088515 0.0009228 0.0006627 0.00085145 0.0008779 0.0008703 0.00093465 0.00089315 0.0008807 0.00064755 0.0008329 0.00086725 0.00087075 0.00083455 0.0008952 0.00088905 0.0008931 0.00089595 0.0008775 0.00071405 0.00089445 0.0008855 0.00075215 0.00086815 0.00088745 0.00083425 0.00070565 0.0008723 0.00087395 0.0009196 0.00087115 0.00094305 0.00085585 0.00091165 0.000867 0.00089555 0.00087335 0.0008993 0.00091815 0.0008841 0.00087485 0.00088145 0.0008749 0.00087875 0.0007013 0.0008941 0.00087165 0.0008677 0.0008841 0.0008917
4 0.00088575 0.00086405 0.0008457 0.0008931 0.0008877 0.00086485 0.00087775 0.0008852 0.0008262 0.0008795 0.00089295 0.0008999 0.000898 0.00071465 0.0006768 0.00086955 0.00090595 0.0006657 0.00086115 0.0009004 0.00086035 0.00089425 0.00085695 0.0009066 0.0006928 0.00081055 0.0008944 0.00086855 0.0008672 0.00084135 0.00083285 0.0008831 0.0008394 0.00082775 0.00086065 0.00091615 0.00071415 0.0008708 0.00088825 0.00086295 0.0008826 0.00088135 0.0008847 0.0008342 0.0008409 0.0008768 0.000865 0.00087505 0.0008473 0.0008639 0.00088415 0.00086255 0.00084765 0.00087765 0.0008493 0.0006697 0.0008598 0.00084385 0.00088855 0.0009029 0.0008644 0.00088175 0.0007301 0.00085165 0.00086005 0.0008983 0.0008715 0.0008861 0.00087145 0.0008945 0.00088065 0.0008775 0.0008762 0.00084255 0.00089055 0.00087435 0.00070085 0.0008786 0.0008252 0.0008779 0.0008822 0.0008996 0.00089405 0.000895 0.0008706 0.0007502 0.00087355 0.00084145 0.0008452 0.00087055 0.0007464 0.0008582 0.00088815 0.000855 0.00084705 0.00085855 0.0008569 0.00085135 0.0008443 0.0008754 0.0008629 0.00086665
5 0.0008969 0.00091665 0.0008655 0.00085875 0.00086485 0.0008855 0.0008694 0.0008275 0.0008556 0.00088475 0.0007862 0.0008693 0.00090335 0.0008017 0.00084145 0.0008469 0.0007698 0.0008211 0.00090275 0.0008664 0.0008886 0.00087085 0.0008788 0.0008547 0.00085235 0.00081645 0.00089815 0.00085005 0.0008193 0.0008716 0.00087105 0.00069465 0.00081635 0.00086365 0.0008841 0.00089515 0.0008313 0.0008812 0.00085045 0.00088865 0.00085875 0.00084395 0.00089075 0.0008308 0.00087265 0.0008066 0.0008969 0.00085215 0.0008532 0.00086135 0.0006673 0.00086775 0.00082805 0.00084965 0.0008552 0.00087405 0.0008466 0.00087505 0.00084935 0.00086865 0.0008164 0.0008424 0.0008444 0.000881 0.00086665 0.00087245 0.00083845 0.00085365 0.0008968 0.00091065 0.0009177 0.00089925 0.0009081 0.0008764 0.0008709 0.00086255 0.0008637 0.0008807 0.0008235 0.00084845 0.00088155 0.00091515 0.00086375 0.0008353 0.00075845 0.00082155 0.00083145 0.0008717 0.00085425 0.0008604 0.0007919 0.0008803 0.0008963 0.00080965 0.0008634 0.0008556 0.0008958 0.0008792 0.0008531 0.0008399 0.0008799 0.00078585
6 0.00086865 0.0009323 0.0009643 0.0008928 0.00087775 0.0008694 0.0007246 0.0009366 0.00093705 0.00088345 0.00066195 0.0008389 0.00092125 0.00067585 0.00092305 0.0009108 0.00096285 0.0006883 0.00091355 0.0009231 0.0009159 0.0009397 0.00094585 0.0009588 0.000909 0.0008285 0.0008669 0.0006455 0.0006198 0.0009413 0.00090695 0.0007758 0.0006787 0.0009375 0.00091685 0.0006295 0.00096205 0.00092365 0.00088895 0.00087945 0.00092795 0.00089795 0.00091805 0.00074925 0.0009487 0.0009426 0.00091505 0.0006408 0.00092675 0.00065725 0.00087325 0.00095935 0.00069455 0.0008809 0.0009562 0.0008649 0.0006437 0.00091195 0.00097875 0.00067485 0.00090945 0.00068975 0.00090285 0.00087115 0.00089055 0.000911 0.0007223 0.0006591 0.00087165 0.000534 0.0009129 0.00064875 0.00091045 0.0009488 0.00090065 0.0006016 0.00091765 0.00084005 0.00082755 0.00063815 0.00090885 0.0009081 0.00093605 0.00088925 0.0009612 0.0008508 0.0009056 0.0009414 0.0009176 0.0006094 0.0006856 0.00089805 0.00087185 0.00072845 0.00094325 0.00062375 0.00091835 0.0009337 0.00091575 0.00069345 0.0006533 0.00065855
7 0.0009334 0.00087055 0.000874 0.0009056 0.0008852 0.0008275 0.0009366 0.000875 0.00085545 0.00091575 0.0008947 0.0009007 0.0006847 0.00085295 0.00084445 0.0008235 0.0006483 0.00089335 0.00087425 0.000864 0.00089695 0.000864 0.00085795 0.0008791 0.0008365 0.0008523 0.00068835 0.0008779 0.00089395 0.0008809 0.0008573 0.00086645 0.0008975 0.00083235 0.00089415 0.0009011 0.0008194 0.0008707 0.00088965 0.00090245 0.00084805 0.00086005 0.0006577 0.00087785 0.0008865 0.00071745 0.00090185 0.0006804 0.0008577 0.0008903 0.0008424 0.00090205 0.0008837 0.00087975 0.00087505 0.00089885 0.0008854 0.00083105 0.0008514 0.00092645 0.0008517 0.00090315 0.00084255 0.0008892 0.00087325 0.00085 0.00090225 0.0009212 0.00089495 0.0009276 0.0009162 0.0009033 0.00066905 0.0008494 0.0008987 0.0009204 0.00085615 0.00090825 0.0008526 0.0009124 0.0009013 0.00087875 0.00089265 0.00064825 0.0008395 0.00083685 0.000855 0.000881 0.00086455 0.00091855 0.0008634 0.0008577 0.0008861 0.0009002 0.00086585 0.00092615 0.000878 0.0008686 0.0008633 0.0008881 0.00090675 0.0006803
8 0.00089635 0.0007742 0.00084025 0.00087575 0.0008262 0.0008556 0.00093705 0.00085545 3e-07 0.00087595 0.0008858 0.00087775 0.000876 0.0008631 0.0003857 0.0008398 0.0008626 0.00086405 0.0008154 0.00092315 0.0004322 0.0008913 0.0008171 0.00090085 0.00078155 0.0004279 0.0008743 0.00077105 0.0008438 0.00079445 0.00075345 0.00086385 0.00087705 0.00085875 0.0008638 0.00094195 0.00085595 0.0009276 0.0008409 0.0008529 0.00092015 0.000893 0.0008853 0.00044995 0.0008372 0.000906 0.0007233 0.0008769 0.0008466 0.0007722 0.0008813 0.00087635 0.0008953 0.0008356 0.0008857 0.00085185 0.0008554 0.0008 0.00045065 0.00091915 0.00086025 0.00094925 0.00085575 0.0008831 0.00073 0.0008604 0.0008963 0.00091005 0.00076835 0.00086335 0.00088995 0.00093015 0.0008367 0.00082515 0.0008433 0.000922 0.0006987 0.000843 0.0008861 0.00091115 0.0008611 0.0007496 0.000918 0.00082165 0.00085985 0.0007896 0.00043085 0.00079455 0.0004011 0.00090025 0.000882 0.0007295 0.0007687 0.0008869 0.00045305 0.00087055 0.0008834 0.0003177 0.00039675 0.00086525 0.000879 0.00090955
9 0.0008317 0.0009169 0.000863 0.0009242 0.0008795 0.00088475 0.00088345 0.00091575 0.00087595 0.0009992 0.00088485 0.0006699 0.0008811 0.0008837 0.0008569 0.00087865 0.00089465 0.000856 0.00090205 0.0008605 0.0008807 0.00087835 0.00087165 0.0008971 0.00086695 0.0008922 0.0008573 0.0008863 0.00089535 0.0008656 0.00086245 0.0009036 0.00088355 0.0008532 0.00089735 0.0008991 0.0008972 0.00092575 0.00090645 0.00086835 0.00087275 0.00092755 0.0009216 0.0008942 0.0008824 0.00086685 0.00088225 0.0008965 0.000857 0.0008903 0.00090845 0.00086835 0.00084195 0.00089975 0.0009089 0.0008317 0.00090335 0.00088595 0.00089545 0.0008755 0.0008799 0.0008891 0.00087365 0.00081765 0.00088405 0.0009191 0.0008481 0.0008521 0.00087275 0.0008879 0.0008618 0.0008972 0.000895 0.0008615 0.00088035 0.0008443 0.00086505 0.0008592 0.00090705 0.0008758 0.0008628 0.00089805 0.00066795 0.00091905 0.00087255 0.0008988 0.00090835 0.0008657 0.0008796 0.0008668 0.00090565 0.00089325 0.00084735 0.0008689 0.0008437 0.0008858 0.0008904 0.00088685 0.00087705 0.0008887 0.0008543 0.0008979
