 slim_337487445 slim_337487666 slim_337487528 slim_337487652 slim_337487591 slim_337487715 slim_337487697 slim_337487716 slim_337487661 slim_337487662 slim_337487558 slim_337487589 slim_337487616 slim_337487724 slim_337487696 slim_337487634 slim_337487706 slim_337487313 slim_337487440 slim_337487702 slim_337487690 slim_337487719 slim_337487709 slim_337487707 slim_337487624 slim_337487688 slim_337487064 slim_337487593 slim_337487693 slim_337487595 slim_337487564 slim_337487534 slim_337487712 slim_337487704 slim_337487725 slim_337487671 slim_337487633 slim_337487469 slim_337487600 slim_337487580 slim_337487651 slim_337487602 slim_337487419 slim_337487594 slim_337487601 slim_337487653 slim_337487658 slim_337487286 slim_337487409 slim_337487665 slim_337487683 slim_337487645 slim_337487620 slim_337487654 slim_337487642 slim_337487381 slim_337487500 slim_337487598 slim_337487710 slim_337487550 slim_337487723 slim_337487717 slim_337487578 slim_337487527 slim_337487721 slim_337487684 slim_337487703 slim_337487681 slim_337487261 slim_337487495 slim_337487648 slim_337487649 slim_337487720 slim_337487694 slim_337487680 slim_337487356 slim_337487643 slim_337487713 slim_337487677 slim_337487701 slim_337487617
0 0.0002753 0.0003524 0.00050605 0.00043235 0.00058525 0.0003697 0.00048725 0.0005454 0.000336 0.0002538 0.0008236 0.00054545 0.0001746 0.0005567 0.00022045 0.0002972 0.00029155 0.0002691 0.00076285 0.00043 0.00019375 0.00054565 0.00077245 0.00046945 0.0004322 0.0005966 0.0005571 0.00041355 0.0004295 0.0007726 0.00013825 0.00051775 0.0002119 0.00013835 0.0003697 0.00051215 0.000138 0.00033605 0.00059685 0.000254 0.00025615 0.0002539 0.0005873 0.0003093 0.00022035 0.00059675 0.00058525 0.0002145 0.0007722 0.00017505 0.0002571 0.0002904 0.00025395 0.0004299 0.0005453 0.00051775 0.00032735 0.0005946 0.00051805 0.0007608 0.00048075 0.00025415 0.00069125 0.00032755 0.00017485 0.0005454 0.0003693 0.00025405 0.00025365 0.0002539 0.00055365 0.00050845 0.00050915 0.0003093 0.00048105 0.00021465 0.00025385 0.00025405 0.0008122 0.00042995 0.0002718
1 0.0003524 0.0002093 0.00042675 0.00050995 0.00038445 0.000105 0.000512 0.0003532 0.00020895 0.00023385 0.0006692 0.00035525 0.00038465 0.0004045 0.0003383 0.00026045 0.00022805 0.0003823 0.0006055 0.0004881 0.0003654 0.0003515 0.0006374 0.00050285 0.00051015 0.00038705 0.00034755 0.00044865 0.00048425 0.00063895 0.00034195 0.000538 0.0004151 0.00034205 0.000105 0.0004543 0.00034195 0.000209 0.0003873 0.00022315 0.0004015 0.0002341 0.0005518 0.00024765 0.0003382 0.0003872 0.00038445 0.0003056 0.00063715 0.00037425 0.00035975 0.0002557 0.0002342 0.00048785 0.00034635 0.000538 0.0005221 0.00039365 0.0005383 0.0006345 0.00051595 0.0002233 0.0006461 0.0002969 0.0003846 0.0003552 0.0001049 0.00022355 0.00022325 0.0002234 0.00047305 0.00052 0.00041095 0.0002475 0.0005057 0.00030575 0.00022335 0.00022355 0.00066655 0.00046855 0.0002568
2 0.00050605 0.00042675 0.0007455 0.0005735 0.000524 0.0004693 0.00061715 0.00042725 0.00052335 0.00050415 0.0006792 0.0004212 0.000534 0.00040805 0.0005587 0.00052345 0.00042125 0.000469 0.00052115 0.0005184 0.000484 0.0004962 0.0005262 0.0005258 0.00057355 0.0005742 0.0005682 0.00055905 0.00045615 0.0005951 0.00047305 0.0006042 0.00049075 0.00047315 0.0004693 0.0005536 0.000473 0.0005234 0.00057445 0.000471 0.0005892 0.0005044 0.00060875 0.00048215 0.0005586 0.00057435 0.000524 0.0004562 0.00052595 0.00050105 0.00055325 0.00049905 0.0005045 0.00051815 0.00043725 0.0006042 0.00057645 0.0005503 0.0006045 0.0004757 0.0006091 0.00047115 0.0005022 0.000489 0.000534 0.00042115 0.0004689 0.00047125 0.00047085 0.0004711 0.0006167 0.0005926 0.00050075 0.00048215 0.00057625 0.0004562 0.00047105 0.00047125 0.00062895 0.0005012 0.0004845
3 0.00043235 0.00050995 0.0005735 0.0006784 0.0005437 0.00050695 0.0004738 0.00059975 0.00056545 0.0005156 0.00061455 0.0005867 0.0004544 0.00053485 0.0005746 0.00051355 0.0004419 0.00040755 0.0006141 0.0005526 0.00036845 0.00058525 0.00064055 0.0004602 0.00033955 0.0005607 0.00058055 0.0004934 0.0005955 0.00061805 0.0003401 0.0004995 0.00036 0.0003399 0.00050695 0.00065005 0.0003402 0.0005655 0.00056095 0.00042305 0.00051935 0.00051585 0.00054715 0.00045195 0.0005745 0.00056085 0.0005437 0.00050265 0.0006403 0.00036235 0.0005043 0.00044565 0.00051595 0.00055235 0.00063435 0.00049965 0.00040245 0.0005189 0.00049995 0.00062325 0.0005694 0.0004232 0.0005992 0.00044385 0.0004544 0.00058665 0.00050655 0.0004236 0.0004232 0.0004233 0.00053385 0.00041425 0.00065875 0.0004519 0.0004773 0.0005028 0.0004234 0.00042345 0.0005975 0.00050785 0.00044585
4 0.00058525 0.00038445 0.000524 0.0005437 0.0006112 0.0003058 0.0005413 0.0003828 0.0004125 0.00044855 0.00043715 0.00037785 0.00057195 0.0004014 0.0005556 0.0004612 0.00050085 0.00054055 0.00046545 0.0004643 0.00057105 0.000343 0.0004435 0.00044295 0.0005439 0.00037135 0.00040595 0.00053935 0.0005206 0.0003989 0.0005793 0.00049505 0.0005847 0.0005794 0.00030565 0.00045135 0.00057925 0.0004124 0.0003716 0.00044215 0.00058205 0.00044865 0.00043955 0.0004348 0.0005555 0.0003715 0.00030565 0.00059495 0.00044325 0.00056605 0.00053595 0.0004291 0.00044875 0.00046405 0.00040085 0.00049505 0.0005528 0.0003542 0.00049535 0.00037765 0.00051415 0.00044225 0.00041125 0.00044815 0.00057195 0.0003778 0.00030585 0.0004425 0.0004424 0.00044255 0.00048415 0.0005011 0.00048445 0.00043465 0.00050835 0.0005951 0.00044235 0.00044255 0.00037145 0.0004812 0.0004492
5 0.0003697 0.000105 0.0004693 0.00050695 0.0003058 7e-07 0.0005029 0.0002906 0.000143 0.0001873 0.0006312 0.00029375 0.0003841 0.0003799 0.0003301 0.0002367 0.00027 0.0003731 0.00059035 0.0004823 0.0003804 0.0002968 0.00060905 0.00048825 0.0005072 0.00031575 0.0002764 0.00046145 0.0004805 0.00061375 0.00036545 0.00051285 0.00043855 0.00036555 4e-07 0.0004364 0.0003654 0.0001429 0.000316 0.00018255 0.00039205 0.0001874 0.0005104 0.00019865 0.00033 0.0003159 0.0003058 0.0003631 0.0006088 0.0003799 0.00033985 0.00019725 0.0001875 0.00048205 0.00029205 0.00051285 0.00050985 0.00031515 0.00051315 0.0005988 0.00050255 0.0001827 0.00063265 0.00025635 0.0003841 0.0002937 9e-07 0.000183 0.00018295 0.0001829 0.0004441 0.0004987 0.0003625 0.0001984 0.00049845 0.00036325 0.0001828 0.000183 0.0006212 0.0004762 0.0002178
6 0.00048725 0.000512 0.00061715 0.0004738 0.0005413 0.0005029 0.0008323 0.00059385 0.00047605 0.0004728 0.0005182 0.0005939 0.0004673 0.0005715 0.00044645 0.00047905 0.00052915 0.0005207 0.00058355 0.0005122 0.00051285 0.000542 0.0006016 0.00055575 0.0004741 0.0005105 0.00053035 0.00046625 0.00056385 0.00054965 0.00053195 0.0005052 0.00055205 0.00053205 0.0005029 0.0005154 0.0005319 0.00047615 0.00051075 0.00051715 0.0005035 0.00047275 0.0005717 0.0004988 0.00044605 0.00051065 0.0005413 0.000496 0.00060135 0.0005122 0.00047085 0.0004973 0.00047305 0.00051205 0.00059375 0.00050535 0.0005103 0.0005165 0.00050565 0.0006321 0.00048045 0.0005173 0.0005858 0.00053775 0.00046755 0.00059385 0.0005025 0.0005175 0.0005171 0.00051735 0.00046605 0.0004876 0.0005615 0.00049875 0.0005252 0.00049635 0.0005173 0.0005175 0.00054895 0.00055645 0.0004983
7 0.0005454 0.0003532 0.00042725 0.00059975 0.0003828 0.0002906 0.00059385 0.0005801 0.00039215 0.0004192 0.0005638 0.0002987 0.0005417 0.00033035 0.00052125 0.000449 0.00047605 0.000504 0.00044335 0.00048595 0.0005443 0.00037185 0.00043525 0.0005089 0.00059995 0.0004272 0.00041775 0.00053145 0.00042745 0.0005058 0.00054295 0.00054985 0.0005639 0.00054305 0.0002906 0.0004691 0.0005429 0.0003922 0.0004274 0.00041645 0.0005692 0.00041945 0.0005325 0.0004187 0.00052115 0.0004273 0.0003828 0.000548 0.00043505 0.0005393 0.0005147 0.000413 0.00041955 0.0004857 0.00030885 0.00054985 0.0005865 0.0004091 0.0005501 0.0003907 0.0005558 0.0004166 0.0004741 0.000438 0.0005417 0.00029865 0.0002902 0.00041685 0.00041635 0.0004167 0.00053405 0.0005551 0.00039225 0.00041855 0.0005535 0.00054815 0.00041665 0.00041685 0.00051945 0.00049345 0.0004179
8 0.000336 0.00020895 0.00052335 0.00056545 0.0004125 0.000143 0.00047605 0.00039215 0.0002853 0.0002107 0.0006556 0.0004003 0.00034905 0.00046355 0.000211 0.0001976 0.00032095 0.0004161 0.0006467 0.00046985 0.00040715 0.0003817 0.00065665 0.0005378 0.00056565 0.00039925 0.00035975 0.00045465 0.00046805 0.0006494 0.00039375 0.00053775 0.0004669 0.00039385 0.000143 0.0003772 0.0003937 0.0001428 0.0003995 0.00026805 0.00033715 0.00021085 0.00053865 0.0002825 0.0002107 0.0003994 0.0004125 0.0003339 0.0006564 0.0004067 0.00028105 0.00028125 0.00021095 0.0004697 0.00037555 0.00053775 0.0005352 0.00042185 0.00053805 0.0006696 0.000467 0.0002682 0.0006702 0.0003418 0.000349 0.00040025 0.0001429 0.00026845 0.00026815 0.0002683 0.0004213 0.00055985 0.0003524 0.0002824 0.0005248 0.00033405 0.00026825 0.00026845 0.0006688 0.00050255 0.00030145
9 0.0002538 0.00023385 0.00050415 0.0005156 0.00044855 0.0001873 0.0004728 0.0004192 0.0002107 0.0003739 0.0006834 0.00042735 0.00025785 0.0004908 0.00021115 0.00026555 0.000319 0.0003577 0.0006656 0.0004242 0.000338 0.00040375 0.00067545 0.000515 0.0005158 0.0004353 0.0003958 0.00041215 0.00042745 0.00066315 0.00032035 0.0005063 0.0003935 0.00032045 0.0001873 0.00042285 0.0003203 0.00021075 0.00043555 0.0002535 0.00030445 0.0001875 0.0005656 0.00027215 0.00021105 0.00043545 0.00044855 0.0002643 0.0006752 0.00032475 0.00028165 0.00025785 0.0001876 0.00042385 0.0004026 0.0005063 0.00044465 0.0004579 0.0005066 0.0006884 0.00043515 0.00025365 0.00064985 0.00032725 0.000258 0.00042715 0.0001872 0.0002539 0.0002536 0.00025375 0.00048085 0.0005284 0.00040305 0.000272 0.000502 0.00026445 0.0002537 0.0002539 0.0006966 0.0004657 0.0002593
10 0.0008236 0.0006692 0.0006792 0.00061455 0.00043715 0.0006312 0.0005182 0.0005638 0.0006556 0.0006834 3e-07 0.00057705 0.0007826 0.0005871 0.0007083 0.0007084 0.0007862 0.0008264 0.00032495 0.0005298 0.0008801 0.0004355 0.00026175 0.00057725 0.0006147 0.0003161 0.000425 0.00053045 0.0006294 0.00014145 0.00091155 0.00041565 0.00084925 0.00091165 0.0006312 0.000454 0.0009115 0.00065565 0.00031605 0.0007711 0.00079485 0.00068365 0.0005483 0.0007403 0.0007082 0.0003157 0.00043715 0.0007858 0.0002618 0.0008706 0.00075485 0.0007303 0.00068375 0.00052955 0.0005288 0.00041545 0.00072035 0.0003785 0.00041545 0.0003828 0.00036795 0.00077125 0.00033405 0.0007093 0.0007826 0.000577 0.0006308 0.00077145 0.00077105 0.0007713 0.0004627 0.0005376 0.0006257 0.00074025 0.00045615 0.00078595 0.00077125 0.00077145 0.0001223 0.0005695 0.0007498
11 0.00054545 0.00035525 0.0004212 0.0005867 0.00037785 0.00029375 0.0005939 0.0002987 0.0004003 0.00042735 0.00057705 0.0005868 0.00054175 0.0003173 0.0005344 0.000449 0.00046995 0.00049095 0.0004435 0.000486 0.00053125 0.0003739 0.00043545 0.00049585 0.0005869 0.00043535 0.0004259 0.0005446 0.0004275 0.00050585 0.0005299 0.0005499 0.00055085 0.00053 0.00029375 0.00048225 0.00052985 0.00040035 0.0004356 0.0004115 0.00056925 0.0004276 0.00051945 0.00041375 0.0005343 0.0004355 0.00037785 0.00055505 0.0004352 0.00052625 0.00051475 0.00040805 0.0004277 0.00048575 0.0003171 0.0005499 0.00057345 0.00040415 0.0005502 0.00037765 0.000569 0.00041165 0.00047415 0.00043305 0.00054175 0.0002937 0.00029365 0.0004119 0.0004116 0.00041175 0.0005341 0.00054205 0.0004005 0.0004136 0.0005536 0.0005552 0.0004117 0.0004119 0.0005195 0.0004935 0.0004131
12 0.0001746 0.00038465 0.000534 0.0004544 0.00057195 0.0003841 0.0004673 0.0005417 0.00034905 0.00025785 0.0007826 0.00054175 0.0002629 0.00053645 0.00022335 0.0003314 0.00035875 0.0002111 0.00073465 0.0004074 0.00022215 0.0005332 0.00074105 0.00048855 0.00045455 0.0005833 0.0005438 0.0004033 0.0004157 0.00073245 0.00021745 0.00045765 0.00029065 0.00021755 0.0003841 0.00049835 0.0002174 0.0003491 0.00058355 0.0003005 0.00024085 0.00025815 0.00055465 0.00030605 0.00022325 0.00058345 0.00057195 0.0002504 0.0007408 0.0001751 0.0002234 0.0002578 0.00025825 0.00040705 0.0005416 0.00045765 0.00024825 0.0005813 0.00045795 0.0007294 0.0004571 0.00030065 0.0006664 0.0003742 0.00013215 0.0005417 0.0003837 0.00030085 0.00030045 0.0003007 0.0005422 0.00045155 0.00050425 0.000306 0.00050015 0.00025055 0.00030065 0.00030085 0.0007712 0.0004498 0.0002403
13 0.0005567 0.0004045 0.00040805 0.00053485 0.0004014 0.0003799 0.0005715 0.00033035 0.00046355 0.0004908 0.0005871 0.0003173 0.00053645 0.0005087 0.0005749 0.00046035 0.0004675 0.0004396 0.00041275 0.0004868 0.000501 0.0004175 0.00042095 0.0004672 0.000535 0.00048345 0.000474 0.00053055 0.00042835 0.00050005 0.00051165 0.00052925 0.00053265 0.00051175 0.0003799 0.00050745 0.0005116 0.0004636 0.0004837 0.0004455 0.00056855 0.00049105 0.00047885 0.00043565 0.00057485 0.0004836 0.0004014 0.0005818 0.0004207 0.0004914 0.0005092 0.00042545 0.00049115 0.00048655 0.0003652 0.00052925 0.00052205 0.0004275 0.00052955 0.0003386 0.0005944 0.00044565 0.00045965 0.000467 0.0005364 0.00031725 0.0003795 0.00044585 0.00044545 0.0004457 0.0005112 0.0004734 0.0004432 0.0004356 0.0005495 0.00058195 0.00044565 0.00044585 0.000505 0.0004894 0.0004303
14 0.00022045 0.0003383 0.0005587 0.0005746 0.0005556 0.0003301 0.00044645 0.00052125 0.000211 0.00021115 0.0007083 0.0005344 0.00022335 0.0005749 0.0001835 0.0002269 0.00037035 0.0004012 0.00072235 0.0004118 0.0003653 0.0004892 0.00072355 0.00056505 0.00057475 0.00051915 0.00047965 0.00040545 0.00041535 0.0006993 0.00034915 0.0005317 0.00042235 0.00034925 0.0003301 0.0003642 0.0003491 0.00021105 0.0005194 0.00033935 0.0002502 0.00021115 0.00059435 0.0003564 9.22e-05 0.0005193 0.0005556 0.00023545 0.0007233 0.00035205 0.00022345 0.0003422 0.00021125 0.0004121 0.00048645 0.0005317 0.0004705 0.00056495 0.000532 0.0007597 0.00040025 0.0003395 0.0006879 0.00041305 0.00022355 0.00053435 0.0003297 0.0003397 0.0003393 0.00033955 0.0004583 0.00059005 0.00039355 0.00035635 0.00052885 0.0002353 0.0003395 0.0003397 0.0007447 0.00049255 0.00034345
