 slim_337745805 slim_337745851 slim_337745954 slim_337746002 slim_337746066 slim_337746067 slim_337746096 slim_337746106 slim_337746122 slim_337746142 slim_337746143 slim_337746144 slim_337746156 slim_337746157 slim_337746162 slim_337746173 slim_337746178 slim_337746180 slim_337746181 slim_337746182 slim_337746187 slim_337746194 slim_337746196 slim_337746201 slim_337746207 slim_337746208 slim_337746209 slim_337746210 slim_337746218 slim_337746219 slim_337746224 slim_337746230 slim_337746234 slim_337746235 slim_337746242 slim_337746243 slim_337746244 slim_337746246 slim_337746247 slim_337746249 slim_337746251 slim_337746253 slim_337746256 slim_337746259 slim_337746262 slim_337746266 slim_337746267 slim_337746269 slim_337746270 slim_337746271 slim_337746273 slim_337746274 slim_337746279 slim_337746281 slim_337746282 slim_337746283 slim_337746287 slim_337746288 slim_337746289 slim_337746290 slim_337746296 slim_337746297 slim_337746298 slim_337746300 slim_337746301 slim_337746302 slim_337746304 slim_337746306 slim_337746307 slim_337746308 slim_337746310 slim_337746312 slim_337746313 slim_337746315 slim_337746316 slim_337746317 slim_337746319 slim_337746320 slim_337746321 slim_337746322 slim_337746324 slim_337746325 slim_337746326 slim_337746327 slim_337746328 slim_337746329 slim_337746330 slim_337746331 slim_337746332 slim_337746333 slim_337746334 slim_337746335 slim_337746336 slim_337746337 slim_337746339
0 2.7e-06 4.45e-06 8.2e-06 7.05e-06 5.2e-06 8.85e-06 5.05e-06 5.4e-06 1.03e-05 8.15e-06 4.35e-06 1.075e-05 5.2e-06 6.8e-06 6.4e-06 1.055e-05 2.55e-06 1.035e-05 9e-06 5e-06 6.75e-06 5.35e-06 7.05e-06 1.005e-05 3.3e-06 6.6e-06 7e-06 6.15e-06 9.35e-06 7.6e-06 5.95e-06 8.35e-06 5.45e-06 3.05e-06 1.08e-05 4.9e-06 7.1e-06 5.35e-06 4.4e-06 8.15e-06 8.6e-06 6.1e-06 6.3e-06 9e-06 8.7e-06 7.15e-06 1.185e-05 4.5e-06 7.35e-06 5.95e-06 6.05e-06 1.025e-05 3.05e-06 7.3e-06 5.5e-06 6.65e-06 5.7e-06 3e-06 5.35e-06 5.65e-06 4.3e-06 5.75e-06 8.35e-06 2.35e-06 4.7e-06 3.15e-06 5.15e-06 4.15e-06 9.2e-06 5.45e-06 6.25e-06 8.15e-06 4.65e-06 5.35e-06 3.05e-06 7.1e-06 7.1e-06 7.3e-06 7.15e-06 7.15e-06 8.15e-06 5.3e-06 6.25e-06 3.55e-06 6.4e-06 6.6e-06 7.5e-06 5.55e-06 3.4e-06 4.1e-06 6.15e-06 2.75e-06 6.4e-06 9.7e-06 1.06e-05
1 4.45e-06 6.9e-06 7.9e-06 7.6e-06 4.95e-06 7.7e-06 5.65e-06 6.7e-06 9.8e-06 6.7e-06 6.05e-06 9.95e-06 4.95e-06 7.65e-06 7.2e-06 9.75e-06 5.25e-06 1.01e-05 8.65e-06 5.45e-06 7.35e-06 6.05e-06 7.7e-06 9.85e-06 5.55e-06 7.35e-06 7.75e-06 7.1e-06 8.65e-06 8.05e-06 6.6e-06 7.15e-06 6.75e-06 4.7e-06 1.05e-05 6.7e-06 7.85e-06 4.55e-06 6.15e-06 6.7e-06 7.1e-06 6.95e-06 7.25e-06 8.65e-06 7.55e-06 7.55e-06 1.14e-05 3.9e-06 8.05e-06 6.6e-06 6.5e-06 1e-05 5.15e-06 8.15e-06 6.7e-06 7.4e-06 7e-06 4.6e-06 4.55e-06 4.75e-06 3.95e-06 6.25e-06 6.85e-06 4.25e-06 5.8e-06 4.7e-06 6.2e-06 4.4e-06 8.1e-06 4.85e-06 7.3e-06 6.95e-06 4.7e-06 6.95e-06 4.65e-06 4.85e-06 7.75e-06 7.7e-06 7.05e-06 8e-06 6.85e-06 5.1e-06 7.2e-06 5.2e-06 7.3e-06 7.25e-06 7.95e-06 6.75e-06 5.4e-06 5.8e-06 6.75e-06 4.6e-06 6.75e-06 9.3e-06 9.8e-06
2 8.2e-06 7.9e-06 8.7e-06 9.6e-06 8.2e-06 5.7e-06 7.1e-06 7.05e-06 8.7e-06 5.95e-06 8.75e-06 1.115e-05 8.2e-06 6.75e-06 9.4e-06 1.095e-05 8.4e-06 7.8e-06 6.8e-06 7.4e-06 6.9e-06 8.6e-06 6.65e-06 8.2e-06 8.65e-06 9.15e-06 6.9e-06 9.7e-06 8.85e-06 9.1e-06 7.1e-06 7.1e-06 7.1e-06 8.35e-06 1.05e-05 8.9e-06 7.15e-06 8.25e-06 8.85e-06 6.3e-06 9.35e-06 7.6e-06 9.85e-06 6.65e-06 5.75e-06 9.75e-06 1.01e-05 7.95e-06 9.65e-06 6.65e-06 8.95e-06 7.7e-06 8.35e-06 7.6e-06 9.45e-06 9.2e-06 7.35e-06 8.55e-06 8.05e-06 8.45e-06 7.95e-06 7.45e-06 9.4e-06 7.8e-06 7.1e-06 8.65e-06 7.65e-06 8.05e-06 9.65e-06 8.2e-06 6.2e-06 6.15e-06 7.55e-06 9.45e-06 8.6e-06 7.7e-06 6.75e-06 9.9e-06 7.4e-06 7.45e-06 6.5e-06 8.05e-06 9.8e-06 8.65e-06 7.25e-06 8.8e-06 1.015e-05 9.5e-06 8.2e-06 9e-06 8.8e-06 7.75e-06 9.7e-06 8.1e-06 1.1e-05
3 7.05e-06 7.6e-06 9.6e-06 9.3e-06 8e-06 1.04e-05 8.35e-06 9.25e-06 8.35e-06 9.7e-06 7.65e-06 4.9e-06 8e-06 8.35e-06 6.05e-06 4.9e-06 6e-06 1.02e-05 1.06e-05 8.25e-06 9.5e-06 8.1e-06 8.95e-06 9.95e-06 8.15e-06 5.6e-06 9.85e-06 6e-06 7.25e-06 8.85e-06 8.8e-06 1.02e-05 9.3e-06 7.6e-06 8.5e-06 9e-06 1.005e-05 8.05e-06 8.4e-06 9.7e-06 6.5e-06 9.15e-06 6.2e-06 1.05e-05 1.025e-05 5.55e-06 9.45e-06 7.65e-06 8.15e-06 9.45e-06 8.5e-06 1.01e-05 7.4e-06 1.04e-05 6.05e-06 5.65e-06 9.55e-06 7.45e-06 6.55e-06 8.25e-06 7.65e-06 7.75e-06 6.4e-06 6.75e-06 6.6e-06 6.9e-06 8.7e-06 7.8e-06 5.25e-06 7.1e-06 9.15e-06 9.9e-06 7.4e-06 6e-06 7.5e-06 7.25e-06 9e-06 5.6e-06 9.1e-06 1.025e-05 9.75e-06 8.2e-06 6.2e-06 8.1e-06 9.5e-06 9.25e-06 6.5e-06 6.1e-06 7.25e-06 8e-06 8.7e-06 6.9e-06 6e-06 8.95e-06 4.75e-06
4 5.2e-06 4.95e-06 8.2e-06 8e-06 8e-06 7.9e-06 6.55e-06 7.55e-06 1.005e-05 6.9e-06 6.35e-06 9.8e-06 4e-06 8.2e-06 7.4e-06 9.6e-06 6e-06 1.02e-05 9.05e-06 6.55e-06 7.55e-06 6.95e-06 7.85e-06 1.025e-05 5.95e-06 7.75e-06 7.05e-06 7.5e-06 8.9e-06 8.75e-06 6.9e-06 7.3e-06 7.6e-06 5.55e-06 1.055e-05 6.55e-06 7.15e-06 4.85e-06 5.3e-06 6.75e-06 6.85e-06 7.75e-06 7.65e-06 9.05e-06 7.75e-06 7.85e-06 1.135e-05 4.8e-06 7.3e-06 7.45e-06 6.95e-06 1.01e-05 5.65e-06 8.45e-06 7.55e-06 7.8e-06 7.85e-06 4.6e-06 5.75e-06 4.7e-06 4.55e-06 6.95e-06 6.95e-06 5.5e-06 6.25e-06 5.85e-06 7e-06 4.7e-06 8.15e-06 5.05e-06 7.85e-06 6.85e-06 5e-06 7.6e-06 4.65e-06 5.1e-06 7.9e-06 8e-06 7.35e-06 8.3e-06 7.5e-06 5e-06 7.6e-06 5.9e-06 7.25e-06 7.5e-06 7.1e-06 7.6e-06 5.1e-06 4.25e-06 6.3e-06 5.75e-06 7.45e-06 9.3e-06 9.65e-06
5 8.85e-06 7.7e-06 5.7e-06 1.04e-05 7.9e-06 8e-06 8.35e-06 7.9e-06 9.45e-06 5.2e-06 9.2e-06 1.17e-05 7.9e-06 7.05e-06 1e-05 1.15e-05 9.2e-06 7.45e-06 6.65e-06 8.6e-06 6.9e-06 8.95e-06 7e-06 8.55e-06 9.2e-06 1.015e-05 6.85e-06 1.035e-05 1e-05 9.45e-06 8.5e-06 7.1e-06 7.95e-06 9.15e-06 1.025e-05 9.25e-06 7.1e-06 7.9e-06 9.2e-06 6.15e-06 9.15e-06 8.9e-06 1.05e-05 6.5e-06 4.15e-06 1.03e-05 1e-05 7.75e-06 9.7e-06 6.75e-06 9.25e-06 7.35e-06 9e-06 8.25e-06 1.02e-05 1.02e-05 8.2e-06 9.05e-06 8.05e-06 8.1e-06 7.8e-06 8.6e-06 9.2e-06 8.85e-06 8.5e-06 9.25e-06 8.3e-06 7.95e-06 1.01e-05 8.15e-06 6.7e-06 5.45e-06 7.8e-06 1.01e-05 9.1e-06 7.15e-06 6.9e-06 1.045e-05 8.35e-06 8.1e-06 6.55e-06 8.05e-06 1.045e-05 9.15e-06 7.9e-06 9.05e-06 1.06e-05 1.025e-05 9.1e-06 9.35e-06 9.05e-06 8.6e-06 1.03e-05 7.9e-06 1.155e-05
6 5.05e-06 5.65e-06 7.1e-06 8.35e-06 6.55e-06 8.35e-06 8.1e-06 6.65e-06 9.95e-06 7.75e-06 6.55e-06 1.095e-05 6.55e-06 7.65e-06 7.85e-06 1.075e-05 5.8e-06 1.005e-05 8.15e-06 4.55e-06 7.4e-06 6.1e-06 7.75e-06 9.7e-06 6.05e-06 8.05e-06 7.65e-06 7.9e-06 7.85e-06 8.55e-06 4.95e-06 8.15e-06 6.7e-06 5.2e-06 1.09e-05 7.1e-06 7.85e-06 6.6e-06 6.6e-06 7.6e-06 8.95e-06 4.9e-06 8.05e-06 8.05e-06 8.15e-06 8.35e-06 1.17e-05 5.7e-06 8.5e-06 6.75e-06 6.65e-06 9.95e-06 5.8e-06 8e-06 7.4e-06 8.1e-06 6.95e-06 5.25e-06 6.6e-06 6.8e-06 5.7e-06 5.25e-06 8.6e-06 4.85e-06 5.45e-06 5.4e-06 6.5e-06 6.05e-06 9.4e-06 6.6e-06 7.25e-06 7.95e-06 6.25e-06 7.65e-06 5.3e-06 7.25e-06 7.8e-06 8.5e-06 6.2e-06 7.85e-06 7.75e-06 6.55e-06 8e-06 5.8e-06 7.2e-06 7.2e-06 8.7e-06 7.45e-06 5.85e-06 6.3e-06 6.75e-06 5.5e-06 7.65e-06 9.6e-06 1.08e-05
7 5.4e-06 6.7e-06 7.05e-06 9.25e-06 7.55e-06 7.9e-06 6.65e-06 9.4e-06 8.8e-06 7.35e-06 7.2e-06 1.21e-05 7.55e-06 7e-06 8.75e-06 1.19e-05 6.45e-06 9.8e-06 7.9e-06 6.6e-06 6.95e-06 7.25e-06 7e-06 8.6e-06 6.45e-06 8.7e-06 7.2e-06 8.4e-06 9.95e-06 7.95e-06 7.35e-06 6.95e-06 4.9e-06 6.2e-06 1.235e-05 8.15e-06 7.35e-06 7.35e-06 7.6e-06 6.7e-06 1.005e-05 7e-06 8.65e-06 7.85e-06 7.95e-06 9.05e-06 1.13e-05 6.75e-06 9.7e-06 6.3e-06 7.85e-06 9.7e-06 5.75e-06 6.75e-06 7.8e-06 8.75e-06 5.2e-06 6.25e-06 7.45e-06 7.8e-06 6.75e-06 6.9e-06 9.8e-06 5.45e-06 7.05e-06 6.05e-06 5.95e-06 6.45e-06 1.05e-05 7.55e-06 6.35e-06 7.55e-06 6.8e-06 8.5e-06 6.3e-06 8.3e-06 7.05e-06 9.2e-06 8.2e-06 6.55e-06 6.25e-06 7.55e-06 8.6e-06 6.85e-06 5.6e-06 8.45e-06 9.75e-06 7.9e-06 6.4e-06 7.25e-06 7.95e-06 5.85e-06 8.75e-06 9.15e-06 1.195e-05
8 1.03e-05 9.8e-06 8.7e-06 8.35e-06 1.005e-05 9.45e-06 9.95e-06 8.8e-06 1.37e-05 8.9e-06 1.07e-05 7.05e-06 1.005e-05 9.6e-06 8.6e-06 7.25e-06 1.02e-05 9.9e-06 9.55e-06 9.85e-06 9.65e-06 1.03e-05 9.25e-06 8.9e-06 1.105e-05 8.45e-06 1e-05 8.7e-06 8.3e-06 9.15e-06 9.85e-06 8.2e-06 8.85e-06 1.035e-05 1.06e-05 1.15e-05 1.02e-05 1.01e-05 1.115e-05 8.3e-06 8.1e-06 1.02e-05 8.95e-06 9.45e-06 9.5e-06 8.45e-06 9.15e-06 9.85e-06 1.07e-05 9.75e-06 1.03e-05 9.8e-06 1.01e-05 9.55e-06 9e-06 8.5e-06 9.1e-06 1.06e-05 9.7e-06 1.03e-05 9.85e-06 9.5e-06 8.15e-06 1.015e-05 9.65e-06 1.035e-05 9.55e-06 1e-05 7.4e-06 9.5e-06 9.55e-06 9.1e-06 9.7e-06 8.9e-06 1.065e-05 8.85e-06 9.3e-06 8.5e-06 9.85e-06 9.4e-06 8e-06 9.85e-06 8.95e-06 1.1e-05 8.9e-06 1.08e-05 9.1e-06 9.05e-06 1.05e-05 1.1e-05 1.05e-05 1.015e-05 8.75e-06 8.35e-06 6.9e-06
9 8.15e-06 6.7e-06 5.95e-06 9.7e-06 6.9e-06 5.2e-06 7.75e-06 7.35e-06 8.9e-06 9e-06 8.6e-06 1.1e-05 6.9e-06 6.95e-06 9.3e-06 1.08e-05 8.5e-06 7.95e-06 6.5e-06 7.8e-06 6.7e-06 8.2e-06 7.1e-06 8.6e-06 8.7e-06 9.45e-06 6.85e-06 9.65e-06 9.2e-06 8.75e-06 7.85e-06 6.05e-06 7.4e-06 8.4e-06 1.075e-05 8.95e-06 7.2e-06 7.1e-06 8.9e-06 5.35e-06 7.95e-06 8.05e-06 9.8e-06 6.25e-06 4.95e-06 9.5e-06 9.9e-06 6.55e-06 9.8e-06 6.65e-06 8.5e-06 7.85e-06 8.5e-06 7.9e-06 9.5e-06 9.5e-06 7.65e-06 8.55e-06 7.05e-06 7.3e-06 6.6e-06 7.7e-06 8.1e-06 8.15e-06 7.95e-06 8.45e-06 7.8e-06 6.75e-06 9.05e-06 6.95e-06 6.6e-06 4.75e-06 6.6e-06 9.4e-06 8.6e-06 5.6e-06 7.1e-06 9.65e-06 7.75e-06 7.75e-06 5.75e-06 6.8e-06 9.75e-06 8.65e-06 7.55e-06 8.5e-06 1.01e-05 9.55e-06 8.6e-06 9.05e-06 8.5e-06 7.8e-06 9.6e-06 7.8e-06 1.085e-05
