 slim_337518519 slim_337518562 slim_337518514 slim_337518376 slim_337518167 slim_337518476 slim_337518564 slim_337518458 slim_337518471 slim_337518511 slim_337518379 slim_337518506 slim_337518329 slim_337518491 slim_337518285 slim_337518304 slim_337518397 slim_337518479 slim_337518417 slim_337518516 slim_337518546 slim_337518290 slim_337518301 slim_337518531 slim_337518466 slim_337518523 slim_337518559 slim_337518539 slim_337518438 slim_337518414 slim_337518543 slim_337518518 slim_337518403 slim_337518441 slim_337518222 slim_337518513 slim_337518496 slim_337518380 slim_337518415 slim_337518303 slim_337518469 slim_337518555 slim_337518374 slim_337518089 slim_337518482 slim_337518385 slim_337518296 slim_337518443 slim_337518363 slim_337518427 slim_337518484 slim_337518225 slim_337518499 slim_337518276 slim_337518561 slim_337518421 slim_337518522 slim_337518384 slim_337518277 slim_337518507 slim_337518538 slim_337518425 slim_337518455 slim_337518547 slim_337518066 slim_337518544 slim_337518512 slim_337518552 slim_337518560 slim_337518508 slim_337518121 slim_337518492 slim_337518433 slim_337518480 slim_337518534 slim_337518370 slim_337518550 slim_337518520 slim_337518472 slim_337518553 slim_337518501 slim_337518470 slim_337518521 slim_337518557 slim_337518406 slim_337518504 slim_337518416 slim_337518532 slim_337518551 slim_337518548 slim_337518494
0 3.87e-05 5.115e-05 2.35e-05 3.595e-05 4.905e-05 2.26e-05 5.475e-05 5.245e-05 5.14e-05 3.385e-05 2.13e-05 0.00013435 7.69e-05 0.0001449 2.89e-05 3.405e-05 2.155e-05 7.795e-05 2.43e-05 8.485e-05 5.715e-05 9.26e-05 2.455e-05 0.00014495 2.125e-05 7.855e-05 5.045e-05 4.625e-05 2.41e-05 1.935e-05 6.725e-05 0.0001355 2.13e-05 5.64e-05 2.06e-05 2.13e-05 3.28e-05 2.41e-05 3.385e-05 2.34e-05 2.47e-05 3.4e-05 6.735e-05 3.425e-05 5.565e-05 3.42e-05 2.25e-05 3.28e-05 5.05e-05 4.985e-05 4.6e-05 4.61e-05 2.1e-05 3.28e-05 5.655e-05 3.46e-05 5.205e-05 4.12e-05 2.36e-05 4.015e-05 3.6e-05 4.83e-05 7.73e-05 6.16e-05 5.445e-05 4.825e-05 3.475e-05 5.04e-05 3.39e-05 6.71e-05 5.165e-05 4.945e-05 2.79e-05 4.935e-05 0.00014515 6.3e-05 8.34e-05 2.475e-05 5.595e-05 2.91e-05 6.625e-05 4.92e-05 4.96e-05 2.09e-05 5.66e-05 5.15e-05 7.665e-05 5.115e-05 5.62e-05 2.89e-05 4.81e-05
1 5.115e-05 9.02e-05 5.15e-05 6.165e-05 4.965e-05 5.3e-05 5.86e-05 5.32e-05 5.495e-05 6.255e-05 5.415e-05 0.00013715 5.435e-05 0.00014695 5.695e-05 5.705e-05 4.66e-05 5.085e-05 5.255e-05 5.575e-05 5.79e-05 6.62e-05 4.93e-05 0.0001495 4.57e-05 4.985e-05 4.99e-05 6.98e-05 4.875e-05 5.105e-05 6.635e-05 0.000134 5.165e-05 5.655e-05 4.975e-05 4.8e-05 5.98e-05 4.875e-05 5.945e-05 5.14e-05 5.525e-05 5.83e-05 6.885e-05 6.07e-05 5.555e-05 5.8e-05 5.45e-05 6.235e-05 4.805e-05 5.21e-05 7.085e-05 7.095e-05 5e-05 6.18e-05 5.54e-05 6.275e-05 5.025e-05 6.505e-05 4.975e-05 6.49e-05 6.17e-05 5.415e-05 7.46e-05 6.145e-05 5.675e-05 5.41e-05 5.865e-05 5.485e-05 5.95e-05 6.68e-05 5.52e-05 4.955e-05 5.165e-05 5.125e-05 0.0001497 5.96e-05 5.945e-05 4.76e-05 5.59e-05 5.37e-05 6.685e-05 4.98e-05 4.97e-05 4.99e-05 5.675e-05 5.35e-05 5.41e-05 4.67e-05 5.765e-05 5.35e-05 5.145e-05
2 2.35e-05 5.15e-05 4.24e-05 3.83e-05 5.175e-05 2.66e-05 5.89e-05 5.435e-05 5.075e-05 3.655e-05 2.46e-05 0.00013535 7.995e-05 0.00014725 3.08e-05 3.31e-05 2.28e-05 7.92e-05 2.435e-05 8.615e-05 5.905e-05 9.35e-05 2.685e-05 0.00014835 2.405e-05 7.93e-05 5.29e-05 4.505e-05 2.665e-05 2.34e-05 6.505e-05 0.00013485 2.355e-05 5.625e-05 2.435e-05 2.365e-05 3.52e-05 2.665e-05 3.475e-05 2.12e-05 2.325e-05 3.61e-05 7.05e-05 3.68e-05 5.73e-05 3.625e-05 2.5e-05 3.63e-05 5.07e-05 5.22e-05 4.785e-05 4.795e-05 2.475e-05 3.495e-05 5.9e-05 3.625e-05 5.21e-05 4.045e-05 2.48e-05 4.225e-05 3.835e-05 5.24e-05 7.76e-05 6.1e-05 5.665e-05 5.235e-05 3.655e-05 5.265e-05 3.5e-05 6.43e-05 5.095e-05 5.21e-05 2.59e-05 5.105e-05 0.00014855 6.365e-05 8.565e-05 2.415e-05 5.82e-05 2.76e-05 6.635e-05 5.19e-05 5.225e-05 2.465e-05 5.645e-05 5.445e-05 7.97e-05 5.2e-05 5.85e-05 2.73e-05 5.115e-05
3 3.595e-05 6.165e-05 3.83e-05 4.81e-05 6.205e-05 3.09e-05 6.975e-05 5.865e-05 6.685e-05 3.18e-05 3.83e-05 0.00013585 9.13e-05 0.00014495 4.27e-05 3.445e-05 3.39e-05 9.065e-05 3.98e-05 9.625e-05 6.965e-05 0.00010495 2.945e-05 0.00014665 3.33e-05 9.04e-05 6.39e-05 3e-05 2.915e-05 3.585e-05 8.01e-05 0.0001354 3.665e-05 6.905e-05 3.55e-05 3.445e-05 2.925e-05 2.915e-05 2.95e-05 3.82e-05 4.085e-05 2.885e-05 6.39e-05 3.11e-05 6.81e-05 2.915e-05 3.92e-05 3.11e-05 6.225e-05 6.265e-05 2.42e-05 2.435e-05 3.59e-05 3.14e-05 6.82e-05 3.165e-05 6.415e-05 3.57e-05 3.595e-05 3.51e-05 2.425e-05 6.46e-05 7.15e-05 6.34e-05 6.745e-05 6.455e-05 2.96e-05 6.55e-05 2.95e-05 8.05e-05 6.71e-05 6.25e-05 4.195e-05 6.31e-05 0.00014685 5.755e-05 9.7e-05 3.46e-05 6.845e-05 4.11e-05 7.93e-05 6.22e-05 6.265e-05 3.58e-05 6.925e-05 5.79e-05 9.105e-05 6.25e-05 7.07e-05 4.09e-05 6.275e-05
4 4.905e-05 4.965e-05 5.175e-05 6.205e-05 9.18e-05 5.09e-05 5.585e-05 5.105e-05 5.07e-05 6.065e-05 4.965e-05 0.00013255 4.635e-05 0.00014695 5.29e-05 5.925e-05 4.745e-05 4.95e-05 5.01e-05 5.77e-05 5.59e-05 6.43e-05 4.925e-05 0.0001474 4.615e-05 4.97e-05 4.86e-05 7.205e-05 4.945e-05 4.895e-05 6.825e-05 0.00013575 4.925e-05 5.385e-05 4.785e-05 4.785e-05 6.02e-05 4.945e-05 6.035e-05 5.165e-05 5.26e-05 5.905e-05 6.76e-05 5.885e-05 5.54e-05 5.91e-05 4.98e-05 6.065e-05 5.075e-05 4.74e-05 7.165e-05 7.175e-05 4.81e-05 6.06e-05 5.46e-05 6.075e-05 5.15e-05 6.675e-05 4.825e-05 6.365e-05 6.21e-05 4.79e-05 7.71e-05 5.93e-05 5.225e-05 4.8e-05 5.9e-05 4.845e-05 6.04e-05 6.865e-05 5.105e-05 4.625e-05 5.135e-05 4.775e-05 0.00014745 6.26e-05 5.515e-05 4.985e-05 5.12e-05 5.55e-05 6.655e-05 4.615e-05 4.64e-05 4.795e-05 5.405e-05 4.95e-05 4.61e-05 5e-05 5.815e-05 5.53e-05 4.745e-05
5 2.26e-05 5.3e-05 2.66e-05 3.09e-05 5.09e-05 1.46e-05 4.26e-05 3.71e-05 3.97e-05 3.2e-05 9.1e-06 0.00013375 6.475e-05 0.00015925 1.675e-05 4.905e-05 3.82e-05 6.575e-05 2.605e-05 7.26e-05 4.485e-05 8.04e-05 2.29e-05 0.00014405 3.715e-05 6.635e-05 5.22e-05 5.745e-05 2.29e-05 2.25e-05 5.495e-05 0.00013485 2.435e-05 4.415e-05 2.25e-05 3.805e-05 4.61e-05 2.28e-05 4.67e-05 2.65e-05 1.29e-05 4.605e-05 6.535e-05 4.63e-05 5.825e-05 4.63e-05 1.035e-05 3.09e-05 5.26e-05 3.755e-05 5.425e-05 5.435e-05 2.29e-05 4.595e-05 5.8e-05 3.255e-05 3.975e-05 3.915e-05 2.5e-05 3.83e-05 3.085e-05 3.62e-05 7.53e-05 6.26e-05 4.215e-05 3.615e-05 4.65e-05 3.815e-05 4.675e-05 5.535e-05 3.995e-05 5.135e-05 3.1e-05 5.2e-05 0.00014425 6.1e-05 7.175e-05 2.65e-05 4.395e-05 3.165e-05 5.395e-05 5.105e-05 5.15e-05 2.28e-05 4.435e-05 3.615e-05 6.45e-05 5.3e-05 4.4e-05 3.145e-05 5.125e-05
6 5.475e-05 5.86e-05 5.89e-05 6.975e-05 5.585e-05 4.26e-05 7.69e-05 4.59e-05 4.395e-05 6.61e-05 3.96e-05 0.00013985 4.17e-05 0.0001683 4.565e-05 8.19e-05 7.12e-05 4.27e-05 5.72e-05 4.165e-05 4.055e-05 5.92e-05 5.805e-05 0.00015205 7.005e-05 4.405e-05 5.56e-05 9.305e-05 5.89e-05 5.465e-05 6.105e-05 0.0001411 5.585e-05 4.84e-05 5.44e-05 6.995e-05 8.19e-05 5.89e-05 8.245e-05 5.88e-05 4.36e-05 8.175e-05 6.695e-05 8.09e-05 5.52e-05 8.19e-05 4.015e-05 6.57e-05 5.71e-05 4.15e-05 9.27e-05 9.28e-05 5.48e-05 8.12e-05 5.375e-05 6.67e-05 4.37e-05 7.415e-05 5.565e-05 7.15e-05 6.98e-05 4.01e-05 8.485e-05 6.745e-05 4.64e-05 4.02e-05 8.115e-05 4.155e-05 8.25e-05 6.145e-05 4.42e-05 5.62e-05 5.975e-05 5.7e-05 0.00015215 6.885e-05 4.1e-05 5.92e-05 4.67e-05 6.395e-05 5.92e-05 5.6e-05 5.635e-05 5.47e-05 4.86e-05 4.435e-05 4.145e-05 5.8e-05 4.13e-05 6.375e-05 5.63e-05
7 5.245e-05 5.32e-05 5.435e-05 5.865e-05 5.105e-05 3.71e-05 4.59e-05 7e-05 3.96e-05 6.1e-05 3.97e-05 0.00013275 3.695e-05 0.00016145 4.375e-05 7.57e-05 6.62e-05 3.81e-05 5.27e-05 4.615e-05 4.66e-05 5.325e-05 5.05e-05 0.0001483 6.515e-05 3.865e-05 5.275e-05 8.395e-05 5.075e-05 5.235e-05 5.545e-05 0.0001338 5.29e-05 4.3e-05 5.25e-05 6.565e-05 7.39e-05 5.065e-05 7.455e-05 5.425e-05 4.135e-05 7.4e-05 6.735e-05 7.31e-05 5.955e-05 7.42e-05 4.01e-05 6.075e-05 5.255e-05 3.76e-05 8.205e-05 8.215e-05 5.29e-05 7.44e-05 5.905e-05 6.11e-05 4.035e-05 6.58e-05 5.31e-05 6.455e-05 5.86e-05 3.825e-05 7.595e-05 6.13e-05 4.27e-05 3.82e-05 7.415e-05 3.89e-05 7.46e-05 5.59e-05 3.93e-05 5.145e-05 5.36e-05 5.205e-05 0.0001485 6.11e-05 4.505e-05 5.34e-05 4.25e-05 5.835e-05 5.535e-05 5.12e-05 5.16e-05 5.28e-05 4.32e-05 3.605e-05 3.67e-05 5.32e-05 4.63e-05 5.815e-05 5.125e-05
8 5.14e-05 5.495e-05 5.075e-05 6.685e-05 5.07e-05 3.97e-05 4.395e-05 3.96e-05 6.67e-05 6.235e-05 3.485e-05 0.0001314 3.34e-05 0.00016445 4.025e-05 7.615e-05 6.81e-05 3.67e-05 4.87e-05 4.62e-05 4.435e-05 5.185e-05 5.495e-05 0.0001487 6.75e-05 3.77e-05 5.17e-05 8.705e-05 5.61e-05 5.13e-05 5.2e-05 0.00013435 5.065e-05 3.975e-05 5.175e-05 6.65e-05 7.855e-05 5.61e-05 7.91e-05 5.065e-05 3.405e-05 7.91e-05 7.065e-05 7.66e-05 6.01e-05 7.91e-05 3.455e-05 6.28e-05 5.34e-05 3.55e-05 8.98e-05 8.99e-05 5.215e-05 7.67e-05 5.9e-05 6.195e-05 3.84e-05 6.82e-05 5.105e-05 6.795e-05 6.69e-05 3.47e-05 8e-05 5.875e-05 4.025e-05 3.47e-05 7.805e-05 3.4e-05 7.915e-05 5.18e-05 3.41e-05 5.09e-05 5.12e-05 5.105e-05 0.00014875 6.515e-05 4.275e-05 5.38e-05 4.08e-05 5.755e-05 5.25e-05 5.075e-05 5.095e-05 5.205e-05 4.005e-05 3.885e-05 3.345e-05 5.44e-05 4.47e-05 5.735e-05 5.035e-05
9 3.385e-05 6.255e-05 3.655e-05 3.18e-05 6.065e-05 3.2e-05 6.61e-05 6.1e-05 6.235e-05 6.22e-05 3.255e-05 0.00013445 8.715e-05 0.00014775 3.88e-05 3.575e-05 3.525e-05 8.84e-05 3.64e-05 9.53e-05 6.69e-05 0.0001027 3.31e-05 0.0001458 3.47e-05 8.86e-05 6.24e-05 3.405e-05 3.375e-05 3.375e-05 7.745e-05 0.00013595 3.455e-05 6.645e-05 3.315e-05 3.48e-05 3.365e-05 3.375e-05 3.375e-05 3.645e-05 3.555e-05 3.315e-05 6.58e-05 3.38e-05 6.8e-05 3.335e-05 3.22e-05 3.175e-05 6.255e-05 6.01e-05 3.125e-05 3.15e-05 3.355e-05 3.325e-05 6.7e-05 3.22e-05 6.2e-05 3.88e-05 3.355e-05 3.77e-05 3.185e-05 5.95e-05 7.495e-05 6.195e-05 6.495e-05 5.96e-05 3.27e-05 6.055e-05 3.38e-05 7.79e-05 6.26e-05 6.105e-05 4.1e-05 6.17e-05 0.00014585 6.1e-05 9.44e-05 3.55e-05 6.555e-05 4.125e-05 7.625e-05 6.08e-05 6.12e-05 3.345e-05 6.665e-05 5.98e-05 8.69e-05 6.295e-05 6.77e-05 4.105e-05 6.145e-05
