 slim_337472669 slim_337472788 slim_337472839 slim_337472996 slim_337472910 slim_337472977 slim_337472962 slim_337472967 slim_337472905 slim_337473082 slim_337473105 slim_337473015 slim_337473065 slim_337473072 slim_337473109 slim_337473049 slim_337473064 slim_337473073 slim_337473089 slim_337473119 slim_337473103 slim_337473021 slim_337473085 slim_337473125 slim_337473112 slim_337473123 slim_337473048 slim_337473100 slim_337473214 slim_337473176 slim_337473145 slim_337473195 slim_337473177 slim_337473194 slim_337473236 slim_337473208 slim_337473221 slim_337473143 slim_337473226 slim_337473209 slim_337473222 slim_337473187 slim_337473200 slim_337473233 slim_337473235 slim_337473175 slim_337473215 slim_337473165 slim_337473230 slim_337473140 slim_337473134 slim_337473179 slim_337473193 slim_337473234 slim_337473183 slim_337473155 slim_337473198 slim_337473206 slim_337473218 slim_337473181 slim_337473201 slim_337473202 slim_337473229 slim_337473142 slim_337473057 slim_337473199 slim_337473171 slim_337473223 slim_337473174 slim_337473216 slim_337473204 slim_337473213 slim_337473207 slim_337473225 slim_337473161 slim_337473231 slim_337473220 slim_337473232 slim_337473146 slim_337473227 slim_337473184 slim_337473185 slim_337473160 slim_337473029 slim_337473144
0 0.0008884 0.00085685 0.00063475 0.0008203 0.00085685 0.00082195 0.0006999 0.00087285 0.00089265 0.00087805 0.0008699 0.0008802 0.00087945 0.00084935 0.00081575 0.0008249 0.00084875 0.0008344 0.0008746 0.0008531 0.0008818 0.0008739 0.00085545 0.00084615 0.00091935 0.00088595 0.00088565 0.00080555 0.0008527 0.00083255 0.00076605 0.0008734 0.00085935 0.00083425 0.0008373 0.0007112 0.0008174 0.0008554 0.00088165 0.0006471 0.00092905 0.00085855 0.0008512 0.0008935 0.0008347 0.0008775 0.00086235 0.0008395 0.00063 0.0008389 0.0008819 0.00083595 0.00088695 0.0008864 0.00088545 0.00083425 0.0008741 0.00081515 0.0008342 0.0008717 0.00085005 0.00084575 0.0007253 0.0008172 0.0006488 0.00086775 0.0008544 0.00081765 0.00088415 0.00084635 0.00088845 0.00087745 0.0008662 0.00085035 0.000882 0.00064285 0.0008416 0.0008856 0.00089885 0.0008341 0.00091305 0.00087805 0.00086435 0.00065375 0.0008507
1 0.00085685 0.0009294 0.00089035 0.0008995 0.0007377 0.0006896 0.0009188 0.00082335 0.00085315 0.00090675 0.000904 0.0008649 0.00088405 0.00075835 0.00087155 0.00087315 0.0008605 0.00069075 0.0009255 0.00061485 0.00088325 0.00088345 0.00066825 0.00076795 0.0009291 0.0006831 0.00092155 0.0005873 0.0008772 0.0008602 0.0008659 0.00083905 0.000712 0.0008632 0.0008825 0.00082145 0.00066825 0.0006682 0.0009139 0.00085775 0.0009557 0.00085075 0.0008683 0.00089875 0.00084335 0.0009281 0.00084005 0.0008315 0.00087535 0.0008968 0.0008046 0.00065335 0.000873 0.00090085 0.0007811 0.00087495 0.00088365 0.00086795 0.0008749 0.0008956 0.000795 0.0006633 0.00082845 0.00066805 0.00083905 0.0008409 0.00086465 0.00077735 0.00090125 0.0008865 0.00092065 0.0008449 0.0007947 0.00082075 0.0009162 0.00085895 0.00086725 0.00079185 0.00090355 0.0006585 0.0009379 0.0008821 0.0008084 0.0008637 0.0008558
2 0.00063475 0.00089035 0.0007698 0.0006252 0.00090885 0.0006243 0.0006628 0.0008747 0.00088765 0.00089295 0.0008884 0.00089305 0.00089905 0.0008339 0.00085275 0.0008658 0.00086335 0.0008664 0.00065445 0.000875 0.00089555 0.00089425 0.00088505 0.00089175 0.00092495 0.0009148 0.0008967 0.0008516 0.00088635 0.0008666 0.0008064 0.00088395 0.0008721 0.00087165 0.0008748 0.00071235 0.0008583 0.000885 0.00089395 0.00063295 0.0009269 0.00087985 0.0008657 0.0009178 0.00087805 0.0006536 0.0008537 0.00087795 0.0006253 0.00086195 0.00090035 0.0008708 0.0009042 0.00090035 0.0008959 0.00087905 0.00089445 0.00085445 0.000879 0.00087325 0.0008869 0.00088995 0.00071735 0.0008581 0.00062705 0.00088475 0.0008586 0.0008636 0.0009108 0.0008826 0.0008957 0.00088525 0.0009221 0.00088035 0.0008807 0.00060945 0.00062595 0.00089995 0.00090615 0.0008757 0.00091835 0.0008995 0.0008601 0.0006484 0.00084515
3 0.0008203 0.0008995 0.0006252 0.0009128 0.0009157 0.00067865 0.0008547 0.00082545 0.0008443 0.00091795 0.0008657 0.000886 0.0009335 0.00086885 0.00087755 0.00083 0.00086095 0.00085355 0.0006552 0.00089195 0.00087725 0.00087685 0.000888 0.0008934 0.00090525 0.0009164 0.0008966 0.0008909 0.0009208 0.00088915 0.00088275 0.00086115 0.00088575 0.00064295 0.0008982 0.00082185 0.0008893 0.00088795 0.0009001 0.00084755 0.00090235 0.0008612 0.00084875 0.0008902 0.0008641 0.0006534 0.0008455 0.00085905 0.00062515 0.00090135 0.00090325 0.0008652 0.0009107 0.00087535 0.00086675 0.00078265 0.00087705 0.00088135 0.0007826 0.0008711 0.0009 0.000883 0.00081135 0.0008891 0.00081895 0.0008507 0.0008363 0.00090145 0.00089195 0.00090605 0.00089705 0.00084755 0.00092515 0.0008839 0.0008698 0.0008237 0.00062985 0.0008713 0.0009167 0.00088615 0.0008712 0.00088925 0.00086835 0.0008603 0.00086595
4 0.00085685 0.0007377 0.00090885 0.0009157 0.0009607 0.00077135 0.0009272 0.000817 0.00087395 0.0008838 0.0009016 0.0008336 0.0006945 0.00080585 0.0008584 0.0008536 0.00087675 0.000739 0.0009354 0.00069965 0.00082015 0.0008722 0.00085865 0.00079385 0.00087665 0.00083185 0.0009106 0.0006686 0.0008501 0.0008377 0.00082215 0.0008559 0.0007958 0.0008905 0.00086745 0.00084425 0.0007377 0.0008586 0.00090555 0.0008546 0.00093785 0.0008587 0.00084685 0.00086805 0.00081925 0.00093685 0.000855 0.0008404 0.0008986 0.0008724 0.00086035 0.0007462 0.0008484 0.0008814 0.0008688 0.000849 0.0008724 0.00085985 0.00084895 0.00088015 0.00066935 0.00072235 0.00087335 0.0007375 0.0008703 0.000871 0.0008527 0.00068245 0.0008732 0.0008317 0.00086035 0.00086725 0.00064945 0.00080935 0.00085175 0.00086975 0.00089225 0.0006579 0.0008697 0.00073825 0.0009286 0.000877 0.0008152 0.0008416 0.0008387
5 0.00082195 0.0006896 0.0006243 0.00067865 0.00077135 0.0008985 0.0008904 0.0008605 0.00087025 0.0009116 0.0009042 0.00089665 0.0009077 0.00076925 0.0008898 0.00089225 0.00089785 0.00071345 0.000684 0.00063795 0.0008987 0.0009199 0.00091 0.00089515 0.0009448 0.0009329 0.00093575 0.00058085 0.0008729 0.0008538 0.00086355 0.0008855 0.0007667 0.00091245 0.00089385 0.0008291 0.00066965 0.00090995 0.0009255 0.00080875 0.00096645 0.00088225 0.0008757 0.0008859 0.0008553 0.000681 0.00085285 0.0008709 0.0008536 0.0008934 0.00086395 0.00068315 0.00088755 0.00087325 0.00084405 0.0008949 0.0009201 0.00089225 0.00089485 0.0008995 0.0008116 0.0006917 0.00087375 0.00066945 0.00082045 0.00082795 0.00084625 0.0007905 0.0008821 0.0009128 0.00091585 0.0008623 0.00082125 0.000857 0.00090875 0.0008237 0.0006695 0.0007976 0.0009195 0.0006512 0.00093465 0.000896 0.00083745 0.0008263 0.0008445
6 0.0006999 0.0009188 0.0006628 0.0008547 0.0009272 0.0008904 0.0009407 0.00088725 0.00089445 0.000877 0.0008271 0.00089955 0.00087135 0.00088875 0.0008987 0.0008782 0.00089235 0.0009196 0.0008053 0.00090895 0.00092325 0.00089025 0.0009054 0.000893 0.000899 0.0009307 0.0006845 0.00090665 0.00090675 0.00091535 0.0008414 0.00088105 0.00090505 0.0008829 0.00088445 0.00077635 0.00091235 0.00090535 0.00088085 0.0007015 0.0006738 0.0009194 0.00089785 0.0008401 0.0008888 0.00081115 0.0008755 0.0009133 0.0006625 0.00085825 0.0008896 0.00091865 0.00089005 0.00084455 0.00092475 0.0008579 0.00089045 0.00089905 0.00085785 0.00088915 0.0009104 0.00092155 0.00077835 0.00091215 0.0006624 0.0008296 0.0009012 0.0008955 0.0008421 0.0009241 0.00088435 0.0008967 0.0009118 0.00088805 0.00089955 0.000686 0.000888 0.00090965 0.00090295 0.0009202 0.00081615 0.0009317 0.0008968 0.0006977 0.00089545
7 0.00087285 0.00082335 0.0008747 0.00082545 0.000817 0.0008605 0.00088725 0.0008484 0.00083295 0.00089905 0.0007234 0.00083005 0.0008628 0.0008459 0.00084325 0.0008614 0.00084975 0.00083045 0.0007374 0.00081755 0.00063415 0.0008763 0.0008202 0.00069275 0.00088495 0.0008205 0.00086985 0.00086045 0.00091225 0.00088465 0.00085765 0.00082445 0.00092075 0.00081355 0.000866 0.00087575 0.00084665 0.00082015 0.00088995 0.00090235 0.000892 0.0008861 0.00063375 0.0007488 0.0008007 0.00073595 0.0007907 0.0008868 0.00082895 0.0008855 0.0009297 0.00084865 0.00089975 0.00079275 0.00090205 0.00087975 0.0008765 0.00084715 0.0008797 0.00082625 0.0008752 0.00082205 0.00083925 0.00084645 0.0008574 0.0006841 0.0006222 0.00092175 0.00076765 0.00084365 0.00084905 0.0008432 0.00088045 0.0008122 0.0007928 0.00082175 0.0008418 0.0006658 0.00088775 0.00083825 0.0007453 0.0008876 0.00077535 0.0008862 0.00083925
8 0.00089265 0.00085315 0.00088765 0.0008443 0.00087395 0.00087025 0.00089445 0.00083295 0.0008544 0.00089555 0.0008978 0.0006395 0.0008195 0.0009024 0.00091535 0.0008765 0.0008084 0.0007964 0.00088135 0.00086625 0.00084905 0.00080585 0.0008819 0.00090085 0.00080055 0.00085005 0.00090575 0.00086235 0.00090115 0.0009023 0.00091525 0.00065105 0.00089555 0.0007611 0.00088625 0.0008899 0.00088685 0.00088185 0.0008808 0.0008913 0.00088145 0.00080505 0.0008808 0.00089225 0.0008505 0.0008841 0.00067005 0.0008086 0.00084955 0.0008196 0.0008927 0.0007871 0.00091265 0.0008906 0.0006585 0.00083785 0.00080605 0.0009169 0.0008378 0.00088965 0.0008682 0.0008469 0.00079355 0.00088665 0.00085055 0.00089025 0.0008745 0.00088025 0.00089365 0.0008836 0.00088335 0.0006177 0.00086755 0.00087575 0.0008709 0.0009029 0.00079165 0.00083375 0.000815 0.00085775 0.00087325 0.00067495 0.0008937 0.00089865 0.00086475
9 0.00087805 0.00090675 0.00089295 0.00091795 0.0008838 0.0009116 0.000877 0.00089905 0.00089555 0.0006007 0.0009233 0.00085555 0.0008884 0.00094305 0.0009162 0.00092345 0.0006026 0.0008906 0.0009114 0.00091135 0.00088425 0.00057085 0.00089955 0.0008968 0.0008796 0.0008595 0.0008884 0.0008812 0.0006256 0.00093945 0.0009346 0.0008909 0.0009277 0.0008925 0.0005827 0.00089485 0.00092365 0.0008995 0.00056495 0.00092835 0.00084525 0.00089535 0.0009242 0.00094395 0.0008992 0.00091295 0.00090225 0.0008735 0.00091855 0.0008988 0.0006214 0.0008862 0.0005119 0.00095085 0.00092945 0.0009309 0.000571 0.0009195 0.00093085 0.0008796 0.000893 0.00090485 0.00085795 0.00092345 0.0008714 0.0009199 0.0009453 0.00089445 0.0009406 0.00087625 0.000599 0.00088275 0.00084815 0.00087835 0.00089765 0.0009116 0.00086165 0.0009011 0.00061505 0.00090305 0.0008799 0.0009119 0.0009108 0.0009256 0.00059965
