 slim_337486118 slim_337487996 slim_337488038 slim_337487989 slim_337488176 slim_337488149 slim_337488151 slim_337488169 slim_337488096 slim_337488051 slim_337488147 slim_337488117 slim_337488150 slim_337488156 slim_337488164 slim_337488139 slim_337488063 slim_337488158 slim_337488132 slim_337488066 slim_337488153 slim_337488154 slim_337488103 slim_337488163 slim_337488058 slim_337488257 slim_337488239 slim_337488259 slim_337488190 slim_337488180 slim_337488277 slim_337488304 slim_337488252 slim_337488223 slim_337488295 slim_337488244 slim_337488291 slim_337488296 slim_337488279 slim_337488309 slim_337488281 slim_337488280 slim_337488260 slim_337488300 slim_337488298 slim_337488273 slim_337488213 slim_337488297 slim_337488248 slim_337488231 slim_337488234 slim_337488286 slim_337488272 slim_337488262 slim_337488270 slim_337488218 slim_337488217 slim_337488215 slim_337488302 slim_337488216 slim_337488268 slim_337488308 slim_337488212 slim_337488282 slim_337488232 slim_337488192 slim_337488289 slim_337488253 slim_337488255 slim_337488299 slim_337488258 slim_337488269 slim_337488266 slim_337488185 slim_337488292 slim_337488293 slim_337488271 slim_337488241 slim_337488251 slim_337488310 slim_337488181 slim_337488230 slim_337488288 slim_337488198 slim_337488263 slim_337488274 slim_337488305 slim_337488206 slim_337488276 slim_337488235 slim_337488245 slim_337488307
0 0.0007538 0.00083255 0.0008298 0.00081415 0.00079435 0.00077995 0.0007903 0.00081455 0.0008217 0.0008279 0.0008018 0.00083535 0.00075715 0.00080225 0.00073805 0.00084285 0.00080925 0.00083775 0.0007816 0.000836 0.00079275 0.0008067 0.00076915 0.00081125 0.00081335 0.00079955 0.00078285 0.00083195 0.0005669 0.00071185 0.00076135 0.00080935 0.00073455 0.00075275 0.0007911 0.00077635 0.00082375 0.0008181 0.0008162 0.00083035 0.00081095 0.0007876 0.0008055 0.00080835 0.000791 0.0008096 0.00076055 0.0007613 0.0008336 0.00081195 0.0007984 0.00070415 0.0008156 0.0007955 0.0007409 0.000825 0.00082915 0.0008126 0.0008465 0.00081005 0.00080645 0.00078835 0.00079745 0.0008188 0.00083935 0.00083045 0.00081265 0.00082665 0.00082465 0.0008101 0.00084315 0.0008242 0.00080385 0.0007952 0.0007424 0.00082835 0.00081895 0.0008162 0.0008247 0.0007579 0.00082255 0.00083035 0.00069975 0.0008524 0.0007123 0.00080185 0.00080195 0.00081985 0.00077595 0.0007867 0.0007412 0.0008469
1 0.00083255 0.0009082 0.00082735 0.00081965 0.0008476 0.0006468 0.00082185 0.0007539 0.00082005 0.00064315 0.00083865 0.00085285 0.00082965 0.00062165 0.0006695 0.00062175 0.00081865 0.0008507 0.00077975 0.00080955 0.00080635 0.00082625 0.00090415 0.0007677 0.0007968 0.0008402 0.00087805 0.00080605 0.00078995 0.0008539 0.00064105 0.0008125 0.000823 0.000856 0.00061275 0.0008189 0.0007015 0.000818 0.0006401 0.00061865 0.0006192 0.00084015 0.00066345 0.0006756 0.00084245 0.00062485 0.00086325 0.00086995 0.00074155 0.00082045 0.0008149 0.00088695 0.0007973 0.00080715 0.00084885 0.0006333 0.00063785 0.0008241 0.0008404 0.0006329 0.00085465 0.0008131 0.0008599 0.00084565 0.0004542 0.00061875 0.00082415 0.00081335 0.00063295 0.00063295 0.0007819 0.00084805 0.00077205 0.00082685 0.00082495 0.00063845 0.00086275 0.00064015 0.00085155 0.00082465 0.00079475 0.00061865 0.0007793 0.00067195 0.0008797 0.0008192 0.00084705 0.0006417 0.0008455 0.0006468 0.00083555 0.00062525
2 0.0008298 0.00082735 0.0008237 0.0008112 0.0008141 0.0008005 0.0008108 0.00081995 0.0006252 0.0008881 0.0007852 0.0004425 0.0008346 0.00079945 0.00078145 0.0008564 0.000837 0.00085405 0.0008135 0.00079395 0.0008179 0.0006183 0.00087035 0.00078215 0.00083815 0.0007832 0.00083005 0.0008231 0.0008011 0.0008332 0.00082105 0.0008183 0.00075035 0.00082065 0.00077105 0.000811 0.0007848 0.00041185 0.0008308 0.00078975 0.0008454 0.000613 0.00078095 0.00087495 0.0008222 0.00089035 0.00084545 0.0008569 0.00078215 0.00082405 0.00082065 0.0008375 0.00076405 0.0008688 0.0006388 0.0008564 0.00059255 0.0008282 0.00062305 0.00083975 0.0006126 0.0008172 0.00084165 0.0008311 0.0008817 0.00078985 0.00082825 0.0004119 0.00085605 0.0008398 0.0006259 0.0006518 0.0007847 0.00060865 0.0006081 0.0008483 0.0008416 0.0008308 0.0006558 0.0005862 0.0007671 0.00078975 0.00079735 0.00087965 0.0008353 0.0008055 0.0006127 0.00079535 0.0008328 0.0008548 0.00060715 0.00082725
3 0.00081415 0.00081965 0.0008112 0.0008515 0.0008236 0.0008245 0.00066005 0.00072195 0.000768 0.00079855 0.00082775 0.0008336 0.0008012 0.00081345 0.00079655 0.0008232 0.0008284 0.0006658 0.00058865 0.0008192 0.000739 0.00081305 0.00084505 0.0006781 0.0006403 0.00081195 0.00082575 0.00082895 0.00068775 0.00081545 0.00078555 0.0007964 0.00076265 0.0008228 0.00072025 0.0007679 0.0007142 0.00082215 0.000799 0.00079495 0.0008043 0.0008325 0.0008301 0.0008224 0.0006285 0.00083995 0.0008203 0.0008209 0.0005534 0.00062185 0.00048335 0.00079575 0.00060505 0.00079395 0.00082 0.00061615 0.0008282 0.00076575 0.0008331 0.00077605 0.0008153 0.00046415 0.00082815 0.000835 0.0008056 0.00079505 0.0007658 0.0008385 0.00061575 0.0007761 0.0008419 0.00063535 0.00078635 0.00078705 0.0007977 0.00081125 0.00082885 0.000799 0.0007791 0.00079405 0.00073435 0.00079495 0.0007715 0.0008556 0.00078985 0.00060955 0.0008265 0.00082575 0.0008019 0.0008104 0.00079765 0.00081345
4 0.00079435 0.0008476 0.0008141 0.0008236 0.0008715 0.00080405 0.00082085 0.0006165 0.0008456 0.00082105 0.00076525 0.0008161 0.00079535 0.000857 0.0007915 0.0008614 0.0008271 0.00084555 0.0007809 0.00057425 0.00083725 0.000781 0.0008295 0.0008152 0.00082355 0.0007941 0.0008134 0.0006504 0.00078455 0.0007895 0.00083345 0.0008259 0.00077225 0.0006034 0.00080935 0.000787 0.0007049 0.00080575 0.00081215 0.00080735 0.00071085 0.00079555 0.00063945 0.00084445 0.00061795 0.000846 0.00078955 0.0007295 0.0008352 0.0008032 0.00079 0.00080765 0.00077795 0.00084185 0.0007676 0.0008289 0.0008396 0.00082845 0.00075165 0.00083905 0.00062915 0.0008169 0.00063345 0.00077785 0.0008579 0.00080745 0.0008285 0.0008094 0.00082855 0.0008391 0.00083575 0.0007949 0.0007376 0.0007963 0.0007835 0.0006468 0.0008394 0.00081215 0.00082 0.0008254 0.0007347 0.00080735 0.00075525 0.00087485 0.0008091 0.00078315 0.00063885 0.00082225 0.00082805 0.0008143 0.0008001 0.00078525
5 0.00077995 0.0006468 0.0008005 0.0008245 0.00080405 0.0007558 0.0008155 0.00081015 0.00080745 0.0008607 0.000869 0.00080585 0.00081125 0.0006015 0.0006306 0.0008778 0.00082475 0.0008551 0.00077605 0.00082245 0.00084775 0.00078655 0.00086935 0.0007518 0.000797 0.0008095 0.00081905 0.0008067 0.0007713 0.0008208 0.0008711 0.0008273 0.00080765 0.00060645 0.0005734 0.0008219 0.000775 0.0007693 0.00086355 0.00083605 0.00084495 0.00060125 0.00068455 0.0008889 0.0008209 0.0008735 0.0006965 0.0007612 0.0007616 0.00081825 0.0008077 0.0008675 0.0007813 0.0008479 0.0008157 0.0008613 0.00056425 0.0008474 0.0008664 0.00086745 0.0008333 0.00080355 0.0008178 0.00087365 0.00091565 0.00083615 0.00084745 0.0007649 0.00086095 0.0008675 0.0007241 0.00083375 0.00080865 0.00079195 0.0008009 0.00084445 0.0008593 0.00086355 0.00086275 0.0007886 0.0008353 0.00083605 0.0007626 0.00090975 0.00086025 0.0008092 0.0007928 0.0006041 0.0008467 0.0006468 0.0008094 0.00089355
6 0.0007903 0.00082185 0.0008108 0.00066005 0.00082085 0.0008155 0.0006433 0.0008233 0.00068515 0.000846 0.00079615 0.0007877 0.0007528 0.0008345 0.00076065 0.0008161 0.00075915 0.00085045 0.00071725 0.00081235 0.0006702 0.0008274 0.0008748 0.0005469 0.0008007 0.00083865 0.0008703 0.00083325 0.00067745 0.00078275 0.000769 0.0008021 0.00075725 0.00079745 0.00071525 0.0007969 0.00081185 0.00082725 0.0008021 0.00081745 0.00080225 0.00082675 0.0007783 0.0008492 0.00079425 0.0008182 0.0008379 0.0007671 0.00078525 0.000565 0.00077745 0.0007934 0.0008075 0.00068795 0.00072845 0.00081865 0.0008092 0.0004447 0.00076755 0.0007946 0.0007869 0.00056525 0.00086635 0.0008252 0.0008282 0.00081755 0.000445 0.00083055 0.0008183 0.00079465 0.0006701 0.0007906 0.00069415 0.0008137 0.0007392 0.00084525 0.00084635 0.0008021 0.00067015 0.0007563 0.0008076 0.00081745 0.00066065 0.0008603 0.00078875 0.00079255 0.00079115 0.00056855 0.00082155 0.0008218 0.00077055 0.0007952
7 0.00081455 0.0007539 0.00081995 0.00072195 0.0006165 0.00081015 0.0008233 0.0008625 0.00086035 0.00074765 0.00079695 0.0008562 0.0008079 0.00084365 0.00080565 0.00077685 0.00084265 0.00076075 0.00068255 0.0006805 0.00081865 0.00078405 0.00084705 0.0007782 0.00074065 0.0008183 0.00083435 0.00072615 0.0007302 0.0008137 0.0007668 0.0008086 0.00081235 0.00072355 0.0007362 0.00075525 0.0006056 0.00082025 0.00070425 0.0007396 0.00069925 0.0008221 0.0007381 0.0007645 0.00062495 0.0007613 0.0008094 0.00079245 0.0007205 0.0007086 0.0006585 0.0008411 0.0006968 0.00083755 0.0008134 0.00064365 0.00085215 0.00082765 0.00080335 0.00074805 0.00073415 0.00071525 0.0007138 0.00080315 0.000686 0.0007397 0.0008277 0.0008384 0.00064325 0.0007481 0.0008608 0.00071535 0.0007705 0.00078485 0.0008081 0.0006352 0.00083525 0.00070425 0.00083425 0.000865 0.0007012 0.0007396 0.00077445 0.00080345 0.000837 0.0006619 0.00076555 0.00081925 0.000821 0.0007422 0.00084375 0.0007312
8 0.0008217 0.00082005 0.0006252 0.000768 0.0008456 0.00080745 0.00068515 0.00086035 0.000864 0.00084405 0.00083395 0.000602 0.00080005 0.00080525 0.0007711 0.0008277 0.0007927 0.00083315 0.00076005 0.00084785 0.00061095 0.0007306 0.00087105 0.00074075 0.00082705 0.00078825 0.000847 0.0008397 0.0007412 0.00080595 0.0007976 0.0007887 0.0007384 0.0008211 0.00072375 0.0008001 0.00081635 0.000712 0.0008179 0.0007869 0.00084265 0.00076005 0.00078415 0.0008607 0.00080445 0.0008536 0.0008541 0.0008086 0.00077765 0.0007705 0.0008004 0.0008212 0.00075725 0.00063985 0.00076295 0.0008303 0.0006064 0.0005864 0.00079215 0.00082565 0.00067315 0.00071505 0.0008727 0.00084315 0.00085955 0.000787 0.0005867 0.0006815 0.00082995 0.0008257 0.0006436 0.0007862 0.00076595 0.00074675 0.0006461 0.00087145 0.00082375 0.0008179 0.00060195 0.0005839 0.0008118 0.0007869 0.00073485 0.0008627 0.00081195 0.00078865 0.00062005 0.0007606 0.00082595 0.0008469 0.0007065 0.00083585
9 0.0008279 0.00064315 0.0008881 0.00079855 0.00082105 0.0008607 0.000846 0.00074765 0.00084405 0.0008418 0.00081255 0.00091335 0.0008144 0.00083125 0.0008414 0.000596 0.0008433 0.00082545 0.00081155 0.00079435 0.0007917 0.00086385 0.0008003 0.000845 0.00080895 0.00076575 0.0008259 0.0008034 0.0008041 0.0008133 0.0006259 0.0007836 0.0007767 0.0008313 0.0008309 0.000795 0.00072985 0.0009399 0.00064675 0.00057535 0.0006062 0.00091335 0.00078495 0.00061125 0.00080035 0.0006086 0.00081505 0.00082065 0.00080255 0.00082745 0.00080075 0.00081125 0.00076155 0.0007952 0.00087835 0.00060765 0.0008797 0.00082785 0.0008429 0.00061645 0.0008214 0.00081215 0.00081865 0.00077055 0.00042105 0.00057545 0.0008279 0.00093345 0.0006073 0.0006165 0.0008977 0.0008632 0.0007912 0.00086805 0.00083005 0.00062835 0.0008268 0.00064675 0.00086345 0.0008624 0.0007645 0.00057535 0.0008273 0.00063915 0.00081235 0.00083335 0.0008503 0.0008633 0.0007954 0.00063855 0.0008751 0.00058695
