 slim_337519706 slim_337520019 slim_337520018 slim_337519725 slim_337519863 slim_337519997 slim_337519688 slim_337519913 slim_337520023 slim_337519983 slim_337519978 slim_337520008 slim_337519937 slim_337519923 slim_337519920 slim_337519990 slim_337519917 slim_337519888 slim_337519897 slim_337519924 slim_337520007 slim_337520010 slim_337519849 slim_337520003 slim_337519714 slim_337519949 slim_337519981 slim_337520022 slim_337519829 slim_337520006 slim_337519864 slim_337520001 slim_337519982 slim_337520021 slim_337519878 slim_337520029 slim_337520014 slim_337519879 slim_337520013 slim_337519940 slim_337519488 slim_337519909 slim_337519831 slim_337519859 slim_337519828 slim_337519830 slim_337519896 slim_337519820 slim_337519891 slim_337519972 slim_337519765 slim_337519931 slim_337519907 slim_337519813 slim_337519630 slim_337519872 slim_337519936 slim_337520020 slim_337520009 slim_337520027 slim_337520000 slim_337519994 slim_337519952 slim_337519854 slim_337519947 slim_337519846 slim_337519999 slim_337519984 slim_337519866 slim_337519996 slim_337519882 slim_337520026 slim_337519806 slim_337519959 slim_337519954
0 8.54e-05 4.61e-05 4.955e-05 5.025e-05 5.18e-05 5.115e-05 4.655e-05 6.23e-05 4.86e-05 5.31e-05 4.72e-05 6.205e-05 5.35e-05 4.32e-05 5.105e-05 4.765e-05 6.09e-05 4.7e-05 4.86e-05 4.735e-05 5.12e-05 5.39e-05 4.805e-05 5.07e-05 4.905e-05 4.52e-05 4.79e-05 5.205e-05 6.225e-05 4.525e-05 4.795e-05 4.445e-05 4.83e-05 6.19e-05 5.155e-05 4.96e-05 5.34e-05 4.93e-05 5.275e-05 4.845e-05 4.61e-05 5.815e-05 4.925e-05 4.86e-05 6.155e-05 4.82e-05 4.92e-05 4.835e-05 4.75e-05 6.075e-05 4.83e-05 5.77e-05 4.47e-05 4.945e-05 6.3e-05 4.485e-05 4.67e-05 4.83e-05 4.82e-05 5.75e-05 4.505e-05 4.73e-05 5.165e-05 6.23e-05 4.8e-05 4.795e-05 4.475e-05 5.9e-05 6.28e-05 6.095e-05 5.865e-05 4.855e-05 4.78e-05 4.79e-05 4.725e-05
1 4.61e-05 1.06e-05 8.465e-05 4.77e-05 4.975e-05 4.97e-05 7.7e-06 9.755e-05 4.72e-05 1.46e-05 1.125e-05 9.83e-05 5.005e-05 8.37e-05 5.025e-05 1.065e-05 5.86e-05 4.67e-05 4.76e-05 4.305e-05 1.18e-05 8.99e-05 4.65e-05 4.745e-05 4.79e-05 8.09e-05 4.62e-05 1.34e-05 9.635e-05 8.075e-05 8.365e-05 8.19e-05 4.74e-05 9.655e-05 8.935e-05 4.735e-05 4.995e-05 4.635e-05 1.285e-05 8.45e-05 5.35e-06 9.405e-05 4.68e-05 8.335e-05 9.905e-05 8.44e-05 1.17e-05 4.66e-05 4.545e-05 9.565e-05 9.4e-06 5.76e-05 8.145e-05 4.72e-05 9.71e-05 8.095e-05 4.635e-05 8.435e-05 8.335e-05 5.74e-05 8.115e-05 4.66e-05 4.965e-05 9.855e-05 8.38e-05 4.6e-05 8.065e-05 9.555e-05 9.875e-05 5.86e-05 9.5e-05 4.72e-05 4.625e-05 8.455e-05 4.425e-05
2 4.955e-05 8.465e-05 1.41e-05 5.165e-05 5.33e-05 5.19e-05 8.6e-05 2.47e-05 4.985e-05 9.16e-05 8.41e-05 2.54e-05 5.36e-05 1.19e-05 5.185e-05 8.9e-05 5.915e-05 4.83e-05 5.03e-05 4.525e-05 9.005e-05 1.68e-05 4.895e-05 5.095e-05 5.075e-05 7.6e-06 5.155e-05 9.045e-05 2.405e-05 7.2e-06 1.34e-05 9.75e-06 5.025e-05 2.38e-05 1.56e-05 5.005e-05 5.35e-05 4.91e-05 9.095e-05 1.375e-05 8.465e-05 2.04e-05 4.92e-05 1.16e-05 2.58e-05 1.235e-05 8.735e-05 4.9e-05 5.025e-05 2.29e-05 8.87e-05 6.055e-05 8.4e-06 4.945e-05 2.46e-05 8.65e-06 4.755e-05 1.36e-05 1.28e-05 6.04e-05 8.85e-06 4.72e-05 4.68e-05 2.565e-05 1.25e-05 5.09e-05 8.5e-06 2.15e-05 2.065e-05 5.945e-05 2.105e-05 4.685e-05 4.98e-05 1.205e-05 4.735e-05
3 5.025e-05 4.77e-05 5.165e-05 8.44e-05 4.335e-05 4.555e-05 4.72e-05 5.775e-05 4.8e-05 4.71e-05 4.785e-05 5.74e-05 4.62e-05 5.065e-05 4.63e-05 4.865e-05 5.81e-05 4.92e-05 4.525e-05 4.865e-05 4.22e-05 4.84e-05 4.605e-05 4.355e-05 4.73e-05 4.99e-05 4.6e-05 4.445e-05 5.64e-05 5.055e-05 4.615e-05 4.985e-05 4.5e-05 5.73e-05 5.065e-05 4.425e-05 4.61e-05 4.655e-05 4.42e-05 4.615e-05 4.77e-05 6.06e-05 4.785e-05 4.64e-05 5.83e-05 4.615e-05 4.725e-05 4.59e-05 4.66e-05 5.96e-05 4.72e-05 5.98e-05 5.02e-05 4.745e-05 5.78e-05 4.99e-05 4.92e-05 4.595e-05 4.635e-05 5.975e-05 5.01e-05 4.915e-05 4.95e-05 5.765e-05 4.66e-05 4.765e-05 5.04e-05 6.035e-05 6.155e-05 5.84e-05 6.045e-05 5.095e-05 4.63e-05 4.8e-05 4.765e-05
4 5.18e-05 4.975e-05 5.33e-05 4.335e-05 7.89e-05 4.6e-05 4.89e-05 5.725e-05 4.81e-05 4.555e-05 5.1e-05 5.535e-05 4.45e-05 5.22e-05 4.56e-05 4.88e-05 6.02e-05 5.2e-05 4.475e-05 5.16e-05 3.945e-05 4.75e-05 4.615e-05 4.33e-05 4.71e-05 5.275e-05 4.52e-05 4.31e-05 5.48e-05 5.35e-05 4.55e-05 5.185e-05 4.445e-05 5.68e-05 5.21e-05 4.91e-05 4.445e-05 4.975e-05 4.17e-05 4.605e-05 4.975e-05 6.155e-05 4.825e-05 4.65e-05 5.785e-05 4.75e-05 5.05e-05 4.59e-05 4.62e-05 6.105e-05 4.67e-05 6.085e-05 5.275e-05 4.775e-05 5.65e-05 5.225e-05 5.16e-05 4.585e-05 4.595e-05 6.08e-05 5.245e-05 5.245e-05 5.19e-05 5.56e-05 4.64e-05 4.765e-05 5.285e-05 6.22e-05 6.22e-05 5.98e-05 6.24e-05 5.17e-05 4.59e-05 4.855e-05 5.005e-05
5 5.115e-05 4.97e-05 5.19e-05 4.555e-05 4.6e-05 8.92e-05 4.835e-05 5.795e-05 4.985e-05 4.845e-05 4.805e-05 5.76e-05 4.85e-05 5.115e-05 4.535e-05 5.005e-05 5.765e-05 4.825e-05 4.785e-05 4.98e-05 4.59e-05 4.835e-05 4.835e-05 4.535e-05 4.92e-05 5.1e-05 4.85e-05 4.61e-05 5.745e-05 5.155e-05 4.79e-05 5.13e-05 4.755e-05 5.81e-05 4.96e-05 4.54e-05 4.84e-05 4.695e-05 4.735e-05 4.785e-05 4.97e-05 6.105e-05 4.965e-05 4.805e-05 5.75e-05 4.785e-05 4.655e-05 4.835e-05 4.9e-05 5.915e-05 4.985e-05 6.03e-05 5.135e-05 4.935e-05 5.89e-05 5.13e-05 4.935e-05 4.785e-05 4.83e-05 6.025e-05 5.15e-05 4.79e-05 4.88e-05 5.76e-05 4.83e-05 5e-05 5.17e-05 6.01e-05 6.07e-05 5.765e-05 6.01e-05 5.205e-05 4.895e-05 4.855e-05 4.93e-05
6 4.655e-05 7.7e-06 8.6e-05 4.72e-05 4.89e-05 4.835e-05 1.23e-05 9.76e-05 4.8e-05 1.515e-05 1.03e-05 9.765e-05 5.045e-05 8.405e-05 4.89e-05 1.165e-05 5.765e-05 4.665e-05 4.655e-05 4.6e-05 1.095e-05 8.925e-05 4.675e-05 4.58e-05 4.765e-05 8.255e-05 4.62e-05 1.35e-05 9.6e-05 8.28e-05 8.375e-05 8.285e-05 4.635e-05 9.695e-05 8.975e-05 4.625e-05 5.035e-05 4.655e-05 1.235e-05 8.44e-05 7.65e-06 9.5e-05 4.775e-05 8.395e-05 9.91e-05 8.445e-05 1.065e-05 4.68e-05 4.615e-05 9.6e-05 9.75e-06 5.775e-05 8.295e-05 4.775e-05 9.675e-05 8.245e-05 4.735e-05 8.425e-05 8.38e-05 5.755e-05 8.265e-05 4.67e-05 4.9e-05 9.79e-05 8.425e-05 4.69e-05 8.255e-05 9.595e-05 9.885e-05 5.71e-05 9.575e-05 4.795e-05 4.67e-05 8.585e-05 4.6e-05
7 6.23e-05 9.755e-05 2.47e-05 5.775e-05 5.725e-05 5.795e-05 9.76e-05 3.6e-05 6.015e-05 9.335e-05 9.63e-05 1.95e-05 5.685e-05 2.58e-05 5.77e-05 9.58e-05 5.74e-05 6.04e-05 6.045e-05 6.13e-05 9.42e-05 1.945e-05 5.995e-05 5.815e-05 6.02e-05 2.6e-05 6.01e-05 9.355e-05 1.97e-05 2.645e-05 2.28e-05 2.585e-05 6.03e-05 1.865e-05 1.99e-05 5.875e-05 5.675e-05 5.935e-05 9.445e-05 2.29e-05 9.755e-05 2.285e-05 6.005e-05 2.33e-05 1.845e-05 2.165e-05 9.575e-05 6.005e-05 5.855e-05 2.01e-05 9.66e-05 5.87e-05 2.625e-05 5.985e-05 1.955e-05 2.575e-05 6.07e-05 2.275e-05 2.3e-05 5.85e-05 2.595e-05 6.06e-05 5.93e-05 1.915e-05 2.345e-05 5.92e-05 2.605e-05 2.215e-05 2.085e-05 5.775e-05 2.215e-05 6.12e-05 6e-05 2.245e-05 6.12e-05
8 4.86e-05 4.72e-05 4.985e-05 4.8e-05 4.81e-05 4.985e-05 4.8e-05 6.015e-05 9.08e-05 4.8e-05 4.87e-05 6.03e-05 4.66e-05 4.83e-05 5.03e-05 4.88e-05 5.995e-05 4.94e-05 4.72e-05 4.7e-05 4.75e-05 5.16e-05 4.715e-05 4.77e-05 4.65e-05 4.67e-05 4.785e-05 4.935e-05 5.865e-05 4.705e-05 4.725e-05 4.63e-05 4.715e-05 5.94e-05 5.28e-05 4.945e-05 4.635e-05 4.865e-05 4.7e-05 4.77e-05 4.72e-05 5.78e-05 4.61e-05 4.71e-05 6.17e-05 4.785e-05 5.12e-05 4.71e-05 4.76e-05 6.045e-05 4.685e-05 6.005e-05 4.615e-05 4.6e-05 5.83e-05 4.675e-05 4.935e-05 4.755e-05 4.71e-05 5.995e-05 4.695e-05 4.93e-05 5.135e-05 6.055e-05 4.645e-05 4.73e-05 4.695e-05 5.97e-05 6.23e-05 5.99e-05 5.955e-05 5.03e-05 4.725e-05 4.885e-05 4.715e-05
9 5.31e-05 1.46e-05 9.16e-05 4.71e-05 4.555e-05 4.845e-05 1.515e-05 9.335e-05 4.8e-05 7.7e-06 1.67e-05 9.245e-05 4.24e-05 9.015e-05 4.82e-05 1e-05 5.9e-05 5.27e-05 4.98e-05 5.28e-05 8.95e-06 8.485e-05 5.03e-05 4.79e-05 4.725e-05 9.185e-05 4.955e-05 8.55e-06 9.3e-05 9.24e-05 8.615e-05 9.115e-05 4.96e-05 9.32e-05 8.635e-05 4.995e-05 4.24e-05 5.095e-05 6.85e-06 8.62e-05 1.46e-05 9.795e-05 4.815e-05 8.72e-05 9.265e-05 8.67e-05 1.375e-05 5.03e-05 4.965e-05 9.62e-05 1.03e-05 5.975e-05 9.185e-05 4.785e-05 9.165e-05 9.135e-05 5.245e-05 8.605e-05 8.665e-05 5.965e-05 9.155e-05 5.315e-05 5.25e-05 9.27e-05 8.71e-05 4.825e-05 9.175e-05 9.76e-05 9.68e-05 5.895e-05 9.765e-05 5.365e-05 5.01e-05 8.705e-05 5.155e-05
