 slim_337507476 slim_337507521 slim_337507605 slim_337507599 slim_337507555 slim_337507573 slim_337507463 slim_337507388 slim_337507492 slim_337507453 slim_337507297 slim_337507552 slim_337507582 slim_337507581 slim_337507424 slim_337507493 slim_337507567 slim_337507464 slim_337507607 slim_337507503 slim_337507374 slim_337507575 slim_337507546 slim_337507452 slim_337507590 slim_337507496 slim_337507577 slim_337507558 slim_337507589 slim_337507420 slim_337507531 slim_337507574 slim_337507547 slim_337507600 slim_337507431 slim_337507091 slim_337507530 slim_337507497 slim_337507270 slim_337507465 slim_337507442 slim_337507076 slim_337507317 slim_337507597 slim_337507467 slim_337507514 slim_337507517 slim_337507580 slim_337507596 slim_337507448 slim_337507473 slim_337507553 slim_337507592 slim_337507524 slim_337507060 slim_337507542 slim_337507400 slim_337507588 slim_337507412 slim_337507570 slim_337507565 slim_337507569 slim_337507593 slim_337507323 slim_337507534 slim_337507586 slim_337507583 slim_337507525 slim_337507560 slim_337507516 slim_337507472 slim_337507603 slim_337507563 slim_337507548 slim_337507595 slim_337507505 slim_337507509 slim_337507470 slim_337507395 slim_337507608
0 9.8e-05 5.6e-05 5.415e-05 5.275e-05 5.26e-05 5.165e-05 5.535e-05 5.36e-05 5.64e-05 5.625e-05 5.165e-05 5.47e-05 4.93e-05 5.525e-05 5.68e-05 5.645e-05 5.345e-05 5.21e-05 5.36e-05 5.27e-05 5.415e-05 5.52e-05 5.655e-05 5.34e-05 4.94e-05 5.42e-05 5.59e-05 5.215e-05 5.3e-05 5.06e-05 5.565e-05 5.585e-05 5.46e-05 5.635e-05 5.615e-05 5.575e-05 5.515e-05 5.505e-05 5.525e-05 5.435e-05 5.49e-05 5.365e-05 5.015e-05 5.39e-05 5.475e-05 5.355e-05 5.39e-05 5.3e-05 5.57e-05 5.07e-05 5.525e-05 5.59e-05 5.53e-05 5.09e-05 5.375e-05 5.495e-05 5.215e-05 5.38e-05 5.565e-05 5.015e-05 5.35e-05 5.4e-05 5.515e-05 5.59e-05 5.6e-05 5.345e-05 5.26e-05 5.035e-05 5.645e-05 5.37e-05 5.495e-05 5.52e-05 5.25e-05 5.46e-05 5.625e-05 5.575e-05 5.21e-05 5.605e-05 5.525e-05 5.34e-05
1 5.6e-05 9.3e-05 5.33e-05 5.475e-05 5.455e-05 5.775e-05 5.41e-05 4.97e-05 5.59e-05 5.12e-05 5.62e-05 4.745e-05 5.93e-05 4.8e-05 5.245e-05 5.135e-05 5.225e-05 5.125e-05 5.075e-05 5.06e-05 4.99e-05 4.755e-05 5.27e-05 5.095e-05 5.6e-05 4.94e-05 5.115e-05 5.105e-05 5.42e-05 5.515e-05 5.17e-05 5.205e-05 4.95e-05 5.165e-05 5.185e-05 4.775e-05 4.73e-05 4.74e-05 4.75e-05 5.015e-05 4.765e-05 5.08e-05 5.71e-05 5.3e-05 5.605e-05 5.11e-05 5.145e-05 5.43e-05 5.235e-05 5.525e-05 4.735e-05 4.685e-05 4.725e-05 5.545e-05 6.025e-05 4.755e-05 5.43e-05 5.76e-05 5.175e-05 5.965e-05 5.27e-05 5.295e-05 4.705e-05 4.7e-05 4.71e-05 5.225e-05 5.33e-05 6.035e-05 4.795e-05 5.345e-05 4.79e-05 4.815e-05 5.395e-05 4.735e-05 5.405e-05 5.115e-05 5.305e-05 5.195e-05 4.705e-05 5.66e-05
2 5.415e-05 5.33e-05 0.0001042 5.53e-05 5.5e-05 5.515e-05 5.525e-05 5.41e-05 5.56e-05 5.4e-05 5.445e-05 5.375e-05 5.4e-05 5.43e-05 5.565e-05 5.385e-05 5.47e-05 5.48e-05 5.435e-05 5.39e-05 5.385e-05 5.395e-05 5.555e-05 5.465e-05 5.415e-05 5.4e-05 5.41e-05 5.375e-05 5.435e-05 5.375e-05 5.48e-05 5.495e-05 5.32e-05 5.53e-05 5.45e-05 5.325e-05 5.41e-05 5.38e-05 5.385e-05 5.445e-05 5.395e-05 5.39e-05 5.49e-05 5.375e-05 5.49e-05 5.485e-05 5.48e-05 5.47e-05 5.505e-05 5.385e-05 5.39e-05 5.345e-05 5.425e-05 5.405e-05 5.505e-05 5.405e-05 5.44e-05 5.375e-05 5.48e-05 5.42e-05 5.42e-05 5.35e-05 5.4e-05 5.31e-05 5.32e-05 5.47e-05 5.355e-05 5.47e-05 5.385e-05 5.415e-05 5.415e-05 5.44e-05 5.41e-05 5.365e-05 5.5e-05 5.39e-05 5.385e-05 5.505e-05 5.425e-05 5.38e-05
3 5.275e-05 5.475e-05 5.53e-05 8.58e-05 4.32e-05 5.545e-05 4.48e-05 5.395e-05 4.31e-05 5.49e-05 5.465e-05 6.23e-05 6.25e-05 6.285e-05 5.405e-05 6.405e-05 4.615e-05 5.275e-05 4.565e-05 6.295e-05 5.45e-05 5.38e-05 5.395e-05 5.435e-05 5.28e-05 5.415e-05 6.35e-05 4.47e-05 6.325e-05 5.39e-05 5.29e-05 5.295e-05 4.6e-05 5.575e-05 5.33e-05 5.435e-05 6.275e-05 5.365e-05 5.375e-05 6.345e-05 6.25e-05 5.485e-05 5.36e-05 6.32e-05 4.69e-05 6.35e-05 5.495e-05 5.37e-05 5.28e-05 5.4e-05 5.385e-05 5.465e-05 6.29e-05 5.42e-05 5.59e-05 6.265e-05 6.225e-05 5.345e-05 5.28e-05 6.345e-05 6.3e-05 5.455e-05 5.44e-05 4.555e-05 4.565e-05 4.615e-05 6.325e-05 6.325e-05 4.655e-05 4.38e-05 6.245e-05 6.27e-05 6.275e-05 6.22e-05 5.575e-05 6.325e-05 5.42e-05 5.335e-05 6.275e-05 6.355e-05
4 5.26e-05 5.455e-05 5.5e-05 4.32e-05 8.54e-05 5.525e-05 4.505e-05 5.39e-05 4.365e-05 5.465e-05 5.45e-05 6.23e-05 6.235e-05 6.285e-05 5.425e-05 6.35e-05 4.6e-05 5.275e-05 4.555e-05 6.27e-05 5.42e-05 5.38e-05 5.4e-05 5.45e-05 5.265e-05 5.41e-05 6.325e-05 4.45e-05 6.315e-05 5.38e-05 5.315e-05 5.325e-05 4.575e-05 5.575e-05 5.335e-05 5.425e-05 6.275e-05 5.365e-05 5.375e-05 6.345e-05 6.25e-05 5.45e-05 5.34e-05 6.285e-05 4.675e-05 6.34e-05 5.485e-05 5.335e-05 5.315e-05 5.39e-05 5.385e-05 5.44e-05 6.29e-05 5.41e-05 5.57e-05 6.265e-05 6.225e-05 5.36e-05 5.305e-05 6.33e-05 6.295e-05 5.43e-05 5.44e-05 4.53e-05 4.54e-05 4.6e-05 6.29e-05 6.305e-05 4.63e-05 4.41e-05 6.265e-05 6.29e-05 6.265e-05 6.22e-05 5.565e-05 6.3e-05 5.44e-05 5.355e-05 6.3e-05 6.32e-05
5 5.165e-05 5.775e-05 5.515e-05 5.545e-05 5.525e-05 9.7e-05 5.59e-05 5.565e-05 5.88e-05 5.81e-05 5.13e-05 5.7e-05 5.12e-05 5.755e-05 5.745e-05 5.87e-05 5.37e-05 5.49e-05 5.27e-05 5.455e-05 5.62e-05 5.72e-05 5.74e-05 5.3e-05 5.165e-05 5.585e-05 5.815e-05 5.43e-05 5.295e-05 5.265e-05 5.8e-05 5.82e-05 5.62e-05 5.82e-05 5.85e-05 5.775e-05 5.735e-05 5.705e-05 5.715e-05 5.665e-05 5.72e-05 5.34e-05 5.04e-05 5.61e-05 5.62e-05 5.355e-05 5.32e-05 5.565e-05 5.82e-05 5.275e-05 5.715e-05 5.76e-05 5.75e-05 5.295e-05 5.34e-05 5.725e-05 5.42e-05 5.53e-05 5.8e-05 5.01e-05 5.58e-05 5.545e-05 5.73e-05 5.74e-05 5.75e-05 5.37e-05 5.49e-05 4.96e-05 5.735e-05 5.525e-05 5.735e-05 5.76e-05 5.275e-05 5.69e-05 5.795e-05 5.8e-05 5.435e-05 5.805e-05 5.75e-05 5.535e-05
6 5.535e-05 5.41e-05 5.525e-05 4.48e-05 4.505e-05 5.59e-05 8.58e-05 5.39e-05 4.31e-05 5.42e-05 5.49e-05 6.22e-05 6.465e-05 6.275e-05 5.32e-05 6.4e-05 4.43e-05 5.47e-05 4.54e-05 6.425e-05 5.45e-05 5.34e-05 5.28e-05 5.455e-05 5.535e-05 5.295e-05 6.34e-05 4.635e-05 6.345e-05 5.465e-05 5.285e-05 5.29e-05 4.55e-05 5.61e-05 5.33e-05 5.395e-05 6.255e-05 5.325e-05 5.325e-05 6.38e-05 6.24e-05 5.5e-05 5.565e-05 6.33e-05 4.715e-05 6.37e-05 5.475e-05 5.555e-05 5.29e-05 5.475e-05 5.335e-05 5.405e-05 6.27e-05 5.495e-05 5.675e-05 6.255e-05 6.375e-05 5.39e-05 5.275e-05 6.445e-05 6.315e-05 5.45e-05 5.415e-05 4.465e-05 4.475e-05 4.43e-05 6.4e-05 6.49e-05 4.545e-05 4.38e-05 6.235e-05 6.26e-05 6.33e-05 6.21e-05 5.595e-05 6.315e-05 5.49e-05 5.295e-05 6.26e-05 6.42e-05
7 5.36e-05 4.97e-05 5.41e-05 5.395e-05 5.39e-05 5.565e-05 5.39e-05 9.54e-05 5.69e-05 5.32e-05 5.335e-05 4.83e-05 5.69e-05 4.885e-05 5.42e-05 5.415e-05 4.94e-05 5.02e-05 5.035e-05 5.08e-05 4.95e-05 4.83e-05 5.355e-05 5.055e-05 5.36e-05 4.94e-05 5.275e-05 5.06e-05 5.395e-05 5.215e-05 5.235e-05 5.325e-05 4.935e-05 5.235e-05 5.37e-05 4.975e-05 4.855e-05 4.815e-05 4.895e-05 5.04e-05 4.85e-05 5.11e-05 5.485e-05 5.255e-05 5.46e-05 5.04e-05 5.125e-05 5.435e-05 5.31e-05 5.225e-05 4.825e-05 4.96e-05 4.875e-05 5.22e-05 5.95e-05 4.785e-05 5.325e-05 5.715e-05 5.25e-05 5.76e-05 5.2e-05 5.33e-05 4.91e-05 4.93e-05 4.94e-05 4.965e-05 5.355e-05 5.81e-05 5.025e-05 5.285e-05 4.855e-05 4.88e-05 5.345e-05 4.835e-05 5.465e-05 5.33e-05 5.265e-05 5.275e-05 4.905e-05 5.675e-05
8 5.64e-05 5.59e-05 5.56e-05 4.31e-05 4.365e-05 5.88e-05 4.31e-05 5.69e-05 6e-07 5.325e-05 5.72e-05 3.44e-05 2.8e-05 3.495e-05 2.19e-05 3.36e-05 8.545e-05 6.315e-05 8.36e-05 3.895e-05 6.345e-05 5.445e-05 1.635e-05 5.785e-05 5.64e-05 6.225e-05 2.705e-05 8.475e-05 3.495e-05 5.59e-05 1.48e-05 2.05e-05 8.37e-05 3.865e-05 2.11e-05 6.13e-05 3.48e-05 5.43e-05 6.005e-05 4.295e-05 3.46e-05 6.445e-05 5.775e-05 3.575e-05 4.77e-05 3.81e-05 6.43e-05 5.545e-05 2.04e-05 5.6e-05 5.445e-05 5.58e-05 3.495e-05 5.62e-05 1.985e-05 2.905e-05 3.45e-05 1.45e-05 2.035e-05 2.85e-05 3.435e-05 5.44e-05 5.405e-05 8.09e-05 8.1e-05 8.545e-05 3.47e-05 2.93e-05 8.095e-05 4.2e-05 3.43e-05 3.455e-05 3.455e-05 3.43e-05 2e-05 3.25e-05 5.26e-05 1.53e-05 2.89e-05 2.615e-05
9 5.625e-05 5.12e-05 5.4e-05 5.49e-05 5.465e-05 5.81e-05 5.42e-05 5.32e-05 5.325e-05 9.95e-05 5.63e-05 5.155e-05 5.685e-05 5.21e-05 5.335e-05 5.015e-05 5.5e-05 5.445e-05 5.41e-05 5.385e-05 5.25e-05 5.15e-05 5.355e-05 5.49e-05 5.625e-05 5.275e-05 5.08e-05 5.435e-05 5.49e-05 5.525e-05 5.255e-05 5.265e-05 5.275e-05 5.48e-05 5.185e-05 5.14e-05 5.17e-05 5.135e-05 5.12e-05 5.35e-05 5.175e-05 5.43e-05 5.735e-05 5.27e-05 5.565e-05 5.52e-05 5.495e-05 5.33e-05 5.275e-05 5.535e-05 5.13e-05 5.115e-05 5.185e-05 5.555e-05 5.73e-05 5.19e-05 5.48e-05 5.505e-05 5.245e-05 5.72e-05 5.345e-05 5.2e-05 5.165e-05 5.055e-05 5.065e-05 5.5e-05 5.34e-05 5.79e-05 5.175e-05 5.37e-05 5.2e-05 5.225e-05 5.465e-05 5.145e-05 5.45e-05 5.055e-05 5.415e-05 5.28e-05 5.2e-05 5.285e-05
