 slim_337693933 slim_337693893 slim_337693831 slim_337693918 slim_337693857 slim_337693931 slim_337693953 slim_337693948 slim_337693895 slim_337693946 slim_337693898 slim_337693811 slim_337693818 slim_337693941 slim_337693884 slim_337693766 slim_337693817 slim_337693634 slim_337693950 slim_337693776 slim_337693727 slim_337693780 slim_337693330 slim_337693760 slim_337693840 slim_337693741 slim_337693805 slim_337693922 slim_337693871 slim_337693905 slim_337693903 slim_337693707 slim_337693924 slim_337693775 slim_337693851 slim_337693822 slim_337693887 slim_337693951 slim_337693901 slim_337693788 slim_337693923 slim_337693942 slim_337693947 slim_337693915 slim_337693921 slim_337693784 slim_337693934 slim_337693910 slim_337693889 slim_337693940 slim_337693742 slim_337693815 slim_337693708 slim_337693877 slim_337693945 slim_337693952 slim_337693917 slim_337693899 slim_337693834 slim_337693858 slim_337693954 slim_337693668 slim_337693731 slim_337693938 slim_337693914 slim_337693900 slim_337693841 slim_337693955 slim_337693690 slim_337693935 slim_337693897 slim_337693853 slim_337693873 slim_337693836 slim_337693890 slim_337693882
0 9.1e-06 8.4e-06 8.15e-06 8.55e-06 8.5e-06 1.01e-05 8.6e-06 9.45e-06 8.35e-06 6.7e-06 7.45e-06 4.85e-06 8.35e-06 8.65e-06 8.45e-06 5.9e-06 8.8e-06 7.8e-06 7.8e-06 8.25e-06 8.45e-06 6.85e-06 8.45e-06 8.2e-06 9.7e-06 8.7e-06 8.65e-06 9.05e-06 8.8e-06 8.25e-06 7.1e-06 9.15e-06 9e-06 7.95e-06 7.9e-06 9.7e-06 6.75e-06 7.7e-06 7.45e-06 6.5e-06 7.95e-06 7.4e-06 8.95e-06 9.55e-06 6.35e-06 8.5e-06 8.2e-06 9.4e-06 7.6e-06 7.9e-06 7.1e-06 6.2e-06 8.25e-06 8.65e-06 8.55e-06 8.85e-06 5.1e-06 8.55e-06 6.45e-06 7.65e-06 8.2e-06 8.1e-06 7.75e-06 8.6e-06 6.55e-06 9.55e-06 5.8e-06 8.4e-06 9.4e-06 8.5e-06 8.5e-06 8.45e-06 7.7e-06 7.95e-06 8.85e-06 8.15e-06
1 8.4e-06 7.7e-06 4.65e-06 6.25e-06 7.3e-06 1.06e-05 4.8e-06 7.25e-06 5.15e-06 1.105e-05 8.4e-06 8.45e-06 5.4e-06 6.35e-06 6.75e-06 6.95e-06 1.135e-05 7.25e-06 5.5e-06 4.35e-06 6.15e-06 4.8e-06 4.9e-06 4.7e-06 1.105e-05 1.095e-05 4.15e-06 5.15e-06 4.2e-06 7e-06 5.05e-06 8.15e-06 8.85e-06 4.1e-06 5.6e-06 9.2e-06 5.8e-06 5.15e-06 5.45e-06 6.25e-06 5.35e-06 7.5e-06 1.035e-05 7.7e-06 8.4e-06 5.65e-06 4.35e-06 8.15e-06 7.2e-06 5.7e-06 5.15e-06 8.25e-06 6.5e-06 4.4e-06 9.3e-06 7.65e-06 5.8e-06 5.05e-06 4.85e-06 7.75e-06 5.15e-06 4.65e-06 6.35e-06 5.15e-06 7e-06 8.85e-06 8.05e-06 3.85e-06 8.15e-06 9.3e-06 8.1e-06 8.75e-06 7.4e-06 6.55e-06 7.55e-06 5.5e-06
2 8.15e-06 4.65e-06 4.3e-06 4.95e-06 6.25e-06 9.75e-06 5.05e-06 6.25e-06 6.2e-06 1.03e-05 7.95e-06 8.25e-06 3.95e-06 5.55e-06 4.9e-06 7.05e-06 1.055e-05 5.85e-06 5.2e-06 2.8e-06 5.65e-06 4.6e-06 3.4e-06 2.2e-06 1.01e-05 1.02e-05 6.75e-06 3.7e-06 4.95e-06 6.4e-06 4.15e-06 6.95e-06 7.6e-06 4.2e-06 5.55e-06 8.1e-06 5.85e-06 3.45e-06 5.15e-06 6.15e-06 4.05e-06 6.9e-06 9.4e-06 5.9e-06 8.1e-06 4.7e-06 2.8e-06 7e-06 7.25e-06 5.05e-06 4.6e-06 7.95e-06 5.45e-06 5.25e-06 9.1e-06 6.6e-06 5.7e-06 5.2e-06 3.95e-06 7.15e-06 4.3e-06 5.7e-06 4.9e-06 2.8e-06 6.85e-06 7.8e-06 7.85e-06 4.65e-06 7e-06 8.15e-06 7.55e-06 7.55e-06 6.95e-06 5.8e-06 7.1e-06 5.8e-06
3 8.55e-06 6.25e-06 4.95e-06 8.1e-06 7.95e-06 1.01e-05 5.8e-06 7.3e-06 7.2e-06 9.8e-06 8.1e-06 8.6e-06 5.75e-06 7.05e-06 5.6e-06 7.1e-06 1e-05 6.05e-06 6.95e-06 4.55e-06 6.8e-06 5.75e-06 4.9e-06 5e-06 9.4e-06 9.55e-06 7.7e-06 5.2e-06 6.35e-06 7.5e-06 5.5e-06 7.4e-06 8.35e-06 5.85e-06 6.55e-06 9.35e-06 6.95e-06 5.6e-06 6.25e-06 7.35e-06 5.6e-06 8.1e-06 1e-05 7.55e-06 8.35e-06 6.35e-06 4.5e-06 7.3e-06 6.7e-06 6.85e-06 6.15e-06 8.2e-06 5.2e-06 6.5e-06 7.8e-06 8.25e-06 6.9e-06 6.6e-06 5.7e-06 8.35e-06 5.5e-06 7.2e-06 5.75e-06 5e-06 7.95e-06 8.15e-06 8.1e-06 6.25e-06 7.3e-06 8.05e-06 7.55e-06 7.95e-06 7.05e-06 5.15e-06 8.25e-06 7e-06
4 8.5e-06 7.3e-06 6.25e-06 7.95e-06 9e-06 8.25e-06 7.55e-06 7.65e-06 6.75e-06 1.1e-05 9.75e-06 8.55e-06 7.2e-06 7.95e-06 7.5e-06 7.45e-06 1.195e-05 8.8e-06 5.2e-06 7.5e-06 6.75e-06 5.7e-06 7.7e-06 6.3e-06 1.275e-05 1.195e-05 7.25e-06 8.3e-06 7.2e-06 5.8e-06 7.7e-06 1.03e-05 9.7e-06 6.9e-06 5.65e-06 4.85e-06 6.6e-06 6.15e-06 5e-06 7.1e-06 6.5e-06 5.75e-06 8.05e-06 5.75e-06 7.85e-06 6.95e-06 7.45e-06 1.05e-05 7.2e-06 5.3e-06 5.6e-06 7.6e-06 8.45e-06 7.5e-06 1.095e-05 4.95e-06 6.65e-06 7.5e-06 6.85e-06 6.05e-06 6.6e-06 5.95e-06 7.15e-06 6.7e-06 6.45e-06 1.005e-05 8.7e-06 7.3e-06 1.05e-05 7.5e-06 8.75e-06 9.25e-06 7.7e-06 6.4e-06 5.65e-06 6.15e-06
5 1.01e-05 1.06e-05 9.75e-06 1.01e-05 8.25e-06 1.08e-05 1.06e-05 9.15e-06 1.13e-05 9.85e-06 8.95e-06 1.01e-05 9.3e-06 1.035e-05 1.07e-05 1.035e-05 8.75e-06 9.9e-06 1.125e-05 9.4e-06 1.005e-05 9.65e-06 9.35e-06 9.8e-06 8.6e-06 8.75e-06 1.17e-05 9.95e-06 1.105e-05 7.4e-06 9.35e-06 8.8e-06 8.8e-06 1.025e-05 1.08e-05 5.7e-06 1.045e-05 9.75e-06 1.06e-05 1e-05 9.75e-06 7.7e-06 7.35e-06 8.2e-06 1.06e-05 1.04e-05 9.35e-06 9.2e-06 1.1e-05 1.11e-05 1.005e-05 1.045e-05 1.005e-05 1.03e-05 9.4e-06 8.65e-06 9.75e-06 1.06e-05 9.5e-06 8e-06 1.015e-05 1.135e-05 1.035e-05 9.9e-06 1.08e-05 8.7e-06 9.9e-06 1.06e-05 9e-06 8.15e-06 9.15e-06 9.1e-06 1.005e-05 1.06e-05 8.25e-06 1.12e-05
6 8.6e-06 4.8e-06 5.05e-06 5.8e-06 7.55e-06 1.06e-05 7.5e-06 7.1e-06 4.75e-06 1.115e-05 8.4e-06 8.6e-06 5.7e-06 6.4e-06 7.2e-06 7.3e-06 1.13e-05 7.25e-06 6.1e-06 4.4e-06 6.1e-06 4.75e-06 4.6e-06 5.1e-06 1.085e-05 1.085e-05 4.45e-06 4.95e-06 3.85e-06 6.9e-06 5.1e-06 8e-06 9e-06 4.15e-06 5.7e-06 9.5e-06 5.85e-06 5e-06 5.75e-06 6.35e-06 5.25e-06 7.75e-06 1.06e-05 8e-06 8.6e-06 5.4e-06 4.35e-06 7.95e-06 6.9e-06 5.6e-06 5e-06 8.45e-06 6.5e-06 4.9e-06 8.95e-06 7.9e-06 6e-06 4.75e-06 5.25e-06 8e-06 5.15e-06 5.3e-06 6.25e-06 4.95e-06 7.2e-06 8.55e-06 7.85e-06 4.8e-06 7.95e-06 9.5e-06 8.1e-06 8.8e-06 7.65e-06 6.85e-06 7.65e-06 5.95e-06
7 9.45e-06 7.25e-06 6.25e-06 7.3e-06 7.65e-06 9.15e-06 7.1e-06 5e-06 8.2e-06 1.18e-05 8.65e-06 9.5e-06 4e-06 5.4e-06 8.25e-06 8.2e-06 1.18e-05 7.5e-06 8.55e-06 5.45e-06 5.2e-06 6.6e-06 5.55e-06 6.3e-06 1.065e-05 1.125e-05 8.8e-06 6.05e-06 7.7e-06 6.4e-06 6.2e-06 8.25e-06 9.4e-06 6.7e-06 8.1e-06 7.25e-06 7.3e-06 6.45e-06 8.2e-06 6.15e-06 6.7e-06 6.9e-06 9.9e-06 7.7e-06 1.045e-05 6.75e-06 5.4e-06 8.4e-06 9.15e-06 7.9e-06 6.85e-06 1.03e-05 7.25e-06 7.35e-06 9.6e-06 8e-06 6.55e-06 7.2e-06 5.9e-06 7.15e-06 7.05e-06 8.6e-06 7.7e-06 6.45e-06 9.05e-06 9.3e-06 9.1e-06 7.25e-06 8.4e-06 8.35e-06 9.35e-06 6.75e-06 6.2e-06 8.6e-06 7.55e-06 8.35e-06
8 8.35e-06 5.15e-06 6.2e-06 7.2e-06 6.75e-06 1.13e-05 4.75e-06 8.2e-06 4.4e-06 1.145e-05 8.85e-06 8.4e-06 7.4e-06 7e-06 7.65e-06 6.85e-06 1.185e-05 8.1e-06 3.9e-06 6.95e-06 4.95e-06 3.9e-06 6.4e-06 6.25e-06 1.195e-05 1.145e-05 2.85e-06 7.05e-06 3.7e-06 7.55e-06 6.75e-06 8.95e-06 1e-05 4.55e-06 2.9e-06 1.005e-05 4.1e-06 5.35e-06 3.4e-06 5.9e-06 5.55e-06 7.95e-06 1.09e-05 8.2e-06 7.35e-06 4.85e-06 6.9e-06 9.25e-06 5.75e-06 3.55e-06 4.3e-06 7.2e-06 8.1e-06 5e-06 9.45e-06 7.1e-06 5.85e-06 4.4e-06 6.35e-06 8.2e-06 5.4e-06 3.4e-06 6.15e-06 6.3e-06 5.85e-06 9.8e-06 8.1e-06 5.15e-06 9.25e-06 1.02e-05 7.5e-06 9.75e-06 7.8e-06 5.45e-06 6.6e-06 3.15e-06
9 6.7e-06 1.105e-05 1.03e-05 9.8e-06 1.1e-05 9.85e-06 1.115e-05 1.18e-05 1.145e-05 7.3e-06 8.15e-06 6.7e-06 1.07e-05 1.15e-05 9.15e-06 8.5e-06 5.95e-06 8.2e-06 1.1e-05 1.045e-05 1.125e-05 1.005e-05 1.065e-05 1.035e-05 6.85e-06 5.3e-06 1.165e-05 1.12e-05 1.12e-05 1.075e-05 9.4e-06 8.9e-06 8.65e-06 1.06e-05 1.11e-05 1.15e-05 1.045e-05 1.03e-05 1.065e-05 1.05e-05 1.055e-05 1.04e-05 8.35e-06 1.145e-05 7.35e-06 1.12e-05 1.04e-05 9.05e-06 9.7e-06 1.105e-05 1.03e-05 7.2e-06 9.05e-06 1.125e-05 8.1e-06 1.135e-05 9.3e-06 1.12e-05 9.7e-06 1.065e-05 1.085e-05 1.12e-05 9.75e-06 1.065e-05 9.65e-06 9e-06 7.15e-06 1.105e-05 9.05e-06 8.65e-06 8.65e-06 7.35e-06 9.4e-06 9.75e-06 1.125e-05 1.135e-05
