 slim_337505024 slim_337505100 slim_337505121 slim_337505098 slim_337505086 slim_337505114 slim_337504983 slim_337505039 slim_337505052 slim_337505103 slim_337505072 slim_337505016 slim_337505096 slim_337504895 slim_337505041 slim_337505060 slim_337505106 slim_337504972 slim_337505111 slim_337505061 slim_337505085 slim_337505062 slim_337504981 slim_337504927 slim_337504925 slim_337505090 slim_337504817 slim_337505079 slim_337505030 slim_337505089 slim_337504901 slim_337505112 slim_337504963 slim_337505116 slim_337504878 slim_337505118 slim_337505058 slim_337505115 slim_337505120 slim_337505012 slim_337505078 slim_337505113 slim_337505044 slim_337505076 slim_337504725 slim_337504833 slim_337505081 slim_337505099 slim_337505037 slim_337504719 slim_337504970 slim_337505097 slim_337504866 slim_337504907 slim_337505107 slim_337504570 slim_337505047 slim_337505017 slim_337504975 slim_337504998 slim_337505117 slim_337505042 slim_337505092 slim_337505095 slim_337505083 slim_337505073 slim_337504721 slim_337504967 slim_337505080 slim_337504791 slim_337504930 slim_337505105 slim_337505119 slim_337505006 slim_337504974 slim_337505091 slim_337505093 slim_337505049
0 0.000305 0.0002954 0.0005021 0.000397 0.00038985 0.00036625 0.0002282 0.000368 0.0003997 0.0003664 0.0004056 0.0004054 0.0003295 0.0003967 0.0003635 0.0004512 0.0005021 0.0004336 0.0003683 0.00039675 0.00046425 0.0003969 0.00022835 0.00039675 0.00022795 0.0003913 0.0003968 0.0004598 0.0003301 0.00037945 0.0004646 0.00046335 0.0003842 0.00036655 0.00035425 0.0004057 0.00029085 0.0003663 0.0003895 0.00029895 0.00036615 0.00027695 0.00045975 0.0003666 0.00022545 0.0004909 0.0003725 0.00045975 0.00023655 0.0003092 0.00040285 0.00040605 0.00045965 0.00022795 0.0004054 0.0003865 0.00019125 0.0003827 0.0003119 0.00047745 0.0004652 0.0003736 0.00042745 0.0004962 0.00033025 0.00032745 0.0003969 0.0004468 0.00041135 0.0004467 0.00038635 0.000347 0.00037085 0.0003617 0.0004511 0.00022815 0.00022785 0.00044705
1 0.0002954 0.0004169 0.00043535 0.0003497 0.00038415 0.000305 0.00027135 0.00037875 0.00034155 0.00030515 0.00042435 0.0004241 0.00035425 0.0003494 0.0003051 0.00030805 0.00046115 0.00034175 0.00037895 0.00034945 0.0002875 0.00034955 0.00027125 0.0003494 0.00027065 0.00037785 0.0003495 0.00032155 0.0003659 0.0003455 0.00040795 0.0003408 0.0003698 0.0003053 0.00027055 0.0003891 0.0002433 0.00030505 0.0003838 0.00035915 0.0003049 0.0004152 0.00032175 0.00030535 0.00030025 0.0003223 0.00041075 0.00032825 0.00034575 0.0003649 0.000397 0.0003632 0.00032165 0.00027065 0.00042415 0.00036205 0.0003204 0.0003032 0.0004074 0.0003871 0.00024255 0.00024815 0.00034205 0.00036975 0.00031895 0.0003354 0.0003496 0.0003425 0.00047165 0.0003424 0.00035425 0.0004194 0.00027085 0.00035715 0.00030805 0.0002713 0.00027055 0.00034275
2 0.0005021 0.00043535 0.0002444 0.0003475 0.00028955 0.00044715 0.0005328 0.00033745 0.00023885 0.0004473 0.00025505 0.0002549 0.0004329 0.0003472 0.0004064 0.00024595 0.0001234 0.00027 0.00033755 0.00034725 0.00024015 0.00034745 0.00053265 0.0003473 0.0005425 0.0003337 0.0003473 0.00022305 0.0005235 0.0003721 0.000135 0.00020755 0.0003532 0.00044745 0.00036305 0.00023915 0.00040805 0.0004472 0.0002892 0.0004051 0.00044705 0.0004697 0.00022285 0.0004475 0.00047255 0.00019105 0.0003356 0.0002232 0.0004401 0.00048265 0.0003476 0.00023865 0.00022275 0.0005425 0.00025485 0.0002445 0.00051835 0.00042615 0.00047915 0.000129 0.00030925 0.0003321 0.0002249 0.0001906 0.0003204 0.00030855 0.0003474 0.00022875 0.0002551 0.00022865 0.0003643 0.00033885 0.00046455 0.0003377 0.00024585 0.00053275 0.0005424 0.000229
3 0.000397 0.0003497 0.0003475 0.0006477 0.00036125 0.0003259 0.0003484 0.0003719 0.00038395 0.000326 0.0003459 0.00034625 0.00038015 0.00032415 0.0003632 0.00035415 0.00032705 0.00034735 0.00037205 0.00032425 0.0003261 0.00032435 0.00034825 0.00032425 0.0003478 0.00035265 0.00032425 0.000326 0.00032445 0.00034805 0.00038085 0.00035905 0.00035255 0.00032615 0.00035455 0.0003854 0.0003499 0.0003259 0.0003614 0.00042105 0.0003258 0.00037165 0.00032605 0.0003262 0.0004026 0.0003247 0.00039695 0.0003265 0.00037015 0.0003978 0.0003259 0.00040625 0.00032595 0.00034775 0.00034625 0.00041185 0.0004025 0.00033065 0.0003461 0.00035265 0.0003281 0.0003463 0.00037785 0.0003255 0.00037195 0.00034975 0.00032405 0.00035415 0.0003476 0.00035405 0.00034645 0.00040655 0.000326 0.0003497 0.00035405 0.00034835 0.00034765 0.0003544
4 0.00038985 0.00038415 0.00028955 0.00036125 0.000533 0.00042125 0.00040415 0.00033765 0.00032085 0.0004214 0.0002879 0.00028825 0.00039235 0.00036145 0.00034185 0.0003483 0.0003118 0.00036295 0.0003378 0.00036155 0.0003421 0.00036175 0.00040405 0.0003616 0.0004036 0.00035615 0.0003616 0.00032695 0.00044105 0.0003634 0.0002798 0.0003414 0.0003681 0.00042155 0.00039825 0.00034335 0.000369 0.0004213 0.0002667 0.0003206 0.00042115 0.0003584 0.00032675 0.0004216 0.00036115 0.0003256 0.0003516 0.00033375 0.0003305 0.0004466 0.00038405 0.0003215 0.00032665 0.0004036 0.00028815 0.0003269 0.00037505 0.00042955 0.00038265 0.00027345 0.00040215 0.0003777 0.00031475 0.0003474 0.0003234 0.0003319 0.00036135 0.000333 0.0003106 0.0003329 0.00036195 0.00033885 0.00043675 0.0003371 0.0003482 0.0004041 0.0004035 0.00033325
5 0.00036625 0.000305 0.00044715 0.0003259 0.00042125 0.0004148 0.00027325 0.00038895 0.00045335 0.0002077 0.0004156 0.0004153 0.00029915 0.0003255 0.0003523 0.0003832 0.000443 0.00034705 0.00039725 0.00032555 0.00037505 0.0003257 0.00027325 0.00032545 0.00025565 0.00035245 0.0003257 0.00032545 0.00020745 0.00034685 0.0004604 0.0003891 0.0003515 0.0002079 0.0002598 0.0004531 0.00027305 0.0002077 0.0004209 0.0004306 0.0002074 0.0003475 0.00032555 0.00020795 0.0003784 0.0003748 0.00044535 0.00032575 0.0003627 0.00032775 0.00032565 0.0004667 0.0003255 0.00025565 0.0004154 0.00046135 0.0003646 0.00026275 0.0002973 0.00045205 0.00030635 0.0002975 0.00046625 0.00035685 0.0003925 0.00039075 0.0003257 0.0003338 0.0004151 0.0003338 0.00034705 0.0004254 0.00025715 0.00037565 0.0003831 0.0002732 0.00025555 0.0003341
6 0.0002282 0.00027135 0.0005328 0.0003484 0.00040415 0.00027325 0.0003374 0.0003775 0.000475 0.00027335 0.00042325 0.000423 0.0003229 0.00034815 0.00032695 0.0004559 0.0004959 0.00043015 0.0003778 0.0003482 0.0004506 0.00034825 0.00016895 0.00034815 0.00016895 0.00036255 0.0003482 0.0004523 0.00020225 0.00034625 0.0005385 0.0004725 0.00035395 0.0002735 0.00033965 0.0004593 0.00027305 0.00027325 0.0004038 0.00035135 0.00027315 0.0002517 0.0004525 0.00027325 0.00025885 0.00048355 0.0004159 0.0004525 0.00024365 0.0002972 0.00033275 0.00049655 0.0004524 0.00016895 0.00042305 0.00048015 0.0002185 0.0002877 0.0002438 0.000533 0.00040705 0.0003512 0.0004996 0.0004672 0.00036445 0.00033245 0.00034835 0.0004579 0.0004073 0.0004578 0.00035305 0.0004032 0.0002714 0.000356 0.0004558 0.00016895 0.00016885 0.00045815
7 0.000368 0.00037875 0.00033745 0.0003719 0.00033765 0.00038895 0.0003775 0.0006412 0.0003637 0.0003891 0.000337 0.0003368 0.00037555 0.0003716 0.00036635 0.0003719 0.0003548 0.00036475 0.00032905 0.00037165 0.0003815 0.0003718 0.0003775 0.00037165 0.00036895 0.0003706 0.0003717 0.0003699 0.0003876 0.0003659 0.0003337 0.0003766 0.00037055 0.00038925 0.00035755 0.00036495 0.00037525 0.000389 0.0003373 0.00034855 0.00038885 0.000321 0.00036975 0.0003893 0.000356 0.0003766 0.0003783 0.0003701 0.00034235 0.00039785 0.00037305 0.0003478 0.00036965 0.00036895 0.0003368 0.00035395 0.0003639 0.0004055 0.000356 0.0003431 0.0004072 0.0003798 0.0003662 0.0003692 0.00035225 0.0003593 0.0003718 0.00036025 0.000338 0.00036015 0.0003644 0.0003487 0.0004008 0.0003366 0.0003718 0.00037745 0.00036885 0.0003605
8 0.0003997 0.00034155 0.00023885 0.00038395 0.00032085 0.00045335 0.000475 0.0003637 0.0003414 0.0004535 0.0003378 0.0003377 0.00040105 0.00038355 0.00037475 0.00023265 0.0002634 0.00029035 0.0003639 0.00038375 0.0002253 0.00038395 0.00047485 0.0003838 0.0004999 0.00037975 0.0003838 0.00024105 0.00058125 0.0003919 0.0001861 0.0002208 0.00039175 0.00045365 0.00031345 0.00021715 0.00033175 0.0004534 0.0003204 0.0003203 0.00045325 0.0005234 0.00024085 0.0004537 0.00037485 0.00020895 0.0003334 0.0002441 0.0004286 0.0004453 0.00043 0.00017785 0.00024075 0.0004999 0.00033765 0.00017815 0.0004225 0.0004259 0.00055015 0.0001787 0.0002646 0.00025875 0.00017115 0.00026955 0.0002856 0.0003084 0.0003839 0.00024815 0.00038375 0.00024805 0.0003906 0.0003387 0.00043805 0.0003569 0.00023255 0.00047495 0.0004998 0.0002484
9 0.0003664 0.00030515 0.0004473 0.000326 0.0004214 0.0002077 0.00027335 0.0003891 0.0004535 0.0004151 0.00041575 0.00041545 0.0002993 0.00032575 0.00035245 0.00038335 0.00044315 0.0003473 0.0003974 0.0003258 0.0003752 0.00032565 0.00027335 0.0003257 0.0002556 0.0003526 0.00032565 0.0003256 0.0002077 0.000347 0.00046055 0.00038925 0.0003516 0.00020785 0.00025995 0.00045325 0.0002732 0.00020765 0.00042105 0.00043075 0.00020765 0.00034765 0.0003257 0.00020805 0.00037855 0.00037495 0.0004455 0.0003259 0.00036285 0.000328 0.0003258 0.00046685 0.00032565 0.00025575 0.00041555 0.0004615 0.00036475 0.00026285 0.00029755 0.0004522 0.0003065 0.0002977 0.0004664 0.000357 0.0003927 0.0003909 0.00032595 0.00033395 0.00041525 0.00033395 0.0003473 0.00042555 0.00025725 0.0003758 0.00038325 0.00027315 0.00025565 0.00033425
