 slim_337531538 slim_337531395 slim_337531482 slim_337531437 slim_337531491 slim_337531541 slim_337531567 slim_337531434 slim_337531353 slim_337531519 slim_337531521 slim_337531429 slim_337531273 slim_337531520 slim_337531461 slim_337531531 slim_337531579 slim_337531335 slim_337531592 slim_337531415 slim_337531589 slim_337531580 slim_337531490 slim_337531489 slim_337531336 slim_337531554 slim_337531493 slim_337531509 slim_337531588 slim_337531571 slim_337531404 slim_337531446 slim_337531555 slim_337531463 slim_337531244 slim_337531479 slim_337531376 slim_337531573 slim_337531454 slim_337531239 slim_337531511 slim_337531587 slim_337531516 slim_337531561 slim_337531258 slim_337531546 slim_337531515 slim_337531585 slim_337531496 slim_337531576 slim_337531581 slim_337531562 slim_337531542 slim_337531451 slim_337531583 slim_337531534 slim_337531297 slim_337531408 slim_337531569 slim_337530839 slim_337531156 slim_337531495 slim_337531486 slim_337531557 slim_337531136 slim_337531492 slim_337531425 slim_337531134 slim_337531564 slim_337531494 slim_337531584 slim_337531517 slim_337531575 slim_337531578 slim_337531518 slim_337531465 slim_337531473 slim_337531563 slim_337531537
0 7.9e-06 1.85e-05 3.59e-05 6.125e-05 3.395e-05 2.985e-05 5.975e-05 3.075e-05 9.035e-05 3.5e-05 4.425e-05 3.11e-05 8.81e-05 8.995e-05 1.89e-05 6.05e-06 4.9e-05 2.045e-05 5.85e-06 4.75e-05 6.2e-05 1.91e-05 1.77e-05 3.35e-05 5.775e-05 8.615e-05 1.905e-05 3.59e-05 2.005e-05 1.89e-05 6.355e-05 5.755e-05 4.84e-05 4.535e-05 4.68e-05 2.04e-05 2.935e-05 3.085e-05 5.93e-05 5.98e-05 1.85e-05 2.945e-05 9.05e-05 1.655e-05 5.935e-05 3e-05 2.045e-05 1.82e-05 4.805e-05 3.56e-05 4.1e-06 3.125e-05 4.885e-05 5.775e-05 1.69e-05 4.685e-05 1.835e-05 5.825e-05 5.995e-05 1.83e-05 3.275e-05 1.805e-05 4.74e-05 4.645e-05 3.135e-05 6.135e-05 5.76e-05 4.665e-05 6.01e-05 1.915e-05 4.71e-05 9.65e-05 6.1e-06 4.05e-06 2.99e-05 6.01e-05 3.1e-05 7.6e-06 7.9e-06
1 1.85e-05 3.17e-05 3.61e-05 6.1e-05 4.75e-05 1.7e-05 5.91e-05 1.78e-05 0.00010215 2.455e-05 4.385e-05 1.85e-05 9.975e-05 0.00010185 1.695e-05 1.905e-05 6.105e-05 1.855e-05 1.91e-05 4.845e-05 6.425e-05 1.705e-05 1.79e-05 3.45e-05 5.715e-05 9.7e-05 1.7e-05 4.63e-05 2.035e-05 1.69e-05 6.535e-05 5.675e-05 5.97e-05 5.755e-05 5.99e-05 2e-05 1.64e-05 3.165e-05 5.9e-05 5.94e-05 1.77e-05 1.655e-05 0.0001023 1.71e-05 5.9e-05 1.755e-05 1.835e-05 1.815e-05 4.815e-05 3.53e-05 1.86e-05 1.865e-05 5.92e-05 5.655e-05 1.77e-05 6e-05 1.94e-05 5.725e-05 5.99e-05 1.72e-05 2.07e-05 1.78e-05 6.04e-05 6.035e-05 1.895e-05 6.11e-05 5.705e-05 5.67e-05 5.965e-05 1.935e-05 5.715e-05 9.6e-05 1.75e-05 1.845e-05 1.72e-05 4.77e-05 1.85e-05 1.965e-05 1.745e-05
2 3.59e-05 3.61e-05 6.13e-05 6.24e-05 5.32e-05 4.12e-05 6.075e-05 3.935e-05 8.095e-05 3.555e-05 5.32e-05 4.265e-05 7.775e-05 8.005e-05 3.61e-05 3.555e-05 5.815e-05 3.795e-05 3.55e-05 5.715e-05 4.84e-05 3.67e-05 3.85e-05 4.365e-05 5.755e-05 7.35e-05 3.625e-05 5.06e-05 4.08e-05 3.555e-05 5.275e-05 5.76e-05 5.58e-05 5.415e-05 5.74e-05 3.955e-05 4.05e-05 4.075e-05 5.93e-05 6.055e-05 3.755e-05 4.06e-05 8.11e-05 3.805e-05 5.935e-05 4.145e-05 3.8e-05 3.855e-05 5.715e-05 4.34e-05 3.6e-05 4.28e-05 5.54e-05 5.62e-05 3.815e-05 5.74e-05 3.98e-05 5.7e-05 6.045e-05 3.64e-05 4.425e-05 3.83e-05 5.85e-05 5.84e-05 4.245e-05 6.25e-05 5.74e-05 5.29e-05 6.085e-05 3.985e-05 5.335e-05 7.745e-05 3.37e-05 3.585e-05 4.08e-05 4.855e-05 4.23e-05 3.595e-05 3.245e-05
3 6.125e-05 6.1e-05 6.24e-05 0.0001157 6.09e-05 5.905e-05 5.865e-05 6.06e-05 5.885e-05 6.085e-05 6.02e-05 5.955e-05 6.06e-05 6.075e-05 6.095e-05 6.23e-05 6.065e-05 6.12e-05 6.235e-05 6.005e-05 6.17e-05 6.15e-05 5.97e-05 6.015e-05 6.12e-05 6.36e-05 6.09e-05 6.165e-05 5.97e-05 6.055e-05 6.3e-05 6.135e-05 6.19e-05 6.275e-05 6.155e-05 6.095e-05 5.92e-05 6.025e-05 6.14e-05 5.835e-05 6.11e-05 5.93e-05 5.99e-05 6.03e-05 6.105e-05 5.975e-05 6.085e-05 5.925e-05 5.93e-05 6.12e-05 6.1e-05 5.97e-05 6.215e-05 6.125e-05 6.03e-05 6.16e-05 6.04e-05 6.175e-05 6.08e-05 6.045e-05 5.905e-05 6.035e-05 6.075e-05 6.15e-05 5.91e-05 5.91e-05 6.105e-05 6.275e-05 5.955e-05 5.94e-05 6.32e-05 6.14e-05 6.195e-05 6.12e-05 5.94e-05 5.885e-05 5.855e-05 6.15e-05 6.27e-05
4 3.395e-05 4.75e-05 5.32e-05 6.09e-05 6.25e-05 5.935e-05 5.98e-05 5.95e-05 6.055e-05 6.465e-05 4.55e-05 6.035e-05 6.245e-05 6.13e-05 4.74e-05 3.71e-05 4.945e-05 4.885e-05 3.74e-05 4.96e-05 5.185e-05 4.8e-05 4.57e-05 4.895e-05 6.16e-05 6.43e-05 4.77e-05 3.395e-05 4.825e-05 4.73e-05 6.75e-05 6.175e-05 4.945e-05 5.045e-05 4.925e-05 5.005e-05 5.89e-05 4.765e-05 6.3e-05 5.95e-05 4.855e-05 5.9e-05 6.07e-05 4.77e-05 6.295e-05 5.92e-05 4.885e-05 4.67e-05 4.65e-05 5.015e-05 3.145e-05 6.05e-05 4.915e-05 6.125e-05 4.77e-05 4.93e-05 4.9e-05 6.15e-05 6.055e-05 4.77e-05 6.14e-05 4.785e-05 4.87e-05 4.98e-05 6.03e-05 6.1e-05 6.145e-05 4.995e-05 5.98e-05 4.715e-05 5.04e-05 7.44e-05 3.635e-05 3.39e-05 5.91e-05 5.995e-05 6.015e-05 3.68e-05 3.675e-05
5 2.985e-05 1.7e-05 4.12e-05 5.905e-05 5.935e-05 3e-06 5.77e-05 4.9e-06 0.0001137 1.47e-05 4.24e-05 3.6e-06 0.0001113 0.00011295 1.77e-05 3.045e-05 7.265e-05 1.935e-05 3.015e-05 4.57e-05 6.705e-05 1.78e-05 1.645e-05 3.18e-05 5.53e-05 0.0001089 1.72e-05 5.995e-05 1.76e-05 1.675e-05 6.845e-05 5.535e-05 7.165e-05 6.89e-05 7.045e-05 1.785e-05 1.6e-06 2.935e-05 5.745e-05 5.755e-05 1.63e-05 1.75e-06 0.00011385 1.515e-05 5.67e-05 3.1e-06 1.86e-05 1.55e-05 4.615e-05 3.33e-05 3.085e-05 3.75e-06 7.235e-05 5.505e-05 1.525e-05 7.055e-05 1.73e-05 5.62e-05 5.805e-05 1.62e-05 4.95e-06 1.555e-05 7.14e-05 7.075e-05 3.25e-06 5.915e-05 5.52e-05 7.05e-05 5.78e-05 1.7e-05 7.095e-05 9.45e-05 3.055e-05 2.98e-05 1.95e-06 3.225e-05 3.15e-06 3.055e-05 3.21e-05
6 5.975e-05 5.91e-05 6.075e-05 5.865e-05 5.98e-05 5.77e-05 0.0001136 5.915e-05 5.78e-05 5.895e-05 5.85e-05 5.92e-05 5.92e-05 5.935e-05 5.96e-05 6.075e-05 5.93e-05 6.13e-05 6.06e-05 5.835e-05 6.04e-05 5.98e-05 5.865e-05 6.015e-05 5.94e-05 6.19e-05 5.935e-05 6.025e-05 6.075e-05 5.895e-05 6.14e-05 5.93e-05 6.05e-05 6.095e-05 5.975e-05 6.1e-05 5.71e-05 5.84e-05 6.14e-05 5.69e-05 5.9e-05 5.71e-05 5.885e-05 5.815e-05 6.12e-05 5.83e-05 6.11e-05 5.855e-05 6.01e-05 6.125e-05 5.985e-05 5.935e-05 6.065e-05 5.945e-05 5.845e-05 5.985e-05 6.03e-05 6.04e-05 5.95e-05 5.89e-05 6.09e-05 5.885e-05 5.93e-05 5.98e-05 5.915e-05 5.965e-05 5.93e-05 6.12e-05 5.805e-05 5.98e-05 6.165e-05 5.965e-05 6.035e-05 5.97e-05 5.745e-05 5.885e-05 5.89e-05 6.085e-05 6.14e-05
7 3.075e-05 1.78e-05 3.935e-05 6.06e-05 5.95e-05 4.9e-06 5.915e-05 7.6e-06 0.0001137 1.49e-05 4.385e-05 6.75e-06 0.0001108 0.00011295 1.785e-05 3.06e-05 7.235e-05 1.995e-05 3.05e-05 4.73e-05 6.61e-05 1.835e-05 1.73e-05 3.4e-05 5.585e-05 0.0001075 1.76e-05 5.92e-05 2.02e-05 1.695e-05 6.675e-05 5.63e-05 7.075e-05 6.865e-05 7.11e-05 1.915e-05 4.3e-06 3.12e-05 5.835e-05 5.87e-05 1.75e-05 4.35e-06 0.00011385 1.725e-05 5.77e-05 5.2e-06 1.935e-05 1.765e-05 4.76e-05 3.46e-05 3.135e-05 6.9e-06 7.165e-05 5.53e-05 1.71e-05 7.12e-05 1.935e-05 5.61e-05 5.885e-05 1.645e-05 8e-06 1.705e-05 7.205e-05 7.15e-05 5.9e-06 6.07e-05 5.585e-05 6.925e-05 5.895e-05 1.855e-05 6.97e-05 9.485e-05 3.05e-05 3.07e-05 4e-06 3.5e-05 5.85e-06 3.13e-05 3.045e-05
8 9.035e-05 0.00010215 8.095e-05 5.885e-05 6.055e-05 0.0001137 5.78e-05 0.0001137 3.8e-06 0.00010405 7.52e-05 0.00011485 8.3e-06 5.2e-06 0.000102 9.17e-05 4.715e-05 0.0001032 9.175e-05 7.145e-05 5.35e-05 0.00010265 0.00010105 8.84e-05 6.38e-05 1.525e-05 0.000102 6.115e-05 0.000103 0.00010135 5.475e-05 6.415e-05 4.97e-05 5.365e-05 4.97e-05 0.00010395 0.00011325 8.805e-05 6.515e-05 5.73e-05 0.0001027 0.00011335 2.15e-06 0.00010235 6.515e-05 0.0001139 0.0001033 0.0001013 7.375e-05 8.905e-05 8.935e-05 0.000115 4.945e-05 6.415e-05 0.00010215 4.975e-05 0.0001034 6.475e-05 6.105e-05 0.00010195 0.0001157 0.00010255 4.67e-05 4.915e-05 0.00011445 5.905e-05 6.365e-05 5.245e-05 5.75e-05 0.00010215 5.29e-05 2.515e-05 9.095e-05 9.03e-05 0.00011325 8.505e-05 0.00011445 9.115e-05 9.13e-05
9 3.5e-05 2.455e-05 3.555e-05 6.085e-05 6.465e-05 1.47e-05 5.895e-05 1.49e-05 0.00010405 2.71e-05 5.125e-05 1.645e-05 0.00010085 0.0001027 2.52e-05 3.48e-05 6.96e-05 2.71e-05 3.445e-05 5.46e-05 6.28e-05 2.52e-05 2.535e-05 4.115e-05 5.59e-05 9.695e-05 2.485e-05 6.39e-05 2.76e-05 2.44e-05 5.57e-05 5.58e-05 6.75e-05 6.51e-05 6.755e-05 2.64e-05 1.4e-05 3.805e-05 5.815e-05 5.895e-05 2.41e-05 1.405e-05 0.0001042 2.375e-05 5.795e-05 1.535e-05 2.685e-05 2.505e-05 5.545e-05 4.175e-05 3.61e-05 1.66e-05 6.825e-05 5.495e-05 2.405e-05 6.755e-05 2.615e-05 5.61e-05 5.875e-05 2.38e-05 1.845e-05 2.44e-05 6.91e-05 6.835e-05 1.635e-05 6.095e-05 5.58e-05 6.625e-05 5.92e-05 2.655e-05 6.67e-05 8.75e-05 3.45e-05 3.495e-05 1.44e-05 4.525e-05 1.6e-05 3.55e-05 3.485e-05
