 slim_337499396 slim_337499462 slim_337499555 slim_337499452 slim_337499682 slim_337499766 slim_337499753 slim_337499726 slim_337499725 slim_337499711 slim_337499786 slim_337499712 slim_337499699 slim_337499703 slim_337499744 slim_337499765 slim_337499696 slim_337499783 slim_337499824 slim_337499809 slim_337499802 slim_337499804 slim_337499873 slim_337499823 slim_337499811 slim_337499882 slim_337499913 slim_337499822 slim_337499894 slim_337499807 slim_337499906 slim_337499910 slim_337499884 slim_337499844 slim_337499837 slim_337499895 slim_337499851 slim_337499916 slim_337499880 slim_337499888 slim_337500030 slim_337500032 slim_337499982 slim_337499946 slim_337499951 slim_337499945 slim_337499923 slim_337499976 slim_337499961 slim_337500019 slim_337500022 slim_337499937 slim_337499940 slim_337499981 slim_337500023 slim_337500012 slim_337500024 slim_337499983 slim_337499987 slim_337499986 slim_337499995 slim_337500015 slim_337499957 slim_337499943 slim_337500029 slim_337500005 slim_337500026 slim_337499953 slim_337499964 slim_337499978 slim_337500034 slim_337500004 slim_337499973 slim_337500006 slim_337500033 slim_337499994 slim_337500008 slim_337499969 slim_337499922 slim_337500031 slim_337499948 slim_337500016 slim_337499975 slim_337499920 slim_337500003 slim_337500013 slim_337499934 slim_337500027 slim_337499997 slim_337499992 slim_337500035 slim_337499962 slim_337500011 slim_337499970 slim_337499952 slim_337500009 slim_337499996 slim_337499971 slim_337499999 slim_337499928 slim_337500028 slim_337499955 slim_337499979 slim_337500010 slim_337500007
0 0.0009691 0.00071775 0.0008979 0.0009579 0.00090675 0.00086515 0.00091775 0.00090195 0.00094835 0.0008492 0.000939 0.00094855 0.00086275 0.00093005 0.0007178 0.00090395 0.00086175 0.00097385 0.00082385 0.00093955 0.00071 0.00089475 0.0009194 0.0008626 0.00094065 0.00070985 0.00088675 0.00088405 0.00066685 0.0009363 0.0008925 0.0009386 0.0008847 0.0008923 0.0009256 0.00088195 0.00090195 0.0009136 0.00095495 0.00088445 0.0009399 0.00092175 0.00095585 0.0008887 0.0007983 0.00092285 0.00091065 0.00092075 0.0008785 0.00083435 0.00089255 0.0009051 0.00083935 0.0009577 0.00085695 0.0008935 0.0008299 0.0009389 0.0008594 0.0008961 0.0009258 0.0008791 0.00089995 0.00095545 0.0007226 0.00093445 0.00089465 0.00090815 0.00090345 0.0009129 0.0009137 0.00089055 0.00087145 0.0009443 0.00090255 0.00089915 0.00089895 0.00084295 0.00089985 0.0008656 0.0009505 0.00085445 0.0009345 0.0009366 0.00081945 0.00070485 0.00090635 0.00088035 0.00094365 0.0009389 0.00079315 0.0007377 0.0009059 0.00083355 0.00093245 0.00092565 0.0008121 0.0009106 0.00095065 0.00093055 0.00071425 0.0009536 0.0008141 0.0009469 0.00090745
1 0.00071775 0.0009775 0.00089935 0.00096065 0.0008667 0.0007594 0.000893 0.0009144 0.0009299 0.000962 0.0009363 0.00095455 0.0008718 0.00091955 0.0007177 0.00094045 0.00073285 0.00091655 0.0008623 0.0009183 0.0009141 0.0009124 0.0009149 0.00087165 0.00095545 0.00093655 0.0009178 0.0008709 0.00067685 0.00092715 0.00089845 0.00096055 0.00090105 0.00089825 0.0009032 0.0008252 0.00091975 0.0009299 0.0009296 0.00091765 0.00092605 0.0009466 0.0009469 0.000882 0.00082995 0.0009197 0.00086825 0.00092385 0.0009022 0.00088215 0.0008985 0.0008989 0.0008827 0.00094845 0.00087015 0.00090415 0.00084475 0.0009095 0.0008689 0.0009094 0.0009763 0.00088885 0.00092775 0.00072575 0.0007258 0.00095445 0.0008901 0.00088355 0.00090185 0.0009368 0.0007798 0.00089605 0.00082925 0.0007184 0.00091955 0.0008184 0.00088825 0.00086665 0.0009559 0.00081035 0.0009348 0.0009044 0.00097155 0.0009129 0.00084905 0.0006901 0.0009268 0.00089275 0.0009161 0.0009312 0.0008237 0.00071715 0.00089815 0.00087385 0.0009578 0.00090325 0.00082225 0.00091195 0.00093765 0.0009115 0.000728 0.0009369 0.00094445 0.00095085 0.0009474
2 0.0008979 0.00089935 0.0009671 0.0009182 0.0008347 0.00093025 0.00085375 0.00088005 0.0009446 0.0008829 0.00089905 0.00095865 0.0007801 0.0009165 0.0008872 0.00091045 0.00090915 0.000852 0.00079185 0.00084515 0.00090855 0.000925 0.00072105 0.00077995 0.0009347 0.00090785 0.00091725 0.00060205 0.0009017 0.0008311 0.0009128 0.00085685 0.0009412 0.0009126 0.0008168 0.0009255 0.0008659 0.0009807 0.00086325 0.0006952 0.0008952 0.00091105 0.0009062 0.00071135 0.00068395 0.0009026 0.00085875 0.00087615 0.00086675 0.00089635 0.00091285 0.00090925 0.0007935 0.0009427 0.0008224 0.0008626 0.00077665 0.00086875 0.0007042 0.00087035 0.0009235 0.0008259 0.000908 0.00092955 0.0009404 0.0008937 0.0007813 0.0009007 0.0009224 0.00087455 0.0008939 0.00083345 0.0009294 0.00089775 0.00085345 0.000949 0.00085935 0.00074545 0.00088655 0.0008615 0.0008437 0.0007936 0.0009316 0.00088625 0.00074625 0.00090835 0.00090305 0.00068595 0.00088135 0.00090155 0.00077385 0.0009118 0.00078225 0.00080285 0.0009196 0.00081685 0.000793 0.0008455 0.0009428 0.00073065 0.00092515 0.00091685 0.00092335 0.00089175 0.0007037
3 0.0009579 0.00096065 0.0009182 0.00092 0.00093555 0.00096155 0.00088735 0.00082005 0.00089995 0.0008921 0.0007176 0.0009163 0.0006994 0.0008906 0.00097425 0.0008168 0.00093685 0.0007062 0.0009123 0.00096365 0.0009653 0.0006528 0.0009045 0.00069925 0.0009481 0.0009642 0.0009241 0.0009381 0.0009279 0.0007747 0.00091005 0.0007224 0.00091835 0.00090985 0.0007008 0.0007129 0.00078315 0.00093385 0.0006815 0.0009107 0.0007313 0.0007069 0.0007177 0.0009161 0.00094005 0.00094605 0.00089895 0.00091825 0.0009054 0.0009217 0.0009101 0.00088545 0.0009426 0.0009443 0.0007 0.00095605 0.0009279 0.000954 0.00094535 0.00091045 0.00046025 0.0009109 0.0009546 0.00094935 0.00093315 0.0006526 0.0008012 0.0009351 0.0009195 0.0009952 0.00081505 0.0009485 0.0009078 0.0009477 0.00097565 0.0009437 0.00079575 0.00080595 0.0009095 0.0009077 0.00067355 0.0008861 0.00070355 0.0009355 0.00092815 0.00093115 0.00089065 0.0009138 0.000776 0.00079215 0.00091035 0.0007024 0.0008077 0.00090635 0.0009609 0.0007011 0.00093445 0.00093165 0.00091365 0.0009103 0.0009458 0.00093555 0.00097845 0.0008102 0.00068115
4 0.00090675 0.0008667 0.0008347 0.00093555 0.0007712 0.0008726 0.00090055 0.0009022 0.0008835 0.00092665 0.00093415 0.0009305 0.00084915 0.0009274 0.00088515 0.00093495 0.0006527 0.00063525 0.00089385 0.0005798 0.0009831 0.00092015 0.0008919 0.000849 0.0008574 0.0008597 0.0008495 0.0007676 0.0008147 0.00093725 0.00081385 0.00098065 0.00091395 0.00081365 0.0007867 0.0007906 0.00089955 0.0008967 0.00085275 0.0008318 0.0009531 0.0009947 0.00082945 0.0008609 0.00075105 0.00084675 0.0006198 0.0009284 0.0008591 0.00084635 0.0008139 0.0008124 0.00085565 0.00089365 0.00086525 0.00068735 0.0008666 0.00062825 0.000858 0.0008986 0.00098635 0.00077745 0.00087045 0.00089315 0.0009149 0.0009098 0.000828 0.00066585 0.00066755 0.00092435 0.00094125 0.0007796 0.0009212 0.00090595 0.0009044 0.00076805 0.0006827 0.00089215 0.00085405 0.00064525 0.00097085 0.0008289 0.00094205 0.0009139 0.00085165 0.0009043 0.0008367 0.0008376 0.00089845 0.0009424 0.00079655 0.00088685 0.0008298 0.00087525 0.00083595 0.00078675 0.00085635 0.00081485 0.00093745 0.00090505 0.0008933 0.0009522 0.00093885 0.00093435 0.0009047
5 0.00086515 0.0007594 0.00093025 0.00096155 0.0008726 0.000832 0.0008516 0.00068895 0.0009104 0.00093405 0.00090275 0.0009391 0.0009733 0.00088155 0.00069325 0.0009303 0.00062135 0.00094235 0.0008975 0.0008353 0.0009238 0.00092485 0.000912 0.00097315 0.0008204 0.00079905 0.00091475 0.00089625 0.0009142 0.00092465 0.00083105 0.0009574 0.0009114 0.00083085 0.00092345 0.00082355 0.0009397 0.00086155 0.00091485 0.0009278 0.0009357 0.0009609 0.00086795 0.000857 0.00092185 0.00079415 0.0009056 0.0009171 0.0009224 0.00088125 0.0008311 0.00087725 0.00093615 0.00085625 0.0009738 0.00081005 0.00089965 0.0009109 0.00087945 0.00090625 0.00094825 0.0008841 0.00085095 0.0007339 0.00090595 0.0009631 0.00091905 0.00083055 0.00085355 0.0008906 0.00068895 0.0008919 0.00086215 0.0007472 0.0006914 0.0007896 0.00089465 0.00096675 0.00085575 0.0009 0.00096185 0.0009125 0.0009244 0.0008808 0.0009494 0.00087975 0.00092675 0.0009192 0.0009513 0.0009141 0.0008951 0.0009534 0.000917 0.0009375 0.0008308 0.0009235 0.00087295 0.0008761 0.00086885 0.0009492 0.0009162 0.0008705 0.0009158 0.00093125 0.00094425
6 0.00091775 0.000893 0.00085375 0.00088735 0.00090055 0.0008516 0.0008864 0.0008679 0.0009229 0.0008932 0.00088315 0.000928 0.00090855 0.0006237 0.00087625 0.00084965 0.0008545 0.00091255 0.00094475 0.00091465 0.0009434 0.0008878 0.00083165 0.0009084 0.00092005 0.0008495 0.00089355 0.000877 0.00090635 0.0006794 0.00089835 0.00090845 0.00093305 0.00089815 0.0008839 0.0008611 0.0008746 0.00088965 0.0008716 0.0008459 0.0008266 0.00092525 0.0008981 0.00082395 0.00089655 0.0006716 0.00091295 0.00088215 0.0008678 0.0008991 0.0008984 0.0008907 0.000921 0.00075855 0.0009162 0.00089425 0.0006822 0.0009244 0.0009039 0.0008171 0.00087885 0.00088085 0.0009114 0.0008959 0.00093755 0.00091195 0.00087155 0.00071175 0.0009002 0.0009504 0.00086535 0.00089565 0.0007249 0.00087385 0.00089625 0.00089185 0.0008712 0.0009014 0.00091375 0.0009079 0.00088165 0.000831 0.0008998 0.00071575 0.00089455 0.00068915 0.0008959 0.000875 0.0008937 0.0008809 0.00088915 0.0009155 0.00087685 0.0008511 0.00091055 0.00088395 0.00087195 0.00090605 0.00067225 0.0009088 0.0009279 0.0007297 0.00095255 0.00090125 0.00085225
7 0.00090195 0.0009144 0.00088005 0.00082005 0.0009022 0.00068895 0.0008679 0.0010034 0.0009151 0.00090855 0.0006675 0.00094945 0.0008947 0.00084515 0.00087955 0.00081715 0.00086705 0.00093125 0.0008849 0.00087485 0.000928 0.000805 0.00091735 0.00089455 0.000872 0.0008657 0.0009305 0.0009022 0.00092545 0.00067995 0.00085755 0.0008573 0.0008966 0.00085735 0.00089055 0.00079915 0.0007199 0.00091695 0.0008966 0.00089705 0.00063565 0.00083145 0.0008728 0.00083695 0.00085615 0.0008522 0.00091615 0.00096845 0.0009586 0.00089965 0.0008576 0.00090835 0.00091375 0.00094255 0.00092295 0.00086105 0.00087425 0.0009282 0.00090755 0.00094135 0.00071105 0.00088225 0.00091895 0.00091 0.00093255 0.00089705 0.0006699 0.0008938 0.00089305 0.0009374 0.00068895 0.0008874 0.0009175 0.00092485 0.0007528 0.00090765 0.0006802 0.000681 0.00084035 0.00091955 0.00050175 0.0008535 0.0008391 0.00095435 0.00091965 0.0009128 0.00092175 0.0009454 0.0007021 0.00072185 0.00088575 0.00093325 0.0006769 0.0008712 0.00089185 0.0008906 0.00086335 0.00088995 0.00090585 0.0009422 0.00095225 0.0009435 0.0009322 0.0007345 0.0007595
8 0.00094835 0.0009299 0.0009446 0.00089995 0.0008835 0.0009104 0.0009229 0.0009151 0.0010072 0.0008937 0.0009222 0.00090995 0.0008989 0.0009055 0.00094275 0.0008734 0.0008935 0.00087455 0.0009512 0.00087235 0.0010166 0.00087845 0.0009247 0.00089875 0.0006809 0.0009506 0.0008601 0.00094325 0.0009017 0.0009111 0.0008389 0.0009742 0.00091385 0.0008387 0.00088495 0.0009299 0.00087035 0.000889 0.0008687 0.0008771 0.00090095 0.0009758 0.0008606 0.00094235 0.00092115 0.0008973 0.000853 0.000888 0.0008454 0.0008838 0.00083895 0.0007816 0.0009322 0.000909 0.00089755 0.0008176 0.00093575 0.00088795 0.00095655 0.00086265 0.00093725 0.0008963 0.0008083 0.00071405 0.0007198 0.0008589 0.0009117 0.0008565 0.0006952 0.0009086 0.00090525 0.00089825 0.000756 0.0009201 0.00096585 0.0007132 0.0008986 0.0009225 0.0008564 0.0007861 0.00090995 0.00087665 0.00093325 0.00084325 0.0008975 0.00093625 0.00080115 0.0009052 0.0007068 0.0008877 0.00086335 0.0008994 0.00090865 0.0009025 0.0008939 0.000885 0.00095505 0.00070545 0.0008482 0.0009351 0.00093265 0.00087105 0.00095355 0.00091965 0.0009237
9 0.0008492 0.000962 0.0008829 0.0008921 0.00092665 0.00093405 0.0008932 0.00090855 0.0008937 0.0008836 0.00092925 0.0009355 0.00088625 0.00090655 0.0008987 0.00067565 0.00092575 0.0009299 0.0009239 0.00091385 0.00090675 0.0008962 0.00092555 0.0008861 0.00090575 0.00086315 0.00087965 0.00091345 0.00090145 0.0008817 0.00090095 0.0009268 0.00090165 0.00090075 0.0008942 0.0009045 0.0008786 0.00092925 0.0009161 0.00084275 0.00090785 0.0009375 0.00089705 0.00086435 0.00086745 0.00090235 0.00093395 0.0008689 0.00086445 0.0008594 0.000901 0.00091985 0.0008977 0.0009379 0.0008927 0.0008945 0.0008917 0.00092765 0.0009072 0.0008953 0.00087125 0.00090545 0.0008817 0.0009712 0.00092185 0.0006776 0.0008833 0.00093365 0.0009126 0.00094345 0.00093185 0.00089185 0.0009376 0.0009356 0.0009467 0.00093435 0.00090065 0.0008829 0.00066125 0.0009246 0.00090635 0.00085445 0.00090355 0.00092555 0.0008687 0.0009185 0.00091185 0.00090135 0.00088155 0.0009087 0.00086315 0.00091305 0.00089095 0.00087945 0.0009085 0.00089425 0.00088705 0.0009031 0.00093625 0.00094345 0.00092445 0.00091625 0.00088555 0.00092115 0.0008429
