 slim_337528311 slim_337528385 slim_337528313 slim_337528434 slim_337528466 slim_337528211 slim_337528473 slim_337528470 slim_337528408 slim_337528340 slim_337528479 slim_337528343 slim_337528437 slim_337528471 slim_337528465 slim_337528339 slim_337528476 slim_337528462 slim_337528481 slim_337528469 slim_337528380 slim_337528379 slim_337528299 slim_337528334 slim_337528426 slim_337528430 slim_337528140 slim_337528480 slim_337528403 slim_337528442 slim_337528463 slim_337528410 slim_337528341 slim_337528441 slim_337528371 slim_337528450 slim_337528448 slim_337528387 slim_337528423 slim_337528316 slim_337528458 slim_337528226 slim_337528456 slim_337528429 slim_337528170 slim_337528398 slim_337528411 slim_337528412 slim_337528333 slim_337528428 slim_337528457 slim_337528235 slim_337528322 slim_337528363 slim_337528447 slim_337528446 slim_337528478 slim_337528149 slim_337528262 slim_337528406 slim_337528278 slim_337528453 slim_337528368 slim_337528451 slim_337528460 slim_337528420 slim_337527753 slim_337528459 slim_337528468 slim_337528354 slim_337528454 slim_337528306 slim_337528342 slim_337528407 slim_337528352 slim_337528287 slim_337528467 slim_337528209 slim_337528424 slim_337528317 slim_337528361 slim_337528477 slim_337528309 slim_337528345 slim_337528397 slim_337528391 slim_337528269 slim_337528449 slim_337528455 slim_337528312 slim_337528394 slim_337528461 slim_337528293 slim_337528409 slim_337528400 slim_337528374 slim_337528373
0 0.0002833 0.00014595 0.0001424 0.0001693 0.0001427 0.0001692 0.00014215 0.00017745 0.0001426 0.0001557 0.00014615 0.0001432 0.0001475 0.0001733 0.0001477 0.00014315 0.00017345 0.00015065 0.00014405 0.0001439 0.0001474 0.0001428 0.0001616 0.0001505 0.0001519 0.00014235 0.0001509 0.00014765 0.0001431 0.00014265 0.00014785 0.0001472 0.00014265 0.0001472 0.0001893 0.0001427 0.00015135 0.0001487 0.00014275 0.0001427 0.000144 0.0001735 0.0001422 0.00014225 0.00014315 0.000146 0.0001476 0.00014225 0.0001899 0.00015115 0.0001431 0.00014295 0.00017365 0.000148 0.0001431 0.00014735 0.00014265 0.00014275 0.000147 0.0001477 0.0001479 0.0001421 0.0001476 0.00014315 0.0001475 0.0001509 0.00014695 0.0001428 0.00014385 0.00015105 0.0001476 0.00015275 0.00014255 0.00014275 0.0001692 0.0001422 0.0001478 0.00014765 0.00014995 0.00014315 0.0001425 0.0001427 0.00017365 0.00017325 0.0001423 0.00015145 0.0001424 0.00014275 0.00015125 0.00016875 0.0001465 0.00014305 0.00014275 0.00014315 0.00015175 0.0001526 0.00014845
1 0.00014595 9.7e-06 6e-06 0.00016365 6.9e-06 0.0001479 0.0001458 6.06e-05 2.16e-05 7.53e-05 6.2e-06 2.83e-05 7.85e-06 5.625e-05 6.96e-05 2.355e-05 7.185e-05 1.19e-05 8.745e-05 4.645e-05 8.45e-06 2.295e-05 0.0001402 0.0001523 5.555e-05 5.6e-06 1.215e-05 0.0001567 7.8e-06 2.28e-05 2.975e-05 0.00014835 2.675e-05 7.7e-06 9.225e-05 0.00012045 6.975e-05 0.0001509 7e-06 6.85e-06 0.00010825 5.69e-05 0.00023665 0.00014705 7.85e-06 6.5e-06 7.01e-05 0.0001625 0.0001516 7e-05 0.00019365 2.805e-05 7.745e-05 9.25e-06 7.8e-06 7.95e-06 6.9e-06 6.9e-06 0.00014815 8.75e-06 8.64e-05 5.15e-06 0.00012285 6.85e-06 7.55e-06 1.145e-05 0.0001439 0.00014785 4.64e-05 1.275e-05 7e-05 1.035e-05 0.00014735 2.29e-05 0.0001481 5.85e-06 8.85e-06 2.91e-05 1.16e-05 6.95e-06 2.71e-05 6.4e-06 7.745e-05 5.62e-05 6.5e-06 1.315e-05 6e-06 3.835e-05 1.295e-05 0.00028775 2.695e-05 7.75e-06 7e-06 6.85e-06 7.5e-05 7.22e-05 8.865e-05
2 0.0001424 6e-06 1.5e-06 0.0001596 2.15e-06 0.00014405 0.00014285 6.045e-05 1.79e-05 7.895e-05 6.45e-06 2.42e-05 8.15e-06 5.525e-05 6.97e-05 1.905e-05 7.165e-05 1.105e-05 8.365e-05 4.275e-05 8.25e-06 1.835e-05 0.00013645 0.00015245 5.895e-05 1.45e-06 1.2e-05 0.00015665 3.2e-06 1.82e-05 2.965e-05 0.0001489 2.34e-05 7.85e-06 9.255e-05 0.0001173 7.38e-05 0.00015045 2.15e-06 2.45e-06 0.0001045 5.63e-05 0.00023315 0.0001432 3.25e-06 6.35e-06 6.95e-05 0.00015865 0.00015175 7.365e-05 0.00019015 2.395e-05 7.735e-05 9.05e-06 3.2e-06 7.3e-06 1.85e-06 2.5e-06 0.0001487 8.55e-06 8.56e-05 1.75e-06 0.0001232 2.55e-06 8.1e-06 1.175e-05 0.00014325 0.0001441 4.27e-05 1.215e-05 6.905e-05 1.455e-05 0.0001435 1.83e-05 0.00014405 1.75e-06 8.65e-06 2.94e-05 1.11e-05 3.35e-06 2.33e-05 2.55e-06 7.735e-05 5.605e-05 2.2e-06 1.255e-05 8e-07 3.375e-05 1.235e-05 0.00028445 2.77e-05 3.15e-06 2e-06 2.55e-06 7.42e-05 7.57e-05 8.88e-05
3 0.0001693 0.00016365 0.0001596 0.0002541 0.00015915 0.0001434 0.00016975 0.0001515 0.00014355 0.0001972 0.0001632 0.00016005 0.00016465 0.0001481 0.00018995 0.0001434 0.00014835 0.0001673 0.00014885 0.0001607 0.0001639 0.0001433 0.000188 0.00017735 0.00019365 0.00015975 0.0001671 0.000136 0.0001594 0.00014315 0.0001649 0.00017435 0.00016015 0.00016435 0.000191 0.0001436 0.0001937 0.00017875 0.0001595 0.0001595 0.0001493 0.00014785 0.0001534 0.0001692 0.0001594 0.00016305 0.0001897 0.0001534 0.0001795 0.0001935 0.00014305 0.0001598 0.00014855 0.0001643 0.0001594 0.0001643 0.0001594 0.0001596 0.00017415 0.0001642 0.0001735 0.00015975 0.00014805 0.00016 0.00016465 0.00016775 0.00017275 0.0001697 0.00016065 0.00016725 0.00018965 0.00016925 0.0001695 0.00014325 0.00014305 0.00015975 0.0001643 0.0001647 0.00016645 0.00016005 0.00016005 0.00015965 0.00014855 0.0001477 0.0001593 0.0001676 0.0001596 0.00012745 0.00016745 0.0001532 0.0001641 0.00015935 0.0001595 0.00016 0.00019305 0.0001944 0.0001534
4 0.0001427 6.9e-06 2.15e-06 0.00015915 3.1e-06 0.000144 0.0001433 5.985e-05 1.8e-05 7.87e-05 6.9e-06 2.445e-05 8.6e-06 5.56e-05 7.03e-05 1.8e-05 7.17e-05 1.09e-05 8.335e-05 4.23e-05 8.45e-06 1.815e-05 0.00013575 0.0001519 5.915e-05 2.4e-06 1.16e-05 0.00015615 3.2e-06 1.8e-05 2.99e-05 0.0001491 2.41e-05 8.3e-06 9.285e-05 0.00011775 7.44e-05 0.0001501 2.5e-06 2.7e-06 0.00010425 5.61e-05 0.00023305 0.0001432 3.25e-06 6.65e-06 6.99e-05 0.00015845 0.0001513 7.41e-05 0.00019025 2.42e-05 7.74e-05 9.15e-06 3.2e-06 8.1e-06 2.45e-06 2.8e-06 0.0001489 8.75e-06 8.54e-05 2.5e-06 0.0001234 3.25e-06 8.75e-06 1.165e-05 0.00014315 0.0001434 4.225e-05 1.16e-05 6.995e-05 1.485e-05 0.0001435 1.81e-05 0.00014395 2.35e-06 8.85e-06 2.985e-05 1.085e-05 3.1e-06 2.385e-05 3e-06 7.74e-05 5.6e-05 2.5e-06 1.2e-05 2.15e-06 3.335e-05 1.18e-05 0.00028435 2.84e-05 3.15e-06 2.55e-06 3.25e-06 7.38e-05 7.585e-05 8.85e-05
5 0.0001692 0.0001479 0.00014405 0.0001434 0.000144 0.0002852 0.00016965 0.00015145 0.00014415 0.0001816 0.0001474 0.00014425 0.0001489 0.0001481 0.0001742 0.0001439 0.00014825 0.0001518 0.00014425 0.0001449 0.0001481 0.00014365 0.00018795 0.0001774 0.00017795 0.00014405 0.00015145 0.0001483 0.00014355 0.0001435 0.00014915 0.00017425 0.0001444 0.0001486 0.00019055 0.00014365 0.00017795 0.0001743 0.0001436 0.00014375 0.00014485 0.0001476 0.00016895 0.00016905 0.0001434 0.00014725 0.000174 0.00016945 0.00019035 0.00017775 0.0001431 0.000144 0.00014845 0.0001486 0.00014325 0.00014865 0.00014365 0.00014345 0.00017405 0.0001484 0.0001741 0.000144 0.0001481 0.0001442 0.0001489 0.00015215 0.0001727 0.0001695 0.00014485 0.0001516 0.000174 0.0001536 0.00016935 0.0001436 0.0001429 0.000144 0.0001485 0.00014895 0.00015075 0.0001442 0.0001443 0.00014375 0.00014845 0.00014745 0.0001435 0.0001518 0.00014405 0.000144 0.0001518 0.0001688 0.00014835 0.0001435 0.0001438 0.0001443 0.0001774 0.00017865 0.00014895
6 0.00014215 0.0001458 0.00014285 0.00016975 0.0001433 0.00016965 0.0002839 0.00017785 0.00014265 0.00015595 0.00014655 0.0001438 0.00014755 0.0001739 0.0001476 0.00014375 0.00017405 0.00015125 0.0001444 0.0001445 0.00014775 0.0001434 0.00016205 0.00015095 0.00015225 0.00014255 0.0001513 0.0001481 0.0001437 0.00014325 0.00014845 0.00014735 0.00014285 0.0001474 0.00018965 0.0001426 0.0001516 0.00014915 0.00014335 0.0001433 0.0001446 0.0001741 0.00014265 0.00014265 0.00014375 0.0001466 0.00014805 0.0001426 0.00019025 0.0001516 0.0001434 0.00014355 0.00017425 0.0001484 0.0001437 0.0001477 0.00014325 0.00014335 0.0001472 0.00014805 0.00014835 0.0001422 0.0001478 0.0001435 0.00014745 0.00015095 0.00014755 0.00014325 0.00014445 0.00015165 0.0001479 0.0001529 0.00014295 0.00014335 0.00016965 0.00014285 0.00014815 0.000148 0.00015055 0.0001432 0.00014315 0.0001429 0.00017425 0.00017365 0.00014295 0.00015205 0.00014285 0.00014335 0.00015185 0.000169 0.0001469 0.00014365 0.00014335 0.0001435 0.0001522 0.00015295 0.0001488
7 0.00017745 6.06e-05 6.045e-05 0.0001515 5.985e-05 0.00015145 0.00017785 0.0001159 6.035e-05 0.00012195 6e-05 8.155e-05 6.125e-05 5.955e-05 0.00012325 5.93e-05 7.52e-05 5.975e-05 0.00012735 9.865e-05 6.015e-05 5.975e-05 0.00017535 0.0001769 0.0001065 6.055e-05 5.92e-05 0.00017245 5.99e-05 5.96e-05 8.235e-05 0.00017805 8.18e-05 6.095e-05 0.00012325 0.00015235 0.00012315 0.00019015 6.02e-05 6.025e-05 0.00014905 5.91e-05 0.0002446 0.00017715 5.96e-05 5.99e-05 0.0001231 0.0001773 0.000169 0.000123 0.00022355 8.13e-05 8.08e-05 6.035e-05 5.99e-05 6.075e-05 6.01e-05 6.025e-05 0.00017785 6.045e-05 0.0001228 6.06e-05 0.0001524 6.03e-05 6.105e-05 6e-05 0.0001731 0.0001769 9.86e-05 5.95e-05 0.00012295 6.105e-05 0.00017745 5.97e-05 0.00015125 6.065e-05 6.055e-05 8.195e-05 5.965e-05 5.995e-05 8.175e-05 6.03e-05 8.08e-05 5.855e-05 6e-05 5.935e-05 6.045e-05 5.985e-05 5.955e-05 0.0002689 8.19e-05 5.985e-05 6.02e-05 6.03e-05 0.0001218 0.00012335 0.0001279
8 0.0001426 2.16e-05 1.79e-05 0.00014355 1.8e-05 0.00014415 0.00014265 6.035e-05 3.44e-05 9.435e-05 2.22e-05 4e-05 2.345e-05 5.61e-05 8.505e-05 1.845e-05 7.205e-05 2.715e-05 8.795e-05 5.85e-05 2.365e-05 1.8e-05 0.0001362 0.00015235 7.44e-05 1.765e-05 2.735e-05 0.0001444 1.865e-05 1.785e-05 4.545e-05 0.0001488 3.92e-05 2.33e-05 9.31e-05 0.00011695 8.96e-05 0.00015485 1.83e-05 1.82e-05 0.0001092 5.63e-05 0.00021765 0.00014315 1.885e-05 2.215e-05 8.53e-05 0.0001428 0.00014085 8.95e-05 0.0001899 3.975e-05 7.77e-05 2.445e-05 1.865e-05 2.36e-05 1.82e-05 1.83e-05 0.0001486 2.395e-05 8.51e-05 1.73e-05 0.00012295 1.875e-05 2.35e-05 2.7e-05 0.0001433 0.000144 5.845e-05 2.755e-05 8.53e-05 2.99e-05 0.00014345 1.795e-05 0.000144 1.78e-05 2.405e-05 4.515e-05 2.645e-05 1.86e-05 3.935e-05 1.8e-05 7.77e-05 5.61e-05 1.79e-05 2.81e-05 1.79e-05 1.76e-05 2.775e-05 0.0002689 4.38e-05 1.86e-05 1.83e-05 1.875e-05 8.965e-05 9.11e-05 9.31e-05
9 0.0001557 7.53e-05 7.895e-05 0.0001972 7.87e-05 0.0001816 0.00015595 0.00012195 9.435e-05 0.0001369 7.48e-05 9.6e-05 7.545e-05 0.00012325 7.385e-05 9.355e-05 0.00013485 7.44e-05 0.00014495 0.00011285 7.43e-05 9.385e-05 0.0001512 0.00015135 7.015e-05 7.905e-05 7.355e-05 0.00018465 7.84e-05 9.37e-05 9.26e-05 0.0001519 9.615e-05 7.515e-05 0.00015515 0.0001559 7.015e-05 0.00014015 7.875e-05 7.88e-05 0.0001628 0.00012275 0.0002325 0.00015535 7.82e-05 7.48e-05 7.385e-05 0.0001711 0.00020425 7.01e-05 0.00019025 9.575e-05 0.0001404 7.47e-05 7.84e-05 7.495e-05 7.865e-05 7.885e-05 0.0001517 7.46e-05 8.91e-05 7.905e-05 0.0001517 7.855e-05 7.51e-05 7.465e-05 0.0001508 0.00015525 0.0001128 7.41e-05 7.36e-05 7.105e-05 0.00015565 9.38e-05 0.00018135 7.925e-05 7.47e-05 9.205e-05 7.425e-05 7.85e-05 9.625e-05 7.87e-05 0.0001404 0.0001221 7.855e-05 7.425e-05 7.895e-05 0.00010955 7.43e-05 0.0002587 9.265e-05 7.835e-05 7.875e-05 7.855e-05 7.285e-05 6.98e-05 0.00014135
