 slim_762038627 slim_762038614 slim_762038608 slim_762038634 slim_762038641 slim_762038640 slim_762038629 slim_762038611 slim_762038635 slim_762038637 slim_762038604 slim_762038632 slim_762038609 slim_762038616 slim_762038622 slim_762038620 slim_762038631 slim_762038606 slim_762038617 slim_762038630 slim_762038639 slim_762038638 slim_762038618 slim_762038633 slim_762038624 slim_762038610 slim_762038619 slim_762038626 slim_762038605 slim_762038623 slim_762038603 slim_762038613 slim_762038625 slim_762038621 slim_762038607 slim_762038636 slim_762038628 slim_762038612 slim_762038615
0 5e-07 2.4e-06 2.55e-06 2.2e-06 1.6e-06 1.65e-06 2.4e-06 2.9e-06 1.4e-06 1.1e-06 3.15e-06 3.55e-06 3.15e-06 1.3e-06 1.25e-06 2.25e-06 2.6e-06 3.7e-06 2.35e-06 2.4e-06 5e-07 3e-06 1.55e-06 1.35e-06 1.15e-06 1.35e-06 2e-06 2.8e-06 1.15e-06 1.15e-06 2.15e-06 3.55e-06 8.5e-07 2.5e-07 1.85e-06 2.85e-06 2.3e-06 2.85e-06 3.45e-06
1 2.4e-06 4.4e-06 2.8e-06 2.8e-06 2.75e-06 2.5e-06 2.8e-06 2.95e-06 2.6e-06 2.75e-06 3.25e-06 2.5e-06 2.4e-06 2.8e-06 2.6e-06 2.85e-06 2.9e-06 2.95e-06 3.15e-06 2.8e-06 2.3e-06 2.7e-06 2.55e-06 2.65e-06 2.6e-06 2.45e-06 2.6e-06 2.6e-06 2.4e-06 2.6e-06 2.85e-06 2.4e-06 2.6e-06 2.6e-06 2.7e-06 2.65e-06 3.05e-06 2.4e-06 2.65e-06
2 2.55e-06 2.8e-06 3.6e-06 2.15e-06 2.75e-06 2.25e-06 2.75e-06 3e-06 2.55e-06 2.75e-06 2.8e-06 2.8e-06 2.9e-06 2.25e-06 2.7e-06 2.45e-06 2.8e-06 2.75e-06 2.15e-06 2.9e-06 2.25e-06 2.4e-06 2.5e-06 2.15e-06 2.7e-06 2.5e-06 2.55e-06 2.5e-06 2.4e-06 2.55e-06 2.8e-06 3.1e-06 2.65e-06 2.7e-06 2.8e-06 2.65e-06 2.9e-06 2.9e-06 2.5e-06
3 2.2e-06 2.8e-06 2.15e-06 1.7e-06 2.25e-06 2.75e-06 1.75e-06 3.35e-06 2.25e-06 2.55e-06 3.3e-06 3.4e-06 2.85e-06 1.7e-06 2.15e-06 2.85e-06 2.9e-06 2.3e-06 1.75e-06 2.3e-06 1.9e-06 1.85e-06 2.95e-06 1.6e-06 2.15e-06 2e-06 2.95e-06 2.2e-06 1.45e-06 1.6e-06 2.4e-06 2.9e-06 2e-06 2.35e-06 2.35e-06 2.95e-06 2.55e-06 2.8e-06 2.3e-06
4 1.6e-06 2.75e-06 2.75e-06 2.25e-06 2.8e-06 2.4e-06 2.25e-06 3.15e-06 2.1e-06 2.15e-06 3.4e-06 3.75e-06 3.1e-06 2.1e-06 1.75e-06 3e-06 2.3e-06 3.65e-06 2.65e-06 2e-06 1.5e-06 3e-06 2.55e-06 1.95e-06 1.7e-06 1.95e-06 2.75e-06 2.6e-06 1.75e-06 1.95e-06 1.95e-06 3.2e-06 1.9e-06 1.8e-06 2.25e-06 2.95e-06 1.9e-06 3.05e-06 3.25e-06
5 1.65e-06 2.5e-06 2.25e-06 2.75e-06 2.4e-06 2.9e-06 2.85e-06 2.7e-06 2.05e-06 2.15e-06 2.9e-06 2.75e-06 2.9e-06 2.45e-06 2.4e-06 2.2e-06 2.55e-06 3.1e-06 2.9e-06 3.05e-06 1.55e-06 2.85e-06 1.9e-06 2.25e-06 2.35e-06 2e-06 2e-06 2.8e-06 1.95e-06 2.15e-06 2.75e-06 3.4e-06 2.05e-06 1.85e-06 2.4e-06 2.7e-06 2.85e-06 2.75e-06 3.3e-06
6 2.4e-06 2.8e-06 2.75e-06 1.75e-06 2.25e-06 2.85e-06 2.6e-06 3.05e-06 2.3e-06 2.6e-06 2.95e-06 3.35e-06 2.7e-06 2.4e-06 2.05e-06 2.7e-06 2.7e-06 2.85e-06 2.3e-06 1.4e-06 2.15e-06 2.3e-06 2.85e-06 2.35e-06 2e-06 2.05e-06 2.85e-06 2.05e-06 1.8e-06 1.9e-06 2.25e-06 2.75e-06 2.15e-06 2.5e-06 2.25e-06 2.75e-06 2.4e-06 2.75e-06 2.8e-06
7 2.9e-06 2.95e-06 3e-06 3.35e-06 3.15e-06 2.7e-06 3.05e-06 2.3e-06 1.9e-06 2.15e-06 2.15e-06 2.9e-06 2.55e-06 3.25e-06 2.65e-06 2.7e-06 3.05e-06 3.6e-06 3.2e-06 2.75e-06 2.55e-06 3e-06 2.5e-06 3.15e-06 2.85e-06 2.3e-06 1.8e-06 2.45e-06 3e-06 3.15e-06 2e-06 2.9e-06 3.1e-06 3.05e-06 1.9e-06 1.8e-06 2.25e-06 3e-06 3.3e-06
8 1.4e-06 2.6e-06 2.55e-06 2.25e-06 2.1e-06 2.05e-06 2.3e-06 1.9e-06 1.9e-06 1.3e-06 2.6e-06 3.25e-06 2.55e-06 2e-06 1.75e-06 2.25e-06 2.65e-06 3.4e-06 2.35e-06 2.3e-06 1.05e-06 2.7e-06 2e-06 1.9e-06 1.8e-06 1.1e-06 1.6e-06 2.4e-06 1.65e-06 1.8e-06 1.65e-06 3.1e-06 1.6e-06 1.55e-06 1.3e-06 2.15e-06 1.85e-06 2.6e-06 3.2e-06
9 1.1e-06 2.75e-06 2.75e-06 2.55e-06 2.15e-06 2.15e-06 2.6e-06 2.15e-06 1.3e-06 2.1e-06 2.85e-06 3.6e-06 3e-06 1.85e-06 1.6e-06 2.5e-06 2.9e-06 3.8e-06 2.55e-06 2.5e-06 1.1e-06 3e-06 1.85e-06 1.95e-06 1.65e-06 1.6e-06 1.8e-06 2.7e-06 1.8e-06 1.75e-06 1.8e-06 3.4e-06 1.55e-06 1.05e-06 1.75e-06 2.35e-06 2e-06 3.05e-06 3.5e-06
