 slim_762198681 slim_762198687 slim_762198665 slim_762198694 slim_762198666 slim_762198692 slim_762198693 slim_762198676 slim_762198682 slim_762198684 slim_762198667 slim_762198668 slim_762198680 slim_762198674 slim_762198670 slim_762198678 slim_762198673 slim_762198695 slim_762198685 slim_762198672 slim_762198691 slim_762198697 slim_762198677 slim_762198689 slim_762198675 slim_762198679 slim_762198688 slim_762198690 slim_762198696 slim_762198683 slim_762198669 slim_762198671 slim_762198686
0 4.1e-06 2.75e-06 2.55e-06 3.6e-06 2.7e-06 2.65e-06 2.25e-06 2.65e-06 2.9e-06 2.6e-06 2.55e-06 2.65e-06 2.75e-06 2.9e-06 2.3e-06 2.65e-06 2.25e-06 2.85e-06 2.6e-06 2.65e-06 2.9e-06 2.45e-06 2.8e-06 3e-06 3.2e-06 2.6e-06 2.8e-06 2.8e-06 2.35e-06 2.7e-06 2.85e-06 2.5e-06 2.6e-06
1 2.75e-06 2.6e-06 2.75e-06 2.4e-06 1.6e-06 2.95e-06 2.6e-06 3e-06 2.2e-06 3.1e-06 2.15e-06 2.6e-06 2.15e-06 2.2e-06 2.1e-06 2.9e-06 2.15e-06 1.9e-06 3.15e-06 3.1e-06 2.9e-06 2.2e-06 2.05e-06 2.85e-06 3e-06 3.05e-06 3.15e-06 2.35e-06 4.05e-06 2.95e-06 3e-06 2.6e-06 1.45e-06
2 2.55e-06 2.75e-06 5e-06 3.4e-06 2.85e-06 3.05e-06 2.7e-06 3.05e-06 2.9e-06 3.05e-06 2.75e-06 2.65e-06 2.75e-06 2.85e-06 2.65e-06 2.95e-06 2.75e-06 3.2e-06 2.95e-06 3.1e-06 3.35e-06 2.85e-06 3.05e-06 3.3e-06 3.45e-06 3.05e-06 3.2e-06 3.05e-06 2.8e-06 3.05e-06 3e-06 2.95e-06 2.95e-06
3 3.6e-06 2.4e-06 3.4e-06 2.9e-06 2.1e-06 3.75e-06 3.55e-06 3.8e-06 2.9e-06 3.65e-06 2.85e-06 3.35e-06 2.6e-06 2.35e-06 2.95e-06 3.8e-06 3.05e-06 3.2e-06 3.6e-06 4.55e-06 4.5e-06 3.25e-06 2.3e-06 3.35e-06 3e-06 4.2e-06 4.1e-06 2.85e-06 5.15e-06 3.5e-06 4.15e-06 3.15e-06 2.85e-06
4 2.7e-06 1.6e-06 2.85e-06 2.1e-06 1.5e-06 2.8e-06 2.4e-06 2.85e-06 2.15e-06 2.9e-06 1.75e-06 2.7e-06 1.8e-06 2e-06 1.85e-06 2.95e-06 1.95e-06 1.95e-06 2.85e-06 3.25e-06 3.3e-06 1.8e-06 1.6e-06 2.7e-06 2.6e-06 3e-06 3.2e-06 2.1e-06 4.3e-06 2.55e-06 3.35e-06 2.4e-06 1.55e-06
5 2.65e-06 2.95e-06 3.05e-06 3.75e-06 2.8e-06 4.2e-06 2.35e-06 2.2e-06 3.05e-06 2.8e-06 2.6e-06 3.05e-06 2.85e-06 2.9e-06 2.5e-06 2.8e-06 2.45e-06 2.65e-06 2.65e-06 2.45e-06 2.65e-06 2.25e-06 2.85e-06 3.1e-06 3.3e-06 2.6e-06 2.45e-06 2.55e-06 2.4e-06 2.15e-06 3e-06 2.6e-06 2.45e-06
6 2.25e-06 2.6e-06 2.7e-06 3.55e-06 2.4e-06 2.35e-06 1.3e-06 2.4e-06 2.45e-06 1.35e-06 1.65e-06 2.55e-06 1.85e-06 3.35e-06 1.45e-06 1.2e-06 1.4e-06 2.7e-06 1.35e-06 1.45e-06 2.75e-06 1.45e-06 2.6e-06 2.35e-06 2.55e-06 1.6e-06 2.95e-06 3.2e-06 2.6e-06 2.4e-06 1.8e-06 1.75e-06 2.3e-06
7 2.65e-06 3e-06 3.05e-06 3.8e-06 2.85e-06 2.2e-06 2.4e-06 4.3e-06 3.1e-06 2.85e-06 2.7e-06 3.05e-06 2.9e-06 2.95e-06 2.5e-06 2.85e-06 2.55e-06 2.7e-06 2.7e-06 2.55e-06 2.7e-06 2.35e-06 2.9e-06 3.2e-06 3.35e-06 2.65e-06 2.5e-06 2.65e-06 2.4e-06 2.2e-06 3.05e-06 2.7e-06 2.5e-06
8 2.9e-06 2.2e-06 2.9e-06 2.9e-06 2.15e-06 3.05e-06 2.45e-06 3.1e-06 3.7e-06 2.9e-06 2.45e-06 2.8e-06 2.25e-06 2.6e-06 2.4e-06 2.95e-06 2.45e-06 2.35e-06 2.95e-06 2.7e-06 2.75e-06 2.5e-06 2.5e-06 3.2e-06 3.25e-06 2.3e-06 2.95e-06 2.9e-06 3.75e-06 2.85e-06 2.6e-06 2.85e-06 2.3e-06
9 2.6e-06 3.1e-06 3.05e-06 3.65e-06 2.9e-06 2.8e-06 1.35e-06 2.85e-06 2.9e-06 2.4e-06 2.25e-06 3e-06 2.45e-06 3.65e-06 2.05e-06 1.8e-06 2e-06 3.2e-06 1.4e-06 2.05e-06 3.2e-06 2.1e-06 2.6e-06 2.5e-06 2.65e-06 2.05e-06 3.25e-06 3.5e-06 2.8e-06 2.85e-06 2.15e-06 1.85e-06 2.85e-06
