 slim_761984653 slim_761984614 slim_761984650 slim_761984617 slim_761984606 slim_761984622 slim_761984605 slim_761984591 slim_761984619 slim_761984625 slim_761984594 slim_761984620 slim_761984656 slim_761984615 slim_761984602 slim_761984581 slim_761984587 slim_761984638 slim_761984655 slim_761984607 slim_761984580 slim_761984609 slim_761984596 slim_761984600 slim_761984585 slim_761984595 slim_761984654 slim_761984592 slim_761984590 slim_761984635 slim_761984621 slim_761984623 slim_761984589 slim_761984601 slim_761984603 slim_761984583 slim_761984627 slim_761984611 slim_761984610 slim_761984612 slim_761984624 slim_761984648 slim_761984644 slim_761984643 slim_761984637 slim_761984598 slim_761984588 slim_761984631 slim_761984629 slim_761984646 slim_761984641 slim_761984634 slim_761984599 slim_761984651 slim_761984584 slim_761984597 slim_761984626 slim_761984642 slim_761984632 slim_761984618 slim_761984649 slim_761984633 slim_761984616 slim_761984652 slim_761984582 slim_761984579 slim_761984628 slim_761984636 slim_761984604 slim_761984647 slim_761984608 slim_761984613 slim_761984645 slim_761984593 slim_761984630 slim_761984640 slim_761984639 slim_761984586
0 0.0001791 0.00013995 0.00015825 0.0001296 0.00012675 0.0001024 0.00011865 0.00012405 0.0001057 0.00011445 0.000131 0.0001247 0.00013815 0.00010275 0.000141 0.00016635 0.0001337 0.00014355 0.00010615 0.00010215 0.0001445 0.00016615 0.0001248 0.0001688 0.00015995 0.0001247 0.00013975 0.00017245 0.0001763 0.00015275 0.0001022 0.00016465 0.00016555 0.0001421 0.00016625 0.00015375 0.0001657 0.000131 0.0001247 0.0001278 0.00014425 0.0001474 0.000147 0.00014085 0.0001093 0.0001183 0.00011805 8.96e-05 0.0001373 0.00012635 0.00016625 0.00016615 0.0001402 0.00016 0.0001067 8.97e-05 0.0001357 0.0001398 0.00016615 0.00013365 0.0001047 0.00015275 0.0001186 0.0001248 0.00016015 0.00013295 0.0001421 0.00012075 0.0001557 0.0001528 0.00015985 0.0001337 0.0001248 0.00013025 0.0001662 0.0001248 0.0001575 0.00017245
1 0.00013995 0.0001543 0.00011925 0.0001655 0.000127 0.000154 0.00016055 0.00014865 9.62e-05 0.000137 0.0001383 0.0001509 0.00015245 0.000127 0.0001073 0.00014945 0.00011355 0.0001252 9.335e-05 0.00012705 0.0001338 0.00014925 0.000151 0.00012525 0.00012095 0.0001142 8.395e-05 0.00017335 0.00014375 0.0001316 0.00012695 0.00013965 0.000123 0.00011575 0.00014935 0.000115 0.00011745 0.0001383 0.0001142 0.00010555 0.00010765 9.575e-05 0.00010345 0.0001071 0.00010435 8.325e-05 0.0001578 0.0001701 0.00010605 0.0001617 0.00014505 0.00014925 0.00010425 0.0001012 0.00010185 0.0001768 0.00012595 0.0001141 0.00014925 0.0001426 0.00011415 0.0001316 0.00013915 0.0001411 0.00010565 0.00012965 0.00011565 0.0001318 0.00014355 0.0001187 0.00012515 0.00012185 0.0001467 0.00010775 0.00012525 0.0001467 0.0001331 0.00017335
2 0.00015825 0.00011925 0.0001529 0.0001559 0.00014165 0.0001695 0.0001571 0.00013485 0.00015835 0.00015645 0.0001692 0.0001207 0.000171 0.0001374 0.00012095 0.00013185 0.00015145 0.0001495 0.0001307 0.0001386 0.00015045 0.00013165 0.0001208 0.00015645 8.12e-05 0.0001141 9.175e-05 0.00018675 0.0001448 0.00010725 0.0001386 0.00011165 9.885e-05 0.00012955 0.00013175 0.00011295 8.945e-05 0.0001692 0.0001141 0.0001172 8.865e-05 0.00010755 9.06e-05 0.0001208 0.0001338 0.0001387 0.00015285 0.0001649 0.00012335 0.0001511 0.0001363 0.00013165 0.00015015 8.125e-05 0.0001364 0.000165 0.00012675 0.00011665 0.00013165 0.00012235 0.00012995 0.00010725 0.00015525 0.0001182 7.685e-05 0.000127 0.0001295 0.0001479 0.000141 8.315e-05 7.655e-05 0.00014465 0.00012535 0.0001252 8.465e-05 0.00012535 0.00011815 0.00018675
3 0.0001296 0.0001655 0.0001559 0.0001682 0.0001136 0.0001193 0.00012715 0.00013815 0.0001721 0.0001145 0.0001756 0.00013905 0.0001633 0.0001349 0.0001817 0.00018525 0.0001545 0.00018125 0.00017755 0.0001353 0.00017345 0.00018505 0.00013915 0.0001603 0.0001651 0.00018455 0.0001661 0.0001761 0.000173 0.000167 0.0001353 0.00013905 0.0001895 0.0001353 0.00018515 0.0001608 0.00015165 0.0001756 0.00018455 0.0001542 0.00019145 0.00017815 0.0001585 0.00018155 0.0001685 0.0001778 0.00011275 9.125e-05 0.00015565 8.715e-05 0.00015615 0.00018505 0.0001495 0.00014385 0.00017125 8.425e-05 0.0001715 0.0001604 0.00018505 0.0001457 0.0001474 0.000167 0.0001143 0.000153 0.000173 0.0001318 0.00013525 0.0001485 0.00017595 0.00019345 0.000194 0.000173 0.00011015 0.0001633 0.0001904 0.00011015 0.00013835 0.0001761
4 0.00012675 0.000127 0.00014165 0.0001136 0.0001672 0.00012335 0.00012575 0.00012605 0.0001558 0.0001047 0.00017375 0.00012735 0.00016825 0.00012285 0.00015655 0.00017455 0.0001419 0.0001713 0.000167 0.0001243 0.0001681 0.00017435 0.00012745 0.00013325 0.000147 0.0001705 0.0001488 0.0001776 0.00016385 0.00015665 0.00012435 0.00015725 0.0001594 0.00015425 0.00017445 0.00015055 0.0001327 0.00017375 0.0001705 0.0001465 0.0001676 0.00015755 0.00013945 0.0001564 0.000162 0.0001534 0.00011225 8.725e-05 0.00014865 0.0001128 0.00015025 0.00017435 0.000126 0.00012805 0.0001622 8.375e-05 0.0001549 0.0001491 0.00017435 0.00013575 0.000145 0.00015665 8.63e-05 0.0001383 0.0001524 0.0001225 0.0001542 0.00015105 0.00016665 0.00017225 0.0001711 0.00016485 0.00010325 0.0001537 0.0001607 0.00010325 0.0001583 0.0001776
5 0.0001024 0.000154 0.0001695 0.0001193 0.00012335 0.0001562 0.00012125 0.00013035 0.00012425 0.0001087 0.0001505 0.000131 0.0001451 0.00010905 0.000153 0.0001793 0.00013955 0.00015655 0.00013565 0.0001085 0.00014935 0.0001791 0.0001311 0.0001717 0.0001712 0.0001553 0.00016385 0.0001743 0.0001799 0.00017065 0.0001085 0.0001721 0.00018065 0.0001496 0.0001792 0.00017415 0.000168 0.0001505 0.0001553 0.00014705 0.00016835 0.00016215 0.0001583 0.00015285 0.0001274 0.00013035 0.0001182 8.49e-05 0.00013505 0.00011755 0.0001664 0.0001791 0.0001236 0.00017125 0.00012485 7.825e-05 0.00014485 0.00015775 0.0001791 0.00013105 0.00011115 0.00017065 0.00011485 0.00013955 0.0001842 0.00014795 0.00014955 0.0001338 0.00014925 0.00017685 0.0001839 0.0001273 0.0001183 0.0001482 0.0001813 0.0001183 0.00016495 0.0001743
6 0.00011865 0.00016055 0.0001571 0.00012715 0.00012575 0.00012125 0.0001715 0.0001047 0.00015695 0.00012355 0.0001356 0.00011975 0.0001409 0.00011755 0.0001582 0.0001369 0.0001667 0.0001349 0.00015305 0.0001179 0.0001358 0.00013675 0.00011985 0.00014535 0.000157 0.00015265 0.00015605 0.0001197 0.0001484 0.00016245 0.00011795 0.00016105 0.00014685 0.00015925 0.0001368 0.00012315 0.00016835 0.0001356 0.00015265 0.0001591 0.0001507 0.0001636 0.0001519 0.00015805 0.00015615 0.00015625 0.0001261 8.58e-05 0.0001617 0.0001223 0.00013995 0.0001367 0.00016385 0.00016035 0.00015525 8.59e-05 0.0001653 0.00015735 0.0001367 0.00014105 0.00013335 0.00016245 0.0001201 0.00013565 0.00015735 0.00013655 0.0001592 0.00016445 0.0001254 0.00015515 0.00015375 0.00013855 0.000123 0.0001607 0.0001619 0.000123 0.00016235 0.00011965
7 0.00012405 0.00014865 0.00013485 0.00013815 0.00012605 0.00013035 0.0001047 0.0001905 0.00015945 0.00013015 0.00015035 0.00011035 0.00015565 0.00011465 0.0001459 0.00013685 0.0001692 0.0001416 0.0001463 0.0001153 0.0001425 0.00013665 0.00011045 0.0001549 0.00013475 0.00013915 0.0001406 0.00014785 0.0001544 0.00014895 0.0001153 0.00015315 0.0001185 0.0001581 0.00013675 0.0001292 0.0001461 0.00015035 0.00013915 0.00015165 0.00012915 0.0001481 0.0001364 0.00014575 0.0001494 0.0001507 0.0001315 9.53e-05 0.00015575 0.00013335 0.00014595 0.00013665 0.0001637 0.0001442 0.0001485 9.54e-05 0.0001518 0.0001506 0.00013665 0.00013165 0.0001307 0.00014895 0.00012035 0.00012215 0.00013515 0.0001345 0.00015805 0.00016575 0.0001166 0.00012685 0.00012545 0.00013655 0.00011965 0.00015395 0.0001336 0.00011965 0.00015445 0.00014785
8 0.0001057 9.62e-05 0.00015835 0.0001721 0.0001558 0.00012425 0.00015695 0.00015945 7.23e-05 0.00012655 9.735e-05 0.00016105 0.0001144 0.00011975 9.17e-05 0.0001529 8.57e-05 0.00010925 5.395e-05 0.00011765 0.0001177 0.0001527 0.00016115 0.00014545 0.0001564 9.15e-05 0.00010785 0.00015855 0.00016255 0.00014105 0.0001177 0.0001578 0.00014355 0.0001144 0.0001528 0.0001419 0.0001544 9.735e-05 9.15e-05 0.00010185 0.00011725 0.00011325 0.0001335 9.155e-05 6.515e-05 4.815e-05 0.0001568 0.0001687 0.00010775 0.00016985 0.00016225 0.0001527 0.0001028 0.00015565 5.98e-05 0.0001754 0.0001016 0.00011815 0.0001527 0.00013475 8.665e-05 0.00014105 0.00015725 0.000142 0.00014635 0.00015135 0.0001144 9.69e-05 0.00014395 0.0001322 0.00014685 0.00010205 0.0001706 9.77e-05 0.00014515 0.0001706 0.00014305 0.00015855
9 0.00011445 0.000137 0.00015645 0.0001145 0.0001047 0.0001087 0.00012355 0.00013015 0.00012655 0.0001648 0.0001577 0.0001316 0.00014965 0.0001181 0.00014385 0.00017505 0.0001312 0.00016075 0.00014655 0.00011755 0.00015755 0.00017485 0.0001317 0.0001451 0.00016565 0.00016365 0.0001515 0.0001689 0.0001748 0.00016835 0.00011755 0.0001636 0.000169 0.00014955 0.00017495 0.00016035 0.00014555 0.0001577 0.00016365 0.00014625 0.00016795 0.00016665 0.00014875 0.0001437 0.00014155 0.00012965 0.00011985 8.605e-05 0.00014805 0.0001137 0.0001597 0.00017485 0.00012815 0.0001533 0.0001443 8.255e-05 0.0001481 0.00015145 0.00017485 0.00013065 0.00012695 0.00016835 9.775e-05 0.00013825 0.0001687 0.0001335 0.0001495 0.0001462 0.000166 0.00018025 0.0001808 0.0001533 0.00011645 0.00015435 0.00017045 0.00011645 0.00016295 0.0001689
