 slim_761990784 slim_761990832 slim_761990800 slim_761990803 slim_761990821 slim_761990802 slim_761990809 slim_761990786 slim_761990794 slim_761990813 slim_761990804 slim_761990811 slim_761990775 slim_761990829 slim_761990776 slim_761990796 slim_761990787 slim_761990830 slim_761990789 slim_761990801 slim_761990825 slim_761990772 slim_761990812 slim_761990778 slim_761990822 slim_761990805 slim_761990831 slim_761990799 slim_761990823 slim_761990827 slim_761990798 slim_761990782 slim_761990824 slim_761990774 slim_761990816 slim_761990833 slim_761990819 slim_761990797 slim_761990791 slim_761990815 slim_761990785 slim_761990779 slim_761990777 slim_761990792 slim_761990834 slim_761990820 slim_761990826 slim_761990807 slim_761990780 slim_761990806 slim_761990810 slim_761990795 slim_761990818 slim_761990783 slim_761990828 slim_761990788 slim_761990814 slim_761990808 slim_761990773 slim_761990793 slim_761990817 slim_761990790 slim_761990781
0 3.39e-05 7.575e-05 3.045e-05 5.01e-05 2.37e-05 3.655e-05 6.005e-05 4.51e-05 3.45e-05 5.55e-05 4.015e-05 6.02e-05 2.4e-05 3.32e-05 7.575e-05 9.72e-05 7.745e-05 3.975e-05 2.725e-05 3.055e-05 2.27e-05 2.39e-05 7.195e-05 3.32e-05 2.275e-05 2.87e-05 6.89e-05 6.98e-05 4.015e-05 4.015e-05 2.355e-05 3.655e-05 8.035e-05 2.4e-05 4.945e-05 4.01e-05 6.41e-05 3.045e-05 4.02e-05 5.09e-05 6.005e-05 7.745e-05 3.32e-05 8.51e-05 6.805e-05 1.715e-05 2.18e-05 3.045e-05 7.005e-05 6.89e-05 2.44e-05 1.825e-05 3.365e-05 1.71e-05 2.385e-05 7.55e-05 4.425e-05 1.71e-05 6.7e-05 5.575e-05 1.705e-05 6.885e-05 6.885e-05
1 7.575e-05 0.000122 6.145e-05 6.57e-05 7.18e-05 6.745e-05 7.53e-05 8.435e-05 7.86e-05 8.205e-05 7.48e-05 7.48e-05 7.135e-05 8.56e-05 6.1e-05 7.15e-05 7.485e-05 7.515e-05 8.19e-05 6.155e-05 7.935e-05 6.495e-05 7.405e-05 7.865e-05 7.94e-05 6.385e-05 6.495e-05 6.155e-05 7.48e-05 7.48e-05 6.535e-05 6.745e-05 7.82e-05 7.135e-05 8.85e-05 7.485e-05 6.835e-05 6.145e-05 7.795e-05 6.7e-05 7.635e-05 7.485e-05 7.865e-05 7.475e-05 7.27e-05 8.21e-05 6.775e-05 6.165e-05 6.105e-05 6.725e-05 7.09e-05 6.875e-05 8.455e-05 6.895e-05 6.49e-05 6.16e-05 7.66e-05 7.59e-05 6.45e-05 7.625e-05 6.89e-05 7.195e-05 6.49e-05
2 3.045e-05 6.145e-05 1.3e-06 2.83e-05 1.385e-05 1.57e-05 7.33e-05 5.855e-05 4.59e-05 6.785e-05 3.175e-05 7.17e-05 1.385e-05 4.65e-05 6.145e-05 0.0001041 8.425e-05 3.17e-05 3.835e-05 7.5e-07 3.415e-05 1.57e-05 8.535e-05 4.67e-05 3.42e-05 1.93e-05 7.65e-05 5.575e-05 3.175e-05 3.18e-05 1.565e-05 1.57e-05 8.05e-05 1.385e-05 6.28e-05 3.185e-05 6.44e-05 6.5e-07 3.525e-05 3.5e-05 5.295e-05 8.425e-05 4.67e-05 9.25e-05 7.565e-05 2.845e-05 3.43e-05 1.2e-06 5.57e-05 6.8e-05 1.365e-05 2.98e-05 4.465e-05 3.08e-05 1.565e-05 6.145e-05 4.28e-05 3.06e-05 5.855e-05 5.565e-05 3.075e-05 7.62e-05 7.645e-05
3 5.01e-05 6.57e-05 2.83e-05 5.66e-05 4.135e-05 4.32e-05 7.74e-05 5.33e-05 4.925e-05 8.875e-05 4.295e-05 7.58e-05 4.135e-05 5.755e-05 6.57e-05 0.00010175 7.205e-05 4.29e-05 6.57e-05 2.84e-05 5.38e-05 3.55e-05 7.315e-05 5.005e-05 5.385e-05 3.91e-05 7.29e-05 6e-05 4.295e-05 4.3e-05 3.545e-05 4.32e-05 6.83e-05 4.135e-05 5.755e-05 4.305e-05 6.08e-05 2.83e-05 4.645e-05 2.96e-05 5.91e-05 7.205e-05 5.005e-05 8.03e-05 6.345e-05 5.58e-05 4.625e-05 2.87e-05 5.995e-05 6.44e-05 4.115e-05 4.175e-05 5.57e-05 4.275e-05 3.545e-05 6.57e-05 4.265e-05 5.025e-05 6.28e-05 4.295e-05 4.27e-05 8.03e-05 7.285e-05
4 2.37e-05 7.18e-05 1.385e-05 4.135e-05 2.68e-05 2.43e-05 6.685e-05 5.855e-05 4.67e-05 5.55e-05 3.865e-05 6.5e-05 1.385e-05 4e-05 7.18e-05 0.00010145 8.79e-05 3.81e-05 2.535e-05 1.395e-05 2.75e-05 2.235e-05 8.54e-05 4.66e-05 2.755e-05 2.705e-05 7.98e-05 6.57e-05 3.865e-05 3.865e-05 2.185e-05 2.43e-05 8.69e-05 1.385e-05 6.285e-05 3.865e-05 7.065e-05 1.385e-05 3.965e-05 4.74e-05 5.925e-05 8.79e-05 4.66e-05 9.61e-05 7.86e-05 1.525e-05 3.505e-05 1.41e-05 6.61e-05 7.535e-05 1.44e-05 3.045e-05 3.855e-05 3.045e-05 2.23e-05 7.14e-05 4.235e-05 2.385e-05 6.55e-05 6.195e-05 3.04e-05 7.32e-05 7.98e-05
5 3.655e-05 6.745e-05 1.57e-05 4.32e-05 2.43e-05 3.06e-05 7.8e-05 5.93e-05 4.89e-05 6.99e-05 3.735e-05 7.69e-05 2.39e-05 4.7e-05 6.745e-05 0.0001038 8.125e-05 3.77e-05 4.21e-05 1.58e-05 3.535e-05 2.69e-05 9.03e-05 4.885e-05 3.54e-05 2.835e-05 7.905e-05 6.22e-05 3.735e-05 3.74e-05 2.725e-05 1.53e-05 8.15e-05 2.39e-05 5.935e-05 3.745e-05 7.1e-05 1.57e-05 4.105e-05 5e-05 5.87e-05 8.125e-05 4.885e-05 8.945e-05 8.325e-05 3.345e-05 3.99e-05 1.595e-05 6.175e-05 7.245e-05 2.35e-05 3.84e-05 4.545e-05 3.855e-05 2.685e-05 6.785e-05 5.275e-05 3.67e-05 6.835e-05 6.15e-05 3.85e-05 7.71e-05 7.9e-05
6 6.005e-05 7.53e-05 7.33e-05 7.74e-05 6.685e-05 7.8e-05 0.0001195 7.605e-05 7.15e-05 6.005e-05 7.685e-05 6.005e-05 6.68e-05 7.005e-05 7.53e-05 6.865e-05 7.695e-05 7.675e-05 6.02e-05 7.34e-05 6.475e-05 6.685e-05 6.575e-05 7.035e-05 6.48e-05 7.165e-05 6.89e-05 7.545e-05 7.685e-05 7.68e-05 6.685e-05 7.8e-05 7.975e-05 6.68e-05 8.03e-05 7.675e-05 6.98e-05 7.33e-05 7.69e-05 7.8e-05 7.77e-05 7.695e-05 7.035e-05 7.885e-05 6.885e-05 6.02e-05 6.52e-05 7.31e-05 7.535e-05 7.46e-05 6.69e-05 6.155e-05 7.03e-05 6.05e-05 6.68e-05 7.55e-05 7.115e-05 6.02e-05 6.655e-05 7.775e-05 6.045e-05 6.865e-05 6.885e-05
7 4.51e-05 8.435e-05 5.855e-05 5.33e-05 5.855e-05 5.93e-05 7.605e-05 8.9e-06 1.815e-05 8.525e-05 3.155e-05 7.45e-05 5.855e-05 3.305e-05 8.435e-05 0.000102 4.91e-05 3.16e-05 6.755e-05 5.865e-05 4.215e-05 4.36e-05 4.745e-05 1.65e-05 4.22e-05 4.94e-05 6.94e-05 7.865e-05 3.155e-05 3.17e-05 4.355e-05 5.93e-05 4.89e-05 5.855e-05 4.6e-06 3.175e-05 6.08e-05 5.855e-05 3.645e-05 4.72e-05 3.965e-05 4.905e-05 1.65e-05 5.73e-05 4.605e-05 5.995e-05 3.44e-05 5.865e-05 7.86e-05 6.66e-05 5.855e-05 3.005e-05 3.155e-05 2.87e-05 4.355e-05 8.43e-05 5.235e-05 4.525e-05 7.455e-05 3.005e-05 2.865e-05 8.58e-05 6.935e-05
8 3.45e-05 7.86e-05 4.59e-05 4.925e-05 4.67e-05 4.89e-05 7.15e-05 1.815e-05 3.58e-05 8.235e-05 3.215e-05 6.985e-05 4.68e-05 3.455e-05 7.86e-05 0.00010345 5.66e-05 3.185e-05 5.825e-05 4.6e-05 3.3e-05 3.21e-05 5.51e-05 1.815e-05 3.305e-05 3.76e-05 6.465e-05 7.295e-05 3.215e-05 3.205e-05 3.195e-05 4.89e-05 5.53e-05 4.68e-05 1.805e-05 3.2e-05 5.54e-05 4.59e-05 3.705e-05 4.39e-05 4.575e-05 5.66e-05 1.815e-05 6.47e-05 5.14e-05 4.94e-05 2.365e-05 4.585e-05 7.3e-05 6.09e-05 4.715e-05 1.8e-05 3.3e-05 1.825e-05 3.205e-05 7.86e-05 5.005e-05 3.465e-05 6.91e-05 3.54e-05 1.82e-05 8.11e-05 6.465e-05
9 5.55e-05 8.205e-05 6.785e-05 8.875e-05 5.55e-05 6.99e-05 6.005e-05 8.525e-05 8.235e-05 3.66e-05 7.87e-05 6.195e-05 5.535e-05 6.44e-05 8.205e-05 5.73e-05 8.57e-05 7.88e-05 3.065e-05 6.795e-05 6.03e-05 6.98e-05 8.09e-05 8.07e-05 6.035e-05 7.36e-05 8.415e-05 7.645e-05 7.87e-05 7.875e-05 6.99e-05 6.99e-05 8.865e-05 5.535e-05 8.965e-05 7.88e-05 7.97e-05 6.785e-05 7.39e-05 9.505e-05 7.76e-05 8.57e-05 8.07e-05 9.3e-05 7.935e-05 4.085e-05 7.565e-05 6.8e-05 7.625e-05 8.35e-05 5.5e-05 7.34e-05 6.59e-05 7.195e-05 6.975e-05 8.22e-05 7.695e-05 5.565e-05 7.435e-05 9.65e-05 7.19e-05 6.775e-05 8.41e-05
