 slim_762237161 slim_762237148 slim_762237118 slim_762237165 slim_762237147 slim_762237124 slim_762237131 slim_762237163 slim_762237119 slim_762237141 slim_762237121 slim_762237155 slim_762237154 slim_762237135 slim_762237174 slim_762237126 slim_762237167 slim_762237138 slim_762237150 slim_762237128 slim_762237160 slim_762237170 slim_762237133 slim_762237116 slim_762237134 slim_762237146 slim_762237140 slim_762237129 slim_762237159 slim_762237153 slim_762237125 slim_762237156 slim_762237149 slim_762237115 slim_762237151 slim_762237137 slim_762237130 slim_762237173 slim_762237172 slim_762237145 slim_762237143 slim_762237169 slim_762237166 slim_762237132 slim_762237122 slim_762237171 slim_762237117 slim_762237157 slim_762237127 slim_762237144 slim_762237168 slim_762237162 slim_762237120 slim_762237142 slim_762237152 slim_762237114 slim_762237158 slim_762237164 slim_762237123 slim_762237139 slim_762237136
0 2.9e-06 1.95e-06 2.45e-06 1.8e-06 2.3e-06 2.05e-06 2.95e-06 2.15e-06 2.75e-06 1.6e-06 1.75e-06 3e-06 2.85e-06 2.5e-06 2.7e-06 3e-06 2.35e-06 1.55e-06 2.65e-06 2e-06 2.1e-06 2.25e-06 2.7e-06 3.55e-06 3.1e-06 2.05e-06 2.55e-06 3e-06 2.5e-06 2.85e-06 2.75e-06 2.7e-06 2.95e-06 2.35e-06 2.3e-06 2.1e-06 3.1e-06 2.6e-06 2.9e-06 2.75e-06 3.5e-06 2.5e-06 2.55e-06 3e-06 3.3e-06 3e-06 2.2e-06 2.95e-06 2.05e-06 2.25e-06 2.05e-06 2.1e-06 2.7e-06 2.95e-06 2.8e-06 2.85e-06 1.75e-06 2.95e-06 2.85e-06 2.05e-06 2.9e-06
1 1.95e-06 1.8e-06 1.6e-06 1.8e-06 1.7e-06 2e-06 2.4e-06 2.45e-06 1.95e-06 1.4e-06 1.8e-06 2.55e-06 2e-06 1.7e-06 1.75e-06 3.2e-06 2.05e-06 1e-06 1.95e-06 1.6e-06 2.4e-06 1.55e-06 2.05e-06 2.9e-06 2.5e-06 2e-06 1.65e-06 2.9e-06 2.45e-06 2.2e-06 2.95e-06 2.1e-06 2e-06 2.05e-06 1.75e-06 2.5e-06 3.15e-06 2.9e-06 2.8e-06 1.8e-06 2.95e-06 2.4e-06 2.5e-06 2.45e-06 2.65e-06 2.3e-06 2.15e-06 1.9e-06 2.65e-06 1.55e-06 1.95e-06 2.3e-06 2.75e-06 2.3e-06 2.1e-06 3.45e-06 1.85e-06 2.15e-06 1.8e-06 1.45e-06 2.35e-06
2 2.45e-06 1.6e-06 1e-06 2.35e-06 1.8e-06 2.3e-06 1.95e-06 2.6e-06 1.4e-06 1.95e-06 2e-06 2.1e-06 2.1e-06 1.55e-06 1.85e-06 2.9e-06 1.95e-06 1.8e-06 1.45e-06 2e-06 2.75e-06 2e-06 1.75e-06 2.9e-06 2.55e-06 1.55e-06 1.5e-06 2.8e-06 2e-06 2.15e-06 2.65e-06 1.6e-06 2.1e-06 1.95e-06 9.5e-07 3.1e-06 2.45e-06 2.2e-06 2.75e-06 2.1e-06 2.9e-06 2.4e-06 2.25e-06 2e-06 2.8e-06 2.25e-06 1.35e-06 2e-06 2.75e-06 2e-06 1.85e-06 2.45e-06 2.55e-06 2.25e-06 2e-06 3.2e-06 2.25e-06 2.05e-06 1.9e-06 1.7e-06 2.45e-06
3 1.8e-06 1.8e-06 2.35e-06 2.7e-06 2.3e-06 1.7e-06 2.9e-06 2.5e-06 2.75e-06 1.6e-06 1.7e-06 3e-06 2.95e-06 2.5e-06 2.75e-06 3.05e-06 2.1e-06 1.45e-06 2.6e-06 1.6e-06 2.35e-06 2.25e-06 2.7e-06 3.35e-06 3.05e-06 2e-06 2.5e-06 2.9e-06 2.35e-06 2.95e-06 2.4e-06 2.7e-06 3e-06 2.25e-06 2.2e-06 1.4e-06 3.1e-06 2.55e-06 3.05e-06 2.8e-06 3.6e-06 2.55e-06 2.4e-06 2.95e-06 3.35e-06 3.1e-06 2.15e-06 2.95e-06 1.7e-06 2.25e-06 1.65e-06 2.4e-06 2.15e-06 3.05e-06 2.9e-06 2.5e-06 1.65e-06 3e-06 2.85e-06 2.05e-06 2.75e-06
4 2.3e-06 1.7e-06 1.8e-06 2.3e-06 2.3e-06 2.2e-06 2.55e-06 2.6e-06 1.9e-06 1.55e-06 2e-06 2.55e-06 1.95e-06 1.6e-06 1.85e-06 3.1e-06 2.3e-06 1.25e-06 2.1e-06 1.8e-06 2.75e-06 1.65e-06 1.8e-06 2.75e-06 2.3e-06 2.1e-06 1.85e-06 2.8e-06 2.45e-06 2e-06 3.25e-06 2.1e-06 2.1e-06 2.2e-06 1.8e-06 3.05e-06 3e-06 3e-06 2.6e-06 2e-06 2.75e-06 2.35e-06 2.3e-06 2.6e-06 2.7e-06 2.1e-06 2.2e-06 2.05e-06 3e-06 1.65e-06 2.35e-06 2.6e-06 3.15e-06 2.1e-06 1.95e-06 3.35e-06 1.9e-06 2.05e-06 2.05e-06 1.3e-06 2.5e-06
5 2.05e-06 2e-06 2.3e-06 1.7e-06 2.2e-06 2.7e-06 2.8e-06 2.55e-06 2.65e-06 1.6e-06 1.75e-06 2.9e-06 2.85e-06 2.35e-06 2.65e-06 2.9e-06 2.25e-06 1.75e-06 2.55e-06 1.4e-06 2.4e-06 2.35e-06 2.55e-06 3.25e-06 2.8e-06 1.8e-06 2.4e-06 2.85e-06 2.2e-06 2.85e-06 2.2e-06 2.65e-06 2.9e-06 2.35e-06 2.1e-06 1.4e-06 2.9e-06 2.4e-06 2.9e-06 2.7e-06 3.5e-06 2.25e-06 2.1e-06 2.85e-06 3.25e-06 3e-06 2e-06 2.85e-06 1.6e-06 2.35e-06 1.7e-06 2.45e-06 2.15e-06 2.95e-06 2.85e-06 2.4e-06 1.5e-06 2.95e-06 2.75e-06 2.05e-06 2.65e-06
6 2.95e-06 2.4e-06 1.95e-06 2.9e-06 2.55e-06 2.8e-06 3.4e-06 2.7e-06 2.25e-06 2.8e-06 2.65e-06 2e-06 2.2e-06 2.25e-06 1.9e-06 3.15e-06 2.4e-06 2.7e-06 2.2e-06 2.6e-06 2.8e-06 2.5e-06 2.6e-06 2.85e-06 2.85e-06 2.45e-06 2.05e-06 2.75e-06 2.6e-06 2.35e-06 2.5e-06 2.4e-06 2.05e-06 2.25e-06 2.35e-06 3.1e-06 1.8e-06 2.3e-06 2.75e-06 2.15e-06 2.95e-06 2.6e-06 2.75e-06 1.75e-06 2.8e-06 2.5e-06 2.4e-06 2e-06 3e-06 2.5e-06 2.6e-06 2.5e-06 2.5e-06 2.45e-06 2.35e-06 2.9e-06 2.85e-06 2.35e-06 1.8e-06 2.25e-06 2.1e-06
7 2.15e-06 2.45e-06 2.6e-06 2.5e-06 2.6e-06 2.55e-06 2.7e-06 3.6e-06 2.3e-06 2.45e-06 2.4e-06 2.55e-06 1.8e-06 2.3e-06 1.95e-06 2.95e-06 2.9e-06 2.5e-06 2.4e-06 2.6e-06 2.05e-06 2.2e-06 2.7e-06 2.8e-06 3e-06 2.4e-06 2.4e-06 2.65e-06 2.6e-06 2.2e-06 3e-06 2.25e-06 2.1e-06 2.9e-06 2.55e-06 2.65e-06 3.1e-06 2.85e-06 2.15e-06 2e-06 2.75e-06 2.2e-06 2.75e-06 2.75e-06 2.85e-06 2.25e-06 2.45e-06 2.3e-06 2.5e-06 2.2e-06 2.45e-06 1.95e-06 3.05e-06 2.3e-06 2.35e-06 2.55e-06 2.45e-06 2.6e-06 2.2e-06 2.3e-06 2.25e-06
8 2.75e-06 1.95e-06 1.4e-06 2.75e-06 1.9e-06 2.65e-06 2.25e-06 2.3e-06 2.3e-06 2.25e-06 2.45e-06 2.05e-06 1.15e-06 1.5e-06 1.35e-06 3.05e-06 2.6e-06 2.05e-06 1.65e-06 2.35e-06 2.8e-06 1.55e-06 1.9e-06 2.3e-06 2.4e-06 2.2e-06 1.7e-06 2.65e-06 2.45e-06 1.6e-06 3.25e-06 1.45e-06 1.5e-06 2.5e-06 1.6e-06 3.45e-06 2.95e-06 2.95e-06 2e-06 1.45e-06 2.2e-06 2.05e-06 2.6e-06 2.3e-06 2.5e-06 1.6e-06 2e-06 1.75e-06 3.25e-06 1.6e-06 2.45e-06 2.5e-06 3.25e-06 1.7e-06 1.65e-06 3.25e-06 2.55e-06 1.95e-06 1.65e-06 1.7e-06 2.15e-06
9 1.6e-06 1.4e-06 1.95e-06 1.6e-06 1.55e-06 1.6e-06 2.8e-06 2.45e-06 2.25e-06 1.4e-06 1.45e-06 2.8e-06 2.4e-06 1.9e-06 2.3e-06 3e-06 2.1e-06 8e-07 2.2e-06 1.4e-06 2.45e-06 1.65e-06 2.1e-06 3.25e-06 2.6e-06 1.8e-06 2.05e-06 2.95e-06 2.35e-06 2.45e-06 2.85e-06 2.2e-06 2.55e-06 2e-06 1.7e-06 2.15e-06 3.15e-06 2.7e-06 2.75e-06 2.35e-06 3.2e-06 2.2e-06 2.2e-06 2.85e-06 3.05e-06 2.55e-06 2e-06 2.6e-06 2.15e-06 1.65e-06 1.9e-06 2.45e-06 2.85e-06 2.55e-06 2.35e-06 3.2e-06 1.2e-06 2.55e-06 2.5e-06 1.35e-06 2.9e-06
