 slim_762412365 slim_762412397 slim_762412350 slim_762412329 slim_762412349 slim_762412351 slim_762412375 slim_762412331 slim_762412354 slim_762412373 slim_762412357 slim_762412342 slim_762412366 slim_762412389 slim_762412382 slim_762412385 slim_762412335 slim_762412376 slim_762412346 slim_762412369 slim_762412339 slim_762412337 slim_762412368 slim_762412340 slim_762412377 slim_762412370 slim_762412396 slim_762412364 slim_762412333 slim_762412345 slim_762412390 slim_762412372 slim_762412362 slim_762412359 slim_762412343 slim_762412384 slim_762412393 slim_762412378 slim_762412371 slim_762412360 slim_762412367 slim_762412381 slim_762412352 slim_762412398 slim_762412395 slim_762412356 slim_762412347 slim_762412379 slim_762412332 slim_762412341 slim_762412361 slim_762412353 slim_762412336 slim_762412363 slim_762412338 slim_762412374 slim_762412391 slim_762412355 slim_762412383 slim_762412358 slim_762412348 slim_762412380 slim_762412388 slim_762412386 slim_762412334 slim_762412392 slim_762412330 slim_762412344 slim_762412394 slim_762412387
0 4.4e-06 3.05e-06 2.45e-06 3.9e-06 3.15e-06 3.9e-06 3.2e-06 4.3e-06 3.25e-06 2.8e-06 3.3e-06 3.4e-06 3.6e-06 3.35e-06 4.5e-06 2.3e-06 2.7e-06 2.65e-06 2.45e-06 3.45e-06 3.65e-06 3.1e-06 3.2e-06 3.65e-06 3.3e-06 4.05e-06 3.65e-06 2.85e-06 3.55e-06 2.65e-06 2.95e-06 3.4e-06 3.4e-06 3.65e-06 2.4e-06 3.05e-06 3.55e-06 3.05e-06 4.25e-06 3.4e-06 2.8e-06 2.5e-06 3e-06 3.35e-06 3.2e-06 3.3e-06 2.7e-06 2.95e-06 3.8e-06 3.4e-06 3.2e-06 4e-06 3.9e-06 3.35e-06 2.9e-06 2.95e-06 3.2e-06 3.1e-06 2.45e-06 3.8e-06 2.75e-06 5.35e-06 3.25e-06 2.75e-06 3.85e-06 5e-06 3.3e-06 3.2e-06 4.5e-06 3.5e-06
1 3.05e-06 5.2e-06 2.9e-06 3.45e-06 3.25e-06 3.45e-06 2.85e-06 4.35e-06 3.25e-06 3e-06 3.6e-06 3.45e-06 3.55e-06 3.25e-06 4.5e-06 2.95e-06 3.2e-06 3.25e-06 3.05e-06 3.2e-06 3.6e-06 3.1e-06 3.05e-06 3.6e-06 3.4e-06 3.6e-06 3.3e-06 2.8e-06 3.25e-06 3.3e-06 3.2e-06 3.45e-06 3.7e-06 3.45e-06 3.15e-06 3.3e-06 2.95e-06 3.3e-06 3.55e-06 3.7e-06 3.45e-06 3.35e-06 3.35e-06 3.75e-06 3.05e-06 3.6e-06 3.2e-06 3.15e-06 3.4e-06 3.45e-06 3e-06 3.55e-06 3.55e-06 3.25e-06 3.05e-06 2.9e-06 3.6e-06 3.65e-06 3.2e-06 3.4e-06 3.15e-06 5.5e-06 3.25e-06 3.25e-06 4.3e-06 4.35e-06 3.6e-06 3.15e-06 4.25e-06 3.25e-06
2 2.45e-06 2.9e-06 5e-07 5.5e-06 3.15e-06 5.5e-06 2.65e-06 4.9e-06 2.95e-06 2.45e-06 3.55e-06 3.7e-06 3.8e-06 3.05e-06 5.4e-06 1.15e-06 2.55e-06 1.4e-06 2.5e-07 4e-06 5.1e-06 3.15e-06 3.35e-06 5.1e-06 3.6e-06 5.65e-06 5e-06 2.65e-06 3.55e-06 1.25e-06 2.7e-06 3.45e-06 4.9e-06 5e-06 1.25e-06 2.8e-06 4.6e-06 2.8e-06 5.8e-06 4.9e-06 3.8e-06 1.35e-06 3.15e-06 4.8e-06 2.95e-06 3.55e-06 1e-06 3.15e-06 5.1e-06 3.7e-06 2.95e-06 5.6e-06 5.5e-06 3.05e-06 2.75e-06 3e-06 4.35e-06 4.25e-06 1.15e-06 5.1e-06 1.1e-06 5.5e-06 2.95e-06 1.75e-06 3.25e-06 5.85e-06 4.8e-06 3.3e-06 5.1e-06 3.45e-06
3 3.9e-06 3.45e-06 5.5e-06 1.5e-06 3.05e-06 9e-07 3.5e-06 3.55e-06 3.3e-06 3.8e-06 2.95e-06 2.75e-06 2.85e-06 3.2e-06 3.05e-06 4.85e-06 3.55e-06 4.85e-06 5.6e-06 2.3e-06 1.7e-06 3.45e-06 3.2e-06 1.7e-06 2.95e-06 1.05e-06 1.55e-06 3.55e-06 2.85e-06 4.95e-06 3.15e-06 3e-06 1.85e-06 1.7e-06 4.95e-06 3.35e-06 2e-06 3.35e-06 1e-06 1.85e-06 3.1e-06 4.9e-06 3.05e-06 2.05e-06 3.55e-06 2.95e-06 5.15e-06 3.35e-06 1.35e-06 2.75e-06 3.45e-06 1e-06 1.05e-06 3.2e-06 3.7e-06 3.6e-06 2.05e-06 2.15e-06 4.85e-06 1.35e-06 4.95e-06 5.35e-06 3.1e-06 4.65e-06 5.15e-06 2.8e-06 1.8e-06 3.3e-06 3.7e-06 2.85e-06
4 3.15e-06 3.25e-06 3.15e-06 3.05e-06 5.1e-06 3e-06 3.05e-06 4.2e-06 3.1e-06 3.15e-06 2.95e-06 3.05e-06 3.15e-06 3.2e-06 4e-06 2.7e-06 3e-06 2.7e-06 3.1e-06 2.9e-06 3.2e-06 3.05e-06 3.45e-06 3.2e-06 2.95e-06 3.1e-06 3e-06 2.85e-06 3e-06 2.75e-06 2.9e-06 3e-06 3.05e-06 3e-06 2.8e-06 3e-06 3e-06 2.9e-06 3.3e-06 3.05e-06 3.15e-06 2.75e-06 2.7e-06 3.15e-06 2.9e-06 2.95e-06 3.1e-06 3.3e-06 3.35e-06 3.05e-06 2.85e-06 3.15e-06 3.05e-06 3.2e-06 3.3e-06 3.1e-06 3.2e-06 3.1e-06 2.65e-06 3.35e-06 2.95e-06 5.1e-06 3.1e-06 2.95e-06 3.85e-06 4.2e-06 2.9e-06 3.4e-06 4.1e-06 3.15e-06
5 3.9e-06 3.45e-06 5.5e-06 9e-07 3e-06 1.5e-06 3.5e-06 3.55e-06 3.3e-06 3.8e-06 3e-06 2.8e-06 2.8e-06 3.2e-06 3.15e-06 4.85e-06 3.55e-06 4.9e-06 5.6e-06 2.3e-06 1.65e-06 3.45e-06 3.2e-06 1.65e-06 3e-06 9.5e-07 1.6e-06 3.55e-06 2.85e-06 4.95e-06 3.25e-06 3e-06 1.85e-06 1.6e-06 4.95e-06 3.35e-06 2e-06 3.25e-06 1e-06 1.85e-06 3e-06 4.95e-06 2.95e-06 2.05e-06 3.55e-06 3e-06 5.15e-06 3.4e-06 1.3e-06 2.8e-06 3.45e-06 9.5e-07 1.1e-06 3.15e-06 3.7e-06 3.6e-06 2.15e-06 2.05e-06 4.9e-06 1.3e-06 4.95e-06 5.35e-06 3.2e-06 4.65e-06 5.15e-06 2.75e-06 1.65e-06 3.3e-06 3.7e-06 2.85e-06
6 3.2e-06 2.85e-06 2.65e-06 3.5e-06 3.05e-06 3.5e-06 5.1e-06 4.35e-06 2.95e-06 2.8e-06 3.5e-06 3.35e-06 3.45e-06 3.05e-06 4.45e-06 2.8e-06 3.05e-06 2.9e-06 2.6e-06 3e-06 3.5e-06 3.15e-06 3.35e-06 3.5e-06 3.3e-06 3.65e-06 3.15e-06 2.75e-06 3.05e-06 2.95e-06 3e-06 3.25e-06 3.6e-06 3.2e-06 3e-06 3.1e-06 2.6e-06 3.1e-06 3.5e-06 3.6e-06 3.45e-06 3e-06 3.15e-06 3.65e-06 2.65e-06 3.5e-06 3.05e-06 3.45e-06 3.5e-06 3.35e-06 2.6e-06 3.6e-06 3.5e-06 3.05e-06 3.3e-06 3.05e-06 3.5e-06 3.45e-06 2.85e-06 3.5e-06 2.95e-06 5.3e-06 3.2e-06 3.25e-06 4e-06 4.4e-06 3.5e-06 3.3e-06 4e-06 3.3e-06
7 4.3e-06 4.35e-06 4.9e-06 3.55e-06 4.2e-06 3.55e-06 4.35e-06 6.1e-06 4.2e-06 4.35e-06 4.2e-06 4.3e-06 4.3e-06 4.3e-06 3.3e-06 4.75e-06 4.15e-06 4.95e-06 4.9e-06 4e-06 3.65e-06 4.45e-06 4.35e-06 3.65e-06 4.15e-06 3.7e-06 3.75e-06 4.45e-06 4.25e-06 4.85e-06 4.1e-06 4.5e-06 3.6e-06 3.8e-06 4.8e-06 4.2e-06 3.9e-06 4.2e-06 3.7e-06 3.6e-06 4.2e-06 5e-06 4.25e-06 3.75e-06 4.45e-06 4.2e-06 4.9e-06 4.3e-06 3.4e-06 4.3e-06 4.35e-06 3.65e-06 3.55e-06 4.3e-06 4.4e-06 4.55e-06 3.6e-06 3.55e-06 4.85e-06 3.4e-06 4.8e-06 3.15e-06 4.25e-06 4.9e-06 4.05e-06 3.45e-06 3.5e-06 4.35e-06 3.55e-06 3.9e-06
8 3.25e-06 3.25e-06 2.95e-06 3.3e-06 3.1e-06 3.3e-06 2.95e-06 4.2e-06 5.5e-06 2.95e-06 3.35e-06 3.15e-06 3.2e-06 3e-06 4.3e-06 2.9e-06 3.1e-06 2.95e-06 2.8e-06 2.95e-06 3.25e-06 3.2e-06 3.35e-06 3.25e-06 3.25e-06 3.45e-06 3.2e-06 3e-06 3e-06 2.95e-06 3.05e-06 3.2e-06 3.45e-06 3e-06 3e-06 3.15e-06 2.8e-06 3.15e-06 3.05e-06 3.45e-06 3.5e-06 3.05e-06 3.2e-06 3.5e-06 2.85e-06 3.35e-06 3.15e-06 3.55e-06 3.3e-06 3.15e-06 2.8e-06 3.4e-06 3.15e-06 3e-06 3.45e-06 3.25e-06 3.35e-06 3.05e-06 2.9e-06 3.3e-06 3.05e-06 5.1e-06 3.35e-06 3.3e-06 4e-06 4.3e-06 3.35e-06 3.2e-06 4e-06 3.25e-06
9 2.8e-06 3e-06 2.45e-06 3.8e-06 3.15e-06 3.8e-06 2.8e-06 4.35e-06 2.95e-06 4.4e-06 3.4e-06 3.35e-06 3.5e-06 3.15e-06 4.45e-06 2.2e-06 3e-06 2.7e-06 2.35e-06 3.25e-06 3.5e-06 3e-06 3.4e-06 3.5e-06 3.35e-06 3.95e-06 3.25e-06 2.65e-06 3.3e-06 2.65e-06 2.95e-06 3.3e-06 3.45e-06 3.15e-06 2.45e-06 3.05e-06 2.65e-06 3.05e-06 3.85e-06 3.45e-06 3.1e-06 2.65e-06 3.1e-06 3.35e-06 2.7e-06 3.4e-06 2.8e-06 3.35e-06 3.8e-06 3.35e-06 2.65e-06 3.9e-06 3.7e-06 3.15e-06 3.15e-06 2.65e-06 3.35e-06 3.15e-06 2.5e-06 3.8e-06 2.85e-06 5.15e-06 3.35e-06 2.85e-06 3.8e-06 4.85e-06 3.35e-06 3.25e-06 3.95e-06 3.6e-06
