 slim_762259373 slim_762259375 slim_762259411 slim_762259369 slim_762259397 slim_762259396 slim_762259417 slim_762259365 slim_762259431 slim_762259418 slim_762259384 slim_762259435 slim_762259403 slim_762259420 slim_762259429 slim_762259430 slim_762259432 slim_762259387 slim_762259367 slim_762259416 slim_762259422 slim_762259398 slim_762259394 slim_762259405 slim_762259415 slim_762259392 slim_762259395 slim_762259370 slim_762259402 slim_762259389 slim_762259406 slim_762259381 slim_762259385 slim_762259378 slim_762259393 slim_762259372 slim_762259374 slim_762259414 slim_762259386 slim_762259434 slim_762259368 slim_762259409 slim_762259425 slim_762259388 slim_762259376 slim_762259380 slim_762259410 slim_762259433 slim_762259391 slim_762259404 slim_762259382 slim_762259424 slim_762259379 slim_762259428 slim_762259407 slim_762259390 slim_762259377 slim_762259427 slim_762259383 slim_762259366 slim_762259399 slim_762259421 slim_762259412 slim_762259426 slim_762259371 slim_762259413 slim_762259419 slim_762259401 slim_762259400 slim_762259423 slim_762259408
0 4e-07 9.5e-07 2.35e-06 1.35e-06 1.7e-06 1.8e-06 3.5e-07 1.55e-06 2.5e-07 5.5e-07 5.5e-07 1e-06 5.5e-07 5.5e-07 2.5e-07 1.45e-06 2e-06 1.15e-06 1.8e-06 1.55e-06 1.35e-06 1.2e-06 1.75e-06 5e-07 3.5e-07 1.85e-06 1e-06 4e-07 4e-07 1.3e-06 1.65e-06 1.3e-06 3.5e-07 1.8e-06 1.6e-06 7e-07 1.9e-06 6e-07 3.5e-07 5.5e-07 2.9e-06 1.75e-06 1.35e-06 1.65e-06 1.65e-06 1.1e-06 2.55e-06 1.15e-06 1.85e-06 1.2e-06 4e-07 1.15e-06 1.2e-06 1.5e-06 3.5e-07 1.2e-06 1e-06 4e-07 4e-07 1.2e-06 9e-07 1.25e-06 2.8e-06 1.25e-06 1.75e-06 8e-07 4.5e-07 1e-06 1.2e-06 2.2e-06 1e-06
1 9.5e-07 1.6e-06 1.8e-06 1.75e-06 1.55e-06 1.55e-06 8.5e-07 1.35e-06 1.05e-06 1.2e-06 1.15e-06 1.5e-06 1.1e-06 1.15e-06 9.5e-07 1.85e-06 2.3e-06 1.7e-06 2.05e-06 1.9e-06 1.75e-06 1.6e-06 2.15e-06 1.1e-06 1.15e-06 2.1e-06 1.5e-06 9e-07 9e-07 1.8e-06 1.45e-06 1.85e-06 8e-07 2.05e-06 2.1e-06 1.25e-06 2.15e-06 1.25e-06 9.5e-07 9.5e-07 2.95e-06 1.5e-06 1.75e-06 2.15e-06 1.45e-06 1.55e-06 2.5e-06 1.6e-06 2.15e-06 1.6e-06 9.5e-07 1.7e-06 1.6e-06 2e-06 1.1e-06 1.7e-06 9.5e-07 1e-06 9e-07 1.6e-06 8e-07 1.85e-06 2.75e-06 1.75e-06 1.95e-06 1.45e-06 1.05e-06 9.5e-07 1.65e-06 2.25e-06 9.5e-07
2 2.35e-06 1.8e-06 2.2e-06 2.85e-06 2.15e-06 1.9e-06 2.15e-06 1.8e-06 2.45e-06 2.65e-06 2.65e-06 2.4e-06 2.5e-06 2.5e-06 2.3e-06 2.9e-06 3.1e-06 2.6e-06 2.45e-06 2.9e-06 2.95e-06 2.65e-06 2.9e-06 2.45e-06 2.55e-06 2.85e-06 2.75e-06 2.2e-06 2.35e-06 2.9e-06 2e-06 2.85e-06 2.45e-06 3.05e-06 2.9e-06 2.55e-06 2.9e-06 2.55e-06 2.45e-06 2.15e-06 2.45e-06 1.85e-06 2.95e-06 3.1e-06 2e-06 2.6e-06 2e-06 2.5e-06 3.05e-06 2.4e-06 2.5e-06 2.6e-06 2.95e-06 2.95e-06 2.55e-06 2.6e-06 1.85e-06 2.5e-06 2.35e-06 2.6e-06 1.6e-06 2.8e-06 2.35e-06 2.8e-06 2.6e-06 2.85e-06 2.4e-06 1.85e-06 2.8e-06 2.1e-06 1.85e-06
3 1.35e-06 1.75e-06 2.85e-06 1.7e-06 1.45e-06 2.5e-06 1.3e-06 2.3e-06 1.3e-06 1.35e-06 1.25e-06 1.75e-06 1.35e-06 1.3e-06 1.3e-06 1.35e-06 1.15e-06 2.1e-06 2.15e-06 2.25e-06 2.15e-06 1.2e-06 2.25e-06 1.25e-06 1.4e-06 2.55e-06 1.8e-06 1.35e-06 1.35e-06 2e-06 1.5e-06 1.9e-06 1.3e-06 1.75e-06 2.3e-06 1.5e-06 2.6e-06 1.45e-06 1.3e-06 1.55e-06 3.3e-06 2.45e-06 1.35e-06 2.35e-06 1.5e-06 1.85e-06 3.15e-06 1.75e-06 2e-06 1.75e-06 1.2e-06 2.1e-06 2e-06 2e-06 1.25e-06 2.1e-06 1.7e-06 1.3e-06 1.35e-06 1.65e-06 1.7e-06 2e-06 2.5e-06 9.5e-07 2.45e-06 1.65e-06 1.4e-06 1.65e-06 1.05e-06 2.85e-06 1.65e-06
4 1.7e-06 1.55e-06 2.15e-06 1.45e-06 2.4e-06 2.1e-06 1.55e-06 1.95e-06 1.75e-06 1.85e-06 1.75e-06 2.05e-06 1.75e-06 1.75e-06 1.65e-06 1.75e-06 1.5e-06 2.3e-06 2.35e-06 2.4e-06 2.35e-06 1.45e-06 2.5e-06 1.7e-06 1.85e-06 2.6e-06 2.1e-06 1.6e-06 1.65e-06 2.3e-06 1.3e-06 2.35e-06 1.65e-06 2e-06 2.55e-06 1.9e-06 2.65e-06 1.9e-06 1.7e-06 1.65e-06 3.1e-06 2.05e-06 1.65e-06 2.6e-06 1.3e-06 2.15e-06 2.85e-06 2.1e-06 2.25e-06 2.05e-06 1.65e-06 2.3e-06 2.25e-06 2.35e-06 1.75e-06 2.3e-06 1.55e-06 1.7e-06 1.65e-06 2.05e-06 1.45e-06 2.4e-06 2.35e-06 1.45e-06 2.45e-06 2e-06 1.75e-06 1.55e-06 1.5e-06 2.65e-06 1.55e-06
5 1.8e-06 1.55e-06 1.9e-06 2.5e-06 2.1e-06 2.3e-06 1.6e-06 1.4e-06 1.9e-06 2.1e-06 2.1e-06 2e-06 1.95e-06 1.95e-06 1.75e-06 2.55e-06 2.95e-06 1.55e-06 1.95e-06 2.25e-06 2.65e-06 2.3e-06 2.35e-06 1.9e-06 2e-06 2.1e-06 2.45e-06 1.65e-06 1.8e-06 2.45e-06 1.95e-06 2.45e-06 1.9e-06 2.95e-06 2.35e-06 1.95e-06 2.15e-06 1.95e-06 1.9e-06 1.6e-06 3e-06 1.15e-06 2.6e-06 2.65e-06 1.95e-06 1.9e-06 2.3e-06 2.1e-06 3e-06 2e-06 1.95e-06 1.6e-06 2.65e-06 2.5e-06 2e-06 1.6e-06 1.6e-06 1.95e-06 1.8e-06 1.9e-06 1.35e-06 2.4e-06 3e-06 2.45e-06 2.15e-06 2.35e-06 1.85e-06 1.6e-06 2.45e-06 2.55e-06 1.6e-06
6 3.5e-07 8.5e-07 2.15e-06 1.3e-06 1.55e-06 1.6e-06 1e-07 1.5e-06 5e-07 7e-07 7e-07 8.5e-07 4.5e-07 5.5e-07 3e-07 1.35e-06 1.95e-06 1.25e-06 1.75e-06 1.65e-06 1.25e-06 1e-06 1.6e-06 5e-07 6e-07 1.8e-06 1.1e-06 1.5e-07 2.5e-07 1.25e-06 1.5e-06 1.35e-06 4e-07 1.8e-06 1.6e-06 6.5e-07 1.85e-06 7.5e-07 4.5e-07 4e-07 2.75e-06 1.55e-06 1.35e-06 1.45e-06 1.5e-06 1.25e-06 2.55e-06 1.2e-06 1.85e-06 1.1e-06 5e-07 1.25e-06 1.25e-06 1.35e-06 6e-07 1.25e-06 9.5e-07 5e-07 2.5e-07 1.25e-06 6.5e-07 1.3e-06 2.7e-06 1.25e-06 1.7e-06 1e-06 4e-07 9.5e-07 1.25e-06 2e-06 9.5e-07
7 1.55e-06 1.35e-06 1.8e-06 2.3e-06 1.95e-06 1.4e-06 1.5e-06 2.1e-06 1.55e-06 1.75e-06 1.8e-06 1.85e-06 1.75e-06 1.7e-06 1.55e-06 2.4e-06 2.75e-06 1.7e-06 1.65e-06 1.85e-06 2.45e-06 2.15e-06 2.45e-06 1.65e-06 1.65e-06 2.2e-06 2.1e-06 1.55e-06 1.6e-06 2.25e-06 1.8e-06 2.2e-06 1.6e-06 2.7e-06 2.3e-06 1.7e-06 2.25e-06 1.65e-06 1.65e-06 1.45e-06 2.9e-06 1.35e-06 2.35e-06 2.55e-06 1.8e-06 1.5e-06 1.95e-06 1.85e-06 2.75e-06 1.85e-06 1.65e-06 1.7e-06 2.35e-06 2.4e-06 1.7e-06 1.65e-06 1.4e-06 1.65e-06 1.6e-06 1.5e-06 1.25e-06 2.1e-06 2.85e-06 2.25e-06 1.85e-06 2.05e-06 1.6e-06 1.4e-06 2.2e-06 2.45e-06 1.4e-06
8 2.5e-07 1.05e-06 2.45e-06 1.3e-06 1.75e-06 1.9e-06 5e-07 1.55e-06 3e-07 4.5e-07 5e-07 1.05e-06 6e-07 5e-07 3e-07 1.45e-06 1.95e-06 1.15e-06 1.75e-06 1.5e-06 1.45e-06 1.25e-06 1.8e-06 4.5e-07 2.5e-07 1.9e-06 9.5e-07 5.5e-07 5e-07 1.35e-06 1.7e-06 1.25e-06 4e-07 1.8e-06 1.55e-06 7e-07 1.95e-06 5.5e-07 3.5e-07 7e-07 2.95e-06 1.85e-06 1.35e-06 1.75e-06 1.7e-06 1e-06 2.5e-06 1.1e-06 1.85e-06 1.2e-06 4e-07 1.15e-06 1.25e-06 1.55e-06 3e-07 1.15e-06 1.05e-06 4e-07 5e-07 1.1e-06 1.05e-06 1.15e-06 2.8e-06 1.2e-06 1.75e-06 8e-07 4.5e-07 1.05e-06 1.15e-06 2.3e-06 1.05e-06
9 5.5e-07 1.2e-06 2.65e-06 1.35e-06 1.85e-06 2.1e-06 7e-07 1.75e-06 4.5e-07 7e-07 4.5e-07 1.25e-06 6.5e-07 5e-07 6e-07 1.5e-06 2.15e-06 1.45e-06 1.95e-06 1.65e-06 1.6e-06 1.45e-06 1.85e-06 4.5e-07 5e-07 2.05e-06 1.1e-06 7.5e-07 6.5e-07 1.5e-06 1.9e-06 1.3e-06 5e-07 1.95e-06 1.65e-06 7.5e-07 2.1e-06 6.5e-07 6e-07 9e-07 3.15e-06 2.05e-06 1.5e-06 1.95e-06 1.9e-06 1.05e-06 2.7e-06 1.15e-06 2e-06 1.25e-06 4e-07 1.45e-06 1.35e-06 1.6e-06 4.5e-07 1.4e-06 1.15e-06 5e-07 6.5e-07 1.15e-06 1.25e-06 1.3e-06 3e-06 1.45e-06 1.95e-06 1.05e-06 6e-07 1.1e-06 1.2e-06 2.5e-06 1.1e-06
