 slim_762156555 slim_762156516 slim_762156538 slim_762156542 slim_762156556 slim_762156544 slim_762156511 slim_762156549 slim_762156518 slim_762156498 slim_762156497 slim_762156527 slim_762156553 slim_762156506 slim_762156552 slim_762156530 slim_762156531 slim_762156536 slim_762156548 slim_762156517 slim_762156540 slim_762156554 slim_762156510 slim_762156505 slim_762156529 slim_762156499 slim_762156563 slim_762156519 slim_762156541 slim_762156504 slim_762156521 slim_762156537 slim_762156513 slim_762156547 slim_762156539 slim_762156514 slim_762156550 slim_762156545 slim_762156559 slim_762156509 slim_762156495 slim_762156532 slim_762156560 slim_762156515 slim_762156562 slim_762156500 slim_762156522 slim_762156561 slim_762156507 slim_762156496 slim_762156520 slim_762156535 slim_762156557 slim_762156558 slim_762156512 slim_762156533 slim_762156508 slim_762156501 slim_762156502 slim_762156546 slim_762156534 slim_762156526 slim_762156551 slim_762156525 slim_762156543 slim_762156503 slim_762156523 slim_762156524 slim_762156528
0 3.1e-06 2.05e-06 2.5e-06 2.35e-06 2.15e-06 2.15e-06 1.85e-06 2.5e-06 2.5e-06 2.45e-06 2.6e-06 2.1e-06 2.7e-06 2.1e-06 2.7e-06 2.25e-06 2.05e-06 2.45e-06 2.6e-06 2.45e-06 2.1e-06 2.8e-06 1.9e-06 2.2e-06 2.05e-06 2.3e-06 2.1e-06 2.2e-06 2.55e-06 2.35e-06 2.5e-06 2.85e-06 2.3e-06 2.65e-06 2e-06 2.3e-06 2.1e-06 1.9e-06 2.65e-06 2.45e-06 2.35e-06 2.1e-06 2.55e-06 2.45e-06 2.45e-06 2.1e-06 2.1e-06 2.8e-06 2.8e-06 2.45e-06 2.25e-06 2.5e-06 1.95e-06 2.4e-06 1.9e-06 2.2e-06 2.45e-06 2.4e-06 2.2e-06 1.85e-06 1.75e-06 2.2e-06 2.5e-06 2.6e-06 2.4e-06 2.25e-06 2.15e-06 2.55e-06 2.3e-06
1 2.05e-06 2.1e-06 2.4e-06 2.15e-06 2.1e-06 2.05e-06 1.35e-06 2.25e-06 2.75e-06 2.45e-06 2.5e-06 1.5e-06 2.45e-06 1.5e-06 2.9e-06 2.2e-06 1.9e-06 2.45e-06 2.85e-06 2.45e-06 2.05e-06 2.35e-06 1.45e-06 1.7e-06 2.05e-06 1.95e-06 2.25e-06 2.35e-06 2.45e-06 2.2e-06 2.1e-06 2.85e-06 1.75e-06 2.9e-06 1.85e-06 2.2e-06 2.25e-06 1.8e-06 2.25e-06 2.45e-06 2.25e-06 2.25e-06 2.5e-06 2.45e-06 1.45e-06 2e-06 2e-06 2.5e-06 2.2e-06 2.15e-06 2.05e-06 2.65e-06 2.2e-06 2.55e-06 2.15e-06 1.95e-06 2.25e-06 2.55e-06 2.05e-06 1.75e-06 1.8e-06 2.15e-06 2.45e-06 2.85e-06 2.55e-06 2.1e-06 2.4e-06 2.5e-06 2.45e-06
2 2.5e-06 2.4e-06 3e-07 1.9e-06 3e-06 1.25e-06 2.1e-06 2.4e-06 3.15e-06 2.35e-06 3.1e-06 2.85e-06 3e-06 2.85e-06 3.2e-06 2.6e-06 6.5e-07 1.4e-06 3.8e-06 1.45e-06 2.95e-06 2.4e-06 2.5e-06 3.2e-06 3.1e-06 2.2e-06 3.15e-06 1.9e-06 2.6e-06 1.8e-06 1.95e-06 1.4e-06 2.6e-06 3.15e-06 2.6e-06 1.5e-06 3.15e-06 2.3e-06 2.7e-06 2.5e-06 1.5e-07 3.15e-06 3.55e-06 2.7e-06 2.7e-06 2.05e-06 1.4e-06 1.8e-06 2.9e-06 3.15e-06 3.1e-06 1.95e-06 2.95e-06 1.95e-06 3.05e-06 2.85e-06 1.8e-06 2.8e-06 2.15e-06 2.45e-06 2e-06 2.55e-06 2.05e-06 3.1e-06 1.95e-06 1.3e-06 1.85e-06 2.65e-06 3.2e-06
3 2.35e-06 2.15e-06 1.9e-06 3.5e-06 2.75e-06 2.15e-06 1.9e-06 2.45e-06 3.1e-06 2.85e-06 2.55e-06 2.4e-06 2.95e-06 2.4e-06 3.1e-06 2.75e-06 1.8e-06 2.35e-06 3.1e-06 2.4e-06 2.7e-06 3e-06 2.25e-06 2.5e-06 2.65e-06 2.55e-06 2.65e-06 2.3e-06 3e-06 2.35e-06 2.55e-06 2.7e-06 2.5e-06 3.1e-06 2.6e-06 2.3e-06 2.65e-06 2.5e-06 2.95e-06 2.95e-06 1.75e-06 2.65e-06 2.8e-06 2.95e-06 2.5e-06 2.4e-06 2.1e-06 2.35e-06 2.95e-06 2.65e-06 2.25e-06 2.45e-06 2.65e-06 2.35e-06 2.7e-06 2.55e-06 2.3e-06 2.65e-06 2.5e-06 2.45e-06 2.25e-06 2.7e-06 2.75e-06 3.05e-06 2.35e-06 2.25e-06 2.25e-06 2.9e-06 2.75e-06
4 2.15e-06 2.1e-06 3e-06 2.75e-06 1.8e-06 1.95e-06 2e-06 2.2e-06 2.2e-06 2.2e-06 2.4e-06 1.65e-06 2.6e-06 1.65e-06 2.45e-06 1.7e-06 2.5e-06 2.4e-06 1.85e-06 2.65e-06 9e-07 2.7e-06 1.35e-06 1.55e-06 1e-06 2.2e-06 1.55e-06 2.5e-06 1.85e-06 2.15e-06 2.25e-06 2.8e-06 2.15e-06 2.2e-06 1e-06 2.15e-06 1.55e-06 1e-06 2.6e-06 1.65e-06 2.9e-06 1.55e-06 2.5e-06 1.7e-06 2.5e-06 1.3e-06 1.95e-06 3e-06 2.65e-06 2.2e-06 2e-06 2.65e-06 1.55e-06 2.55e-06 1.45e-06 2.15e-06 2.55e-06 1.9e-06 1.25e-06 1e-06 1.75e-06 1.65e-06 1.55e-06 2.15e-06 2.55e-06 1.9e-06 2.5e-06 2.05e-06 1.8e-06
5 2.15e-06 2.05e-06 1.25e-06 2.15e-06 1.95e-06 2.2e-06 1.9e-06 2.1e-06 2.45e-06 1.9e-06 2.5e-06 2.15e-06 2.75e-06 2.15e-06 2.75e-06 1.85e-06 1.15e-06 1.45e-06 3.1e-06 1.65e-06 1.9e-06 2.2e-06 1.65e-06 2.55e-06 2.1e-06 1.8e-06 2.35e-06 2.05e-06 1.85e-06 1.6e-06 1.65e-06 1.65e-06 2.2e-06 2.5e-06 1.5e-06 1.55e-06 2.35e-06 1.15e-06 2.25e-06 1.5e-06 1.1e-06 2.35e-06 3.2e-06 1.8e-06 2.4e-06 1.35e-06 1.35e-06 2.35e-06 2.6e-06 2.65e-06 2.35e-06 2.25e-06 2e-06 2.15e-06 2e-06 2.4e-06 1.95e-06 2.35e-06 1.4e-06 1.4e-06 1.55e-06 1.8e-06 1.4e-06 2.45e-06 2.15e-06 1.25e-06 2e-06 2.05e-06 2.5e-06
6 1.85e-06 1.35e-06 2.1e-06 1.9e-06 2e-06 1.9e-06 2.1e-06 2.1e-06 2.6e-06 2.45e-06 2.4e-06 1.55e-06 2.6e-06 1.55e-06 2.85e-06 2.2e-06 1.6e-06 2.35e-06 2.7e-06 2.3e-06 1.95e-06 2.55e-06 1.5e-06 1.65e-06 1.95e-06 1.95e-06 2.2e-06 2.05e-06 2.45e-06 2.05e-06 2.3e-06 2.7e-06 1.8e-06 2.85e-06 1.85e-06 2.05e-06 2.2e-06 1.8e-06 2.5e-06 2.45e-06 1.95e-06 2.2e-06 2.25e-06 2.45e-06 1.75e-06 2e-06 1.85e-06 2.25e-06 2.4e-06 2.05e-06 2.05e-06 2.45e-06 2.1e-06 2.35e-06 2e-06 2.15e-06 2.1e-06 2.5e-06 2.05e-06 1.75e-06 1.7e-06 2.15e-06 2.45e-06 2.8e-06 2.35e-06 1.95e-06 2.15e-06 2.55e-06 2.45e-06
7 2.5e-06 2.25e-06 2.4e-06 2.45e-06 2.2e-06 2.1e-06 2.1e-06 3.5e-06 2.6e-06 2.45e-06 2.65e-06 2.1e-06 2.95e-06 2.1e-06 2.85e-06 2.3e-06 2.3e-06 2.4e-06 2.8e-06 2.5e-06 2.15e-06 2.85e-06 2e-06 2.2e-06 2.15e-06 2.15e-06 2.35e-06 2.35e-06 2.5e-06 1.9e-06 2.25e-06 2.65e-06 2.25e-06 2.75e-06 2.05e-06 2.3e-06 2.35e-06 1.95e-06 3e-06 2.35e-06 2.25e-06 2.35e-06 2.65e-06 2.4e-06 2.6e-06 1.85e-06 2.1e-06 2.65e-06 2.9e-06 2.3e-06 2.4e-06 2.65e-06 2.25e-06 2.55e-06 2.25e-06 2.65e-06 2.45e-06 2.3e-06 1.9e-06 1.95e-06 2.25e-06 2.25e-06 2.05e-06 2.7e-06 2.55e-06 2.2e-06 2.4e-06 2.5e-06 2.5e-06
8 2.5e-06 2.75e-06 3.15e-06 3.1e-06 2.2e-06 2.45e-06 2.6e-06 2.6e-06 3.2e-06 2.2e-06 2.4e-06 2.4e-06 2.8e-06 2.4e-06 2.55e-06 2.2e-06 2.9e-06 2.85e-06 2.65e-06 2.7e-06 2.15e-06 2.5e-06 2.2e-06 2.5e-06 2.2e-06 2.45e-06 2.45e-06 2.3e-06 2.1e-06 2.5e-06 2.8e-06 2.55e-06 2.4e-06 2.25e-06 2.05e-06 2.7e-06 2.45e-06 1.95e-06 2.7e-06 1.8e-06 3e-06 2.45e-06 2.05e-06 1.85e-06 2.8e-06 2.05e-06 2.5e-06 2.85e-06 2.55e-06 2.1e-06 2.75e-06 3.1e-06 2.05e-06 3e-06 2e-06 2.95e-06 2.7e-06 2.55e-06 2.05e-06 2e-06 2.45e-06 2.15e-06 2.35e-06 2.25e-06 3e-06 2.55e-06 2.6e-06 2.2e-06 2.65e-06
9 2.45e-06 2.45e-06 2.35e-06 2.85e-06 2.2e-06 1.9e-06 2.45e-06 2.45e-06 2.2e-06 0.0 2.65e-06 2.4e-06 2.65e-06 2.4e-06 1.7e-06 1.05e-06 2.1e-06 2.15e-06 3.05e-06 1.2e-06 2.15e-06 1.3e-06 2.05e-06 2.7e-06 2.3e-06 1.05e-06 2.35e-06 2.35e-06 1.15e-06 2.05e-06 2.2e-06 2.05e-06 1.35e-06 2.35e-06 1.85e-06 2.25e-06 2.35e-06 1.55e-06 2.3e-06 1.75e-06 2.2e-06 2.35e-06 2.85e-06 1.95e-06 2.75e-06 1.8e-06 2.05e-06 2.8e-06 2.7e-06 2.7e-06 2.65e-06 2.65e-06 2.3e-06 2.55e-06 2.2e-06 2.55e-06 2.55e-06 2.5e-06 1.9e-06 1.7e-06 2.05e-06 1e-06 1.85e-06 2.3e-06 2.55e-06 2e-06 2.6e-06 1.4e-06 2.6e-06
