 slim_761980918 slim_761980887 slim_761980934 slim_761980915 slim_761980898 slim_761980871 slim_761980931 slim_761980908 slim_761980897 slim_761980866 slim_761980907 slim_761980893 slim_761980865 slim_761980886 slim_761980867 slim_761980888 slim_761980914 slim_761980875 slim_761980899 slim_761980924 slim_761980884 slim_761980913 slim_761980900 slim_761980862 slim_761980926 slim_761980870 slim_761980909 slim_761980923 slim_761980882 slim_761980927 slim_761980933 slim_761980874 slim_761980920 slim_761980905 slim_761980868 slim_761980863 slim_761980925 slim_761980901 slim_761980889 slim_761980911 slim_761980872 slim_761980873 slim_761980932 slim_761980917 slim_761980892 slim_761980881 slim_761980877 slim_761980930 slim_761980878 slim_761980894 slim_761980928 slim_761980876 slim_761980912 slim_761980906 slim_761980904 slim_761980880 slim_761980895 slim_761980922 slim_761980879 slim_761980902 slim_761980890 slim_761980921 slim_761980896 slim_761980891 slim_761980885 slim_761980929 slim_761980864 slim_761980861 slim_761980883 slim_761980903 slim_761980919 slim_761980916 slim_761980869 slim_761980910
0 3.8e-06 2.3e-06 2.45e-06 2.05e-06 2.25e-06 2.3e-06 2.25e-06 2.15e-06 2.05e-06 2.2e-06 2.35e-06 2.15e-06 2.1e-06 2.15e-06 2.35e-06 2.4e-06 2.2e-06 2.35e-06 2.55e-06 2.2e-06 2.1e-06 2.15e-06 2.2e-06 2.4e-06 2.35e-06 2.15e-06 2.2e-06 2.1e-06 2.35e-06 2.35e-06 2.35e-06 2.5e-06 2.25e-06 2.35e-06 2.2e-06 2.35e-06 2.75e-06 2.25e-06 2.3e-06 2.25e-06 2.25e-06 2.6e-06 2.2e-06 2.75e-06 2.3e-06 2.3e-06 2.55e-06 2.35e-06 2.4e-06 2.15e-06 2.35e-06 2.5e-06 2.15e-06 2.25e-06 2.1e-06 2.3e-06 2.5e-06 2.1e-06 2.6e-06 2.55e-06 1.95e-06 2.1e-06 2.1e-06 2.45e-06 2.35e-06 2.75e-06 2.55e-06 2.4e-06 2.4e-06 2.25e-06 2.15e-06 2.3e-06 2.15e-06 2.45e-06
1 2.3e-06 1.3e-06 1.55e-06 1.15e-06 1.25e-06 1e-06 2.05e-06 1.05e-06 2.35e-06 1.1e-06 1.1e-06 1.2e-06 1.95e-06 1.2e-06 1.45e-06 1.05e-06 1.05e-06 1.4e-06 1.5e-06 1.2e-06 2e-06 1.65e-06 1.1e-06 1.35e-06 1.3e-06 1.3e-06 1.25e-06 1.95e-06 1.65e-06 1.1e-06 1.45e-06 2.3e-06 1.15e-06 8.5e-07 1.1e-06 2.65e-06 2.15e-06 8.5e-07 2.05e-06 1.25e-06 8e-07 2e-06 1.65e-06 1.75e-06 1.05e-06 1.25e-06 1.4e-06 1.4e-06 1.35e-06 1.25e-06 1.1e-06 1.85e-06 2.35e-06 9e-07 2.65e-06 1.6e-06 3e-06 2.7e-06 1.95e-06 1.7e-06 2.3e-06 1.75e-06 2.25e-06 1.3e-06 1.45e-06 2.2e-06 1.6e-06 2.05e-06 1.6e-06 1.6e-06 2.1e-06 1.55e-06 1.3e-06 1.55e-06
2 2.45e-06 1.55e-06 2.7e-06 1.65e-06 1.7e-06 1.45e-06 2.35e-06 1.55e-06 2.5e-06 1.6e-06 1.6e-06 1.8e-06 2.2e-06 1.95e-06 1.7e-06 1.7e-06 1.6e-06 2e-06 2.05e-06 1.8e-06 2.25e-06 1.75e-06 1.65e-06 1.55e-06 1.95e-06 1.8e-06 1.85e-06 2.2e-06 1.7e-06 1.95e-06 1.8e-06 2.6e-06 1.65e-06 1.35e-06 2e-06 2.25e-06 2.25e-06 1.6e-06 2.35e-06 1.85e-06 1.6e-06 2.1e-06 1.7e-06 1.7e-06 1.35e-06 1.9e-06 2.1e-06 2e-06 1.9e-06 1.8e-06 1.95e-06 1.9e-06 2.1e-06 1.55e-06 2.3e-06 1.65e-06 2.75e-06 2.65e-06 2.1e-06 2.05e-06 2.5e-06 1.95e-06 2.45e-06 1.8e-06 2e-06 2.3e-06 2.2e-06 2.2e-06 1.65e-06 1.45e-06 2.2e-06 1.55e-06 2e-06 2.15e-06
3 2.05e-06 1.15e-06 1.65e-06 1.2e-06 1e-06 7e-07 2.3e-06 9e-07 2.35e-06 9.5e-07 1.1e-06 1.25e-06 1.9e-06 1.5e-06 2e-06 1.2e-06 9.5e-07 1.2e-06 1.35e-06 1.05e-06 2e-06 2e-06 1.1e-06 2e-06 1.35e-06 7.5e-07 1.3e-06 1.9e-06 1.95e-06 1.4e-06 2e-06 2.45e-06 7.5e-07 8e-07 1.6e-06 3.15e-06 2.2e-06 1e-06 2.35e-06 1.1e-06 1.05e-06 2.15e-06 1.35e-06 1.95e-06 7e-07 1.1e-06 1.65e-06 1.3e-06 1.3e-06 1e-06 1.4e-06 2.1e-06 2.75e-06 1.05e-06 2.85e-06 1.9e-06 3.4e-06 3.15e-06 2.25e-06 2.25e-06 2.1e-06 1.8e-06 2.2e-06 1.2e-06 1.1e-06 2.3e-06 1.3e-06 2.1e-06 1.65e-06 1.4e-06 2.15e-06 1.55e-06 1.5e-06 1.2e-06
4 2.25e-06 1.25e-06 1.7e-06 1e-06 1.1e-06 7e-07 2.15e-06 9.5e-07 2.3e-06 1e-06 1.25e-06 1.4e-06 1.9e-06 1.5e-06 2.15e-06 1.3e-06 1.05e-06 1.15e-06 1.35e-06 1.35e-06 2.05e-06 1.95e-06 1.05e-06 2.15e-06 1.6e-06 1.1e-06 1.45e-06 1.9e-06 2.15e-06 1.6e-06 2.15e-06 2.65e-06 9.5e-07 8e-07 1.55e-06 3.05e-06 2.4e-06 1.1e-06 2.45e-06 1.4e-06 1.15e-06 2.3e-06 1.2e-06 2.05e-06 6.5e-07 1.15e-06 1.6e-06 1.2e-06 9e-07 1.25e-06 1.6e-06 1.95e-06 2.7e-06 1.15e-06 2.7e-06 2.1e-06 3.3e-06 2.85e-06 2.45e-06 2.4e-06 2.3e-06 1.6e-06 2.2e-06 9.5e-07 1.4e-06 2.5e-06 1.65e-06 2e-06 1.7e-06 1.4e-06 1.95e-06 1.6e-06 1.45e-06 1.65e-06
5 2.3e-06 1e-06 1.45e-06 7e-07 7e-07 3e-07 2.3e-06 8e-07 2.55e-06 8.5e-07 1e-06 1.5e-06 1.95e-06 1.6e-06 2.05e-06 1.15e-06 8.5e-07 1.05e-06 1.35e-06 1.2e-06 2.05e-06 2.05e-06 1.1e-06 2.05e-06 1.5e-06 9e-07 1.55e-06 1.95e-06 2.05e-06 1.5e-06 2.05e-06 2.6e-06 5.5e-07 4e-07 1.65e-06 3.15e-06 2.3e-06 8e-07 2.45e-06 1.25e-06 8e-07 2.3e-06 1.05e-06 1.8e-06 2.5e-07 9.5e-07 1.55e-06 1.15e-06 1e-06 1.2e-06 1.5e-06 1.9e-06 2.75e-06 1e-06 2.85e-06 2e-06 3.4e-06 3.1e-06 2.35e-06 2.3e-06 2.4e-06 1.55e-06 2.25e-06 7.5e-07 1.25e-06 2.4e-06 1.45e-06 1.85e-06 1.5e-06 1.2e-06 1.9e-06 1.35e-06 1.65e-06 1.45e-06
6 2.25e-06 2.05e-06 2.35e-06 2.3e-06 2.15e-06 2.3e-06 2.9e-06 2.1e-06 2.15e-06 2.15e-06 2.35e-06 2e-06 2.25e-06 1.8e-06 2.1e-06 2.25e-06 2.1e-06 2.45e-06 2.4e-06 2.25e-06 1.95e-06 1.8e-06 2e-06 2.1e-06 2e-06 2.4e-06 2.05e-06 2.25e-06 2.2e-06 1.9e-06 2.1e-06 2.35e-06 2.35e-06 2.3e-06 1.75e-06 2.25e-06 2.3e-06 2.15e-06 2.05e-06 2.3e-06 2.05e-06 2.4e-06 2.1e-06 2.55e-06 2.35e-06 2.35e-06 2.5e-06 2.35e-06 2.25e-06 2.2e-06 1.9e-06 2.4e-06 1.85e-06 2.1e-06 2.1e-06 2.15e-06 2.45e-06 1.9e-06 2.45e-06 2.3e-06 2.25e-06 2.15e-06 2.25e-06 2.45e-06 2.15e-06 2.4e-06 2.65e-06 2.2e-06 2.3e-06 2.25e-06 2.2e-06 2.25e-06 1.75e-06 2.65e-06
7 2.15e-06 1.05e-06 1.55e-06 9e-07 9.5e-07 8e-07 2.1e-06 1.4e-06 2.1e-06 7.5e-07 1.05e-06 7.5e-07 1.95e-06 1.25e-06 1.7e-06 9.5e-07 7.5e-07 1.3e-06 1.2e-06 1.15e-06 2.05e-06 1.7e-06 9e-07 1.75e-06 1.25e-06 1.15e-06 8e-07 1.95e-06 1.7e-06 1.3e-06 1.75e-06 2.3e-06 1e-06 8.5e-07 1.35e-06 2.85e-06 2.05e-06 1e-06 2.1e-06 1.2e-06 1e-06 1.75e-06 1.35e-06 1.85e-06 8e-07 1.25e-06 1.45e-06 1.25e-06 1.1e-06 9.5e-07 1.3e-06 1.85e-06 2.45e-06 8e-07 2.65e-06 1.65e-06 3.1e-06 2.85e-06 2e-06 2e-06 2.2e-06 1.7e-06 2.25e-06 1.15e-06 1.3e-06 2.15e-06 1.45e-06 2e-06 1.55e-06 1.4e-06 2.05e-06 1.45e-06 1.1e-06 1.4e-06
8 2.05e-06 2.35e-06 2.5e-06 2.35e-06 2.3e-06 2.55e-06 2.15e-06 2.1e-06 3.5e-06 2.15e-06 2.45e-06 1.8e-06 2.1e-06 2.05e-06 2.2e-06 2.3e-06 2.15e-06 2.5e-06 2.5e-06 2.3e-06 2.15e-06 2e-06 2.1e-06 2.3e-06 2.35e-06 2.4e-06 1.85e-06 2.1e-06 2.25e-06 2.35e-06 2.25e-06 2.5e-06 2.5e-06 2.55e-06 2.1e-06 2.15e-06 2.7e-06 2.4e-06 2.2e-06 2.35e-06 2.35e-06 2.35e-06 2.3e-06 2.75e-06 2.55e-06 2.5e-06 2.55e-06 2.45e-06 2.35e-06 2.1e-06 2.35e-06 2.45e-06 2e-06 2.15e-06 1.95e-06 2.2e-06 2.3e-06 1.9e-06 2.5e-06 2.45e-06 2e-06 2.1e-06 2.1e-06 2.6e-06 2.5e-06 2.7e-06 2.7e-06 2.45e-06 2.4e-06 2.35e-06 2.15e-06 2.35e-06 1.9e-06 2.65e-06
9 2.2e-06 1.1e-06 1.6e-06 9.5e-07 1e-06 8.5e-07 2.15e-06 7.5e-07 2.15e-06 1.5e-06 1.1e-06 7.5e-07 2e-06 1.3e-06 1.75e-06 9.5e-07 7.5e-07 1.35e-06 1.25e-06 1.2e-06 2.1e-06 1.75e-06 9.5e-07 1.8e-06 1.3e-06 1.2e-06 8e-07 2e-06 1.75e-06 1.35e-06 1.8e-06 2.35e-06 1.05e-06 9e-07 1.4e-06 2.9e-06 2.1e-06 1.05e-06 2.15e-06 1.25e-06 1.05e-06 1.75e-06 1.4e-06 1.9e-06 8.5e-07 1.3e-06 1.5e-06 1.3e-06 1.15e-06 9.5e-07 1.35e-06 1.9e-06 2.5e-06 8.5e-07 2.7e-06 1.7e-06 3.15e-06 2.9e-06 2.05e-06 2.05e-06 2.25e-06 1.75e-06 2.3e-06 1.2e-06 1.35e-06 2.2e-06 1.5e-06 2.05e-06 1.6e-06 1.45e-06 2.1e-06 1.5e-06 1.1e-06 1.45e-06
10 2.35e-06 1.1e-06 1.6e-06 1.1e-06 1.25e-06 1e-06 2.35e-06 1.05e-06 2.45e-06 1.1e-06 1.8e-06 1.25e-06 2.15e-06 1.45e-06 1.9e-06 1.2e-06 1.1e-06 1.55e-06 1.5e-06 1.3e-06 2.25e-06 1.95e-06 1.15e-06 1.8e-06 1.3e-06 1.35e-06 1.3e-06 2.15e-06 1.85e-06 1.35e-06 1.9e-06 2.5e-06 1.2e-06 9e-07 1.55e-06 2.95e-06 2.15e-06 1.15e-06 2.1e-06 1.35e-06 1.15e-06 2.1e-06 1.55e-06 1.95e-06 9e-07 1.45e-06 1.4e-06 1.4e-06 1.45e-06 1.3e-06 1.35e-06 2.1e-06 2.65e-06 1.05e-06 2.85e-06 1.8e-06 3.3e-06 3.05e-06 2.15e-06 2.15e-06 2.4e-06 1.9e-06 2.45e-06 1.35e-06 1.4e-06 2.25e-06 1.65e-06 2.2e-06 1.75e-06 1.55e-06 2.2e-06 1.65e-06 1.5e-06 1.6e-06
11 2.15e-06 1.2e-06 1.8e-06 1.25e-06 1.4e-06 1.5e-06 2e-06 7.5e-07 1.8e-06 7.5e-07 1.25e-06 1e-07 2.1e-06 1e-06 1.45e-06 8e-07 7e-07 1.7e-06 1.2e-06 1.25e-06 2.2e-06 1.45e-06 8.5e-07 1.55e-06 1.1e-06 1.6e-06 1e-07 2.1e-06 1.45e-06 1.2e-06 1.55e-06 2.1e-06 1.55e-06 1.45e-06 1.15e-06 2.65e-06 1.9e-06 1.35e-06 1.85e-06 1.3e-06 1.25e-06 1.25e-06 1.85e-06 2e-06 1.55e-06 1.65e-06 1.45e-06 1.5e-06 1.35e-06 8e-07 1.2e-06 1.9e-06 2.25e-06 7e-07 2.6e-06 1.4e-06 2.9e-06 2.7e-06 1.75e-06 1.8e-06 2.15e-06 2e-06 2.4e-06 1.7e-06 1.5e-06 2e-06 1.6e-06 2.3e-06 1.75e-06 1.8e-06 2.35e-06 1.7e-06 6e-07 1.5e-06
12 2.1e-06 1.95e-06 2.2e-06 1.9e-06 1.9e-06 1.95e-06 2.25e-06 1.95e-06 2.1e-06 2e-06 2.15e-06 2.1e-06 3.1e-06 1.95e-06 2.15e-06 2.15e-06 2e-06 1.9e-06 2.3e-06 1.85e-06 1.95e-06 1.95e-06 1.95e-06 2.2e-06 2.2e-06 1.6e-06 2.15e-06 1.55e-06 2.2e-06 2.15e-06 2.15e-06 2.65e-06 1.8e-06 1.95e-06 1.95e-06 2.35e-06 2.6e-06 1.95e-06 2.4e-06 1.85e-06 1.95e-06 2.5e-06 2.15e-06 2.45e-06 1.95e-06 1.85e-06 2.35e-06 2.1e-06 2.05e-06 1.85e-06 2.15e-06 2.25e-06 2.2e-06 2e-06 2.1e-06 2.15e-06 2.5e-06 2e-06 2.45e-06 2.35e-06 2.05e-06 1.7e-06 1.85e-06 2.1e-06 2e-06 2.6e-06 2.15e-06 2.35e-06 2.1e-06 2e-06 2.05e-06 2.05e-06 2e-06 2.2e-06
13 2.15e-06 1.2e-06 1.95e-06 1.5e-06 1.5e-06 1.6e-06 1.8e-06 1.25e-06 2.05e-06 1.3e-06 1.45e-06 1e-06 1.95e-06 1.3e-06 1.6e-06 1.35e-06 1.25e-06 1.7e-06 1.55e-06 1.15e-06 2e-06 1.35e-06 9.5e-07 1.6e-06 1.1e-06 1.7e-06 1.05e-06 1.95e-06 1.4e-06 1.25e-06 1.6e-06 2.15e-06 1.65e-06 1.55e-06 9.5e-07 2.55e-06 2.15e-06 1.35e-06 1.85e-06 1.2e-06 1.25e-06 1.9e-06 2e-06 2.15e-06 1.65e-06 1.55e-06 1.55e-06 1.55e-06 1.5e-06 1.35e-06 1.25e-06 1.95e-06 2.15e-06 1.2e-06 2.5e-06 1.35e-06 2.75e-06 2.3e-06 1.7e-06 1.8e-06 2.15e-06 1.85e-06 2.25e-06 1.7e-06 1.65e-06 2.15e-06 1.8e-06 2.2e-06 1.9e-06 1.95e-06 2.2e-06 1.85e-06 9e-07 1.75e-06
14 2.35e-06 1.45e-06 1.7e-06 2e-06 2.15e-06 2.05e-06 2.1e-06 1.7e-06 2.2e-06 1.75e-06 1.9e-06 1.45e-06 2.15e-06 1.6e-06 2e-06 1.8e-06 1.7e-06 2.25e-06 2.2e-06 1.8e-06 2.2e-06 1.35e-06 1.65e-06 1.15e-06 1.75e-06 2.15e-06 1.45e-06 2.15e-06 1.3e-06 1.55e-06 1.2e-06 2.35e-06 2.1e-06 2e-06 1.5e-06 2e-06 2.1e-06 1.6e-06 2e-06 1.85e-06 1.5e-06 1.8e-06 2.25e-06 1.9e-06 2.1e-06 2.15e-06 2.1e-06 2.15e-06 2.15e-06 1.8e-06 1.55e-06 1.75e-06 1.7e-06 1.65e-06 2e-06 1.25e-06 2.3e-06 2.25e-06 1.7e-06 1.45e-06 2.35e-06 2.05e-06 2.4e-06 2.25e-06 2.15e-06 2.05e-06 2.35e-06 2.35e-06 1.7e-06 1.75e-06 2.35e-06 1.65e-06 1.65e-06 2.25e-06
15 2.4e-06 1.05e-06 1.7e-06 1.2e-06 1.3e-06 1.15e-06 2.25e-06 9.5e-07 2.3e-06 9.5e-07 1.2e-06 8e-07 2.15e-06 1.35e-06 1.8e-06 1.6e-06 9e-07 1.55e-06 1.4e-06 1.35e-06 2.25e-06 1.8e-06 1.1e-06 1.75e-06 1.4e-06 1.45e-06 8.5e-07 2.15e-06 1.8e-06 1.45e-06 1.85e-06 2.4e-06 1.3e-06 1e-06 1.45e-06 2.85e-06 2.2e-06 1.25e-06 2.2e-06 1.4e-06 1.2e-06 1.8e-06 1.7e-06 1.9e-06 1.2e-06 1.45e-06 1.5e-06 1.5e-06 1.35e-06 1.1e-06 1.45e-06 2e-06 2.55e-06 8e-07 2.85e-06 1.75e-06 3.2e-06 2.95e-06 2.1e-06 2.1e-06 2.4e-06 1.95e-06 2.45e-06 1.45e-06 1.55e-06 2.3e-06 1.65e-06 2.25e-06 1.75e-06 1.75e-06 2.3e-06 1.7e-06 1.15e-06 1.6e-06
