 slim_761976110 slim_761976085 slim_761976041 slim_761976116 slim_761976105 slim_761976075 slim_761976093 slim_761976079 slim_761976071 slim_761976061 slim_761976042 slim_761976102 slim_761976084 slim_761976080 slim_761976117 slim_761976056 slim_761976060 slim_761976062 slim_761976046 slim_761976091 slim_761976040 slim_761976100 slim_761976119 slim_761976112 slim_761976043 slim_761976055 slim_761976097 slim_761976072 slim_761976064 slim_761976050 slim_761976063 slim_761976038 slim_761976104 slim_761976059 slim_761976082 slim_761976083 slim_761976073 slim_761976077 slim_761976078 slim_761976074 slim_761976053 slim_761976066 slim_761976095 slim_761976103 slim_761976088 slim_761976044 slim_761976057 slim_761976051 slim_761976069 slim_761976070 slim_761976067 slim_761976094 slim_761976108 slim_761976096 slim_761976068 slim_761976101 slim_761976089 slim_761976045 slim_761976087 slim_761976111 slim_761976107 slim_761976115 slim_761976039 slim_761976098 slim_761976114 slim_761976049 slim_761976099 slim_761976065 slim_761976092 slim_761976086 slim_761976106 slim_761976047 slim_761976118 slim_761976109 slim_761976048 slim_761976081 slim_761976113 slim_761976054 slim_761976090 slim_761976052 slim_761976076 slim_761976058
0 3.1e-06 2.6e-06 2.55e-06 2.85e-06 1.9e-06 2.5e-06 2.1e-06 2.9e-06 1.85e-06 2.6e-06 2.25e-06 2.35e-06 1.55e-06 2e-06 2.1e-06 2.55e-06 2.1e-06 2.35e-06 1.6e-06 2.1e-06 2e-06 2.5e-06 2.3e-06 1.9e-06 2.05e-06 2.25e-06 2.7e-06 2.55e-06 1.9e-06 2.6e-06 2.7e-06 2.05e-06 2.1e-06 2.7e-06 2.1e-06 2.5e-06 2.45e-06 2.2e-06 2.55e-06 2.55e-06 2.15e-06 2.4e-06 2.3e-06 2.55e-06 2.4e-06 2.65e-06 2.5e-06 2.6e-06 2.55e-06 2.6e-06 2.5e-06 2.2e-06 1.65e-06 2.1e-06 2.1e-06 2.2e-06 2.4e-06 2.75e-06 2.1e-06 2.5e-06 2.35e-06 1.9e-06 2.05e-06 2.2e-06 2.35e-06 2.15e-06 2.7e-06 1.9e-06 2.4e-06 2.6e-06 2.7e-06 2.05e-06 2.6e-06 2.3e-06 1.95e-06 2.1e-06 1.85e-06 2.55e-06 2.95e-06 2.55e-06 2.1e-06 2.5e-06
1 2.6e-06 3.2e-06 2.8e-06 2.8e-06 2.75e-06 2.35e-06 1.9e-06 3.15e-06 2e-06 2.35e-06 3.5e-06 3.4e-06 1.7e-06 2.75e-06 1.8e-06 3.35e-06 2.3e-06 3.25e-06 1.85e-06 2.3e-06 1.8e-06 2.65e-06 2.7e-06 2.1e-06 2.35e-06 3.3e-06 3.05e-06 3.05e-06 2.75e-06 3.3e-06 3.1e-06 1.85e-06 2.35e-06 2.4e-06 2.6e-06 3.4e-06 2.45e-06 1.9e-06 3.45e-06 2.3e-06 2.15e-06 3.3e-06 2.8e-06 2.8e-06 3.2e-06 2.4e-06 2.75e-06 3e-06 2.25e-06 3.5e-06 2.25e-06 2.2e-06 1.9e-06 1.9e-06 1.95e-06 3.35e-06 2.2e-06 3.1e-06 2.3e-06 2.75e-06 2.05e-06 2.1e-06 1.85e-06 2.85e-06 2.55e-06 2.65e-06 2.4e-06 2.9e-06 2.6e-06 3.6e-06 3.6e-06 3e-06 2.65e-06 2.8e-06 2.8e-06 2.55e-06 2.05e-06 1.8e-06 2.7e-06 2.5e-06 2.45e-06 2.75e-06
2 2.55e-06 2.8e-06 1.6e-06 2.35e-06 2.65e-06 2.95e-06 2.65e-06 8.5e-07 2.1e-06 2.15e-06 2.2e-06 3.05e-06 1.9e-06 1.7e-06 2.55e-06 2e-06 1.55e-06 2.2e-06 2.05e-06 2.35e-06 2.55e-06 3e-06 1.6e-06 2.1e-06 2.4e-06 2.95e-06 2.55e-06 1.75e-06 2.65e-06 2.05e-06 1.7e-06 2.6e-06 2.3e-06 2.2e-06 2.6e-06 2.05e-06 2.9e-06 2.6e-06 2.1e-06 2.7e-06 2.5e-06 2.45e-06 3.25e-06 3.15e-06 2.8e-06 1.9e-06 1.05e-06 1.6e-06 2.15e-06 2.2e-06 2.05e-06 2.6e-06 2.1e-06 2.65e-06 2.5e-06 3e-06 2.7e-06 1.9e-06 1.6e-06 3.1e-06 2.15e-06 2.35e-06 2.6e-06 2.45e-06 1.5e-06 2.4e-06 2.2e-06 2.8e-06 1.4e-06 2.25e-06 1.65e-06 2.75e-06 2.05e-06 3.25e-06 2.7e-06 2.4e-06 1.9e-06 3.1e-06 2.25e-06 2.95e-06 2.4e-06 1.7e-06
3 2.85e-06 2.8e-06 2.35e-06 3.6e-06 2.6e-06 2.55e-06 2.6e-06 2.75e-06 2.4e-06 2.35e-06 2.75e-06 2.65e-06 2.3e-06 2.75e-06 2.5e-06 3.05e-06 2.25e-06 2.45e-06 2.45e-06 2.45e-06 2.55e-06 3e-06 1.95e-06 2.25e-06 2.45e-06 2.6e-06 2.3e-06 2.25e-06 2.6e-06 3.1e-06 2.4e-06 2.6e-06 2.35e-06 2.2e-06 2.35e-06 2.75e-06 2.2e-06 2.35e-06 2.8e-06 2.5e-06 2.55e-06 2.85e-06 2.75e-06 3.15e-06 3.2e-06 2.6e-06 2.05e-06 2.3e-06 2.15e-06 2.85e-06 2.25e-06 3.1e-06 2.5e-06 2.6e-06 2.5e-06 2.3e-06 2.3e-06 2.7e-06 2.25e-06 3.15e-06 2.4e-06 2.65e-06 2.55e-06 2.65e-06 2.55e-06 2.95e-06 2.3e-06 2.75e-06 2.5e-06 2.95e-06 2.85e-06 2.75e-06 2e-06 2.75e-06 2.65e-06 2.35e-06 2.2e-06 2.6e-06 2.05e-06 3e-06 2.45e-06 2.7e-06
4 1.9e-06 2.75e-06 2.65e-06 2.6e-06 2.5e-06 2e-06 2.45e-06 2.9e-06 1.75e-06 2.95e-06 1.95e-06 1.8e-06 1.25e-06 1.75e-06 1.85e-06 2.35e-06 2.05e-06 2e-06 1.85e-06 1.75e-06 2.35e-06 2.25e-06 2.2e-06 1.55e-06 1.4e-06 1.85e-06 2.25e-06 2.35e-06 1.3e-06 2.45e-06 2.5e-06 2.4e-06 1.7e-06 2.8e-06 2.25e-06 2.05e-06 2.5e-06 1.8e-06 2.1e-06 2.55e-06 2e-06 2e-06 1.9e-06 2.4e-06 2.25e-06 2.6e-06 2.7e-06 2.4e-06 2.35e-06 2.2e-06 2.85e-06 2.3e-06 1.85e-06 2.45e-06 1.9e-06 1.55e-06 2.15e-06 2.3e-06 2.35e-06 2.4e-06 2.1e-06 2e-06 2.4e-06 1.8e-06 2.1e-06 1.8e-06 2.9e-06 1.4e-06 2.5e-06 2.25e-06 2.45e-06 1.45e-06 2.35e-06 1.9e-06 1.3e-06 2.25e-06 1.7e-06 2.45e-06 2.7e-06 2.3e-06 2.3e-06 2.65e-06
5 2.5e-06 2.35e-06 2.95e-06 2.55e-06 2e-06 2.7e-06 1.95e-06 3.5e-06 1.85e-06 2.7e-06 2.8e-06 2.25e-06 1.45e-06 2.25e-06 1.55e-06 3.2e-06 2.15e-06 2.6e-06 1.95e-06 1.8e-06 1.9e-06 2.9e-06 2.3e-06 1.7e-06 1.45e-06 2.6e-06 2.6e-06 2.85e-06 2e-06 3.25e-06 2.9e-06 1.95e-06 1.65e-06 2.55e-06 2.35e-06 2.95e-06 2.45e-06 1.4e-06 3e-06 2.8e-06 1.7e-06 2.9e-06 2.05e-06 3.05e-06 3.15e-06 2.45e-06 2.7e-06 2.8e-06 2.15e-06 3.1e-06 2.6e-06 2.8e-06 2e-06 1.95e-06 1.55e-06 2.35e-06 1.55e-06 2.5e-06 2.3e-06 3.05e-06 1.8e-06 2e-06 1.95e-06 2.4e-06 2.5e-06 2.05e-06 2.65e-06 2.15e-06 2.8e-06 3.15e-06 3.35e-06 2.1e-06 2.1e-06 2.05e-06 2.05e-06 2.35e-06 1.8e-06 1.55e-06 2.25e-06 2.05e-06 2.1e-06 2.95e-06
6 2.1e-06 1.9e-06 2.65e-06 2.6e-06 2.45e-06 1.95e-06 2.4e-06 3.35e-06 1.65e-06 2.1e-06 3.1e-06 3e-06 1.4e-06 2.45e-06 1.45e-06 3.3e-06 1.85e-06 2.8e-06 1.3e-06 1.85e-06 1.25e-06 3e-06 2.15e-06 1.65e-06 2.05e-06 2.85e-06 3e-06 2.85e-06 2.45e-06 3.35e-06 2.9e-06 1.3e-06 1.95e-06 2.2e-06 2e-06 3.35e-06 2.15e-06 1.5e-06 3.4e-06 2.5e-06 1.75e-06 3.35e-06 2.45e-06 3.15e-06 3.2e-06 2.3e-06 2.15e-06 2.8e-06 2.2e-06 3.5e-06 2e-06 2.55e-06 1.35e-06 1.25e-06 1.6e-06 2.9e-06 1.75e-06 3.05e-06 1.8e-06 3.1e-06 1.7e-06 1.65e-06 1.25e-06 2.8e-06 2.5e-06 2.35e-06 2.2e-06 2.55e-06 2.5e-06 3.55e-06 3.55e-06 2.7e-06 2.15e-06 2.45e-06 2.5e-06 1.9e-06 1.6e-06 1.4e-06 2.55e-06 2.15e-06 1.8e-06 2.55e-06
7 2.9e-06 3.15e-06 8.5e-07 2.75e-06 2.9e-06 3.5e-06 3.35e-06 1e-07 2.8e-06 2.55e-06 2.15e-06 3.4e-06 2.45e-06 1.9e-06 3.15e-06 1.6e-06 2.15e-06 2.5e-06 2.7e-06 3e-06 3.25e-06 3e-06 2.35e-06 2.75e-06 2.9e-06 3.3e-06 2.55e-06 1.75e-06 2.9e-06 1.65e-06 1.65e-06 3.3e-06 2.95e-06 2.6e-06 3.35e-06 1.65e-06 3.35e-06 3.2e-06 1.65e-06 3.1e-06 3.15e-06 1.95e-06 3.55e-06 3.15e-06 2.25e-06 1.85e-06 1.7e-06 1.55e-06 2.4e-06 1.8e-06 2.45e-06 2.6e-06 2.75e-06 3.35e-06 3.1e-06 3.35e-06 3.4e-06 1.7e-06 2.4e-06 3.1e-06 2.75e-06 3e-06 3.3e-06 2.4e-06 1.4e-06 2.75e-06 2.6e-06 3.05e-06 1.45e-06 1.85e-06 1.25e-06 3e-06 2.65e-06 3.55e-06 2.95e-06 3.1e-06 2.5e-06 3.75e-06 2.65e-06 3.35e-06 3.15e-06 1.7e-06
8 1.85e-06 2e-06 2.1e-06 2.4e-06 1.75e-06 1.85e-06 1.65e-06 2.8e-06 1.5e-06 2.2e-06 2.6e-06 2.45e-06 7.5e-07 1.65e-06 1.25e-06 2.7e-06 1.35e-06 2.3e-06 1.15e-06 1.35e-06 1.55e-06 2.6e-06 1.7e-06 1.15e-06 1.35e-06 2.35e-06 2.65e-06 2.4e-06 1.8e-06 2.75e-06 2.45e-06 1.6e-06 1.35e-06 2.25e-06 1.85e-06 2.75e-06 2.3e-06 1.45e-06 2.8e-06 2.25e-06 1.3e-06 2.75e-06 2.3e-06 2.75e-06 2.95e-06 2.2e-06 1.8e-06 2.35e-06 1.85e-06 2.9e-06 2.1e-06 2.1e-06 1.15e-06 1.65e-06 1.25e-06 2.4e-06 1.7e-06 2.45e-06 1.15e-06 2.7e-06 1.55e-06 1.35e-06 1.6e-06 2.05e-06 1.9e-06 1.55e-06 2.2e-06 1.9e-06 1.75e-06 2.95e-06 2.95e-06 1.9e-06 2.05e-06 2.3e-06 1.8e-06 1.85e-06 1.05e-06 1.75e-06 2.3e-06 2e-06 1.75e-06 2.35e-06
9 2.6e-06 2.35e-06 2.15e-06 2.35e-06 2.95e-06 2.7e-06 2.1e-06 2.55e-06 2.2e-06 3.4e-06 3.2e-06 3.4e-06 2e-06 2.55e-06 2.25e-06 3.1e-06 2.05e-06 2.9e-06 1.9e-06 2.4e-06 2e-06 3.15e-06 2.25e-06 2.2e-06 2.55e-06 3.3e-06 2.7e-06 2.7e-06 2.95e-06 3.1e-06 2.7e-06 2.05e-06 2.45e-06 1.95e-06 2.5e-06 3.15e-06 2.3e-06 2.3e-06 3.2e-06 2.7e-06 2.35e-06 3.3e-06 3.15e-06 3.3e-06 3.25e-06 2.4e-06 1.95e-06 2.6e-06 2e-06 3.25e-06 1.75e-06 2.75e-06 1.95e-06 2.1e-06 2.3e-06 3.35e-06 2.45e-06 2.85e-06 2e-06 3.25e-06 2.15e-06 2.2e-06 2.05e-06 3e-06 2.4e-06 2.8e-06 1.95e-06 3.05e-06 2.35e-06 3.35e-06 3.05e-06 3.15e-06 2.3e-06 3.15e-06 3e-06 2.35e-06 2.1e-06 2.4e-06 2.25e-06 2.85e-06 2.3e-06 2.4e-06
