 slim_762217352 slim_762217366 slim_762217397 slim_762217341 slim_762217332 slim_762217382 slim_762217371 slim_762217340 slim_762217354 slim_762217338 slim_762217339 slim_762217379 slim_762217375 slim_762217377 slim_762217343 slim_762217373 slim_762217346 slim_762217374 slim_762217349 slim_762217353 slim_762217361 slim_762217344 slim_762217383 slim_762217395 slim_762217358 slim_762217378 slim_762217402 slim_762217390 slim_762217334 slim_762217335 slim_762217376 slim_762217368 slim_762217360 slim_762217396 slim_762217333 slim_762217401 slim_762217348 slim_762217381 slim_762217345 slim_762217386 slim_762217384 slim_762217364 slim_762217356 slim_762217398 slim_762217363 slim_762217391 slim_762217337 slim_762217365 slim_762217385 slim_762217380 slim_762217359 slim_762217399 slim_762217355 slim_762217388 slim_762217357 slim_762217342 slim_762217336 slim_762217394 slim_762217400 slim_762217393 slim_762217350 slim_762217331 slim_762217372 slim_762217389 slim_762217387 slim_762217347 slim_762217351 slim_762217392 slim_762217367 slim_762217369 slim_762217370 slim_762217362
0 0.0 2.3e-06 2.2e-06 2.5e-06 2.45e-06 2.45e-06 2.55e-06 2.4e-06 3e-06 2.8e-06 1.9e-06 8e-07 3.5e-06 1.95e-06 1.45e-06 2.3e-06 2.75e-06 1.95e-06 1.95e-06 6.5e-07 2.15e-06 3.15e-06 2.5e-06 2.7e-06 1.45e-06 1.9e-06 1.75e-06 1.25e-06 2.3e-06 2.45e-06 1.1e-06 2.45e-06 2.95e-06 2.8e-06 2.8e-06 3.05e-06 2.5e-06 2.8e-06 2.2e-06 2.65e-06 1.55e-06 2.8e-06 3.55e-06 1.85e-06 1.6e-06 2.1e-06 2.95e-06 1.95e-06 2e-06 2.25e-06 1.4e-06 1.65e-06 2.6e-06 2.65e-06 1.7e-06 2.4e-06 2.2e-06 1.9e-06 2.5e-06 3.4e-06 1.6e-06 2.55e-06 6.5e-07 2.2e-06 1.55e-06 2.6e-06 1.4e-06 1.55e-06 3e-06 2.8e-06 2.75e-06 2.2e-06
1 2.3e-06 3.6e-06 2.5e-06 2.5e-06 2.35e-06 2.35e-06 1.95e-06 2.3e-06 2.55e-06 2.7e-06 2.5e-06 2.25e-06 2.8e-06 1.95e-06 2.05e-06 2.55e-06 2.45e-06 2.05e-06 2.5e-06 2.25e-06 2.2e-06 2.9e-06 2.5e-06 2.4e-06 2.1e-06 2.1e-06 2.7e-06 2.25e-06 2e-06 1.95e-06 2.25e-06 2.35e-06 2.35e-06 2.35e-06 2.45e-06 2.7e-06 2.4e-06 2.5e-06 2.45e-06 2.35e-06 2.5e-06 2.45e-06 2.85e-06 2.45e-06 2.05e-06 2.2e-06 2.85e-06 2.15e-06 2.45e-06 2.65e-06 2e-06 2.2e-06 2.6e-06 2.35e-06 2.55e-06 2.3e-06 2e-06 2e-06 2.45e-06 2.75e-06 2.05e-06 2.45e-06 2.35e-06 2.45e-06 2.65e-06 2.1e-06 2.25e-06 2.1e-06 2.75e-06 2.4e-06 2.5e-06 2.45e-06
2 2.2e-06 2.5e-06 1.6e-06 1.35e-06 2e-06 2.3e-06 1.85e-06 2.25e-06 2.35e-06 8e-07 1.25e-06 1.75e-06 2.05e-06 1.8e-06 2.35e-06 1.5e-06 1.4e-06 1.8e-06 2.3e-06 1.9e-06 2e-06 1.35e-06 1.35e-06 1.35e-06 1.8e-06 1.7e-06 2.65e-06 1.2e-06 2.5e-06 1.75e-06 1.8e-06 2e-06 2.2e-06 1.65e-06 3.15e-06 1.6e-06 2.05e-06 1.45e-06 1.4e-06 1.3e-06 1.85e-06 3.15e-06 2.1e-06 1.2e-06 2.5e-06 1.35e-06 9.5e-07 1.95e-06 1.55e-06 1.6e-06 1.85e-06 1.9e-06 2.6e-06 1.3e-06 1.4e-06 1.95e-06 1.85e-06 1.7e-06 2.3e-06 1.65e-06 2.35e-06 1.5e-06 1.95e-06 1.4e-06 1.65e-06 1.9e-06 1.85e-06 1.8e-06 1.2e-06 1.75e-06 1.25e-06 1.4e-06
3 2.5e-06 2.5e-06 1.35e-06 1.8e-06 2.3e-06 2.45e-06 1.3e-06 2.4e-06 2.1e-06 9e-07 1.65e-06 2.2e-06 1.95e-06 1.7e-06 2.95e-06 1.7e-06 1.15e-06 1.65e-06 2.5e-06 2.2e-06 1.85e-06 1.35e-06 9e-07 1.1e-06 1.7e-06 1.5e-06 2.8e-06 2.05e-06 2.45e-06 1.15e-06 2.4e-06 2.3e-06 2.25e-06 1.3e-06 3.25e-06 1.5e-06 2.35e-06 1.2e-06 1.6e-06 1.05e-06 1.95e-06 3.25e-06 2e-06 1.6e-06 3e-06 1.55e-06 1.05e-06 1.45e-06 1.85e-06 2e-06 1.75e-06 1.7e-06 2.6e-06 1.05e-06 1.5e-06 2.25e-06 1.25e-06 1.6e-06 2.8e-06 1.75e-06 2.75e-06 1.25e-06 2.1e-06 1.6e-06 1.85e-06 1.3e-06 1.65e-06 1.6e-06 1.2e-06 1.35e-06 1.1e-06 1.6e-06
4 2.45e-06 2.35e-06 2e-06 2.3e-06 3.7e-06 2.4e-06 2.7e-06 2.35e-06 2.85e-06 1.85e-06 2.05e-06 2.35e-06 2.4e-06 2.5e-06 2.1e-06 2.3e-06 2.35e-06 2.5e-06 2.4e-06 2.35e-06 2.7e-06 2.4e-06 2.3e-06 2.3e-06 2.5e-06 2.4e-06 2.75e-06 2.2e-06 2.35e-06 2.6e-06 2.3e-06 1.95e-06 2.5e-06 2.6e-06 2.5e-06 2.25e-06 2e-06 2.4e-06 2.2e-06 2.25e-06 2.5e-06 2.55e-06 2.45e-06 2.05e-06 2.1e-06 2.45e-06 2e-06 2.6e-06 2.4e-06 2.2e-06 2.5e-06 2.6e-06 2.85e-06 2.25e-06 2.2e-06 1.9e-06 2.7e-06 2.45e-06 2.45e-06 2.1e-06 2e-06 2.25e-06 2.5e-06 2.2e-06 2.3e-06 2.75e-06 2.4e-06 2.5e-06 2.25e-06 2.25e-06 2.25e-06 2.2e-06
5 2.45e-06 2.35e-06 2.3e-06 2.45e-06 2.4e-06 3.5e-06 2.35e-06 1.75e-06 2.55e-06 2.55e-06 2.2e-06 2e-06 2.5e-06 2.3e-06 2e-06 2.6e-06 2.5e-06 2.25e-06 2.35e-06 2.1e-06 2.45e-06 3.05e-06 2.45e-06 2.45e-06 2.15e-06 2e-06 2.55e-06 1.9e-06 2.3e-06 2.2e-06 1.95e-06 2.45e-06 2.2e-06 2.7e-06 2.6e-06 2.5e-06 2.5e-06 2.55e-06 2.5e-06 2.4e-06 2.8e-06 2.65e-06 2.55e-06 2.15e-06 2.15e-06 2.2e-06 2.7e-06 2.35e-06 2.45e-06 2.2e-06 2.25e-06 2.25e-06 2.75e-06 2.4e-06 2.4e-06 2.4e-06 2.35e-06 2.05e-06 2.3e-06 2.45e-06 1.95e-06 2.55e-06 2.2e-06 2.5e-06 2.65e-06 2.35e-06 1.95e-06 2.15e-06 2.9e-06 2.3e-06 2.35e-06 2.5e-06
6 2.55e-06 1.95e-06 1.85e-06 1.3e-06 2.7e-06 2.35e-06 5e-07 2.3e-06 1.8e-06 1.75e-06 2.05e-06 2.25e-06 2.35e-06 1e-06 2.9e-06 1.85e-06 1.15e-06 1e-06 2.7e-06 2.2e-06 1.15e-06 1.75e-06 1.3e-06 1e-06 1.35e-06 1.05e-06 2.9e-06 2.1e-06 1.95e-06 3e-07 2.35e-06 2.7e-06 1.95e-06 8e-07 3.15e-06 1.9e-06 2.75e-06 1.2e-06 1.75e-06 1.05e-06 1.95e-06 3.15e-06 2.4e-06 2e-06 2.95e-06 1.15e-06 1.9e-06 1.1e-06 1.8e-06 2.4e-06 1.25e-06 1.3e-06 2.25e-06 1e-06 2.05e-06 2.65e-06 6e-07 1.05e-06 2.65e-06 2.35e-06 2.75e-06 1.25e-06 2.3e-06 1.75e-06 2.3e-06 3.5e-07 1.65e-06 1.25e-06 1.6e-06 1.7e-06 1.25e-06 1.75e-06
7 2.4e-06 2.3e-06 2.25e-06 2.4e-06 2.35e-06 1.75e-06 2.3e-06 3.4e-06 2.5e-06 2.5e-06 2.15e-06 1.95e-06 2.45e-06 2.25e-06 1.95e-06 2.55e-06 2.45e-06 2.2e-06 2.3e-06 2.05e-06 2.4e-06 3e-06 2.4e-06 2.4e-06 2.1e-06 1.95e-06 2.5e-06 1.85e-06 2.25e-06 2.15e-06 1.9e-06 2.4e-06 2.15e-06 2.65e-06 2.55e-06 2.45e-06 2.45e-06 2.5e-06 2.45e-06 2.35e-06 2.75e-06 2.6e-06 2.5e-06 2.1e-06 2.1e-06 2.15e-06 2.65e-06 2.3e-06 2.4e-06 2.15e-06 2.2e-06 2.2e-06 2.7e-06 2.35e-06 2.35e-06 2.35e-06 2.3e-06 2e-06 2.25e-06 2.4e-06 1.9e-06 2.5e-06 2.15e-06 2.45e-06 2.6e-06 2.3e-06 1.9e-06 2.1e-06 2.85e-06 2.25e-06 2.3e-06 2.45e-06
8 3e-06 2.55e-06 2.35e-06 2.1e-06 2.85e-06 2.55e-06 1.8e-06 2.5e-06 2.6e-06 2.3e-06 2.5e-06 2.75e-06 2.45e-06 2.2e-06 2.95e-06 2.7e-06 2.15e-06 2.25e-06 2.8e-06 2.6e-06 2.45e-06 2.75e-06 2.1e-06 2.1e-06 2.4e-06 2.05e-06 2.6e-06 2.5e-06 2.6e-06 1.75e-06 2.75e-06 2.85e-06 2.65e-06 2.3e-06 2.3e-06 2.35e-06 2.9e-06 2.2e-06 2.6e-06 2.05e-06 2.9e-06 2.3e-06 2.5e-06 2.45e-06 3.05e-06 2.15e-06 2.45e-06 2.35e-06 2.7e-06 2.6e-06 2.3e-06 2.4e-06 2.1e-06 2.05e-06 2.65e-06 2.8e-06 1.8e-06 1.95e-06 3.2e-06 2.5e-06 2.85e-06 2.15e-06 2.95e-06 2.6e-06 2.8e-06 1.9e-06 2.2e-06 2.3e-06 2.6e-06 2.3e-06 2e-06 2.6e-06
9 2.8e-06 2.7e-06 8e-07 9e-07 1.85e-06 2.55e-06 1.75e-06 2.5e-06 2.3e-06 0.0 1.2e-06 2.4e-06 1.5e-06 1.95e-06 2.95e-06 1.3e-06 9.5e-07 1.95e-06 2.45e-06 2.35e-06 2.15e-06 6.5e-07 9e-07 9e-07 2.15e-06 1.7e-06 2.95e-06 1.95e-06 2.7e-06 1.65e-06 2.4e-06 1.85e-06 2.35e-06 1.3e-06 3.3e-06 1.05e-06 1.9e-06 1e-06 1.2e-06 8.5e-07 1.85e-06 3.3e-06 1.55e-06 1.15e-06 3e-06 1.7e-06 1.5e-07 2.05e-06 1.6e-06 1.55e-06 2.1e-06 2.15e-06 2.7e-06 8.5e-07 1.3e-06 1.8e-06 1.8e-06 1.8e-06 2.7e-06 1.1e-06 2.7e-06 1.05e-06 2.55e-06 1.2e-06 1.55e-06 1.8e-06 1.9e-06 2.05e-06 5e-07 1.4e-06 8.5e-07 1.2e-06
