 slim_762052104 slim_762052130 slim_762052124 slim_762052101 slim_762052144 slim_762052110 slim_762052140 slim_762052158 slim_762052113 slim_762052147 slim_762052120 slim_762052117 slim_762052096 slim_762052125 slim_762052111 slim_762052133 slim_762052145 slim_762052116 slim_762052159 slim_762052119 slim_762052107 slim_762052129 slim_762052141 slim_762052095 slim_762052122 slim_762052160 slim_762052134 slim_762052131 slim_762052123 slim_762052135 slim_762052121 slim_762052118 slim_762052161 slim_762052100 slim_762052128 slim_762052103 slim_762052155 slim_762052138 slim_762052099 slim_762052151 slim_762052139 slim_762052148 slim_762052132 slim_762052142 slim_762052097 slim_762052137 slim_762052150 slim_762052106 slim_762052146 slim_762052108 slim_762052098 slim_762052157 slim_762052105 slim_762052114 slim_762052126 slim_762052152 slim_762052109 slim_762052127 slim_762052153 slim_762052154 slim_762052136 slim_762052156 slim_762052112 slim_762052102 slim_762052143 slim_762052115 slim_762052149
0 2.8e-06 1.65e-06 1.6e-06 2.05e-06 1.8e-06 1.8e-06 1.7e-06 1.95e-06 1.75e-06 1.7e-06 1.65e-06 2e-06 1.7e-06 2.15e-06 1.8e-06 1.75e-06 1.85e-06 1.7e-06 2.05e-06 1.85e-06 2e-06 1.95e-06 1.65e-06 1.75e-06 1.65e-06 1.9e-06 1.9e-06 1.65e-06 1.7e-06 1.75e-06 1.65e-06 2.1e-06 1.9e-06 1.7e-06 1.7e-06 2.05e-06 1.85e-06 1.95e-06 1.7e-06 1.65e-06 1.9e-06 1.8e-06 1.65e-06 1.65e-06 1.6e-06 2.3e-06 1.95e-06 1.75e-06 1.85e-06 1.8e-06 1.7e-06 2e-06 1.7e-06 1.7e-06 1.75e-06 1.7e-06 1.8e-06 1.65e-06 1.8e-06 1.75e-06 2.15e-06 1.85e-06 1.75e-06 1.55e-06 1.9e-06 1.75e-06 1.75e-06
1 1.65e-06 1.2e-06 1.35e-06 2.35e-06 1.65e-06 7.5e-07 1.25e-06 1.5e-06 1.25e-06 1.2e-06 1.2e-06 1e-06 1.3e-06 2.4e-06 2.25e-06 9e-07 1.85e-06 1.65e-06 1.2e-06 1.85e-06 9.5e-07 1.1e-06 8e-07 2.2e-06 1.25e-06 1.05e-06 1.8e-06 8e-07 1.7e-06 1.8e-06 1.25e-06 1.35e-06 9.5e-07 1.65e-06 2.6e-06 1.65e-06 2.75e-06 1.35e-06 2.1e-06 1.25e-06 1.6e-06 2.05e-06 1.3e-06 1.4e-06 1.65e-06 1.75e-06 2e-06 1.7e-06 1.7e-06 1.75e-06 1.65e-06 1.55e-06 1.85e-06 1.7e-06 1.25e-06 1.2e-06 1.3e-06 1.8e-06 2.35e-06 1.8e-06 2.15e-06 2.2e-06 2.2e-06 2.1e-06 9.5e-07 2.45e-06 1.85e-06
2 1.6e-06 1.35e-06 1.7e-06 2.3e-06 1.5e-06 1.3e-06 1.4e-06 1.85e-06 1.5e-06 1.4e-06 1e-06 1.4e-06 1.35e-06 2.35e-06 2e-06 1.25e-06 1.7e-06 1.7e-06 1.85e-06 1.75e-06 1.55e-06 1.55e-06 1.05e-06 1.95e-06 1.3e-06 1.5e-06 1.85e-06 1e-06 1.55e-06 1.7e-06 1.3e-06 1.75e-06 1.5e-06 1.45e-06 2.25e-06 1.9e-06 2.4e-06 1.8e-06 1.75e-06 1.3e-06 1.8e-06 2e-06 1.4e-06 1.35e-06 1.4e-06 2.2e-06 1.95e-06 1.65e-06 1.55e-06 1.85e-06 1.45e-06 1.9e-06 1.25e-06 1.55e-06 1.45e-06 1.45e-06 1.55e-06 1.6e-06 2.1e-06 1.7e-06 2.35e-06 2e-06 1.95e-06 1.9e-06 1.55e-06 2.25e-06 1.75e-06
3 2.05e-06 2.35e-06 2.3e-06 1.3e-06 1.7e-06 2.9e-06 2e-06 1.6e-06 2e-06 1.9e-06 1.95e-06 2.65e-06 1.75e-06 1.3e-06 1.35e-06 2.6e-06 1.2e-06 2.15e-06 2.1e-06 9e-07 2.5e-06 2.45e-06 2.6e-06 1.3e-06 1.7e-06 2.4e-06 2.15e-06 2.7e-06 9.5e-07 2.05e-06 1.7e-06 2.4e-06 2.5e-06 1.55e-06 1.55e-06 1.55e-06 1.7e-06 2.35e-06 1.8e-06 1.7e-06 1.6e-06 8.5e-07 1.95e-06 1.8e-06 1.6e-06 2.4e-06 8.5e-07 1.75e-06 1.75e-06 2.3e-06 1.55e-06 1.65e-06 1.6e-06 9.5e-07 1.95e-06 2.05e-06 2.05e-06 2.2e-06 1.55e-06 2.25e-06 2e-06 1.5e-06 1.3e-06 1.15e-06 2.4e-06 1.05e-06 1.1e-06
4 1.8e-06 1.65e-06 1.5e-06 1.7e-06 1.9e-06 2e-06 1.55e-06 1.55e-06 1.7e-06 1.6e-06 1.15e-06 1.8e-06 1.35e-06 1.95e-06 1.65e-06 1.75e-06 1.35e-06 1.85e-06 1.65e-06 1.25e-06 1.9e-06 1.85e-06 1.7e-06 1.65e-06 1.3e-06 1.8e-06 1.85e-06 1.7e-06 1.25e-06 1.65e-06 1.3e-06 1.9e-06 1.8e-06 1.4e-06 1.95e-06 1.5e-06 2.05e-06 2.15e-06 1.7e-06 1.3e-06 1.55e-06 1.6e-06 1.5e-06 1.2e-06 1.3e-06 2.2e-06 1.45e-06 1.85e-06 1e-06 2.05e-06 1.45e-06 1.6e-06 1.2e-06 1.25e-06 1.65e-06 1.65e-06 1.75e-06 1.85e-06 1.7e-06 1.95e-06 2.05e-06 1.65e-06 1.65e-06 1.55e-06 1.75e-06 1.85e-06 1.15e-06
5 1.8e-06 7.5e-07 1.3e-06 2.9e-06 2e-06 5e-07 1.3e-06 2e-06 1.15e-06 1.2e-06 1.35e-06 9e-07 1.55e-06 2.85e-06 2.65e-06 7.5e-07 2.25e-06 1.7e-06 1.8e-06 2.3e-06 7.5e-07 1.15e-06 6.5e-07 2.6e-06 1.5e-06 1.1e-06 2e-06 6.5e-07 2.05e-06 2.1e-06 1.5e-06 1.6e-06 1.05e-06 1.8e-06 3.05e-06 2.2e-06 3.2e-06 1.45e-06 2.3e-06 1.5e-06 2.05e-06 2.5e-06 1.35e-06 1.65e-06 1.8e-06 2.15e-06 2.45e-06 1.9e-06 2.05e-06 1.7e-06 1.8e-06 2.05e-06 2e-06 2.05e-06 1.15e-06 1.1e-06 1.2e-06 1.95e-06 2.75e-06 1.95e-06 2.65e-06 2.6e-06 2.6e-06 2.5e-06 1.1e-06 2.95e-06 2.3e-06
6 1.7e-06 1.25e-06 1.4e-06 2e-06 1.55e-06 1.3e-06 2.2e-06 1.6e-06 1.35e-06 1.25e-06 1.2e-06 1.45e-06 1.3e-06 2.1e-06 1.75e-06 1.35e-06 1.35e-06 1.65e-06 1.65e-06 1.4e-06 1.5e-06 1.35e-06 1.3e-06 1.7e-06 1.25e-06 1.3e-06 1.75e-06 1.25e-06 1.2e-06 1.75e-06 1.25e-06 1.65e-06 1.35e-06 1.4e-06 2.1e-06 1.6e-06 2.25e-06 1.5e-06 1.8e-06 1.25e-06 1.45e-06 1.7e-06 1.3e-06 1.4e-06 1.45e-06 1.95e-06 1.6e-06 1.8e-06 1.6e-06 1.8e-06 1.4e-06 1.65e-06 1.45e-06 1.2e-06 1.3e-06 1.3e-06 1.4e-06 1.8e-06 1.95e-06 1.85e-06 2.2e-06 1.75e-06 1.7e-06 1.6e-06 1.5e-06 2.05e-06 1.5e-06
7 1.95e-06 1.5e-06 1.85e-06 1.6e-06 1.55e-06 2e-06 1.6e-06 2e-06 1.5e-06 1.45e-06 1.55e-06 1.9e-06 1.35e-06 1.75e-06 1.7e-06 1.95e-06 1.2e-06 2.05e-06 1.05e-06 1.1e-06 2e-06 1.75e-06 1.8e-06 1.65e-06 1.3e-06 1.7e-06 2.1e-06 1.9e-06 1e-06 2e-06 1.3e-06 1.7e-06 1.55e-06 1.3e-06 2.2e-06 1.2e-06 2.35e-06 1.65e-06 1.95e-06 1.3e-06 1.25e-06 1.4e-06 1.7e-06 1.45e-06 1.4e-06 1.7e-06 1.2e-06 1.9e-06 1.6e-06 2.15e-06 1.35e-06 1.1e-06 1.55e-06 1e-06 1.5e-06 1.5e-06 1.55e-06 2.1e-06 1.85e-06 2.1e-06 2.1e-06 1.65e-06 1.65e-06 1.55e-06 1.45e-06 1.95e-06 1.15e-06
8 1.75e-06 1.25e-06 1.5e-06 2e-06 1.7e-06 1.15e-06 1.35e-06 1.5e-06 2e-06 1.1e-06 1.4e-06 1.55e-06 1.25e-06 1.95e-06 1.85e-06 1.5e-06 1.3e-06 1.8e-06 1.8e-06 1.4e-06 1.6e-06 1.5e-06 1.25e-06 1.8e-06 1.2e-06 1.45e-06 2e-06 1.4e-06 1.1e-06 2e-06 1.2e-06 1.6e-06 1.5e-06 1.15e-06 2.4e-06 1.75e-06 2.55e-06 1.45e-06 1.85e-06 1.2e-06 1.45e-06 1.55e-06 1.45e-06 1.35e-06 1.2e-06 1.8e-06 1.45e-06 1.8e-06 1.75e-06 1.75e-06 1.15e-06 1.55e-06 1.55e-06 1.1e-06 1.05e-06 1e-06 1.05e-06 1.95e-06 1.95e-06 1.9e-06 2.4e-06 1.75e-06 1.8e-06 1.7e-06 1.55e-06 2.2e-06 1.4e-06
9 1.7e-06 1.2e-06 1.4e-06 1.9e-06 1.6e-06 1.2e-06 1.25e-06 1.45e-06 1.1e-06 2e-06 1.3e-06 1.45e-06 1.2e-06 1.9e-06 1.75e-06 1.4e-06 1.25e-06 1.7e-06 1.7e-06 1.3e-06 1.5e-06 1.4e-06 1.2e-06 1.7e-06 1.15e-06 1.35e-06 1.9e-06 1.3e-06 1e-06 1.9e-06 1.15e-06 1.55e-06 1.4e-06 1.15e-06 2.3e-06 1.65e-06 2.45e-06 1.4e-06 1.8e-06 1.15e-06 1.4e-06 1.5e-06 1.35e-06 1.3e-06 1.2e-06 1.8e-06 1.4e-06 1.7e-06 1.65e-06 1.8e-06 1.15e-06 1.5e-06 1.45e-06 1e-06 1.1e-06 1.1e-06 1.15e-06 1.85e-06 1.9e-06 1.85e-06 2.3e-06 1.7e-06 1.7e-06 1.6e-06 1.45e-06 2.1e-06 1.35e-06
